sample,scale,param,r,p,n,p_fdr,sig_uncorr,sig_fdr
exploratory,STAI_Trait,omega_z,-0.05692509642890243,0.3348881294534888,289,0.6413089325479985,False,False
exploratory,STAI_Trait,kappa_z,-0.011914594824747674,0.8401688931479905,289,0.9101829675769897,False,False
exploratory,STAI_Trait,angle_z,-0.02857209293769422,0.628585114861552,289,0.8570443976169172,False,False
confirmatory,DASS21_Stress,omega_z,-0.06980167665345008,0.2434945138023898,281,0.6381982568630745,False,False
confirmatory,DASS21_Stress,kappa_z,0.0703612026918728,0.2397272513435975,281,0.48184914580835686,False,False
confirmatory,DASS21_Stress,angle_z,0.06363087439161462,0.2877952112447863,281,0.4157041940202469,False,False
confirmatory,DASS21_Anxiety,omega_z,-0.029406688435233846,0.6235291647132704,281,0.7327582211669726,False,False
confirmatory,DASS21_Anxiety,kappa_z,0.011333338526121377,0.8499826217946546,281,0.8499826217946546,False,False
confirmatory,DASS21_Anxiety,angle_z,0.049098155231272304,0.4122953853676497,281,0.4872581827072224,False,False
confirmatory,DASS21_Depression,omega_z,-0.02691993167197152,0.6531934583271849,281,0.7327582211669726,False,False
confirmatory,DASS21_Depression,kappa_z,0.07880337138740395,0.18778966713485387,281,0.48184914580835686,False,False
confirmatory,DASS21_Depression,angle_z,0.09174462104271806,0.12495530620333481,281,0.27073649677389205,False,False
confirmatory,AMI_Behavioural,omega_z,0.06832945409589627,0.2536039243918461,281,0.6381982568630745,False,False
confirmatory,AMI_Behavioural,kappa_z,0.12846246279059778,0.031338204060366685,281,0.20369832639238344,True,False
confirmatory,AMI_Behavioural,angle_z,0.1531941979381344,0.010118485929224992,281,0.06577015853996244,True,False
confirmatory,AMI_Social,omega_z,0.15524326703711575,0.009145338846685822,281,0.11888940500691568,True,False
confirmatory,AMI_Social,kappa_z,0.026330875166674886,0.6603031789255933,281,0.7153284438360594,False,False
confirmatory,AMI_Social,angle_z,0.05414750394457642,0.36583890972457545,281,0.47559058264194803,False,False
confirmatory,AMI_Emotional,omega_z,0.09005749402328814,0.13207459711797748,281,0.6381982568630745,False,False
confirmatory,AMI_Emotional,kappa_z,0.046078614943107325,0.4416653667379408,281,0.6188069934944201,False,False
confirmatory,AMI_Emotional,angle_z,0.00058994759465755,0.9921447598310601,281,0.9921447598310601,False,False
confirmatory,MFIS_Physical,omega_z,-0.025877401904913166,0.6657973509817042,281,0.7327582211669726,False,False
confirmatory,MFIS_Physical,kappa_z,0.03903677488263353,0.5145901083340553,281,0.6188069934944201,False,False
confirmatory,MFIS_Physical,angle_z,0.10079909721069427,0.09170593608635501,281,0.238435433824523,False,False
confirmatory,MFIS_Cognitive,omega_z,-0.02045878718616251,0.7327582211669726,281,0.7327582211669726,False,False
confirmatory,MFIS_Cognitive,kappa_z,0.06726398741398268,0.26109915311951315,281,0.48184914580835686,False,False
confirmatory,MFIS_Cognitive,angle_z,0.08124777572747219,0.17442045493231478,281,0.32392370201715603,False,False
confirmatory,MFIS_Psychosocial,omega_z,0.021933428780365295,0.7143080641328433,281,0.7327582211669726,False,False
confirmatory,MFIS_Psychosocial,kappa_z,0.09007664205233808,0.13199207933667417,281,0.48184914580835686,False,False
confirmatory,MFIS_Psychosocial,angle_z,0.1247179956099391,0.03666270698797514,281,0.15887173028122561,True,False
confirmatory,OASIS_Total,omega_z,-0.06620445186202822,0.26870236611697407,281,0.6381982568630745,False,False
confirmatory,OASIS_Total,kappa_z,0.03820417450619551,0.5236059175722017,281,0.6188069934944201,False,False
confirmatory,OASIS_Total,angle_z,0.03529753763330385,0.5556998116410564,281,0.6020081292778111,False,False
confirmatory,PHQ9_Total,omega_z,-0.0627475801016102,0.29455304162911133,281,0.6381982568630745,False,False
confirmatory,PHQ9_Total,kappa_z,0.06249270171768833,0.29652255126668114,281,0.48184914580835686,False,False
confirmatory,PHQ9_Total,angle_z,0.07437642115819264,0.21388968620608484,281,0.34757074008488786,False,False
confirmatory,STICSA_Total,omega_z,-0.028978752701683656,0.6285926372625619,281,0.7327582211669726,False,False
confirmatory,STICSA_Total,kappa_z,0.07891237942945911,0.1871778827134993,281,0.48184914580835686,False,False
confirmatory,STICSA_Total,angle_z,0.10109968655741963,0.09073719103648387,281,0.238435433824523,False,False
confirmatory,STAI_Trait,omega_z,0.04812499615786622,0.42246753798038755,280,0.7327582211669726,False,False
confirmatory,STAI_Trait,kappa_z,-0.16933928127994322,0.004490725655412038,280,0.058379433520356495,True,False
confirmatory,STAI_Trait,angle_z,-0.17586329777690107,0.0031507171911154645,280,0.040959323484501035,True,True
