scale,outcome,sample,N,R2,beta_scale,se_scale,p_scale,beta_omega,p_omega,beta_kappa,p_kappa,baseline_controlled
DASS21_Depression,pre_at_midT,confirmatory,279,0.2523360246605745,0.12199879281684312,0.05238256945101977,0.02058394591543352,0.28371113317438434,1.2276000330476982e-06,-0.5243673550822373,3.12903568999477e-18,False
DASS21_Depression,pre_at_highT,exploratory,290,0.18751396501220052,0.087090198337621,0.053515501479904984,0.10475700700267843,0.32699955146359144,2.9343930736655563e-08,-0.4082061810622129,1.0306877411533466e-11,False
DASS21_Depression,pre_at_highT,confirmatory,279,0.25880476389941065,0.11135074421635253,0.052155471913439395,0.03364677327859912,0.3228367024070206,3.6027264263616526e-08,-0.5236428010473707,2.563939561173517e-18,False
DASS21_Depression,pre_slope_T,exploratory,290,0.0513459971847916,-0.01396536715447356,0.05782632179762613,0.8093365157641831,0.21554714469951036,0.0005817583581440489,0.02434678698922235,0.6956938758416928,False
DASS21_Depression,pre_slope_T,confirmatory,279,0.03605800981852991,-0.06683295699589442,0.05947836465240535,0.2621408091349579,0.18934818718109808,0.0038348979054011116,-0.04012377074387656,0.5290625268014768,False
DASS21_Depression,abs_peak_strike,exploratory,290,0.21373933690810276,-0.04194645983169149,0.052644732231364386,0.4262376491935367,0.1281645376176193,0.023816984659719587,-0.4958102659105716,1.7755056138645977e-16,False
DASS21_Depression,abs_peak_strike,confirmatory,279,0.28935670456434825,-0.10777114399032031,0.051069240749182,0.03573606195938174,0.21153814628567186,0.0001820107438997037,-0.5535533331032698,1.0852129948247526e-20,False
DASS21_Depression,peak_post,exploratory,290,0.5928974925641541,0.014633628563327712,0.038042599490060586,0.7007730542246988,0.2683231111923571,3.2217487657223505e-10,-0.3743255688311502,2.1103372364309293e-17,True
DASS21_Depression,accel_post,exploratory,290,0.04167221941475352,0.0509094333481771,0.05812041221942594,0.38180297024777043,0.17770685284654641,0.004637005789542095,-0.16920646812957565,0.007190716787476487,False
DASS21_Stress,pre_at_lowT,exploratory,290,0.1935970513771721,0.059083249180218636,0.05324867984054761,0.268115546811186,0.26445891787966624,5.715550067100201e-06,-0.45641256171560207,3.4278414127458846e-14,False
DASS21_Stress,pre_at_lowT,confirmatory,279,0.24331307059466079,0.07056114136073424,0.052824641037239224,0.18273153570940676,0.27871913950421756,2.276153611808403e-06,-0.5215573884171513,6.801938590334165e-18,False
DASS21_Stress,pre_at_midT,exploratory,290,0.15842555782190737,0.06311080830360732,0.054397514981479454,0.246943842692457,0.2549524652278812,1.790921044865872e-05,-0.406452457159975,2.306089436757511e-11,False
DASS21_Stress,pre_at_midT,confirmatory,279,0.24108845589590056,0.05957436636773102,0.0529022347048976,0.2610956829054966,0.282331544916061,1.759235758891369e-06,-0.5184624688370517,1.106352245828328e-17,False
DASS21_Stress,pre_at_highT,exploratory,290,0.18136066681339125,0.0371221930729811,0.053651157386788044,0.4895502547222653,0.3295499724804304,2.7041454068208952e-08,-0.414912325566297,5.161475875220263e-12,False
DASS21_Stress,pre_at_highT,confirmatory,279,0.2482390981862309,0.0417604480981694,0.052652416228110926,0.42838321885258046,0.3202085545668326,6.173480871561346e-08,-0.5169799020943788,9.792087110378577e-18,False
DASS21_Stress,pre_slope_T,exploratory,290,0.05319731212558387,-0.04534597707080909,0.05769823558365039,0.4325672305893833,0.21298269022570546,0.0006766934853744054,0.02406041917208018,0.6979183786300522,False
DASS21_Stress,pre_slope_T,confirmatory,279,0.04144889265863949,-0.09977571565852923,0.05945468397765515,0.09444778811054193,0.1828175582877112,0.005238513773101647,-0.03658089797070506,0.5650679151445349,False
DASS21_Stress,abs_peak_strike,exploratory,290,0.21204670672654036,-0.007280855176205962,0.05263601827269248,0.8900812405296812,0.12751607902970005,0.024865692395873162,-0.49221391584447133,2.441522343499023e-16,False
DASS21_Stress,abs_peak_strike,confirmatory,279,0.28419836689783085,-0.08024627890878003,0.05137771447299224,0.11946420030039727,0.20975942007549847,0.0002265616990642121,-0.555981434064364,1.048420677204156e-20,False
DASS21_Stress,peak_post,exploratory,290,0.5931987944392054,0.02270593274512852,0.0378872045639225,0.5494466459360705,0.2695009338790667,2.826744994996811e-10,-0.3747265114393042,1.6670409900163442e-17,True
DASS21_Stress,accel_post,exploratory,290,0.043708879607969875,0.06806939318160449,0.057986627789077545,0.2414193365091011,0.18173491428812158,0.003805488486810976,-0.17152373343594735,0.006228018435457972,False
PHQ9_Total,pre_at_lowT,exploratory,290,0.1996378251572758,0.09785698694846261,0.05307788236799227,0.06626872229379692,0.26231797199167933,6.0971222215416814e-06,-0.45092989222995455,5.908746631810413e-14,False
PHQ9_Total,pre_at_lowT,confirmatory,279,0.25821917929378235,0.14146492827505996,0.052193447989267706,0.007142821389730108,0.28396467209091353,1.1416398032210109e-06,-0.5264259132749576,1.7157154470820632e-18,False
PHQ9_Total,pre_at_midT,exploratory,290,0.16635975279740867,0.1094294672748867,0.054170101163774846,0.044304271342812,0.2527202720555068,1.8874072255525757e-05,-0.4002191064561552,3.9324622803854564e-11,False
PHQ9_Total,pre_at_midT,confirmatory,279,0.2537591396450811,0.12779225485670892,0.052350122290999626,0.015273272182293709,0.28752231890309105,9.118885423085247e-07,-0.5232810995410043,3.148532428463181e-18,False
PHQ9_Total,pre_at_highT,exploratory,290,0.18751252718631073,0.08702147497475939,0.053478429713865905,0.10479034451770729,0.32848976489369364,2.561350178905081e-08,-0.4095037462098611,8.554244062099917e-12,False
PHQ9_Total,pre_at_highT,confirmatory,279,0.2561620063243687,0.09868263269648321,0.052265771651293806,0.060066081076547165,0.32467746321623264,3.37988413558806e-08,-0.5211292837937628,3.7242873481316026e-18,False
PHQ9_Total,pre_slope_T,exploratory,290,0.051253694979670694,-0.010091530208531747,0.057789023843360696,0.8614961988245076,0.2153512835418767,0.000589013835547288,0.02485190254833863,0.6894018021358617,False
PHQ9_Total,pre_slope_T,confirmatory,279,0.052292235074778315,-0.1444471107830231,0.05899502744037901,0.014971620165034198,0.18047054282429856,0.005500578123520362,-0.03440874795948125,0.5857556576032956,False
