n,beta,se,t,p,group,predictor,scale
563,-0.03579756911769204,0.04231365440514104,-0.8460051399706733,0.39791122365029147,reactivity_slope,confidence_cal_T,MFIS_Total
569,-0.04864987198142712,0.04196835174240822,-1.159203780029973,0.24686193780860619,reactivity_slope,anxiety_slope_T,STAI_Trait
571,-0.01602005307180138,0.04194241580210367,-0.3819535132975787,0.7026387017868067,reactivity_slope,anxiety_slope_T,DASS21_Anxiety
571,0.060589416130714724,0.041886515331876754,1.446513648859316,0.14858478043269335,reactivity_slope,anxiety_slope_T,OASIS_Total
571,0.031397175577865755,0.041959103125625626,0.7482804263919216,0.45460074238650605,reactivity_slope,anxiety_slope_T,STICSA_Total
571,0.08626489211137887,0.04121781845192299,2.092902908289515,0.0368008921254446,reactivity_slope,anxiety_slope_T,AMI_Total
571,0.10601998932253806,0.04154253841710586,2.552082596832419,0.010968747648530192,reactivity_slope,anxiety_slope_T,AMI_Behavioural
571,0.12752461874235288,0.04127930207989614,3.0893114058839664,0.0021043252773374154,reactivity_slope,anxiety_slope_T,AMI_Social
571,-0.09768110605846365,0.0413593744614828,-2.3617645897771546,0.018524648670871977,reactivity_slope,anxiety_slope_T,AMI_Emotional
571,0.05655823130399816,0.04186937923611889,1.3508256471881923,0.1772891621076184,reactivity_slope,anxiety_slope_T,DASS21_Depression
571,0.03770093497309282,0.04194734276090947,0.8987681338477091,0.3691570156011537,reactivity_slope,anxiety_slope_T,PHQ9_Total
570,0.08651946388987253,0.04185677741326074,2.067035955387767,0.039184053602691844,reactivity_slope,anxiety_slope_T,MFIS_Total
569,-0.08454488407910371,0.0418890558189871,-2.018304839441665,0.04403071471685643,reactivity_slope,anxiety_slope_D,STAI_Trait
571,0.0349346037450732,0.041952030779696885,0.8327273577893197,0.4053485045400817,reactivity_slope,anxiety_slope_D,DASS21_Anxiety
571,0.06439139121810995,0.041906430594013465,1.536551557968017,0.12495999891338402,reactivity_slope,anxiety_slope_D,OASIS_Total
571,0.0336878665116646,0.04198584426103337,0.8023624891813826,0.42267888001420856,reactivity_slope,anxiety_slope_D,STICSA_Total
571,0.027517032796434235,0.041389765159623025,0.6648269853745857,0.5064309881290199,reactivity_slope,anxiety_slope_D,AMI_Total
571,0.0365539290531135,0.041781606787350996,0.874880883331176,0.38200850445660445,reactivity_slope,anxiety_slope_D,AMI_Behavioural
571,0.06108174825210612,0.04157533391460722,1.4691823853432828,0.14233694729310448,reactivity_slope,anxiety_slope_D,AMI_Social
571,-0.06388762441672662,0.04150503684316567,-1.5392740080713003,0.12429429416471462,reactivity_slope,anxiety_slope_D,AMI_Emotional
571,0.04448522779541322,0.041924870099677845,1.0610701402210199,0.2891089832396632,reactivity_slope,anxiety_slope_D,DASS21_Depression
571,0.06776575091890107,0.04191066759556568,1.6169093647668586,0.10645305108893996,reactivity_slope,anxiety_slope_D,PHQ9_Total
570,0.04351309332936069,0.04200492158306613,1.035904643776375,0.30068822220980185,reactivity_slope,anxiety_slope_D,MFIS_Total
569,-0.1464978512894176,0.041537188483799885,-3.5269082149494526,0.00045453396331214947,reactivity_slope,anxiety_intercept,STAI_Trait
571,0.22115468248055567,0.040885000764574075,5.409188659528684,9.342655785980073e-08,reactivity_slope,anxiety_intercept,DASS21_Anxiety
571,0.19632517207077102,0.04112367655268708,4.774017999563875,2.300379610256914e-06,reactivity_slope,anxiety_intercept,OASIS_Total
571,0.21723531934327767,0.040954720799030925,5.304280315064873,1.6232284602748306e-07,reactivity_slope,anxiety_intercept,STICSA_Total
571,-0.028071372813599615,0.04133700666632868,-0.6790857654544524,0.4973601340457947,reactivity_slope,anxiety_intercept,AMI_Total
571,0.018210358873660817,0.04175016758963448,0.4361745095888428,0.6628758524018512,reactivity_slope,anxiety_intercept,AMI_Behavioural
571,0.03919315133252568,0.041569345105903585,0.9428378347716515,0.3461646975777341,reactivity_slope,anxiety_intercept,AMI_Social
571,-0.16021973641005233,0.040991593285438,-3.9085998754522517,0.00010403237995433137,reactivity_slope,anxiety_intercept,AMI_Emotional
571,0.16599795097821468,0.04133083724722733,4.01632200154258,6.705900198215326e-05,reactivity_slope,anxiety_intercept,DASS21_Depression
571,0.1513016542947146,0.041471067100630046,3.6483665570403407,0.0002882170886868694,reactivity_slope,anxiety_intercept,PHQ9_Total
