subj,c_effort,c_death,c_dist,epsilon
162,0.0028160985522524,0.09073530813356062,0.4751941829761839,0.931426445561413
163,0.0036413199028066945,0.39911898792414024,0.6068211673911229,0.8740298899250877
164,0.004517820480975059,0.15555553534678215,0.527352259037555,0.5101193655574511
165,0.0023857317090225667,0.12625476399714067,0.560082136195292,0.897831142946421
166,0.004595396942405656,0.40716759640338934,0.586603666770006,1.2072498373649274
167,0.1447203584457073,0.31154830926645904,0.5317736084137074,0.41183380548973836
168,0.004292197985735074,0.14751035940830876,0.5851752669224127,0.7550665378973157
169,0.003503620845697688,0.09282169753851564,0.5158572570830999,0.5391765240870635
170,0.003913364203048838,0.26083709759715373,0.5125863097018025,0.5844726667056045
171,0.003003734074942903,0.06564551537401625,0.5283581428644516,0.9294445739553612
172,0.004066556454543656,0.24576713052020296,0.5252653969403506,0.41461101863069144
173,0.0032995367021328202,0.24970908801937225,0.5249410258589947,1.2823292833160131
174,0.002823118627720248,0.17254863375164622,0.5137949602029436,0.8271512005888008
175,0.03278873890623894,0.3205302007066917,0.5231633066002908,0.34261176584392833
176,0.01773110948712404,0.0798840488144279,0.5257435661559983,0.37448323197358396
177,0.004269921089907575,0.09732474983761642,0.4854416266495579,1.27362135550346
178,0.003197913294680463,0.06006202063093867,0.4851639792524924,0.7702694389614875
179,0.0048085793560184754,0.17484164924361772,0.5305379238522971,0.4631942922454019
180,0.00368081809082178,0.09043158611072011,0.5297446890843276,0.6204955912549602
181,0.003548572859238821,0.16821929738281238,0.4730380824455457,1.0789816684640823
182,0.005552215151551994,0.22284890548479466,0.5873735082676189,0.9829056213313676
183,0.00337649831667195,0.1982219715009636,0.5463255161626109,1.3384261596435478
184,0.0044934136238191725,0.775406209149746,0.4960519082283931,0.6326025153189598
185,0.04061144739982671,0.1479250371625585,0.5333479778074202,0.5085146690574955
186,0.007518840082854842,0.41584338547695776,0.5070313675546801,0.3511687027937423
187,0.0033850164149885594,0.2896980663862848,0.5405159529253833,0.5828179739570153
188,0.003643764728592694,0.7214138153225729,0.5537760939225991,0.6752766030716691
189,0.004556642038176818,0.4950046584985704,0.5127324522494271,0.513447663986659
190,0.003458468732230546,0.14144819212548013,0.5219297191331695,0.7774530089907266
191,0.005029204089614802,0.23745357250083446,0.5711698916836294,0.6861878429399285
192,0.03584413240222079,0.13848022333508678,0.5148110481234126,0.3646818885317782
193,0.05202437657556878,0.1527472948020916,0.5266012934600389,0.54415450036522
194,0.003419661083238452,0.23160261123282408,0.47976597614276073,1.2741772709168238
195,0.00346307810321592,0.24436851641030724,0.48493903043488396,1.058941281063479
196,0.00406826449908803,0.11863421130354122,0.5232286030868682,0.5808549839697245
197,0.9576664575352521,0.035238130006533204,0.5110020028210598,1.1467600725055809
198,0.004267701187235976,0.3387165071879014,0.5168612154726533,2.221510459889485
199,0.00418976715008269,0.36251420627869774,0.6828868220068364,1.1216472064969207
200,0.008010690916162537,2.849944455657292,0.6461254041525125,6.228006085798062
201,0.004886356150723302,0.09429566340601914,0.5028786328392865,0.810932916404205
202,0.007156712998729467,0.1317249636133883,0.5257688134116468,0.562317100082157
203,0.00296134198173642,0.42382191497877025,0.501026566391707,1.3475820495908946
204,0.0024262920063514663,0.14554211417806068,0.564980222944715,1.1931508727015627
205,0.005897271631961223,0.8864579616941776,0.4309814033426131,3.4953380281293844
206,0.09667181976114297,0.7453226666572895,0.5241956988121735,0.37457954912883645
207,0.0049232084431979775,0.37801597359713573,0.5686887654752424,0.7505420108948587
208,0.004178536008851686,0.45306784891155855,0.6587932762338332,3.3568852649804835
209,0.0041986797789613705,0.22497452105162766,0.5020736098169174,0.9060326601918617
210,0.0024240222067938833,0.22011933625617663,0.45863613741703857,1.1036323952779332
211,0.006878855581777256,0.1134889144054318,0.530410129694481,0.3651536488093225
212,0.003240500072583745,0.0615532125026908,0.5369367444929474,0.6070609199458304
213,0.003922305631410271,0.438155485701084,0.4688557342015914,1.6052652309017008
214,0.003921051794356497,0.194370613527613,0.4515544734446887,1.8033318496584534
215,0.04440660881052222,0.2931464634559113,0.5486271028263863,0.6629981656704016
216,0.004467345336809751,0.4507976848469846,0.6927936280831819,1.9774258435369323
217,0.006424528222167451,3.171023624007747,0.6273396464086248,6.21152408140137
218,0.0030825902463134953,0.08663968627664498,0.5176068722325938,0.6123473702513049
219,0.006221101572117038,0.24258971399505863,0.5145624118395541,0.38265740216834054
220,0.11116267262414051,0.25098390831973744,0.5715071310683922,1.3473064214444865
221,0.004192185025222862,0.2823579027995292,0.49537817334322,0.8879424302780636
222,0.003093598797880286,0.37884041885790665,0.48791313928372837,0.9323405784111152
223,0.010523515025175147,3.890357995651931,0.7236701982246714,6.62734930036389
224,0.002586541056195884,0.07596468406741923,0.41328869392620254,1.5872698183286809
