subj,k,beta
191,3.2636329699577318,9.056415209258203
192,1.8769019873071313,1.0330227619956514
193,1.91721160575423,0.7588606750243172
194,1.9721444201768514,36.13687280083179
195,2.2704506420323702,28.729467403410705
196,1.2461527264769243,7.974307180100337
197,0.5673312252873653,0.22008895154169608
198,1.4928541749459487,64.2541783271598
199,4.308069001190227,25.234516811504232
200,0.6548777950842943,1731.923894709233
201,1.480552965022645,15.58077700190578
202,2.160923891161914,4.849324838025624
203,3.1977213416958126,58.47095995899257
204,1.293611534302151,36.20647212054984
205,1.6568610040993343,238.5490612833328
206,8.835869902604118,0.8506925330961016
207,4.457351978800966,16.86037941706103
208,1.0535072292082117,208.64924924943995
209,2.4625152652821893,23.361385155378148
210,1.6658501597337778,36.34987907163094
211,1.297667480329014,2.4048254634528874
212,0.761898267766752,13.680924086560442
213,2.7799115205743927,50.81569784654478
214,0.9055281111067635,52.55779397567537
215,3.4106094248879977,1.6920112662280127
216,3.101560927165693,77.11317421071854
217,0.8262200820962438,2095.979754469955
218,0.9986768887588072,11.937900371783188
219,2.4673855454410067,3.10255383181671
220,2.683484601530537,1.3067851189948723
221,2.509581615647547,27.96678668470088
222,3.0984289626768144,28.995745647684092
223,0.5684583777542487,2118.9716788743667
224,0.5471256300921794,45.64744025019159
225,1.0985421828511046,37.72679733515327
226,8.571167697521759,20.505816283085515
227,1.614895695481314,37.17115105161073
228,2.372375477597815,4.9571341170373655
229,1.0031263618011261,23.717890748751284
230,2.824398447699199,24.859741569734474
231,1.3115705504145287,15.394951458766206
232,1.9758857718582459,1.9914986625971502
233,1.7600407055634808,15.977605606968538
234,3.672227885425197,59.097464312089755
235,1.2099809891645728,19.094978012600084
236,2.2998180094708998,7.711209744852071
237,1.7442943923872745,46.79456465617883
238,0.43884840706965544,30.945540277562877
239,1.7189678433555418,10.804486952124728
240,3.5994538601586847,1.1911965355048741
241,1.5770630383971518,27.561331366289437
242,1.8612024904344062,2.724985346538856
243,3.1545710277426275,8.868774867882806
244,1.2534682477397487,36.954648659514255
245,3.4342296454449954,24.614254987760926
246,3.3947135219162883,16.57057966100951
247,2.3370836938218713,13.848157425011514
248,1.5632848148247402,20.525727364210486
249,1.293041086683739,6.611733213285287
250,1.6087655194779928,1.007525777280558
251,0.8661812650861506,54.611253421400626
252,1.526967838739341,6.838044000509897
253,3.1453055873454927,25.81118870876907
254,1.3577441205368967,0.5341430835003854
255,0.8260876239111508,18.893566330983848
256,2.4537566661388532,30.570558021413753
257,0.9301863923866044,2789.4735494924585
258,1.128135679566443,9.813044722985952
259,4.777902264776664,13.12026684429901
260,2.419256128827724,14.64514526676875
261,1.1206817864503482,35.37668393490088
262,3.1358865696771763,33.912719209027834
263,5.196817253063209,11.198598352130967
264,1.337614287066467,5.6740667890211895
265,1.3131139156088831,28.77379107766452
266,1.615787264536365,6.4302103483862005
267,1.1705912751544236,48.04891136032767
268,4.339501139012093,1.548682652864889
269,2.096624259380489,27.34602756115407
270,14.057456433435842,22.497775700012216
271,1.079254933699951,14.477497472145828
272,2.8016283272429616,34.16782684111257
273,3.866903062493295,11.504249396800176
274,2.4337060704886215,29.488064238219035
275,4.423288571916879,13.340853752439976
276,2.0685806810130853,3.8761262387901554
277,2.3695401940668943,12.43362884263298
278,0.5672991112313546,7.480217616407399
279,1.886387921615261,1.6238826830397728
280,2.327972229769345,472.67969204375004
281,2.345610142706004,33.26743936560051
282,3.6128245427144816,21.769168827745464
283,1.7007033485764471,132.142083463033
284,14.48370632369316,111.90917915533853
285,2.1627243586908116,0.8986201840121498
286,2.3161411858986747,3.941550711654772
287,3.2101332379134244,13.522436784399234
288,5.507264712518374,9.450275265943922
289,1.700665707057862,2.533973248686903
290,2.959765628737414,1.6351551382053757
291,1.4009811293824703,21.24514353289579
292,8.904208387100072,1.3746509153004702
293,1.2217418992984588,38.95792281762634
