clinical_measure,predictor,model,posterior_mean,hdi_low,hdi_high,P_positive,P_negative,pct_in_ROPE
DASS_Anxiety,log_ce,full_metacog,-0.08413493250134366,-0.19679000375922467,0.029779107035089764,0.0805,0.9195,0.602375
DASS_Anxiety,log_cd,full_metacog,-0.014193237043022972,-0.1293894016781238,0.08951991047309872,0.40275,0.59725,0.904125
DASS_Anxiety,discrepancy,full_metacog,0.27530214894345767,0.16237838248914188,0.3962498829877953,0.999875,0.000125,0.00225
DASS_Anxiety,calibration,full_metacog,0.004172858589866727,-0.10538281755580421,0.11058443727721778,0.530125,0.469875,0.91775
DASS_Stress,log_ce,full_metacog,-0.08144011873306575,-0.19030024536580692,0.03766138360572618,0.089125,0.910875,0.62025
DASS_Stress,log_cd,full_metacog,0.009123805667316165,-0.10310182329890544,0.11646836147893165,0.563875,0.436125,0.9115
DASS_Stress,discrepancy,full_metacog,0.2552230885305438,0.1322119239820415,0.36812910700016216,1.0,0.0,0.007
DASS_Stress,calibration,full_metacog,0.05031201537436521,-0.05615480294828247,0.16789139314326368,0.7995,0.2005,0.796625
DASS_Depression,log_ce,full_metacog,-0.0514393178568082,-0.16126700533275648,0.06435760607105738,0.19275,0.80725,0.78375
DASS_Depression,log_cd,full_metacog,0.04853013531286043,-0.06260201521828443,0.1556209424157966,0.800375,0.199625,0.808
DASS_Depression,discrepancy,full_metacog,0.22819181648302314,0.11104207870058744,0.3454074698700987,0.999875,0.000125,0.0195
DASS_Depression,calibration,full_metacog,0.041372155272500315,-0.06838470173893636,0.15556435746870456,0.75575,0.24425,0.831125
STICSA,log_ce,full_metacog,-0.050592560143673936,-0.16184622422517736,0.06157865408385304,0.195875,0.804125,0.79375
STICSA,log_cd,full_metacog,-0.03319541804012863,-0.14157838746402035,0.07501468110434845,0.277125,0.722875,0.868375
STICSA,discrepancy,full_metacog,0.2853918240051279,0.1685103671849308,0.3936962998712718,1.0,0.0,0.001375
STICSA,calibration,full_metacog,0.05566604528589427,-0.053391647581137625,0.1658249041192914,0.8295,0.1705,0.779875
AMI_Emotional,log_ce,full_metacog,0.09576396181750611,-0.013207074475841208,0.2125040603157474,0.947625,0.052375,0.530625
AMI_Emotional,log_cd,full_metacog,0.0931050789160872,-0.014506251307460308,0.20269885775438015,0.9455,0.0545,0.54175
AMI_Emotional,discrepancy,full_metacog,-0.22237476649471352,-0.33867869743850365,-0.10565340285809989,0.0,1.0,0.0245
AMI_Emotional,calibration,full_metacog,-0.08656045367279432,-0.19454535042476132,0.023538038992869954,0.070875,0.929125,0.58225
AMI_Behavioural,log_ce,full_metacog,-0.0124616396170643,-0.13251715580854612,0.09929568505348826,0.41925,0.58075,0.885625
AMI_Behavioural,log_cd,full_metacog,-0.04204817225286966,-0.15419461478577373,0.06616010256129802,0.24025,0.75975,0.829375
AMI_Behavioural,discrepancy,full_metacog,0.0522926917932465,-0.06526042990350034,0.17401447556034685,0.79275,0.20725,0.762125
AMI_Behavioural,calibration,full_metacog,0.0657383671083029,-0.04231283344828033,0.18441320089296076,0.864125,0.135875,0.722
