subj,T_round,actual_dist,is_heavy,mean_rate,n_trials,sd_rate,sem,actual_R,actual_req,subj_cookie_mean,rel_rate,rel_rate_cc
5,0.9,1,1,1.0744916031528287,5,0.0566684370239066,0.025342895472824204,5.0,0.9,1.0563430041454283,1.0171805927962598,1.0171805927962598
6,0.1,1,0,0.7256252567997636,9,0.13844425936489185,0.04614808645496395,1.0,0.4,0.7372916928154679,0.9841766343912624,0.9841766343912624
6,0.1,1,1,0.9194500874293768,6,0.05789126106694804,0.023634008363378728,5.0,0.9,0.9290051967789185,0.9897146868686295,0.9897146868686295
6,0.5,1,0,0.7427927422941772,8,0.13061168959334515,0.04617820570684339,1.0,0.4,0.7372916928154679,1.0074611575477037,1.0074611575477037
6,0.5,1,1,0.8960832275374544,7,0.0972029409607454,0.036739258355175164,5.0,0.9,0.9290051967789185,0.9645621258571939,0.9645621258571939
6,0.9,1,0,0.7434570793524626,14,0.12631577752435555,0.033759311574292766,1.0,0.4,0.7372916928154679,1.0083622080610337,1.0083622080610337
6,0.9,1,1,0.9714822753699242,1,,,5.0,0.9,0.9290051967789185,1.0457231872741766,1.0457231872741766
7,0.1,1,0,0.8909378351427091,5,0.0863240459195891,0.038605286953802914,1.0,0.4,0.9567945581072843,0.9311694214744992,0.9311694214744992
7,0.1,1,1,1.0102993799625195,10,0.04315697772242332,0.013647434653200369,5.0,0.9,1.0185505834130513,0.9918990734629174,0.9918990734629174
7,0.5,1,0,0.9708602510087795,10,0.09848806440702565,0.03114466058675617,1.0,0.4,0.9567945581072843,1.014700849604872,1.014700849604872
7,0.5,1,1,1.034412450366967,5,0.0430487906888367,0.019252004465879772,5.0,0.9,1.0185505834130513,1.0155729791060197,1.0155729791060197
7,0.9,1,0,1.0085855881703643,14,0.05914550216818567,0.01580730036300329,1.0,0.4,0.9567945581072843,1.0541297289206286,1.0541297289206286
7,0.9,1,1,1.010939919909667,1,,,5.0,0.9,1.0185505834130513,0.9925279474310624,0.9925279474310624
8,0.1,1,0,0.9422229524342438,10,0.08823825167639505,0.02790338520485791,1.0,0.4,0.9295963003372064,1.0135829414257105,1.0135829414257105
8,0.1,1,1,0.8717348069309321,5,0.04401508546410559,0.019684144626640594,5.0,0.9,0.8999549806068629,0.9686426829296493,0.9686426829296493
8,0.5,1,0,0.9213716449669926,13,0.05370463372568692,0.014894985432921297,1.0,0.4,0.9295963003372064,0.9911524439509599,0.9911524439509599
8,0.5,1,1,0.9145325575975303,2,0.09268526710500385,0.06553838088603467,5.0,0.9,0.8999549806068629,1.0161981180223452,1.0161981180223452
8,0.9,1,0,0.9251943036103831,14,0.0505547988801773,0.013511338333349027,1.0,0.4,0.9295963003372064,0.99526461462333,0.99526461462333
8,0.9,1,1,0.913597577292126,1,,,5.0,0.9,0.8999549806068629,1.0151591990480053,1.0151591990480053
9,0.1,1,0,0.9917496163787654,12,0.040731769697375325,0.011758249099674744,1.0,0.4,1.027473607945892,0.9652312319354408,0.9652312319354408
9,0.1,1,1,1.00902834730552,3,0.0433279821840426,0.025015422177400305,5.0,0.9,1.0085105585777576,1.000513419243218,1.000513419243218
9,0.5,1,0,1.023477023223083,11,0.06364446821103618,0.019189529185246253,1.0,0.4,1.027473607945892,0.9961102799216431,0.9961102799216431
9,0.5,1,1,1.0079927698499953,4,0.06517829819468961,0.032589149097344804,5.0,0.9,1.0085105585777576,0.9994865807567821,0.9994865807567821
9,0.9,1,0,1.0671941842358275,15,0.04094479901016622,0.010571901645345579,1.0,0.4,1.027473607945892,1.0386584881429162,1.0386584881429162
10,0.1,1,1,1.0355770222305112,15,0.08493593382596815,0.02193036381350332,5.0,0.9,1.078779291963697,0.9599526334487336,0.9599526334487336
10,0.5,1,0,0.965003488553141,3,0.02890049248100601,0.016685707113621575,1.0,0.4,0.988602918845318,0.9761285043344389,0.9761285043344389
10,0.5,1,1,1.0292144242782382,12,0.1194215878344135,0.034474042941625586,5.0,0.9,1.078779291963697,0.9540546726705923,0.9540546726705923
10,0.9,1,0,1.012202349137495,10,0.08429093758788479,0.02665513488888152,1.0,0.4,0.988602918845318,1.023871495665561,1.023871495665561
10,0.9,1,1,1.1715464293823414,5,0.08571032150748249,0.03833082105281862,5.0,0.9,1.078779291963697,1.085992693880674,1.085992693880674
11,0.1,1,0,0.5945880682282005,8,0.22212128842990594,0.07853173464733976,1.0,0.4,0.8410785909176601,0.7069352075404444,0.7069352075404444
11,0.1,1,1,0.9053006228735638,7,0.22081847804627805,0.08346153968546109,5.0,0.9,0.9338554663751101,0.9694226306642656,0.9694226306642656
11,0.5,1,0,0.896827003262227,14,0.23774231085608652,0.06353930525452733,1.0,0.4,0.8410785909176601,1.0662820489625617,1.0662820489625617
11,0.5,1,1,1.0136973642715899,1,,,5.0,0.9,0.9338554663751101,1.0854970611313088,1.0854970611313088
11,0.9,1,0,1.031820701262553,14,0.09239191110353495,0.024692776904193064,1.0,0.4,0.8410785909176601,1.2267827434969942,1.2267827434969942
11,0.9,1,1,0.8825684119801767,1,,,5.0,0.9,0.9338554663751101,0.9450803082044256,0.9450803082044256
12,0.1,1,0,1.1688814887183492,4,0.20725081528167677,0.10362540764083839,1.0,0.4,1.119452162259255,1.0441549251728068,1.0441549251728068
12,0.1,1,1,1.0548087974255411,11,0.1630219764301995,0.04915297530919394,5.0,0.9,1.2262451898636912,0.860194034720571,0.860194034720571
12,0.5,1,0,1.020437846752702,4,0.062667928874493,0.0313339644372465,1.0,0.4,1.119452162259255,0.9115510971842473,0.9115510971842473
12,0.5,1,1,1.1310856649846655,11,0.1913007715448883,0.05767935284726286,5.0,0.9,1.2262451898636912,0.9223976365692381,0.9223976365692381
12,0.9,1,0,1.1690371513067142,14,0.1609468762369444,0.04301486202501102,1.0,0.4,1.119452162259255,1.044293977642946,1.044293977642946
