subj,z,kappa,beta_param,anx_threat_slope,conf_threat_slope
172,0.3655487448594406,0.6531417880072616,3.640699978126292,5.208333523478364,-2.916666809469466
173,0.3899173435492478,0.6983667979902702,1.8588510419687132,1.6666666883975274,-3.5416667807536837
174,0.2793708552199992,0.8261670129939211,1.4863489126871685,2.5000000675208898,-7.083333569268388
175,0.2504925636203989,3.596857230758552,1.0361632081472112,1.8750000884756481,0.8333333480792738
176,0.2131363388870406,1.5238444105805593,0.3613879444398885,2.291666706247874,-2.708333393869301
177,0.2807979480144684,1.0570067326985164,0.3758827297787219,1.8750000457900287,2.0833333798994635
178,0.1600939443970659,1.5433122278158289,0.2119006908352731,2.0833334109435513,0.6250000411334166
179,0.27220563175979,2.3825228401172995,0.4052968512240077,0.20833336127301294,-3.1250000582076605
180,0.3001248826722821,0.5896615211393883,1.132520176875859,0.20833334575096893,-1.4583333775711562
181,0.279838523121853,1.304700856170235,0.6872666308372146,5.000000177727397,-7.291666946063445
182,1.0629601535875373,1.065198826160671,0.5911328425316568,1.4583333504075802,-2.083333391540994
183,0.5253773624410064,1.0989331281430748,0.5959590613522764,3.333333477688337,-1.0416667093522851
184,0.4897153721412195,4.706973502897691,1.911832608267362,-2.083333387660484,-1.2500000551032544
185,0.5256059274188858,0.945961282183387,0.9351469056032178,1.458333327124514,-1.666666715561101
186,0.343341374099633,4.2666662110307865,1.1250526181437737,1.0416667054717774,-0.8333333597208074
187,0.2893547544822097,1.4399916058974878,2.237224648630436,3.3333334582857828,-3.541666796275727
188,0.8943957150305475,4.41002104518209,2.2565892321794276,2.5000000908039546,-1.6666667039195697
189,0.3219874850085231,3.898211221861081,2.164576753804534,0.41666666045784984,-1.875000065192581
190,0.3226282804998939,0.9679704603951952,1.0008244925844942,2.91666674350078,-0.41666669150193597
191,1.3712766918429695,1.04078124366065,0.6601192852974533,3.1250000853712394,-1.458333373690645
192,0.224723936189482,1.9009938930754908,0.5749084866424435,0.4166666759798928,1.4583334124957557
193,0.2253573604893185,2.160948933886284,0.4648062593916947,-1.0416667015912644,-0.8333333636013182
194,0.1987838137378572,2.581771318175224,0.3037405227031972,0.6250000372529055,-1.8750000380290044
195,0.3637457617607138,1.9130244415849968,0.5677566112544209,0.6249999596426836,-0.4166666759798923
196,0.2131288642228402,0.4803432877251903,2.056504675751112,6.041666875438149,-6.041666863796615
197,0.274734673484905,0.5542577397360118,0.3061902935196615,2.7083334210328784,-2.916666766783844
198,0.2708624744218579,1.2673055988531965,0.6519050965384448,0.62500001785035,2.083333368257929
199,1.3368783194772205,2.2118814974719228,0.5526604596232362,1.6666667078000814,3.5416667613511295
200,0.1963770639486241,1.5295407967814154,0.2134763152692411,3.958333441211534,-3.5416667923952145
201,0.330951636877084,1.3754899888441858,0.2916633327962996,-0.8333333752428509,-1.2500000357007
202,0.369983391694886,1.7761586315052311,0.3359038490468727,1.4583333892126935,1.4583333736906436
