subj,subj_idx,alpha_bayes,alpha_sd,rho_bayes,rho_sd,gamma_bayes,gamma_sd,alpha_ols,rho_ols
102,101,0.18968959,0.030682024,0.050677355,0.030372556,0.66592145,0.024518885,0.18869326000585562,0.039331436
103,102,0.097270496,0.030584615,0.05192607,0.0296564,0.7095117,0.023606943,0.09515222515049312,0.041071475
104,103,0.0722393,0.029990703,0.044982262,0.028782332,0.7461055,0.023454802,0.06904803427351883,0.028778613
105,104,0.6240904,0.029843796,0.06874223,0.029758725,0.67259246,0.02411231,0.6276068956027796,0.06948686
106,105,0.013645528,0.03135879,0.073383816,0.029621176,0.677963,0.024527514,0.010003575977667054,0.07688218
107,106,0.789085,0.03134012,0.07268204,0.029826412,0.8000717,0.024566047,0.7945709073538294,0.074175715
108,107,0.40658376,0.031533126,0.084113054,0.030069841,0.6536238,0.024311632,0.4080097266019989,0.09754479
109,108,0.33579862,0.031024456,0.070190094,0.02978558,0.6748624,0.023686517,0.33610856122113647,0.07133663
110,109,0.23751268,0.02988597,0.04010086,0.029898925,0.71061337,0.023974197,0.23588456308193345,0.020828903
111,110,0.06008454,0.034020912,0.050161436,0.031882558,0.646285,0.024715977,0.05611467361450195,0.035940945
112,111,0.76232916,0.029532092,0.056316406,0.029702904,0.7380324,0.024298878,0.76815107106769,0.047212124
113,112,0.2785909,0.031199003,0.068017855,0.029785411,0.5484444,0.024262527,0.278492549827027,0.0721429
114,113,0.6545265,0.030972004,0.02098442,0.029279971,0.66795284,0.023884106,0.6591851486376038,-0.01040113
115,114,0.71625185,0.031330034,0.043997083,0.029154623,0.59245163,0.024147114,0.7210149007079042,0.031699777
116,115,0.81482685,0.03110341,0.0373681,0.02931161,0.61877084,0.023659198,0.8205500852316618,0.018781662
117,116,0.16839635,0.031829566,0.07023637,0.02994193,0.65274876,0.023507422,0.16719837834052031,0.072143435
118,117,0.016656877,0.030768031,0.022751756,0.029748788,0.7057978,0.024396073,0.013730109050368288,-0.008248568
119,118,0.048232615,0.030598963,0.012050669,0.030177582,0.5943825,0.024407357,0.044992131560936365,-0.025261581
120,119,0.31338584,0.028950356,0.06863154,0.0297332,0.66318923,0.024225848,0.3126348439341337,0.069636464
121,120,0.065758705,0.029883254,0.11707395,0.029719435,0.53766775,0.0244997,0.0634429614765146,0.15399516
122,121,0.3943977,0.030368108,0.103303306,0.029637503,0.9483521,0.023797618,0.3954832920015499,0.12045926
123,122,0.11195094,0.031210165,0.09017067,0.029497888,0.8346115,0.023739781,0.10949122597054892,0.10271925
124,123,0.27606285,0.03081032,0.048849855,0.030349491,0.7102377,0.025215583,0.2755378804399148,0.036305726
125,124,0.43874398,0.029392982,0.1497857,0.029135212,0.57890666,0.023436742,0.44022534460252116,0.20961136
126,125,0.12409323,0.030328061,0.066724636,0.029278409,0.6636163,0.023861777,0.12205031234753151,0.066752195
127,126,0.0921093,0.030243056,0.05797572,0.030393185,0.63368213,0.024473913,0.08960927420270716,0.05283588
128,127,0.04796613,0.031416934,0.07390146,0.029520012,0.69951844,0.024504423,0.045037497177782514,0.077691495
129,128,0.1970006,0.030357305,0.07613328,0.029762616,0.7249514,0.024193376,0.1957957083625602,0.08134884
130,129,0.40198758,0.030843226,0.048879594,0.029541744,0.744978,0.02347165,0.40356321491428526,0.035600483
131,130,0.28723356,0.02935831,0.046988975,0.030302238,0.74301493,0.025001973,0.2872671225913026,0.031425655
