subj,event_idx,rating,p_threat,dist_safety,pre_threat,pre_effort_H,pre_term_mean,pre_onset_slope,fol_threat,fol_onset_slope,fol_term_mean
1,64,5,0.8999999761581421,9.0,0.9,1.0,0.2340584695339203,0.36118342842923007,0.5,0.3086896940501716,0.059076450765132904
1,68,5,0.5,9.0,0.9,0.6,0.3652295172214508,0.2879347186174528,0.1,0.17461364111772862,0.11714506149291992
1,76,4,0.5,5.0,0.9,1.0,0.03407134860754013,0.2933069134250101,0.5,0.25204661957640545,0.2511668801307678
1,78,5,0.5,7.0,0.5,1.0,0.2511668801307678,0.25204661957640545,0.9,0.12130129387905297,0.07630760967731476
2,0,2,0.5,9.0,,,,,0.5,-0.39640984508296584,-0.5251165628433228
2,15,7,0.8999999761581421,9.0,0.9,0.6,-0.21659906208515167,-0.146258033163469,0.1,-0.13122405286970076,-0.37939292192459106
2,25,6,0.1000000014901161,9.0,0.5,0.6,-0.3366272449493408,-0.1611163315044163,0.9,-0.21193259377605508,-0.31774574518203735
2,33,0,0.8999999761581421,5.0,0.5,0.8,-0.6651970744132996,-0.32295613726681366,0.1,0.012723451304851136,-0.09335725754499435
2,35,7,0.1000000014901161,9.0,0.1,1.0,-0.09335725754499435,0.012723451304851136,0.9,-0.24394613860317935,-0.1310614049434662
2,37,5,0.1000000014901161,4.0,0.9,1.0,-0.1310614049434662,-0.24394613860317935,0.5,-0.1730603364660412,-0.32823923230171204
2,39,5,0.8999999761581421,5.0,0.5,0.8,-0.32823923230171204,-0.1730603364660412,0.5,-0.05394929528907478,-0.147922083735466
2,41,4,0.5,7.0,0.5,0.6,-0.147922083735466,-0.05394929528907478,0.5,-0.11670447098999182,-0.30464673042297363
2,43,4,0.8999999761581421,7.0,0.5,0.6,-0.30464673042297363,-0.11670447098999182,0.9,-0.23232751887011754,-0.2844170033931732
2,45,5,0.5,7.0,0.9,1.0,-0.2844170033931732,-0.23232751887011754,0.1,-0.08443049383031412,-0.2051701545715332
2,49,5,0.1000000014901161,7.0,0.1,0.6,-0.3029424548149109,-0.5434237549214003,0.5,-0.14123950548243736,-0.1803658902645111
2,5,4,0.1000000014901161,7.0,0.1,0.6,-0.06979627907276154,-0.18273920314834693,0.9,0.06285372995355182,0.13074181973934174
2,51,4,0.5,5.0,0.5,1.0,-0.1803658902645111,-0.14123950548243736,0.1,-0.03449062489115442,-0.27171772718429565
2,59,3,0.5,4.0,0.5,1.0,-0.48494014143943787,-0.18277443367986893,0.9,-0.31565304930012317,-0.4836447834968567
2,66,3,0.8999999761581421,7.0,0.1,0.6,-0.3652251660823822,-0.11960863607849369,0.9,-0.2362496897535774,-0.37481003999710083
2,69,4,0.1000000014901161,4.0,0.1,0.6,-0.280921995639801,-0.21089652821849747,0.1,-0.25372435843301827,-0.38655731081962585
2,7,7,0.8999999761581421,9.0,0.9,0.8,0.13074181973934174,0.06285372995355182,0.5,-0.10989340800452349,-0.3194755017757416
2,71,4,0.5,9.0,0.1,1.0,-0.38655731081962585,-0.25372435843301827,0.1,-0.21705109171600193,-0.24501343071460724
3,0,3,0.5,9.0,,,,,0.5,-0.23424234253310713,0.13767287135124207
3,15,5,0.8999999761581421,9.0,0.9,0.6,-0.013944181613624096,-0.2939125376864931,0.1,-0.2817341275569811,-0.47848615050315857
3,25,5,0.1000000014901161,9.0,0.5,0.6,-0.11322127282619476,-0.2810442131346108,0.9,-0.28203676962328295,-0.0230995025485754
3,33,4,0.8999999761581421,5.0,0.5,0.8,-0.03924829885363579,-0.18937131333506135,0.1,0.2160613738864803,0.11385512351989746
