window,predictor,bin,bin_mid,beta,p
encounter,threat_pre_z,8,-1.1499999999999992,0.014464844172413012,0.000497149727768255
encounter,threat_pre_z,9,-1.0499999999999992,0.00904944790672414,0.02287229884373646
encounter,threat_pre_z,10,-0.9499999999999991,0.004217214450558896,0.26665945938260527
encounter,threat_pre_z,11,-0.849999999999999,0.002797559376475451,0.44822952725080634
encounter,threat_pre_z,12,-0.7499999999999989,0.0006087364018482305,0.8620253021477067
encounter,threat_pre_z,13,-0.6499999999999988,-0.0015568329552183254,0.6434369249224039
encounter,threat_pre_z,14,-0.5499999999999987,0.0001022589444037898,0.9751864801423331
encounter,threat_pre_z,15,-0.4499999999999986,0.004421672507969766,0.16697679719921965
encounter,threat_pre_z,16,-0.34999999999999853,0.006709058224947245,0.03224902773742572
encounter,threat_pre_z,17,-0.24999999999999845,0.005909211389435255,0.05397894765909752
encounter,threat_pre_z,18,-0.14999999999999836,0.00657943089702601,0.032265756064652935
encounter,threat_pre_z,19,-0.04999999999999827,0.009302188169138168,0.0013783174932448011
encounter,threat_pre_z,20,0.05000000000000182,0.012086187933377792,4.0836211038254146e-05
encounter,threat_pre_z,21,0.1500000000000019,0.014638134962134992,1.828978646822028e-07
encounter,threat_pre_z,22,0.250000000000002,0.015017136609246152,1.221947518414781e-07
encounter,threat_pre_z,23,0.3500000000000021,0.015137034199580802,1.694455812409438e-07
encounter,threat_pre_z,24,0.4500000000000022,0.016683996695531157,1.1085836953532648e-09
encounter,threat_pre_z,25,0.5500000000000023,0.01852766530384261,1.56222146396244e-09
encounter,threat_pre_z,26,0.6500000000000024,0.014249384764137406,1.2747764299505513e-07
encounter,threat_pre_z,27,0.7500000000000024,0.01449354899248352,2.6101908317883385e-06
encounter,threat_pre_z,28,0.8500000000000025,0.018118479161071004,1.302595681229877e-10
encounter,threat_pre_z,29,0.9500000000000026,0.021625417980745285,1.0073739961398456e-12
encounter,threat_pre_z,30,1.0500000000000027,0.019298102749470025,2.996521227590157e-09
encounter,threat_pre_z,31,1.1500000000000028,0.016271560452953356,1.211786943204909e-07
encounter,threat_pre_z,32,1.2500000000000029,0.014449083610676901,7.694956995717909e-07
encounter,threat_pre_z,33,1.350000000000003,0.011386355917125298,0.00019889165794952597
encounter,threat_pre_z,34,1.450000000000003,0.009800867241551315,0.0015987692240339941
encounter,threat_pre_z,35,1.5500000000000032,0.011498963290761896,0.0004613902710612088
encounter,threat_pre_z,36,1.6500000000000032,0.01717672661732042,3.872278297413241e-08
encounter,threat_pre_z,37,1.7500000000000033,0.0207637640432541,1.4714498373381224e-11
encounter,threat_pre_z,38,1.8500000000000034,0.023092093697574877,1.5472517792583752e-12
encounter,threat_pre_z,39,1.9500000000000035,0.02293950159332106,2.4787012805348548e-12
terminal,anx_z,0,0.05,0.003886002179608298,0.019791515129409215
terminal,anx_z,1,0.15000000000000002,0.004139832610452391,0.011376528648183646
terminal,anx_z,2,0.25,0.004296822222728694,0.005742573373685839
terminal,anx_z,3,0.35000000000000003,0.004468279490039771,0.01843174722350674
terminal,anx_z,4,0.45,0.005087907588718607,0.021951756454956936
terminal,anx_z,5,0.55,0.005390438738534123,0.023678245303517826
terminal,anx_z,6,0.6500000000000001,0.0027413372496892284,0.36146771673090416
terminal,anx_z,7,0.75,0.00034488763296967244,0.9155399311744865
terminal,anx_z,8,0.8500000000000001,0.004325538681943552,0.20394621309124972
terminal,anx_z,9,0.95,0.006918001542288073,0.04218143847166881
terminal,anx_z,10,1.05,0.004701320108718464,0.1581728828297635
terminal,anx_z,11,1.1500000000000001,-0.00031493133925055306,0.9261486002618177
terminal,anx_z,12,1.25,-0.0035590893940692127,0.30044501295132053
terminal,anx_z,13,1.35,-0.0037848781619575704,0.28211632223173844
terminal,anx_z,14,1.4500000000000002,-0.0008637623039163653,0.8122353831246885
terminal,anx_z,15,1.55,0.0007674834164594837,0.8355336777364808
terminal,anx_z,16,1.6500000000000001,0.0007711498713500874,0.8359341797886815
terminal,anx_z,17,1.75,0.0025906708530960723,0.4951351321763221
terminal,anx_z,18,1.85,0.003660811826781185,0.34030033618058486
terminal,anx_z,19,1.9500000000000002,0.001225142353864333,0.7489792603442195
terminal,anx_z,20,2.05,-0.0010267291631452437,0.8000332894470755
terminal,anx_z,21,2.1500000000000004,-0.0020490459012203997,0.6228066071107703
terminal,anx_z,22,2.25,-0.0008447776239553299,0.8304511319092955
terminal,anx_z,23,2.3500000000000005,0.0014394007253807084,0.7115399727843728
terminal,anx_z,24,2.45,0.0038138628957968645,0.31702809010607014
terminal,threat_pre_z,0,0.05,-0.014481500766156907,2.7949715279069452e-24
terminal,threat_pre_z,1,0.15000000000000002,-0.01402754185190428,7.601144639230527e-24
terminal,threat_pre_z,2,0.25,-0.012439418467946882,4.197976958270706e-21
terminal,threat_pre_z,3,0.35000000000000003,-0.008698888366101618,2.926372512741227e-08
terminal,threat_pre_z,4,0.45,-0.0009933712346872775,0.5840598785241017
terminal,threat_pre_z,5,0.55,0.008847335331521999,5.425862315234516e-06
terminal,threat_pre_z,6,0.6500000000000001,0.014263785347595061,6.764189853556074e-09
terminal,threat_pre_z,7,0.75,0.015524513001585343,5.857045833904698e-09
terminal,threat_pre_z,8,0.8500000000000001,0.011771389807920774,2.52598640314758e-05
terminal,threat_pre_z,9,0.95,0.008105937657206632,0.0037177157155055323
terminal,threat_pre_z,10,1.05,0.009227543511393288,0.0007325232975901905
terminal,threat_pre_z,11,1.1500000000000001,0.010394725864291963,0.00019367232671513304
terminal,threat_pre_z,12,1.25,0.007504218352408222,0.0078872905424916
terminal,threat_pre_z,13,1.35,0.005457981714090857,0.059419799613459626
terminal,threat_pre_z,14,1.4500000000000002,0.007518786052454995,0.012068230951757951
terminal,threat_pre_z,15,1.55,0.011246416330912924,0.00022405437026839866
terminal,threat_pre_z,16,1.6500000000000001,0.014175964166603465,3.937402364349098e-06
terminal,threat_pre_z,17,1.75,0.014399350796216582,4.441194240694048e-06
terminal,threat_pre_z,18,1.85,0.01446124038411221,5.114971311071135e-06
terminal,threat_pre_z,19,1.9500000000000002,0.011806040180437566,0.0001857699282708141
terminal,threat_pre_z,20,2.05,0.008360681067801938,0.012537309944179677
terminal,threat_pre_z,21,2.1500000000000004,0.008520573062997775,0.01331978380451328
terminal,threat_pre_z,22,2.25,0.00991839021826931,0.0023259120573980497
terminal,threat_pre_z,23,2.3500000000000005,0.010387392651199838,0.0012315761252154874
terminal,threat_pre_z,24,2.45,0.011588557428607973,0.00023386841742224643
