subj,T_round,actual_dist,is_heavy,mean_rate,n_trials,sd_rate,sem,rel_rate,subj_cookie_mean,rel_rate_cc
6,0.1,1,1,1.05732015112518,7,0.15867507572642411,0.05997354137663711,0.9214534489202441,1.2565536379010096,0.8414445028318599
6,0.1,2,0,1.0304293670667684,2,0.11496500511824495,0.08129253471825715,0.8980181576431187,1.0383428701410276,0.9923787187240142
6,0.1,2,1,1.087418629489764,5,0.19674962566959278,0.0879891075089694,0.9476842425609242,1.2565536379010096,0.8653977010533553
6,0.1,3,0,1.118203528569228,2,0.13095762495938376,0.09260102465686493,0.9745132511646534,1.0383428701410276,1.0769116452038177
6,0.1,3,1,1.1247837526260878,6,0.18413073513172917,0.0751710578393828,0.98024790981597,1.2565536379010096,0.8951338953623701
6,0.5,1,0,1.0945345871245722,15,0.2752329362065483,0.071064838550382,0.9538857924869201,1.0383428701410276,1.0541167263718128
6,0.5,1,1,1.1513320346961733,4,0.053433068192259146,0.026716534096129573,1.0033847109545415,1.2565536379010096,0.9162617495735382
6,0.5,2,0,0.9786410734947735,2,0.12692875672225576,0.08975218460588462,0.8528847118511079,1.0383428701410276,0.9425028106196315
6,0.5,2,1,1.3199469194569702,2,0.22385641549140636,0.15829038940608672,1.1503324135371351,1.2565536379010096,1.05045011979103
6,0.5,3,0,1.0255303800699251,2,0.0003063407210825396,0.0002166156012310405,0.8937486953996792,1.0383428701410276,0.9876606365396796
6,0.5,3,1,1.1188080576966757,2,0.13181255825026986,0.09320555378431261,0.9750400976915702,1.2565536379010096,0.8903782727218642
6,0.9,1,0,1.013801942619069,16,0.12960281973167304,0.03240070493291826,0.8835273739503188,1.0383428701410276,0.9763652949062718
6,0.9,1,1,1.428760034848249,3,0.41280409658210576,0.23833255628425906,1.2451629342250734,1.2565536379010096,1.1370465945527792
6,0.9,2,0,0.9997966239576979,2,0.15684722310639185,0.11090773506880901,0.8713217528146449,1.0383428701410276,0.9628771504174779
6,0.9,2,1,1.6159732527684834,2,0.4006334699409214,0.28329064336552234,1.4083190654616502,1.2565536379010096,1.2860360306368304
6,0.9,3,0,1.0330176013006944,2,0.11370853652920453,0.08040407725859877,0.9002738011763726,1.0383428701410276,0.9948713772748208
6,0.9,3,1,1.4046399084015029,2,0.10726575551476294,0.07584834311358718,1.2241422682715355,1.2565536379010096,1.1178511334763725
7,0.1,1,0,0.7527364766355238,5,0.136706505394867,0.06113700780587287,0.8184209944134362,0.8497426547863584,0.8858405217103951
7,0.1,1,1,1.0281210828637384,7,0.06253015846705781,0.02363417839218497,1.1178359294818447,0.9984920796718834,1.0296737488409438
7,0.1,2,0,0.9978082625013445,2,0.20040883556486783,0.14171044663761778,1.084877982903578,0.8497426547863584,1.1742475876443
7,0.1,2,1,1.0612885680573343,4,0.10687190461391896,0.05343595230695948,1.1538976417236433,0.9984920796718834,1.0628913234906046
7,0.1,3,0,0.893704591403746,2,0.16163533272628375,0.11429343985009911,0.9716901241158603,0.8497426547863584,1.0517355888512394
7,0.1,3,1,1.0201204299254225,6,0.04403684482521338,0.017977966617315776,1.1091371317790946,0.9984920796718834,1.021661013335876
7,0.5,1,0,0.8667749650566517,14,0.10472609810957138,0.02798922704140645,0.9424105923563773,0.8497426547863584,1.0200440806100002
7,0.5,1,1,0.9827191316097338,3,0.13868402274782463,0.08006925786575673,1.06847215976034,0.9984920796718834,0.9842032316697668
7,0.5,2,0,0.9775616458141112,2,0.22592333519407307,0.15975192234401045,1.0628646267331203,0.8497426547863584,1.1504208248318297
7,0.5,2,1,1.0081433571021203,3,0.0009036080169429656,0.0005216983318239251,1.0961149279209503,0.9984920796718834,1.0096658527661115
7,0.5,3,0,0.8488594401584986,2,0.14563492606829206,0.10297944380049082,0.9229317413139496,0.8497426547863584,0.9989606092822516
7,0.5,3,1,0.9130487306712518,3,0.12008237433472432,0.0693295911470825,0.992722251808338,0.9984920796718834,0.9144276146599888
7,0.9,1,0,0.8087952165719575,15,0.1701790896510308,0.04394005200607875,0.8793714745727168,0.8497426547863584,0.951811953908921
7,0.9,1,1,1.0064990208285374,4,0.0554997286948773,0.02774986434743865,1.0943271052632906,0.9984920796718834,1.008019033219858
7,0.9,2,0,0.8278179232505999,2,0.25604205282755965,0.18104907182329166,0.900054121155696,0.8497426547863584,0.9741983865205981
7,0.9,2,1,0.9679963163169287,2,0.05534523735493239,0.039134992640051706,1.0524646172716858,0.9984920796718834,0.969458182016851
7,0.9,3,0,0.6736253716847916,2,0.019184566666504393,0.013565537184010655,0.7324065774260764,0.8497426547863584,0.7927404466404644
8,0.1,1,0,0.8807637343237996,12,0.10602527729937837,0.030606861194850413,0.9532494015713823,0.9085169585056069,0.9694521671588192
8,0.1,1,1,0.8608084366598661,5,0.18847338781708275,0.08428786142173554,0.9316518098279759,0.9394018188299074,0.9163367787940468
8,0.1,2,0,0.8330566908838855,2,0.043758227434339596,0.030941739351524746,0.9016161328097517,0.9085169585056069,0.9169412668467479
8,0.1,2,1,0.855001897337138,2,0.02825343890170112,0.01997819823923266,0.9253674001515935,0.9394018188299074,0.9101556758769155
8,0.1,3,0,0.9761501530206196,2,0.13234456736988123,0.0935817410404429,1.0564859938574958,0.9085169585056069,1.0744435135545083
8,0.1,3,1,1.0028433702027575,4,0.12356318624550194,0.06178159312275097,1.0853760268064834,0.9394018188299074,1.0675339882265409
8,0.5,1,0,0.9218912398645468,17,0.13962078023021238,0.03386301320119504,0.9977616453400703,0.9085169585056069,1.0147210035362895
8,0.5,1,1,0.8643350515264427,2,0.04103106251417676,0.029013342543063536,0.9354686603409207,0.9394018188299074,0.9200908857117547
8,0.5,2,0,0.9961387085565973,2,0.1511283055404365,0.10686384967687512,1.0781195805509531,0.9085169585056069,1.096444815069954
8,0.5,2,1,1.0608247437191305,2,0.04076719401816744,0.02882675934019385,1.1481291891505292,0.9394018188299074,1.129255577810637
8,0.5,3,0,0.818112462315038,2,0.005257187912191767,0.0037173932226827466,0.8854420143883833,0.9085169585056069,0.9004922303935057
8,0.5,3,1,1.09705306093815,2,0.07111496590613721,0.050285874636079746,1.1873390480072656,0.9394018188299074,1.1678208823404328
8,0.9,1,0,1.0059800270605868,16,0.13102102318785033,0.03275525579696258,1.0887708262925864,0.9085169585056069,1.1072771043429879
8,0.9,1,1,0.8534188517782301,3,0.044278992570767596,0.025564488280178113,0.9236540720786026,0.9394018188299074,0.9084705124812561
8,0.9,2,0,0.9281323308382101,2,0.1774374609536017,0.125467231876815,1.004516369682081,0.9085169585056069,1.021590540659657
8,0.9,2,1,0.9273906075269895,2,0.14600921129834954,0.10324410342476242,1.0037136035428786,0.9394018188299074,0.9872139790852453
8,0.9,3,0,0.8164272796871789,2,0.008457151434992857,0.00598010912920499,0.8836181435034421,0.9085169585056069,0.8986373584375313
8,0.9,3,1,0.9329403497804623,2,0.1414144168085614,0.09999509308287464,1.0097200820976069,0.9394018188299074,0.993121719673171
9,0.1,1,0,1.0177308504795695,10,0.08984735220281444,0.02841222746962403,0.9955649556601311,1.0287941550642952,0.9892463380256721
9,0.1,1,1,1.0470038236260282,4,0.06911939345688252,0.03455969672844126,1.0242003715943753,1.015735123901216,1.0307843048734162
9,0.1,2,0,1.077053809916376,2,0.1705901784570691,0.12062547199081686,1.0535958775423775,1.0287941550642952,1.04690895123628
9,0.1,2,1,1.017965742469786,4,0.06310933822510059,0.031554669112550296,0.9957947317681413,1.015735123901216,1.0021960632413722
9,0.1,3,0,1.103021268700553,2,0.12614974709376167,0.08920134161496683,1.0789977722976496,1.0287941550642952,1.0721496261140975
9,0.1,3,1,1.0016380106841158,5,0.06245429758176943,0.027930410975967435,0.9798226134388486,1.015735123901216,0.986121270314099
9,0.5,1,0,1.0473410079147014,10,0.07660189935595797,0.024223647505981244,1.0245302121030364,1.0287941550642952,1.0180277587689515
9,0.5,1,1,0.9960951588669567,5,0.13790846385606037,0.06167453997094475,0.9744004833924022,1.015735123901216,0.9806642848395096
9,0.5,2,0,1.039874529811264,2,0.03693008855951148,0.026113516050250304,1.017226351815728,1.0287941550642952,1.0107702543724855
9,0.5,2,1,1.0045515792351243,5,0.049204084916589445,0.022004735728833213,0.9826727252772887,1.015735123901216,0.9889897037102171
