subj,baseline,cruising_rate,post_encounter_rate,encounter_spike,spike_peak,spike_peak_time,threat_gain_pre,threat_gain_post,ramp_speed,c_effort,c_death,log_ce,log_cd
63,1.1399360308543378,1.1464474657746357,1.0831124661872633,0.055199555143067215,0.130107546287331,2.7,0.3165789059150348,0.3307310213263097,0.0010527605607203072,0.4690540432566642,73.51427457119034,-0.7570372863499752,4.29747959921504
64,1.0422016144232202,1.0685862183548467,1.0427870669821182,0.03436861338035133,0.06519287896034409,1.7,0.10953254057136119,0.0418643137686594,0.04208446662673205,1.0314258511780845,39.23311282755986,0.030942166483975773,3.669521105214269
65,1.0032994303889595,1.0241682154612994,1.0408599863794499,0.07786245425438151,0.325070576036149,2.9,0.053835023168590235,0.08076508397696514,0.023387634119920175,1.011588428205094,36.86887981336124,0.011521796646915428,3.607367829722161
66,0.9992106181006303,0.9746246734943007,0.9633199017791896,0.032055709144803844,0.17352725075624031,0.7,0.012342493485291484,0.014026668830119049,-0.03115456308551301,0.1520629476784487,21.54487412333368,-1.8834607144003213,3.070137928550557
67,0.7400960978198936,0.7953589031528204,0.7637253201978165,-0.07117254536748696,-0.028997118419989754,1.3,-0.10048799590044755,-0.07124333060755517,0.04932141339886044,0.2757800750210069,2.167739470388506,-1.2881515605364995,0.7736849058713421
68,0.6231053350637176,0.7884697455578028,0.7613895653819639,-0.061445523569656414,0.45838114552790166,0.1,-0.03768857867784392,-0.04821960532403413,0.1360567188133261,0.429618799654852,0.8011905964507461,-0.8448569759096429,-0.2216564120906714
69,1.277210638938357,1.290962548079191,1.2849322611018834,0.02899559907209901,0.23947157168960453,2.5,-0.0775478104475269,0.026513584735057938,-0.032309504279600595,0.3110284401928929,99.25291089648036,-1.1678709234184046,4.597671248069007
70,0.849351980180512,0.8334813638912436,0.8213636049375289,0.029722268365113068,0.08265462245850841,0.9,0.005178023987882696,0.05716751672095055,-0.018760622335378868,1.2608691631305793,3.519144666134214,0.23180129516083636,1.258217967507019
71,0.9057398633484708,0.8726132680026056,0.880370671906368,0.025018458481105132,0.18410906558021667,0.5,-0.03356431804819948,0.015559244826457652,-0.03496310318374477,0.6253476945629884,11.813903681170087,-0.46944747262872016,2.469277115912083
72,1.215771527497108,1.2252239594616359,1.1335479559271378,0.019200578568834625,0.2730013245150408,1.7,-0.05099278940035035,0.031125030431593537,-0.010078673339469615,3.1309893802720885,80.70869808106663,1.141349050537842,4.390846352380588
73,1.0542799567015124,1.0389046439598115,1.011908329468999,0.08030356100135967,0.16789263547016653,2.1,0.07152823947600906,0.11536539000453794,-0.018761347137095086,0.8441584758030818,36.44685755421315,-0.16941503447310152,3.5958552422337156
74,0.5666818998193012,0.6090539320186086,0.6236016500095113,-0.021994120269391192,0.02411274932406926,0.7,0.028788745069417754,-0.036142362411376916,0.0301244994178979,1.8848341785161595,1.0530048288572451,0.6338398480735339,0.05164781895067324
75,0.8861339933769224,0.9138217833607751,0.887701016438605,0.07840189619608448,0.11532913221428476,0.9,0.15095482012767425,0.1195487593233957,0.023903837353262267,0.7454149516175057,12.340916848658145,-0.2938142336225786,2.5129203146360264
76,0.7405872492087487,0.8603391224700715,0.8859446356843149,-0.11489905104467144,0.09905668223335518,0.7,-0.2823477493918314,-0.25889639165784706,0.11258705511202319,0.5121509623953953,8.476552078111924,-0.6691358489733784,2.137303772559557
77,1.349088943093645,1.4374708468343056,1.4700198760094416,0.05786363246381874,0.12764541821829511,0.5,0.1297251488115616,0.04472348712158847,0.08145029263612215,3.0942376059052625,649.7554358584936,1.1295415449052937,6.476596039563547
78,1.0816319356986632,1.0865260913503598,1.081188751116073,0.058635455208244244,0.09773678742123204,2.3,0.06803987323520433,0.047115883478726195,0.0017057129558770638,0.5937103222086504,67.5211187558408,-0.5213637516200782,4.21244041940163
79,1.494399277565082,1.4977196836206956,1.4600468111738159,0.010192267716363657,0.12628224845342384,2.5,0.09327592560026199,0.04817298365680145,-0.004650811008831124,0.1721615394121786,597.3617998292862,-1.7593220602957986,6.392522959695463
80,1.2014617479144036,1.153693720137841,1.207484188176632,0.0041540070844679035,0.4127544055182466,0.5,0.20473120119080268,0.045435045323465095,0.10781200168383526,1.031299615081095,3.644980448040117,0.030819769103217085,1.2933510013968843
81,1.0714941431719116,1.063249225593987,1.051614291193292,0.08787401891700594,0.1385475180221869,2.5,0.055209751539948115,0.09082286026754938,-0.009614826318485944,0.4597715280244091,49.00950044598967,-0.7770255910922806,3.892014165969889
82,0.6942159821465371,0.742026559534162,0.7456885599936155,-0.0003286888326838322,0.06996491420325579,2.9,0.059778720332274715,0.008927484080599402,0.03442387803769934,1.363890736837709,1.3341579679274649,0.31034145125500545,0.2883003572199536
83,0.9467433135716006,0.9099314674393975,0.9236005827692979,-0.04184358487223229,0.12069088172031284,0.3,-0.21438530812123557,-0.01756274195930363,-0.052854535032078265,0.0929501693216725,19.214234503405507,-2.3756917431738205,2.9556513847327577
84,0.6550101972111794,0.6521602619582237,0.6648434877210223,0.039035958247894395,0.15727562394617645,2.3,-0.019311735431580712,0.029322400164158324,-0.0001794378279688701,0.7538934333369646,1.2517382063651965,-0.28250425605979096,0.22453315046609407
85,0.7986459779089031,0.7803232642029123,0.7611082267565654,0.08638120790119716,0.1606794299327159,0.3,0.061198914107693736,0.10189538770362239,-0.030832265248770755,0.7932150066874255,2.921842393639734,-0.23166096334321545,1.0722143740366215
86,1.029585146406739,1.0194090740537474,0.9767531300980776,0.04818984249415468,0.15647528310468206,2.9,0.034721662785683005,0.05373814227856477,-0.014460987525327422,0.2306704500238137,34.26350448239073,-1.4667652103297433,3.5340807784524486
87,0.980950359138442,1.0276304026266607,1.0011046829382315,0.03416446246589153,0.09674086647822677,1.1,0.08727101201136489,0.06124667638529502,0.030518300242046974,0.4111126172140581,36.50830064916031,-0.8888880941990963,3.597539649779052
88,0.8369077232894728,0.977555213975403,1.0514919426936733,0.0540961805059198,0.10057364788085943,0.7,0.09456924899496788,0.07593166747247371,0.1318601848262409,0.903531974650817,44.431056107930814,-0.10144377981311593,3.7939386868190548
89,1.0070632391864995,1.0012358439554934,0.9592659209432497,0.03410152601460207,0.0700515941653278,1.7,0.019310540534834386,0.040327197179279906,-0.007270344848805645,1.1375378627569883,31.262847272112943,0.12886615722921332,3.4424304044063496
90,1.0037130783306571,0.9797447243403731,0.9732206671354563,0.060790506714968204,0.11748878836755794,0.5,0.014826854270983514,0.05779133641878009,-0.017149872024570526,0.2688257001807537,34.94664974014187,-1.3136920641120686,3.553822605433923
91,1.1600566876001235,1.1402225278794995,1.122368830353517,0.10250774598361585,0.2057760116572851,2.7,0.06349670270426233,0.07016394931727277,-0.014460422315058622,0.1190872992307402,82.55685484084236,-2.1278984478476675,4.4134872055720695
92,0.936420389500735,0.9594015069196544,0.9542131275786971,0.028656139893739198,0.15130115920700205,2.7,0.08229842944175358,0.06052012607271384,0.03207860380141513,0.3060405389089589,26.26513870650473,-1.1840377057098321,3.2682425354315665
93,0.8688705555345834,0.9711066172375528,0.9802236705755979,0.10031941794976729,0.17668749416562524,1.1,-0.0217827536899885,0.07531883920208948,0.0876914874683409,0.3082033254468403,39.26784294769829,-1.1769955662554343,3.6704059383239143
94,0.9880354155415645,0.9770963041414401,0.8972620463780554,0.10906076046631294,0.34507434674058124,0.7,0.09725549507718712,0.10581865789107336,-0.020968018860039905,0.7957427404204063,5.3430029231590845,-0.22847933580166063,1.675787840076193
95,0.8228160863260537,0.8244263640806373,0.827743793191958,-0.02346487989745314,0.01345156408243453,2.9,-0.09042979712089272,-0.06900190966305975,-0.009483654972856383,0.7394805984147914,10.969965810955646,-0.30180723326092945,2.395161157687537
96,0.9730989727056223,1.012627583918829,0.9765963676558078,0.02595500171859978,0.14862914145731698,2.1,0.06815769810349337,0.03287865191437633,0.017071952534830497,0.1817014826561433,29.389374649138237,-1.705390143700572,3.380633202529674
97,0.6449258287391274,0.7195190768249763,0.7723469690494562,0.04305619744170778,0.1706269273646035,0.7,0.07171938923714616,0.06137849134425122,0.0806343780395511,0.1945935470409908,1.838174225402582,-1.6368422698982796,0.6087728101933567
98,0.7232456558375254,0.8370059760001668,0.8059198459763108,0.02044022704043309,0.05417170143523653,1.9,0.0743056865228311,0.015906237713367855,0.08077377413167397,4.24083373303503,3.820657222314057,1.4447598850634806,1.3404224555461641
