subj,T_round,actual_dist,is_heavy,mean_rate,n_trials,sd_rate,sem,actual_R,actual_req,subj_cookie_mean,rel_rate,rel_rate_cc
13,0.9,3,1,0.9004390207694086,1,,,5.0,0.9,1.0040312408135919,0.8968237084333752,0.8968237084333752
14,0.1,1,1,1.4425095601211595,5,0.05023924937995497,0.022467675350428692,5.0,0.9,1.4588747343998048,0.9887823307287736,0.9887823307287736
14,0.1,2,1,1.4457525253520607,5,0.08742999859096767,0.03909988402442291,5.0,0.9,1.4588747343998048,0.9910052530636616,0.9910052530636616
14,0.1,3,1,1.4626664781047558,5,0.08232601667836417,0.036817313921920745,5.0,0.9,1.4588747343998048,1.0025990879240987,1.0025990879240987
14,0.5,1,0,1.4800361336946701,1,,,1.0,0.4,1.4482398115189,1.0219551499156916,1.0219551499156916
14,0.5,1,1,1.4103314918518028,4,0.04623230701719564,0.02311615350859782,5.0,0.9,1.4588747343998048,0.9667255581282151,0.9667255581282151
14,0.5,2,0,1.432555457593965,1,,,1.0,0.4,1.4482398115189,0.989170057472398,0.989170057472398
14,0.5,2,1,1.459603305560068,4,0.07898910000298752,0.03949455000149376,5.0,0.9,1.4588747343998048,1.0004994062499566,1.0004994062499566
14,0.5,3,0,1.3927884037123155,4,0.10074971010059117,0.05037485505029558,1.0,0.4,1.4482398115189,0.9617111700938344,0.9617111700938344
14,0.5,3,1,1.5323850454089822,1,,,5.0,0.9,1.4588747343998048,1.0503883639052947,1.0503883639052947
14,0.9,1,0,1.4619095239792532,5,0.041348586433657936,0.018491650007836948,1.0,0.4,1.4482398115189,1.0094388459367214,1.0094388459367214
14,0.9,2,0,1.4425091507884897,5,0.05023505264267565,0.022465798512460642,1.0,0.4,1.4482398115189,0.996043016712543,0.996043016712543
14,0.9,3,0,1.4796401993447061,5,0.0012913118333573903,0.000577492207907401,1.0,0.4,1.4482398115189,1.021681759868812,1.021681759868812
15,0.1,1,0,1.0582992889076572,3,0.03075951622725073,0.017759014973945872,1.0,0.4,1.1196942880640466,0.945168069703614,0.945168069703614
15,0.1,1,1,1.1159321740389618,2,0.13019272405573823,0.09206015804096145,5.0,0.9,1.125989825357538,0.9910677245104035,0.9910677245104035
15,0.1,2,0,1.1114177302256723,4,0.08066245213822264,0.04033122606911132,1.0,0.4,1.1196942880640466,0.9926081985711613,0.9926081985711613
15,0.1,2,1,1.024160025003907,1,,,5.0,0.9,1.125989825357538,0.9095641913804178,0.9095641913804178
15,0.1,3,0,1.0842789354406257,4,0.17538358335394483,0.08769179167697241,1.0,0.4,1.1196942880640466,0.9683705159515871,0.9683705159515871
15,0.1,3,1,1.2079923320799233,1,,,5.0,0.9,1.125989825357538,1.0728270405963454,1.0728270405963454
