subj,T_round,actual_dist,is_heavy,mean_rate,n_trials,sd_rate,sem,actual_R,actual_req,subj_cookie_mean,rel_rate,rel_rate_cc
4,0.5,2,0,0.9150617753526572,3,0.07190840797010382,0.041516338698536874,1.0,0.4,0.9620383348740121,0.9511697633883717,0.9511697633883717
4,0.5,2,1,0.9571562898503934,2,0.03291689673173199,0.02327576089462499,5.0,0.9,0.9881955552323702,0.9685899564943113,0.9685899564943113
4,0.5,3,0,0.9437435176805085,5,0.07774674600368177,0.03476940181872851,1.0,0.4,0.9620383348740121,0.9809832763099824,0.9809832763099824
4,0.9,1,0,0.9702234345807514,5,0.033730470395964135,0.01508472494368401,1.0,0.4,0.9620383348740121,1.0085080806138678,1.0085080806138678
4,0.9,2,0,1.014858897236471,5,0.0724504790619041,0.03240083923696855,1.0,0.4,0.9620383348740121,1.0549048415720108,1.0549048415720108
4,0.9,3,0,0.9663040495196732,5,0.038117065224669566,0.017046469789030887,1.0,0.4,0.9620383348740121,1.0044340381157677,1.0044340381157677
5,0.1,1,1,0.8773566029732622,5,0.11247621476592659,0.05030089241369549,5.0,0.9,0.9412972932679771,0.932071736791331,0.932071736791331
5,0.1,2,1,0.892690222046413,5,0.12210660082407675,0.05460773198881349,5.0,0.9,0.9412972932679771,0.9483616158580346,0.9483616158580346
5,0.1,3,0,0.8499561663392614,1,,,1.0,0.4,0.969158026167078,0.8770047230592023,0.8770047230592023
5,0.1,3,1,0.9245666522175076,4,0.01573689548879441,0.007868447744397204,5.0,0.9,0.9412972932679771,0.9822259756082115,0.9822259756082115
5,0.5,1,0,0.8591234675364173,1,,,1.0,0.4,0.969158026167078,0.8864637596142744,0.8864637596142744
5,0.5,1,1,0.9901856094289241,4,0.08491192674112141,0.042455963370560706,5.0,0.9,0.9412972932679771,1.0519371685338832,1.0519371685338832
5,0.5,2,0,1.0213843972570245,1,,,1.0,0.4,0.969158026167078,1.053888395576206,1.053888395576206
5,0.5,2,1,0.967646363173242,4,0.09854648014881913,0.049273240074409565,5.0,0.9,0.9412972932679771,1.0279922932889638,1.0279922932889638
5,0.5,3,0,0.8746466368390061,2,0.10954911849271885,0.07746292455921011,1.0,0.4,0.969158026167078,0.9024809300689023,0.9024809300689023
5,0.5,3,1,0.944071398606304,3,0.010097750605388253,0.005829939030230614,5.0,0.9,0.9412972932679771,1.0029471085895678,1.0029471085895678
5,0.9,1,1,0.9691424163418597,4,0.04882826278218649,0.024414131391093247,5.0,0.9,0.9412972932679771,1.0295816457489328,1.0295816457489328
5,0.9,2,0,1.1495220866875575,4,0.15763463825178514,0.07881731912589257,1.0,0.4,0.969158026167078,1.1861038712477068,1.1861038712477068
5,0.9,2,1,0.9380609913177299,1,,,5.0,0.9,0.9412972932679771,0.9965618705446274,0.9965618705446274
5,0.9,3,0,1.0603154023432013,4,0.009117575750946313,0.0045587878754731566,1.0,0.4,0.969158026167078,1.0940583204337082,1.0940583204337082
5,0.9,3,1,0.9679553833065507,1,,,5.0,0.9,0.9412972932679771,1.0283205850364476,1.0283205850364476
6,0.1,1,1,1.0083155458648858,5,0.12360328518677885,0.05527706958398606,5.0,0.9,1.2248393601651162,0.8232226842620067,0.8232226842620067
6,0.1,2,0,1.1845466518105603,2,0.4187364272774533,0.29609136725771484,1.0,0.4,1.0702581938000661,1.1067858752893083,1.1067858752893083
6,0.1,2,1,1.1454623866035358,3,0.22903964270152002,0.1322360993688183,5.0,0.9,1.2248393601651162,0.9351939722521002,0.9351939722521002
6,0.1,3,0,1.025602503912363,1,,,1.0,0.4,1.0702581938000661,0.9582757785491478,0.9582757785491478
6,0.1,3,1,1.1715154076476593,4,0.2089058729023213,0.10445293645116065,5.0,0.9,1.2248393601651162,0.9564645338387325,0.9564645338387325
6,0.5,1,0,1.1794891236991456,3,0.2660386436963813,0.1535974825529487,1.0,0.4,1.0702581938000661,1.1020603537836449,1.1020603537836449
6,0.5,1,1,1.1356376366396563,2,0.03621876787219935,0.025610536368653625,5.0,0.9,1.2248393601651162,0.9271727163360958,0.9271727163360958
6,0.5,2,0,1.1394523010602664,5,0.43898942419933007,0.19632203878263862,1.0,0.4,1.0702581938000661,1.0646517893168557,1.0646517893168557
6,0.5,3,0,1.003712871218786,5,0.10145401981861459,0.04537161698100662,1.0,0.4,1.0702581938000661,0.93782311318262,0.93782311318262
6,0.9,1,0,0.9761809663732804,4,0.09334686273732871,0.04667343136866436,1.0,0.4,1.0702581938000661,0.9120985683905354,0.9120985683905354
6,0.9,1,1,1.6632658240698441,1,,,5.0,0.9,1.2248393601651162,1.3579460933110652,1.3579460933110652
6,0.9,2,0,1.0437443119360583,5,0.16520234163428102,0.07388073318727921,1.0,0.4,1.0702581938000661,0.975226649029551,0.975226649029551
6,0.9,3,0,1.0093368203900692,5,0.16289034063396568,0.07284677490712868,1.0,0.4,1.0702581938000661,0.9430778724583373,0.9430778724583373
7,0.1,1,1,1.0447887635567052,5,0.03437876632806697,0.015374651698427715,5.0,0.9,1.0275572490237692,1.0167693961083986,1.0167693961083986
7,0.1,2,0,0.7325175631869517,2,0.06595049776701373,0.046634044193683666,1.0,0.4,0.7959267270949546,0.920332912880763,0.920332912880763
7,0.1,2,1,1.079341236386912,3,0.12319502015423937,0.07112667804887148,5.0,0.9,1.0275572490237692,1.0503952333676203,1.0503952333676203
7,0.1,3,0,0.6589446589446589,1,,,1.0,0.4,0.7959267270949546,0.8278961322856122,0.8278961322856122
7,0.1,3,1,0.9953131349243374,4,0.02771131126181096,0.01385565563090548,5.0,0.9,1.0275572490237692,0.9686206154157685,0.9686206154157685
7,0.5,1,0,0.8749858528122109,4,0.08980985221203544,0.04490492610601772,1.0,0.4,0.7959267270949546,1.09932965312751,1.09932965312751
7,0.5,1,1,1.1428571428571428,1,,,5.0,0.9,1.0275572490237692,1.1122077567385313,1.1122077567385313
7,0.5,2,0,0.8214895129961932,4,0.12626899581872347,0.06313449790936174,1.0,0.4,0.7959267270949546,1.032117009055017,1.032117009055017
7,0.5,2,1,1.0084325131638683,1,,,5.0,0.9,1.0275572490237692,0.9813881553771623,0.9813881553771623
7,0.5,3,0,0.8595316861877402,4,0.11610176809605072,0.05805088404802536,1.0,0.4,0.7959267270949546,1.0799130836137854,1.0799130836137854
7,0.5,3,1,0.9507755238427223,1,,,5.0,0.9,1.0275572490237692,0.9252774234681392,0.9252774234681392
7,0.9,1,0,0.8889171068526114,3,0.28930763511186,0.16703184101044638,1.0,0.4,0.7959267270949546,1.116832839747776,1.116832839747776
7,0.9,1,1,0.9713924284346971,2,0.05422806142667367,0.038345029965401595,5.0,0.9,1.0275572490237692,0.9453414195243802,0.9453414195243802
7,0.9,2,0,0.8258753976127726,5,0.15682817991114317,0.0701356942137766,1.0,0.4,0.7959267270949546,1.0376274215933512,1.0376274215933512
7,0.9,3,0,0.7051520381664982,5,0.10262213315079806,0.04589401314424382,1.0,0.4,0.7959267270949546,0.8859509476961854,0.8859509476961854
8,0.1,1,0,0.974595504795373,2,0.2069953604728507,0.14636782306450655,1.0,0.4,0.9416446144978003,1.0349929153634527,1.0349929153634527
8,0.1,1,1,0.8634314078971776,3,0.26549536740827,0.15328382184176328,5.0,0.9,0.8980130346515948,0.9614909523358601,0.9614909523358601
8,0.1,2,0,0.8774611378064137,5,0.1128340121383284,0.05046090426306774,1.0,0.4,0.9416446144978003,0.9318389595148727,0.9318389595148727
8,0.1,3,0,0.8450566404303977,3,0.053205815986225494,0.030718392182100984,1.0,0.4,0.9416446144978003,0.8974262980106193,0.8974262980106193
8,0.1,3,1,0.931251850367788,2,0.1502396636808112,0.10623548499188785,5.0,0.9,0.8980130346515948,1.037013734137043,1.037013734137043
8,0.5,1,0,0.9306433380256637,5,0.16456148737779777,0.07359413445104589,1.0,0.4,0.9416446144978003,0.9883169549288997,0.9883169549288997
8,0.5,2,0,0.8679436074146143,5,0.14320772920865482,0.06404444348278687,1.0,0.4,0.9416446144978003,0.9217316108981387,0.9217316108981387
8,0.5,3,0,0.9449690580076918,5,0.12374179613203981,0.05533901356183231,1.0,0.4,0.9416446144978003,1.003530465165634,1.003530465165634
8,0.9,1,0,1.0102146314687295,4,0.12635167365430156,0.06317583682715078,1.0,0.4,0.9416446144978003,1.0728194224394296,1.0728194224394296
8,0.9,1,1,0.8993558456898189,1,,,5.0,0.9,0.8980130346515948,1.0014953135270972,1.0014953135270972
8,0.9,2,0,0.9655898361539682,5,0.12863721654513732,0.05752831212625754,1.0,0.4,0.9416446144978003,1.0254291494768846,1.0254291494768846
8,0.9,3,0,1.0583277763773515,5,0.16085954312348918,0.07193857465073612,1.0,0.4,0.9416446144978003,1.123914224202069,1.123914224202069
9,0.1,1,0,1.01388675169902,3,0.06347785882640859,0.03664895888100807,1.0,0.4,1.0324060905855246,0.9820619627728063,0.9820619627728063
9,0.1,1,1,1.082909455825996,2,0.0943048285232112,0.06668358374739719,5.0,0.9,1.0472599761675996,1.034040716221061,1.034040716221061
9,0.1,2,0,0.9728063052825157,3,0.032768886725769664,0.01891912557216747,1.0,0.4,1.0324060905855246,0.9422709863429737,0.9422709863429737
9,0.1,2,1,1.066058264234226,2,0.049710561075709085,0.03515067483322193,5.0,0.9,1.0472599761675996,1.0179499727807968,1.0179499727807968
9,0.1,3,0,1.0496672700233871,2,0.2210681865885845,0.15631881384140106,1.0,0.4,1.0324060905855246,1.0167193700185098,1.0167193700185098
9,0.1,3,1,0.9783915479220338,3,0.03316965428707744,0.019150508831570986,5.0,0.9,1.0472599761675996,0.9342394154147028,0.9342394154147028
9,0.5,1,0,1.0617984459360192,2,0.041113884709910696,0.029071906679299764,1.0,0.4,1.0324060905855246,1.0284697616747156,1.0284697616747156
9,0.5,1,1,0.9733221570852092,3,0.189781194432967,0.10957022369300222,5.0,0.9,1.0472599761675996,0.9293987923104228,0.9293987923104228
9,0.5,2,0,1.0379185832564204,2,0.00258557769719898,0.0018282795229740965,1.0,0.4,1.0324060905855246,1.0053394615947775,1.0053394615947775
9,0.5,2,1,1.005855131390204,3,0.06879367966337811,0.03971804947219624,5.0,0.9,1.0472599761675996,0.9604636425341921,0.9604636425341921
9,0.5,3,0,1.0399848211498843,4,0.11253046356410139,0.056265231782050694,1.0,0.4,1.0324060905855246,1.0073408425555312,1.0073408425555312
