subj,trial,T_round,distance,cookie,is_attack,type,epoch,norm_rate,n_presses,median_ipi,press_sd,press_cv,frac_full,relative_vigor,pause_freq
246,33,0.9,1,0,1,5,anticipatory,1.068893528183716,2,0.116943359375,0.0,0.0,1.0,2.6722338204592897,0.0
246,33,0.9,1,0,1,5,reactive,0.7942362502943876,15,0.1575927734375,0.5935439669310025,0.5129498640308644,1.0,1.985590625735969,0.0
246,33,0.9,1,0,1,5,terminal,1.068893528183716,2,0.116943359375,0.0,0.0,1.0,2.6722338204592897,0.0
246,34,0.1,3,0,1,1,full,0.988751347533549,15,0.1268310546875,0.3478157272325394,0.3656790885918869,1.0,2.471878368833872,0.0
246,34,0.1,3,0,1,1,onset,,0,,,,,,
246,34,0.1,3,0,1,1,anticipatory,,0,,,,,,
246,34,0.1,3,0,1,1,reactive,1.0682911970758453,5,0.1170654296875,0.23465695137112716,0.2444127673084333,1.0,2.670727992689613,0.0
246,34,0.1,3,0,1,1,terminal,,0,,,,,,
246,35,0.1,1,1,0,5,full,0.8001171131605914,77,0.1563720703125,0.2510679364429194,0.2853758664262495,0.42105263157894735,0.8890190146228794,0.0
246,35,0.1,1,1,0,5,onset,0.7513749337835336,11,0.1663818359375,0.3541414933396306,0.3980805148770945,0.3,0.8348610375372595,0.0
246,35,0.1,1,1,0,5,anticipatory,0.7431059506531205,6,0.168212890625,0.47403030937471885,0.5237687624291548,0.2,0.8256732785034672,0.0
246,35,0.1,1,1,0,5,reactive,0.9132167988630169,13,0.13818359375,0.22678449530000985,0.2673274108211491,0.5,1.0146853320700187,0.0
246,36,0.9,3,0,1,1,full,0.5775538250114521,5,0.2164306640625,0.2881304597918692,0.45858097735914655,0.75,1.4438845625286303,0.0
246,36,0.9,3,0,1,1,onset,,0,,,,,,
246,36,0.9,3,0,1,1,anticipatory,,0,,,,,,
246,36,0.9,3,0,1,1,reactive,0.5775538250114521,5,0.2164306640625,0.2881304597918692,0.45858097735914655,0.75,1.4438845625286303,0.0
246,36,0.9,3,0,1,1,terminal,,0,,,,,,
246,37,0.1,1,0,0,5,full,0.748539611631809,26,0.1669921875,0.16677596835074496,0.22253247513672975,1.0,1.8713490290795225,0.0
246,37,0.1,1,0,0,5,onset,,0,,,,,,
246,37,0.1,1,0,0,5,anticipatory,,0,,,,,,
246,37,0.1,1,0,0,5,reactive,0.7535445861941996,12,0.1658935546875,0.19250947242691094,0.26484349075042396,1.0,1.883861465485499,0.0
246,38,0.5,2,0,0,1,full,0.8049302767982771,27,0.15576171875,0.42054113111663727,0.4429584446941588,0.9615384615384616,2.0123256919956924,0.0
246,38,0.5,2,0,0,1,onset,,1,,,,,,
246,38,0.5,2,0,0,1,anticipatory,,1,,,,,,
246,38,0.5,2,0,0,1,reactive,0.7585185185185185,14,0.164794921875,0.4947249692365946,0.46265073536805434,1.0,1.8962962962962961,0.0
246,39,0.9,1,1,1,5,full,0.8407224958949097,12,0.148681640625,0.3615560843590686,0.3570102096874328,0.45454545454545453,0.9341361065498996,0.0
246,39,0.9,1,1,1,5,onset,,0,,,,,,
246,39,0.9,1,1,1,5,anticipatory,,0,,,,,,
246,39,0.9,1,1,1,5,reactive,0.8407224958949097,8,0.148681640625,0.4025355382170781,0.3762086969085322,0.42857142857142855,0.9341361065498996,0.0
246,39,0.9,1,1,1,5,terminal,,0,,,,,,
246,40,0.5,1,0,1,1,full,1.0365052044914351,17,0.12060546875,0.44961916424071113,0.44598524159450825,1.0,2.5912630112285875,0.0
246,40,0.5,1,0,1,1,onset,,0,,,,,,
246,40,0.5,1,0,1,1,anticipatory,,0,,,,,,
246,40,0.5,1,0,1,1,reactive,0.7551622418879056,8,0.16552734375,0.15677733730483023,0.17745409484052996,1.0,1.887905604719764,0.0
246,40,0.5,1,0,1,1,terminal,,0,,,,,,
246,41,0.5,1,0,1,5,full,0.7630402384500745,38,0.163818359375,0.3934610246684054,0.42665523948736367,1.0,1.9076005961251863,0.0
246,41,0.5,1,0,1,5,onset,1.0162327188033582,5,0.1231689453125,0.21207748004793,0.2259317203904056,1.0,2.5405817970083953,0.0
246,41,0.5,1,0,1,5,anticipatory,1.0162327188033582,5,0.1231689453125,0.21207748004793,0.2259317203904056,1.0,2.5405817970083953,0.0
246,41,0.5,1,0,1,5,reactive,0.7540500736377025,14,0.165771484375,0.45021989678990315,0.4766785937852166,1.0,1.8851251840942562,0.0
246,41,0.5,1,0,1,5,terminal,0.9789674952198852,6,0.127685546875,0.22417626870128826,0.25505193227136014,1.0,2.4474187380497128,0.0
246,42,0.5,1,1,1,1,full,1.0502663536065038,17,0.1190185546875,0.23161413846180812,0.2542950114024674,0.625,1.1669626151183374,0.0
246,42,0.5,1,1,1,1,onset,,0,,,,,,
246,42,0.5,1,1,1,1,anticipatory,,0,,,,,,
246,42,0.5,1,1,1,1,reactive,1.047034764826176,10,0.119384765625,0.16222368578939925,0.17166535226237706,0.6666666666666666,1.1633719609179733,0.0
246,42,0.5,1,1,1,1,terminal,,0,,,,,,
