subj,trial,T_round,distance,cookie_type,is_attack,predator_probability,antic_vigor_resid,react_vigor_resid,term_vigor_resid,log_k_z,log_beta_z,log_cd_z
1,50,0.9,3.0,1.0,1,0.9,-0.055463133158004885,-0.048453845590625155,0.06702742096891434,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,51,0.1,2.0,1.0,0,0.1,0.11946289716581315,-0.11987111065309164,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,52,0.1,2.0,0.0,0,0.1,0.0302921953555102,-0.08961511935944377,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,53,0.5,1.0,0.0,1,0.5,0.20988982998429906,0.16013683454895178,0.13793927007180695,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,54,0.5,2.0,1.0,0,0.5,-0.14942399904726344,-0.0976211304809187,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,55,0.1,1.0,1.0,0,0.1,0.0847098812825744,0.12993972419763766,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,56,0.9,2.0,1.0,1,0.9,-0.01485700537404333,0.014654787188478346,-0.008445148616641251,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,57,0.5,1.0,0.0,1,0.5,0.11686739799188572,0.17156257032654265,0.16385297835425705,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,58,0.5,3.0,1.0,0,0.5,-0.15940453013219968,-0.034861398787947806,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,59,0.1,1.0,1.0,0,0.1,-0.0312587252817218,-0.1362258627238413,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,60,0.1,1.0,1.0,0,0.1,-0.26970067757697547,-0.07974226850686073,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,61,0.9,1.0,0.0,1,0.9,0.04134538447794944,-0.014357411078844251,0.0645794975371301,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,62,0.5,3.0,1.0,0,0.5,0.10546675768831038,0.04607489692380429,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,63,0.9,1.0,0.0,1,0.9,0.13604580030457503,0.04711422319771352,-0.025636743548670182,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,64,0.9,3.0,0.0,1,0.9,0.0352097759061627,-0.0561370982491447,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,65,0.5,1.0,1.0,0,0.5,-0.03815889392593785,-0.12807806074794525,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,66,0.1,3.0,1.0,0,0.1,0.01290056866778344,-0.10259238546665694,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,67,0.9,1.0,0.0,1,0.9,0.15247667362043904,0.13738954871789866,0.06333277921103408,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,68,0.5,3.0,0.0,1,0.5,-0.012937050936199457,-0.20899635661156413,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,69,0.1,3.0,1.0,0,0.1,0.09594641415527683,-0.11316218057387151,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,70,0.9,3.0,1.0,1,0.9,-0.13894212134630846,-0.12338998584730843,-0.07438247998353031,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,71,0.5,1.0,0.0,1,0.5,-0.04319285906964154,-0.0134497580837174,-0.017300519231691736,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,72,0.9,2.0,0.0,1,0.9,-0.028837907360502735,0.08932323713076729,0.0718081248085305,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,73,0.5,1.0,0.0,1,0.5,0.15494623900430526,-0.05159519160713999,-0.06047042922740453,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,74,0.1,3.0,0.0,0,0.1,-0.03228708893957366,-0.010905913294573466,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,75,0.9,1.0,0.0,1,0.9,-0.043134946050673584,-0.04286306577117838,-0.10312282042665588,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,76,0.5,1.0,1.0,1,0.5,-0.14880002798618497,0.032836852791161775,0.0627647617194309,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,77,0.5,1.0,0.0,1,0.5,-0.09141832740102507,0.08699007974789996,0.0935621157400004,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,78,0.5,2.0,1.0,1,0.5,-0.1470436309977703,-0.11679747493117021,-0.08461697844160454,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,79,0.9,1.0,0.0,0,0.9,-0.04425359689074315,-0.09233816646006376,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,80,0.9,1.0,0.0,1,0.9,0.029876263193677532,-0.03866205705543746,-0.021312093413572653,-0.30517677296271434,1.114828965995147,0.6315851458597619
2,0,0.5,3.0,0.0,0,0.5,0.2091668318722557,0.19734704787833945,,2.095326973969738,-0.20474987119716132,-2.019554667121159
2,1,0.5,1.0,0.0,1,0.5,-0.16356507705118872,,-0.37212218193356394,2.095326973969738,-0.20474987119716132,-2.019554667121159
2,2,0.9,1.0,0.0,1,0.9,0.20124334280943668,0.150074992345144,0.11629753735566284,2.095326973969738,-0.20474987119716132,-2.019554667121159
