subj,optimality_rate,overcautious_rate,overrisky_rate,k,beta,log_k,log_beta,c_death,log_cd,log_k_z,log_beta_z,log_cd_z,calibration_at,discrepancy,calibration_ca,disc_z,cal_z,k_group,b_group,profile
27,0.6,0.2222222222222222,0.17777777777777778,0.5333593235928964,7.210743221418311,-0.6285599288730459,1.9755720280117757,31.826236387014927,3.4602909932415535,0.07485710510028327,0.7261890823983869,0.1730142398055234,-0.2273053505923541,-0.1254789272030493,0.5795575312852309,-0.11074764428999927,-1.5081136727776887,High k,High β,High k / High β
28,0.6,0.17777777777777778,0.2222222222222222,0.2364954653562874,10.179626404894833,-1.4418262452031587,2.320388311519174,59.19452852435059,4.080829114043479,-1.0871597872489567,1.5043029614304202,0.500998849167161,0.7768167091926298,-0.0699233716474937,-0.21994296954715878,-0.06619936543354384,1.445079751796065,Low k,High β,Low k / High β
29,0.6888888888888889,0.022222222222222223,0.28888888888888886,0.5843983908853109,2.5932610691500693,-0.5371723525568323,0.9529161837676469,94.6067360072328,4.549728678673318,0.20543414400864304,-1.5815404070139216,0.7488350986730148,0.2828496536010991,-0.40325670498082705,-0.10303214050543084,-0.3334890385722762,-0.007712014218258063,High k,Low β,High k / Low β
30,0.6666666666666666,0.08888888888888889,0.24444444444444444,0.35410218223223583,5.793026150930655,-1.038169757126319,1.7566548063336531,26.99531935175407,3.295663493633766,-0.5104044877447498,0.23217955705291496,0.08600059094336354,0.5970453544446376,0.5411877394636174,0.20870556624632852,0.42383170198746545,0.9163595851639628,Low k,High β,Low k / High β
31,0.5777777777777777,0.06666666666666667,0.35555555555555557,0.3865100692924603,3.533806392971256,-0.9505973587908896,1.262375588291327,35.02554083193367,3.5560775334153085,-0.3852786782454665,-0.8832130101533336,0.2236420899050339,0.23584951030340964,1.2634099616858396,-0.07674757495667128,1.0029593271213855,-0.1459427330717832,Low k,Low β,Low k / Low β
32,0.6888888888888889,0.26666666666666666,0.044444444444444446,1.188449078794873,9.534969557099451,0.17264916196534247,2.254966046294213,0.6001197980922522,-0.5106259802090048,1.2196463078047937,1.356670801917963,-1.9258087151187888,0.7621211313361295,-0.6810344827586048,0.1618742275594787,-0.5562304328545531,1.4018590263143225,High k,High β,High k / High β
33,0.6222222222222222,0.044444444444444446,0.3333333333333333,0.33298379837839315,4.563459608898478,-1.099661443703653,1.5180810220313805,24.10740329601333,3.1825189840291523,-0.5982654714190114,-0.3061870503779374,0.026198208881603617,0.6235001258348714,-0.7365900383141604,0.37919741584292416,-0.6007787117110085,0.9941649238246527,Low k,Low β,Low k / Low β
34,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.9274770684111381,4.38288019461832,-0.0752872088912184,1.4777060869582106,1.220842672214112,0.199541335240995,0.8653881203230137,-0.3972972990758551,-1.550450712554399,0.5907827102018147,0.6522988505747285,0.4213702846306518,0.5129282597003761,0.8979407090740286,High k,Low β,High k / Low β
35,0.6888888888888889,0.3111111111111111,0.0,4.517913424228371,5.454208341878247,1.508050255451491,1.696387483524797,74.24000863077195,4.307303204732949,3.1277034811239908,0.09618006232873773,0.6207014325786768,0.19159431684916986,1.2634099616858396,0.1648464052875223,1.0029593271213855,-0.2761003618567601,High k,High β,High k / High β
36,0.7333333333333333,0.06666666666666667,0.2,0.5212207085487836,4.768056058705952,-0.6515817020787343,1.5619386869728653,35.704973204384814,3.575289984528444,0.04196297335072205,-0.20721765877676104,0.2337968057266468,0.5867655098609244,-0.1254789272030492,0.46141748586103093,-0.1107476442899992,0.8861258410345262,High k,Low β,High k / Low β
37,0.7111111111111111,0.26666666666666666,0.022222222222222223,1.7041039540216574,7.2722585641663935,0.5330394324275952,1.9840669123715655,15.94106279800858,2.7688983460458316,1.7345816662556433,0.7453586742572436,-0.1924204364927609,-0.07366922037192677,2.1522988505747285,0.16639273414912265,1.7157317888246717,-1.0562590350645416,High k,High β,High k / High β
38,0.6,0.15555555555555556,0.24444444444444444,0.4486792188734657,6.46725755947765,-0.8014470811501404,1.8667521484036718,38.24240586255642,3.6439450010199526,-0.17216873057270526,0.480625683314179,0.27008432459105497,0.5663591045421316,1.096743295019173,0.5091249527295375,0.8693144905520191,0.8261091713285044,Low k,High β,Low k / High β
39,0.5333333333333333,0.0,0.4666666666666667,0.24516580342908212,2.2552000963923837,-1.4058205486384117,0.8132387035600421,26.447909048055184,3.27517710217587,-1.035713874896607,-1.896737197699787,0.07517253562443442,0.2907884554062141,-1.514367816091938,0.46109572746137234,-1.2244546157013838,0.01563655885748958,Low k,Low β,Low k / Low β
40,0.6,0.06666666666666667,0.3333333333333333,0.38607147171779804,4.129854213420694,-0.9517327667666146,1.418242106936027,16.57254280315279,2.807747277911959,-0.38690097984705524,-0.5314839670809115,-0.1718868845398811,0.4425706132071326,-0.1254789272030493,0.41168320696572025,-0.11074764428999927,0.4620385336146938,Low k,Low β,Low k / Low β
41,0.7555555555555555,0.2,0.044444444444444446,1.189538603524958,5.2702371835312,0.173565503807164,1.6620753679031715,2.0666520529412997,0.7259299322004998,1.2209556017937147,0.018751197564681965,-1.2722287104587495,0.13026263631384966,-0.06992337164749372,-0.018632707879476004,-0.06619936543354386,-0.45648113719173333,High k,High β,High k / High β
42,0.6666666666666666,0.044444444444444446,0.28888888888888886,0.6087119581374832,2.6712751230393965,-0.49641009830397054,0.9825559325819668,109.10934755439648,4.692350567944212,0.26367635453791016,-1.5146552248848975,0.8242177110715593,0.4515633255664215,1.652298850574728,,1.3147972791165727,0.48848673157005185,High k,Low β,High k / Low β
43,0.7111111111111111,0.26666666666666666,0.022222222222222223,2.0733936370923116,4.611551897492536,0.7291867030743041,1.5285644375590843,14.093237752754977,2.6456950903399012,2.0148421876899976,-0.2825301307023582,-0.2575393556053707,0.24352022994976127,0.04118773946361741,-0.07977966460020985,0.02289719227936693,-0.12338260843294682,High k,Low β,High k / Low β
44,0.8,0.08888888888888889,0.1111111111111111,0.6850168788623454,5.420100792207066,-0.3783118003485314,1.690114411626812,3.5687100019207176,1.2722041864912745,0.4324183944162838,0.08202422183786044,-0.9834961702784015,,,,,,High k,High β,High k / High β
45,0.7333333333333333,0.17777777777777778,0.08888888888888889,0.8239050905343126,6.822494692307836,-0.19369993709694844,1.92022519563125,13.28825375869508,2.5868804689600093,0.6961968140051392,0.6012931871184802,-0.28862574654797307,0.5250804170119775,0.7634099616858397,0.2804721750083969,0.6020248174132871,0.7047056552906341,High k,High β,High k / High β
46,0.6,0.2222222222222222,0.17777777777777778,0.3132824497808048,13.446395077092323,-1.1606500998901623,2.5987110461149885,30.68852217927552,3.4238887143042906,-0.6854077116758145,2.1323672176664683,0.15377386304723145,0.7923555212542037,0.3189655172413952,-0.7698997177461512,0.2456385865616439,1.4907804882341769,Low k,High β,Low k / High β
