subj,k,beta,log_k,log_beta,c_death,log_cd,log_k_z,log_beta_z,log_cd_z
80,0.5663339598641071,11.376520795487744,-0.568571339685624,2.4315516522070744,2.292870744355848,0.8298046326209318,0.16057042260068266,1.755154624666811,-1.217325873875681
81,0.23839230923703672,7.05023942729325,-1.4338376042230632,1.9530615775656963,53.795028207721295,3.9851810504015543,-1.0757454011132146,0.6753919050226805,0.450444190656814
82,1.3391343252457524,5.2895023575493845,0.2920233792621429,1.6657241691482292,1.0898380107820709,0.08602907123550048,1.390211415721479,0.026985097836818815,-1.6104474707221068
83,0.12731718830984798,1.7493753031464185,-2.0610737604607885,0.5592587545759795,16.05306213172441,2.775899618401823,-1.9719573730161464,-2.469869421300552,-0.18871992317740371
84,0.37247274624853094,9.490487056454679,-0.9875914082726446,2.2502899344296843,0.7024185822409226,-0.35322578165677826,-0.4381367759571561,1.3461186681710136,-1.8426150467445057
85,0.7664245968513838,4.368557724133277,-0.2660189588277222,1.4744329143881296,2.110314216290049,0.746836854073848,0.5928654412408702,-0.4046835540964719,-1.261178384340633
86,0.23450355737440765,3.9174258332107708,-1.450284521170749,1.3654347628954397,34.92931233570956,3.5533263716999453,-1.0992452005473254,-0.6506492422669913,0.22218796699097665
87,0.3905709534857658,4.414044393871039,-0.9401456271404106,1.4847913652989295,37.181146279434,3.6158018123568847,-0.3703449615916614,-0.38130863010222127,0.2552092791580387
88,0.4970506869872283,10.368534304832167,-0.6990632721959202,2.3387756723129667,46.72596657001637,3.8443000394843576,-0.02587997728371572,1.545795957314742,0.3759817172274041
89,1.0391548914694815,5.647914473080434,0.038407778455123276,1.7312863572080914,30.87003281357116,3.4297859014733723,1.02783859099793,0.174933007808398,0.1568908135860382
90,0.3196387523756292,3.6209589500919668,-1.1405638197007708,1.2867388940973072,32.69757201427088,3.487300824818408,-0.6567078916834436,-0.8282346715612463,0.1872902508380285
91,0.16518221380835024,2.1668428129660593,-1.8007060882898724,0.7732711832209821,108.5824985095552,4.68751023898393,-1.599937006244378,-1.9869280725911418,0.8216593615520031
92,0.2515244042485576,4.645000534137433,-1.3802152593643962,1.5357914872577076,28.32445112080256,3.343725428819963,-0.9991283455657484,-0.2662215398848007,0.1114036637100097
93,0.38048899983785817,3.2536808331327522,-0.9662980118542491,1.1797869195156758,36.554043632900665,3.598791812987517,-0.407712195672903,-1.0695829482880417,0.24621866631511793
94,0.3040835961885773,13.129583430415941,-1.1904526279156125,2.5748679612627354,3.0091602437283416,1.1016610510415998,-0.7279903691705429,2.078562811871698,-1.0736365207011678
