subj_idx,T_round,actual_dist,actual_R,actual_req,is_heavy,mean_rate,n_trials
8,0.5,2,5.0,0.9,1,1.0045515792351245,5
8,0.5,3,1.0,0.4,0,0.9883165405669492,2
8,0.5,3,5.0,0.9,1,1.0585685788565178,3
8,0.9,1,1.0,0.4,0,1.050522586367271,13
8,0.9,1,5.0,0.9,1,0.9580815458884367,3
8,0.9,2,1.0,0.4,0,0.9603721035873344,2
8,0.9,2,5.0,0.9,1,1.00905068048228,3
8,0.9,3,1.0,0.4,0,0.9749146982346384,2
8,0.9,3,5.0,0.9,1,1.0486609950016983,4
9,0.1,1,1.0,0.4,0,1.2457494672034095,2
9,0.1,1,5.0,0.9,1,1.2315256036943047,7
9,0.1,2,1.0,0.4,0,0.9779401843119664,2
9,0.1,2,5.0,0.9,1,1.1512710628334386,7
9,0.1,3,1.0,0.4,0,1.223423950668389,2
9,0.1,3,5.0,0.9,1,1.2198559970830556,7
9,0.5,1,1.0,0.4,0,1.1185285580545572,17
9,0.5,1,5.0,0.9,1,1.0976229028336,2
9,0.5,2,1.0,0.4,0,1.2245477691220985,2
9,0.5,2,5.0,0.9,1,1.0934112711055826,2
9,0.5,3,1.0,0.4,0,0.981750136682784,2
9,0.5,3,5.0,0.9,1,1.1328644818251186,2
9,0.9,1,1.0,0.4,0,1.170107079992079,17
9,0.9,1,5.0,0.9,1,1.0984324996432866,2
9,0.9,2,1.0,0.4,0,1.240117852920792,2
9,0.9,2,5.0,0.9,1,0.9615057382996788,2
9,0.9,3,1.0,0.4,0,1.2278283119786528,2
9,0.9,3,5.0,0.9,1,1.122542618400303,2
10,0.1,1,1.0,0.4,0,1.0627141415890955,6
10,0.1,1,5.0,0.9,1,1.0065688817269909,7
10,0.1,2,1.0,0.4,0,0.8933331263305693,2
10,0.1,2,5.0,0.9,1,0.941451671030046,4
10,0.1,3,1.0,0.4,0,0.994720548166412,2
10,0.1,3,5.0,0.9,1,1.0593818349372257,6
10,0.5,1,1.0,0.4,0,1.0229054961269115,12
10,0.5,1,5.0,0.9,1,1.0297926814746947,5
10,0.5,2,1.0,0.4,0,1.0379267913985393,2
10,0.5,2,5.0,0.9,1,1.0003067328779731,3
10,0.5,3,1.0,0.4,0,0.99211794828373,2
10,0.5,3,5.0,0.9,1,0.974874426231329,3
10,0.9,1,1.0,0.4,0,1.082145181859553,14
10,0.9,1,5.0,0.9,1,1.1191459891262263,5
10,0.9,2,1.0,0.4,0,0.9848381428254258,2
10,0.9,2,5.0,0.9,1,1.082243676395744,2
10,0.9,3,1.0,0.4,0,1.040862695732514,2
10,0.9,3,5.0,0.9,1,1.0327803311923414,2
11,0.1,1,1.0,0.4,0,0.8799468982253013,10
11,0.1,1,5.0,0.9,1,0.9158714259514767,7
11,0.1,2,1.0,0.4,0,0.9116236522053278,2
11,0.1,2,5.0,0.9,1,0.9469488644472012,4
11,0.1,3,1.0,0.4,0,0.92516363610317,2
11,0.1,3,5.0,0.9,1,1.0090037943550776,2
11,0.5,1,1.0,0.4,0,0.9342613562749136,13
11,0.5,1,5.0,0.9,1,0.9956253503198566,6
11,0.5,2,1.0,0.4,0,0.9675515804324918,2
11,0.5,2,5.0,0.9,1,0.9670750342584968,2
11,0.5,3,1.0,0.4,0,0.9078264536073924,2
11,0.5,3,5.0,0.9,1,0.926010726302321,2
