subj_idx,mean_dev_subj,mean_dev_pop,mean_abs_dev_subj,mean_abs_dev_pop,mean_observed,mean_ustar_subj,mean_ustar_pop,subj,omega,kappa,log_omega,log_kappa,omega_z,kappa_z,escape_rate,earnings,mean_vigor,p_heavy,oc_ratio,pct_opt
76,0.465238564523594,-0.10867447895466689,0.465238564523594,0.2804749540529848,1.45139241067744,0.986153846153846,1.560066889632107,76,0.3562224161089587,0.6243342968013718,-1.032199978863096,-0.47106932201241286,-1.2796433259436297,0.7957852731341535,0.46153846153846156,43.0,0.7418423478600543,0.4666666666666667,0.8461538461538461,0.7111111111111111
77,-1.4162341933375011,-0.6566112076275588,1.4162341933375011,0.6566112076275588,1.0837658066624989,2.5,1.7403770142900576,77,25.550973407290435,0.0651903109761735,3.240675414056696,-2.730444425752212,3.6328984049059634,-0.8704882041991212,0.5952380952380952,-1.0,1.45139241067744,0.022222222222222223,0.967741935483871,0.3111111111111111
78,-1.0489787562603157,-0.47747373953790767,1.0489787562603157,0.5300442620392782,1.3632620464152694,2.4122408026755853,1.8407357859531772,78,1.55214389159391,0.0982484658074387,0.43963713111925157,-2.3202556435461483,0.41253361789664916,-0.5679768206938912,0.4878048780487805,63.0,1.0837658066624989,0.4,1.0,0.7333333333333333
79,-1.6998742236501607,-0.765065888172929,1.6998742236501607,0.765065888172929,0.8001257763498392,2.5,1.5651916645227681,79,0.5331923680928496,0.007914066907944,-0.6288730041842792,-4.839113481677083,-0.8159367087157687,-2.425617015942306,0.2926829268292683,-4.0,1.3632620464152694,0.7777777777777778,0.2727272727272727,0.7555555555555555
80,-0.5033527782996525,-0.6700623229356186,0.5112561624455298,0.6700623229356186,1.042080717969964,1.5454334962696166,1.7121430409055827,80,2.408360778846511,0.913120012404267,0.8789463413262866,-0.09088795860925195,0.9176091535569391,1.0761663932795076,0.5897435897435898,65.0,0.8001257763498392,0.2,1.0,0.5333333333333333
81,-1.4771925788554607,-0.9406348222308144,1.4771925788554607,0.9406348222308144,0.6949453166938061,2.1721378955492665,1.6355801389246205,81,0.9595057641396956,0.0935150013553075,-0.04133695611136862,-2.3696334132542316,-0.14044419158801594,-0.6043925835737521,0.15384615384615385,-30.0,1.042080717969964,0.4888888888888889,1.0,0.8222222222222222
82,-0.47445846529845925,-1.0563982646295629,0.47445846529845925,1.0563982646295629,0.9186519025945173,1.3931103678929766,1.97505016722408,82,2.1064039348475285,2.0711234236099307,0.7449821972420502,0.7280911767795946,0.7635900475137705,1.6801578285790137,0.3076923076923077,-52.0,0.6949453166938061,0.17777777777777778,0.9230769230769231,0.4222222222222222
83,-1.3181183449847593,-1.0444789409105728,1.3181183449847593,1.0444789409105728,0.6046849386880894,1.9228032836728488,1.6491638795986623,83,0.1083400971450806,0.0488706633163162,-2.222479952084145,-3.018577994714303,-2.648112916592585,-1.0829847140067295,0.07692307692307693,-43.0,0.9186519025945173,0.9777777777777777,0.0,0.6888888888888889
84,-0.36366092479134837,-0.9391175751643867,0.3663644586355532,0.9391175751643867,0.771173137467463,1.1348340622588113,1.7102907126318496,84,0.9770505102556784,1.3639649068296302,-0.023216928935209075,0.3103958309595267,-0.1196115247111601,1.3721104064429135,0.8095238095238095,122.0,0.6046849386880894,0.3333333333333333,1.0,0.6666666666666666
85,-0.5605002556189805,-0.9272612538181058,0.5605002556189805,0.9272612538181058,0.989872782713924,1.5503730383329044,1.9171340365320297,85,1.2912388131113772,0.7955465662741376,0.25560207780247024,-0.22872589580358765,0.20094778956758302,0.9745118700721466,0.5238095238095238,10.0,0.771173137467463,0.4,0.875,0.6444444444444445
