subj,n_anx,n_conf,anx_sensitivity,conf_sensitivity
123,18,17,0.2112885636821291,0.29913951881771544
124,18,18,0.370402127744094,0.18257418583505536
125,17,16,0.19431609237132447,0.4803844614152614
126,16,18,-0.27469955854575206,0.11173216382546719
127,18,17,0.7190924955066746,-0.02429016822204535
128,18,18,0.2672612419124244,0.4036711566523102
129,16,16,0.027588029392302153,0.36674640281345383
130,14,14,0.31987666868989834,0.5415335524896335
131,18,18,0.5604020680048056,-0.1104315260748465
132,16,14,0.30259267982831833,-0.161627045958809
133,18,18,0.4889577387971994,0.3793199984827198
134,18,18,-0.2533593918376832,0.5126520158510162
135,15,16,0.32961746396719777,0.46010553590477726
136,14,15,0.48304589153964783,0.5778967437740469
137,18,17,-0.5587376953345929,0.27624731005491493
138,17,17,0.1804375793944268,-0.26967994498529685
139,16,16,0.06142951168339513,0.4257140364892044
140,12,14,0.5007733956671916,0.3608556528142821
141,18,16,0.6923162179495079,-0.32680874712537594
142,17,17,0.2590008473745509,0.12723699167472707
143,16,14,,-0.05656854249492382
144,18,18,0.5345224838248488,0.4601950115131127
145,15,16,0.2690691175985249,0.09166984970282112
146,15,15,0.5876425282492703,-0.0730435887238472
147,18,18,-0.270435297474433,0.53627999785488
148,24,26,-0.3647340639031058,-0.08125841525780451
149,18,17,0.4621711666540847,0.1452019116461311
150,15,16,-0.1544505158038039,0.47201329855129903
151,17,17,0.06376727264232777,0.1796172737183081
152,18,18,-0.23853919349187733,0.4509870044124694
153,18,16,0.5777483045827793,0.29617443887954614
154,17,17,0.3216304616266218,0.3492448349808671
155,16,16,-0.3307342033546098,0.4377256923779049
156,18,18,-0.46625240412015695,0.12256206275788524
157,17,16,-0.3773469649595603,0.4117710384345211
158,18,15,,0.26307816842031295
159,16,15,-0.11533364498482665,0.5816931238894899
160,17,17,0.3602000032834558,0.22132669799727467
161,17,16,-0.19132487050499397,0.22467702680655838
162,18,18,-0.4796707554286016,0.24806946917841696
163,18,18,0.2533593918376832,-0.35355339059327373
164,18,18,0.6855691121333187,0.36076332030412667
165,14,13,0.06666666666666668,-0.6917511609943707
166,15,13,0.25599605579485835,0.30751155452175055
167,18,18,0.18038631151757858,0.4510720852380342
168,18,18,0.6859133035828623,0.13197096957968749
169,18,17,0.35193552763424296,0.45019621690004974
170,18,18,0.15430334996209188,-0.04212627318711339
171,7,9,,
172,18,18,0.47809144373375745,0.7637173034581115
173,17,18,0.6143433659055854,-0.07905694150420955
174,18,18,0.27540599291107276,-1.4490517730325963e-17
175,18,16,0.05157106231293965,7.403213911609618e-18
176,18,18,0.34892568970915616,-0.28930649561951294
177,17,15,-0.25092421756969363,-0.39167472590032015
178,17,17,-0.05370861555295745,0.21672493389016623
179,17,18,0.2656063576298651,-0.382919790533742
180,17,16,0.7392080704568716,-0.05802588531856595
181,18,16,0.8201791303344985,0.39977162430339336
182,18,18,-0.03287979746107148,-0.13968605915391563
183,14,14,0.1296189618413031,0.45241392835886396
184,17,16,0.30971251113661413,0.4842001247062523
185,18,18,-0.36565237242299353,0.2485133664023574
186,18,18,0.5682911427735108,0.42495556956903247
187,14,13,-0.36711765740160196,0.45005143738943465
188,17,18,,
189,17,17,1.7022810509853443e-17,-0.01339058891966904
190,15,15,-0.04536092116265142,0.12448382436072777
191,18,17,-0.023162052730604,-0.049318863109739375
192,15,14,0.4681645887845223,0.4130679975805081
193,18,18,0.2248723981711323,
194,16,14,0.07632327769721763,0.12782749814122837
195,18,18,0.3619226767585803,-0.07980868844676221
196,18,18,0.2324952774876385,0.35665207727609277
197,18,16,0.39248089490417537,0.5036051007614966
198,17,15,0.2696799449852968,0.173343811320384
199,13,12,0.38165201860506653,0.7853766175041169
200,17,18,-0.29880715233359845,
201,16,14,-0.5999999999999996,0.3332823298392955
202,18,18,0.21150097584773,0.3202563076101743
203,18,18,0.5786375623578449,0.4990272995132605
204,15,13,-0.4862645390838646,-0.20155644370746376
205,18,18,0.21409492658448256,0.420883424647321
206,11,14,0.07014042140491768,-0.3342516087186933
207,17,16,0.678780087509276,0.3130400444394309
208,18,18,0.6625891564490792,0.20071633017028995
209,15,15,0.5625650191302902,-0.8183918171270463
210,17,17,0.6179450755465238,0.5234516500994624
211,18,17,0.519920268964357,0.24234483597299236
212,18,17,0.5268969506464871,0.1491115261616191
213,16,18,0.39369310315507355,-0.030516751427909137
214,17,16,0.327050493527308,0.629248605413731
215,17,15,-0.16104725417080556,0.14421243717653184
216,18,18,0.566393860323831,0.08933112489671063
217,18,18,0.05241424183609589,0.35028867710151596
218,15,17,0.05423261445466406,-0.37874304916717766
219,17,16,0.07143229040763983,0.31873271606029635
220,18,18,0.3813850356982369,0.7698973538621048
221,17,17,-0.26276913640612176,0.08150562574570894
222,13,14,0.44843500208385956,0.5114275215844097
223,18,16,0.4335549847620603,0.3055341115998233
224,18,18,0.3409971697352367,0.05735393346764044
225,16,16,0.3168472137525357,0.5491327870434588
226,15,15,0.3809200296822319,0.24578384608565207
227,17,16,0.3300736508307067,0.46752458221218435
228,18,18,,-0.16888013236829963
229,13,12,0.5853524924804494,0.3866544466698502
230,17,17,0.30470081699217755,-0.06591512432573128
231,18,17,0.42431443773227734,0.32920554166021243
232,18,18,0.049613893835683445,0.4875499133758376
233,18,16,0.16296016874534214,-0.08451301084989292
234,16,16,0.07947194142390261,0.4545454545454546
235,18,18,0.47682449950056505,-0.09128709291752767
236,17,18,0.47157721142730175,0.38259943876167196
237,16,16,0.5918640302493728,0.5025947538163831
238,17,17,0.1020461291537711,0.23048861143232216
239,17,18,0.5516592590284157,0.417910696978853
240,18,17,-0.02857142857142857,-0.4080973947682762
241,18,15,-0.651277755553253,-0.012807887989464013
242,14,13,0.44971901339751685,0.3660490330955575
243,18,17,-0.007737074167387588,0.3854826371931793
244,18,17,0.6151390672141492,0.522159943610585
245,14,13,-0.3676073110469038,0.45254902434406574
246,13,12,0.7381013824629046,0.020650405139109998
247,18,18,,0.28364867381305003
248,18,18,0.17078672353593774,0.17996635263216296
249,17,17,-0.19824814143238603,
250,18,18,0.37796447300922725,0.30279561261605126
251,13,12,0.29982090167513886,0.6605782590758164
252,18,15,0.01585903699238878,0.09012760973486356
253,16,13,0.6460164443441757,-0.1748209003187664
254,18,16,0.03685748447495353,-0.158113883008419
255,18,18,0.41876494321982455,0.4831676882868028
256,18,16,0.306381676672686,0.19876804088541045
257,12,15,0.6767155423319646,0.3089346247063329
258,14,15,0.14285714285714288,-0.34403123102809335
259,17,14,0.015608242329308181,0.28690952087850224
260,18,17,0.15380349976636007,-0.06546536707079773
261,13,12,0.5576768754791392,0.4472135954999579
262,14,13,-0.03843312210120437,0.20690147215059201
263,8,12,0.3626456117321165,0.19950186722152644
264,16,16,0.22666666666666674,0.4598785172768364
265,17,16,-0.5128498623119717,0.014892235053625663
266,11,10,0.4370415209168243,-0.1842105263157894
267,17,15,-0.07082882469748282,-0.3370999312316209
268,18,18,0.4125684985035173,-2.18068397039413e-18
269,17,18,0.56213630901846,0.22360679774997888
270,17,16,0.2779428938689605,-0.24939668530906955
271,16,16,0.33895960971961936,0.03629770043203137
272,18,17,-0.1865009616480628,-0.4668497809239263
273,17,18,0.29252059656302987,-0.3952847075210473
274,18,18,0.46189513262108767,-0.17857142857142852
275,13,15,0.3181626117266757,0.36440544440674755
276,13,13,0.14804263255749028,-0.11234897464340375
277,15,15,0.1249357491604943,-0.020915193504605294
278,16,13,-0.3335981463509356,0.3997513431667696
279,18,18,0.17820842224272612,0.2080014934676084
280,16,17,0.004288686763079615,-0.05584936517783629
281,12,12,0.16159243711377366,0.19851666679418606
