feature,n,beta_omega,p_omega,beta_kappa,p_kappa,r2,sample,test,clinical,beta_feat,p_feat,r2_full,r2_base,delta_r2
anx_state_sd,286,,,,,,exp,B_clinical_vs_feature_controlling_params,AMI_Total,-0.023941181049810425,0.6877311923693281,0.010267449031511444,0.009699280755046003,0.0005681682764654417
anx_state_sd,286,,,,,,exp,B_clinical_vs_feature_controlling_params,AMI_Social,-0.03881043626895796,0.5138619523441351,0.014571878698565355,0.013078799349019676,0.0014930793495456784
anx_state_sd,286,,,,,,exp,B_clinical_vs_feature_controlling_params,PHQ9_Total,0.06203539886679943,0.29846153088716565,0.008569870092847487,0.004755129617108778,0.0038147404757387093
anx_state_sd,285,,,,,,exp,B_clinical_vs_feature_controlling_params,STAI_Trait,0.01097973250802582,0.8544097729937021,0.004360331603426859,0.004240811111792753,0.00011952049163410638
anx_state_sd,286,,,,,,exp,B_clinical_vs_feature_controlling_params,OASIS_Total,0.05567549388834128,0.3506967971158717,0.008401406581458604,0.005328750194853904,0.0030726563866046996
conf_trait,288,,,,,,exp,B_clinical_vs_feature_controlling_params,DASS21_Anxiety,-0.09585764719919479,0.11441183281000925,0.013212804472832573,0.004499917876719328,0.008712886596113245
conf_trait,288,,,,,,exp,B_clinical_vs_feature_controlling_params,DASS21_Depression,-0.1726081566274652,0.0042072225987097684,0.036394145635104014,0.008143318989337178,0.028250826645766836
conf_trait,288,,,,,,exp,B_clinical_vs_feature_controlling_params,AMI_Total,-0.241130643973199,5.5976848169011405e-05,0.06449038230173243,0.009357164155779363,0.05513321814595307
conf_trait,288,,,,,,exp,B_clinical_vs_feature_controlling_params,AMI_Social,-0.25697103889366324,1.6340926797322524e-05,0.0752635635291905,0.012648778804917327,0.06261478472427318
conf_trait,288,,,,,,exp,B_clinical_vs_feature_controlling_params,PHQ9_Total,-0.15942847414475753,0.008261471686902656,0.032521513406794544,0.008420222191522608,0.024101291215271936
conf_trait,287,,,,,,exp,B_clinical_vs_feature_controlling_params,STAI_Trait,0.15713898511494065,0.009507658442942683,0.02630898780507429,0.0028523856618252186,0.023456602143249072
conf_trait,288,,,,,,exp,B_clinical_vs_feature_controlling_params,OASIS_Total,-0.14598430566367973,0.015739184620150504,0.0277000971569612,0.007492211848407759,0.02020788530855344
conf_react_T,288,,,,,,exp,B_clinical_vs_feature_controlling_params,DASS21_Anxiety,-0.03876912055882786,0.5128512287170236,0.006002547896751698,0.004499917876719328,0.0015026300200323695
conf_react_T,288,,,,,,exp,B_clinical_vs_feature_controlling_params,DASS21_Depression,-0.03780774845770567,0.5226036910335393,0.009572350455293588,0.008143318989337178,0.0014290314659564096
conf_react_T,288,,,,,,exp,B_clinical_vs_feature_controlling_params,AMI_Total,-0.03235281500822621,0.5841208798693901,0.010403580009735625,0.009357164155779363,0.0010464158539562618
conf_react_T,288,,,,,,exp,B_clinical_vs_feature_controlling_params,AMI_Social,-0.08175685700293811,0.16528017103405324,0.019331118310813356,0.012648778804917327,0.006682339505896029
conf_react_T,288,,,,,,exp,B_clinical_vs_feature_controlling_params,PHQ9_Total,-0.07006134060966182,0.2356379756715805,0.013327459362962202,0.008420222191522608,0.0049072371714395935
conf_react_T,287,,,,,,exp,B_clinical_vs_feature_controlling_params,STAI_Trait,-0.03025651890656146,0.6105295280927328,0.0037675908720845586,0.0028523856618252186,0.00091520521025934
conf_react_T,288,,,,,,exp,B_clinical_vs_feature_controlling_params,OASIS_Total,0.0061091324539447635,0.9177752076215416,0.0075295230507747,0.007492211848407759,3.7311202366940854e-05
conf_react_D,288,,,,,,exp,B_clinical_vs_feature_controlling_params,DASS21_Anxiety,0.07712439747803418,0.19388543273991385,0.01040909899780551,0.004499917876719328,0.005909181121086182
conf_react_D,288,,,,,,exp,B_clinical_vs_feature_controlling_params,DASS21_Depression,0.015811832363336754,0.7898841812402743,0.008391694135613137,0.008143318989337178,0.0002483751462759587
conf_react_D,288,,,,,,exp,B_clinical_vs_feature_controlling_params,AMI_Total,-0.07725009445027207,0.1920665455158295,0.015285622482989814,0.009357164155779363,0.005928458327210451
conf_react_D,288,,,,,,exp,B_clinical_vs_feature_controlling_params,AMI_Social,-0.04300831197791875,0.46739701406645884,0.014486368420761564,0.012648778804917327,0.0018375896158442373
conf_react_D,288,,,,,,exp,B_clinical_vs_feature_controlling_params,PHQ9_Total,-0.006722408126218611,0.9097958633113986,0.008465116727208066,0.008420222191522608,4.489453568545798e-05
