subj,n_anx,n_conf,anx_sensitivity,conf_sensitivity
238,17,18,0.13858079336967016,0.3338353889066906
239,16,16,-0.11268723396380217,0.027651331619267215
240,17,17,-0.20787829092616633,-0.08252816147169062
241,17,18,-0.03739787960033828,0.25103950552320103
242,17,18,0.42581344192299686,0.5949223346535771
243,17,18,0.5541741646263713,0.43349784815083797
244,17,18,0.40686922462536085,0.17666406279377406
245,16,17,0.3045000927970466,0.34732273524277363
246,15,15,0.3450327796711771,0.24525573579398627
247,17,17,0.3224469744632013,-0.03521952548220525
248,17,17,-0.07382051587616183,0.1725884442983045
249,17,18,0.27502315041620035,0.19491172578304183
250,13,15,0.4114089695689632,0.31390158004444224
251,14,17,0.6617241025372945,0.47673129462279623
252,16,17,0.463625911097286,0.40529827465781854
253,16,18,-0.009116183145740328,0.4664004843101107
254,14,17,0.24635867767008196,-0.18184824186332704
255,10,9,0.37692181040762324,-0.115278083540847
256,17,18,0.1734763496478622,-0.3086066999241838
257,16,16,0.34641016151377557,0.02496102881496589
258,18,17,-0.2995588441224328,-0.012944509326962474
259,15,16,0.28786005023501143,0.440485219740501
260,16,17,0.6454972243679029,0.17344900457298948
261,18,18,0.26049403612586386,-0.550148560169577
262,18,18,0.12924255252847944,0.1865009616480626
263,14,14,0.2475937842360692,-0.20501280483285284
264,14,15,0.3757528421268353,0.5044314012585533
265,18,17,-0.24206330594147113,0.6629935441317958
266,18,18,0.4111077531068183,0.30711748375021775
267,15,13,0.09449111825230683,-0.15811388300841897
268,17,18,0.18043757939442695,-0.29160592175990213
269,18,18,0.34645116407786697,0.5043416154912056
270,16,15,0.3365501348476825,0.44367825470805694
271,16,14,0.26531313848453486,0.5337039672612834
272,17,17,0.1430950400125402,0.4462186808181736
273,18,17,0.19894589252079756,0.2422231041687786
274,17,16,0.3055050463303894,0.584063870042052
275,16,14,-0.5065022237046951,0.050244842317626395
276,18,17,0.34412360080584264,0.5840479543556445
277,16,18,0.2930802213193075,0.06418512010382309
278,13,15,-0.4849544249817966,0.13034681147667523
279,16,16,-4.67760015292159e-20,0.2805752076422645
280,16,16,0.023624625309031245,-0.4472135954999579
281,17,17,-0.4622011937488101,0.11002971203391537
282,18,18,0.1514456332038457,0.26710361214824774
283,14,15,0.02480694691784164,0.16937687147353955
284,16,16,-0.24999999999999994,0.10394383930128562
285,18,18,-0.22017621148199482,0.5060504806837997
286,16,15,0.19838707044279752,0.24035428134928546
287,17,14,0.29914902555438744,0.22391714737574006
288,15,17,0.12309149097933272,-0.03054236108907632
289,16,17,0.3163585196986779,0.3880626364481786
290,17,14,0.1788740922268697,0.2500462406366666
291,17,18,0.12206826881567391,0.40201512610368484
292,17,18,0.20254787341673336,-0.10113472848214099
293,17,17,-0.08141911742155071,0.12201634436518578
