subj,n_anxiety,anxiety_coupling,n_confidence,confidence_coupling,sample
51,18,-0.014676349117701264,18,-0.006401818568600253,conf
52,18,-0.00030725156145848266,18,0.0032028949872960504,conf
53,17,-0.002609714892032488,17,-0.01350041849122265,conf
54,18,0.01528028274094353,18,0.01621236456791184,conf
55,18,0.03390190689340584,18,0.022773842950078227,conf
56,18,-0.0013071265158172318,18,0.029146887165187294,conf
57,17,0.02415364473859566,18,0.07083914989006505,conf
58,18,0.011576789399152583,18,-0.011724119126103513,conf
59,18,0.029477578695924152,18,-0.02534073674498911,conf
60,18,0.008496085269355797,18,-0.013282401802346019,conf
61,18,0.003293341195032498,18,0.002920033957956371,conf
62,18,-0.009863238494892089,18,-0.013743605941834736,conf
63,18,-0.004568129473292494,18,-0.02096402877769785,conf
64,18,-0.002484336835143922,18,-0.006532006481519672,conf
65,16,-0.00652792430309021,18,-0.027809380019328676,conf
66,18,-0.013826181240453218,18,0.010878321007145697,conf
67,18,0.013753474934270654,18,0.09764851575129911,conf
68,18,-0.02182198310491144,18,0.0032517988312843306,conf
69,18,-0.019796605839643974,18,-0.006002360047721981,conf
70,18,-0.006077931016573991,18,-0.015825678096518327,conf
71,18,0.005445237023372691,18,-0.0018791089119440478,conf
72,18,-0.03577152078412173,18,-0.038439228322589655,conf
73,18,-0.04161060932883318,18,0.028044272897999097,conf
74,18,0.010692377570342295,18,0.006920875685869459,conf
75,18,-0.00027476492283681536,16,0.016271495268627423,conf
76,18,-0.014021740511996906,18,-0.0036886119775341748,conf
77,18,0.023803260671945117,18,0.01669483809691942,conf
78,18,0.0035510760207950564,18,0.0058950555220555955,conf
79,18,0.0012918770946395508,18,-0.037071222564329584,conf
80,18,0.0032049951817805424,18,-0.0035872231032229944,conf
81,18,-0.00019654814428505583,18,-0.015597446326008554,conf
82,18,-0.008086663940734441,18,0.011176833806348537,conf
83,18,0.022509151621142486,18,0.057951184092010596,conf
84,18,0.05520459649432611,18,-0.049927307322757984,conf
85,18,0.010274623278605703,18,0.02362267489029238,conf
86,16,-0.01862969117900855,16,-0.011743185126060752,conf
87,18,-0.00599881423873572,18,-0.03142611312832279,conf
88,18,-0.0021328790880992894,18,0.011842714220294275,conf
89,18,0.005741695350185466,18,0.009857784587939662,conf
90,18,0.0067925636486522245,18,0.024347644575771456,conf
91,18,0.025565740441955982,18,0.024178080170748798,conf
92,18,-0.0022405556167845566,18,-0.009313427123051965,conf
93,18,0.01881444241361149,18,0.0024216712130850945,conf
94,18,-0.0188576781369927,18,0.03694503519157379,conf
95,18,-0.000483697659541769,18,0.0008517779754418254,conf
96,18,-0.0018496218309441697,18,0.013715035039066502,conf
97,17,0.04585755687961042,18,-0.016228695883622163,conf
98,18,0.005427192137930271,18,0.01896037575367798,conf
99,18,0.003745665468224754,17,-0.054963419428941805,conf
100,17,0.07059022670513757,18,-0.10995744608343117,conf
101,18,4.810516296348429e-05,18,0.0008398078365948486,conf
102,18,-0.02246156516979705,18,-0.02307554709041309,conf
103,18,,18,,conf
104,18,0.025666219499203398,18,0.0426379694530405,conf
105,18,-0.014652710101078504,18,-0.03896559476464418,conf
106,18,-0.02062561214532992,18,0.02674370455551665,conf
107,18,0.015465053192898861,18,0.0028072852174410162,conf
108,16,0.0036712797486603277,15,-0.003546919850065211,conf
109,18,-0.028447399959898773,18,-0.0005419106449413422,conf
110,18,-0.0040202965257179115,18,-0.004777617276728521,conf
111,18,0.0028616168523055807,18,0.019880299831349348,conf
112,18,0.014591514999266074,17,0.01373384017300195,conf
113,18,0.007962078177585017,18,-0.005394774425539216,conf
114,18,0.010778150412647342,18,0.0033296370873094,conf
115,18,0.013785444902919688,18,0.027653780610058503,conf
116,18,0.10056880173970019,18,-0.1263456592027514,conf
117,18,-0.005048093513250767,18,0.011644522543883599,conf
118,18,-0.0033632349391460215,18,0.00040123731442692035,conf
119,18,0.05867524000595345,18,0.006017877451395086,conf
120,18,0.0034474771282680954,18,-0.024819368706974834,conf
121,18,-0.04581546504964802,18,0.018373359956567067,conf
122,18,-0.05303705060975397,18,0.018525397389131417,conf
123,18,-0.057663179808720315,18,-0.027843851960655204,conf
124,18,0.015269754343568068,18,0.02169246170264714,conf
125,18,-0.008455437281558556,18,-0.007940972747059715,conf
126,18,0.007545022685473952,18,-0.032041892100088544,conf
127,18,-0.00043665640060381884,18,-0.0030507785322711734,conf
128,18,0.006989212996783923,18,0.039612358845710065,conf
129,18,0.0044696456335990235,18,0.006397640472840111,conf
130,18,0.00687208759959361,18,0.013656055527543277,conf
131,18,-0.0007620626861923312,17,-0.0422916432661896,conf
132,18,-0.023030613115258447,18,-0.007576788074579058,conf
133,18,-0.02859028347974988,18,-0.08687899509492808,conf
134,18,-0.0702305950073271,18,0.0077898762430667415,conf
135,18,0.008314809605944894,18,0.006821542950082,conf
136,18,0.022852158603610916,18,0.1307971157063888,conf
137,18,-0.004443914431202253,18,0.009232859569554244,conf
138,18,-0.0026989209550605277,18,0.051043289156036224,conf
139,18,0.0058946064615209535,18,-0.021182322308538597,conf
140,16,0.014042507801968404,17,0.00883156911904456,conf
141,18,0.035090341019037206,18,-0.03397597510326769,conf
142,18,0.019371879326239023,18,0.033607893695495786,conf
143,18,-0.01620396800233501,18,-0.022580732897708275,conf
144,18,0.017993413594264766,18,0.015050956630452002,conf
145,18,-0.01691653302019106,18,0.007827188060187106,conf
146,18,0.001381238979108773,18,0.0007826423516623373,conf
147,18,-0.006124668994961239,18,-0.016959155757798133,conf
