subj,omega,kappa,log_om,log_kap,pred_earn,shortfall
130,0.2683293688255954,0.0223850162070393,-1.315540064903827,-3.7993634632760998,0.9320007298082218,0.016087801246754907
131,0.5846883235822715,0.0687459368894673,-0.5366763539293281,-2.677337643971484,0.8803073711657352,0.0677811598892415
132,0.5531072258172255,0.1655158865000983,-0.5922033978520054,-1.7986880978347048,0.8510705349343699,0.0970179961206068
133,0.5093091505851994,0.1358809720541278,-0.6747000782684951,-1.9959759819463707,0.8649869549849856,0.08310157606999113
134,1.6372698096839762,5.406965643942234,0.4930301044069924,1.6876880563834233,-0.10666802824307843,1.0547565592980552
135,0.8355314900287291,0.1067027790807043,-0.17968724161657046,-2.2377080752713057,0.832287862745758,0.11580066830921876
136,0.6652853742449448,0.2952878010835695,-0.4075391961751063,-1.219804801334216,0.8012845546201623,0.14680397643481435
137,0.7108721635664548,0.1688159233209154,-0.341262663422631,-1.77894636879943,0.8308516391315487,0.11723689192342801
138,0.8254107001516958,0.1723122305922277,-0.19187419815221848,-1.7584471536829698,0.8132909425006086,0.13479758855436808
139,2.136707036708331,0.8691976166741239,0.7592658760212372,-0.14018477258000933,0.4059280314967314,0.5421604995582453
140,0.8298746690270317,0.1420752623190667,-0.18648059076556928,-1.951398345458466,0.8217168508125542,0.1263716802424225
141,2.6520596102565586,0.5443445461063536,0.9753365495433086,-0.6081728757988225,0.381594842054221,0.5664936890007557
142,1.0273841863203734,0.1206227243800041,0.027015946992115274,-2.1150875847444275,0.7957721994326075,0.15231633162236924
143,1.6099302362720205,0.0854624284566903,0.4761908465494729,-2.459678432873594,0.6927300508591708,0.25535848019580587
144,0.9771027058113844,0.3871941468955067,-0.023163508808998628,-0.9488290401828477,0.7297525283034861,0.21833600275149057
145,0.1778636874531566,0.0513958063906942,-1.7267378228902541,-2.968198697579162,0.9208636326939506,0.02722489836102615
146,5.076665409426913,0.7977985247269616,1.6246546305882892,-0.22589918868907405,0.045360721503376306,0.9027278095516004
147,1.511781530153829,0.2485226342321947,0.4132887766785613,-1.3922213541639423,0.6657931052174042,0.2822954258375725
148,0.8473536180758061,0.6263847569440185,-0.1656371766801472,-0.46779046898218746,0.6911034356806856,0.25698509537429115
149,1.0080986266411245,0.2533544208940075,0.008066008752780128,-1.3729658974630752,0.7600749016574162,0.1880136293975605
150,0.2724439976404357,0.0708133402937428,-1.3003221992456868,-2.6477078738036957,0.9071691113341364,0.040919419720840344
151,0.9341693491039706,0.189379008936937,-0.06809754123190388,-1.6640049336386122,0.7907925058142518,0.15729602524072495
152,5.716592768729516,0.0035853268440611,1.7433729581074338,-5.630905639194755,0.0830481854595463,0.8650403455954304
153,7.809267182520039,0.668031778640187,2.0553111287859753,-0.40341953376239054,-0.09690239807786684,1.0449909291328436
155,0.7585394989130726,0.0789508694996215,-0.27636040651569294,-2.5389295250463695,0.8534632022023942,0.09462532885258246
156,1.4176465008836447,0.1903996300768907,0.3489981028727623,-1.6586300995002328,0.7006699198888937,0.247418611166083
157,0.9501736544451196,0.0491850216761824,-0.05111051693960855,-3.012166139310338,0.8340381764863196,0.11405035456865709
158,0.5639827638511326,0.0099430191835178,-0.5727315884986985,-4.610884563636992,0.9119425465824151,0.036145984472561565
159,1.115592670118264,0.4949560277619392,0.1093858064002609,-0.7032863531634772,0.677715219924098,0.2703733111308787
160,0.5377317634918172,0.103991249937732,-0.6203954240233513,-2.2634485185944455,0.8726198284225615,0.07546870263241523
161,0.6076808366605211,0.4479868776353289,-0.4981054745481431,-0.8029913379887108,0.7694379678411412,0.17865056321383554
162,0.3068111704283957,0.0436238849853672,-1.1815228006720677,-3.132150457860862,0.9174410693447217,0.03064746171025501
163,2.469520673620952,0.3388509749022607,0.9040240725451782,-1.0821948703132267,0.45671018548036074,0.49137834557461596
164,0.7337029280160324,0.3858753178174515,-0.30965106251639324,-0.9522409725321607,0.768412334179089,0.17967619687588765
165,0.5680260292777289,0.0772385676072124,-0.5655880351177889,-2.5608563662958446,0.878936829422899,0.06915170163207773
166,2.206793375685077,0.1919484087755624,0.7915405006376063,-1.6505286473557683,0.5414247725320048,0.4066637585229719
167,0.7383227127865747,1.7357951611486688,-0.3033742697621777,0.5514656145462031,0.4589221018455688,0.4891664292094079
168,1.0355089201068428,0.2607936506233859,0.03489301611561942,-1.3440257949952281,0.7533969971226773,0.19469153393229943
169,0.445572995000759,0.1550838083568103,-0.8083941958842675,-1.8637896091117698,0.864716959173154,0.08337157188182265
170,1.1828097602856318,0.320825246673741,0.1678927608099844,-1.1368587069787184,0.7101511150578004,0.23793741599717633
171,0.312798558382974,0.0693284615888466,-1.1621958790716844,-2.6688997559631495,0.9052561644005083,0.042832366654468434
172,1.479289219761318,0.4710164214135339,0.3915617154977052,-0.752862320576602,0.6152100444940215,0.3328784865609552
173,1.17474409811473,0.0842569467943674,0.1610503350381615,-2.4738842586163035,0.7803759296121815,0.1677126014427952
174,0.830477767953833,0.1144898743191849,-0.18575411975870004,-2.1672688937919315,0.8305072486563996,0.11758128239857712
175,1.1730117575071777,1.0368793411433876,0.15957459307138333,0.036215568710540554,0.5394559210142189,0.4086326100407578
176,0.3289693337674825,0.4317287168384356,-1.1117907429943115,-0.8399578582753479,0.7994099807970662,0.14867855025791055
177,0.4287183256801251,0.0473649566667903,-0.8469551591956738,-3.049872634533337,0.9056700487876855,0.04241848226729117
178,0.2421028282287,0.0616109042488375,-1.4183927330382053,-2.7869164070817454,0.9128391142217204,0.03524941683325633
179,0.7904395775720826,0.427716455361522,-0.23516606096290843,-0.8492947904152136,0.7494911619516537,0.19859736910332304
180,0.503641540362516,0.1401372180875742,-0.6858904933938672,-1.9651332071888712,0.864172387816107,0.08391614323886976
181,0.7241603147159977,0.0918754570824953,-0.32274248194249733,-2.387321346413944,0.8537818804808222,0.09430665057415455
182,1.4693039214655588,0.4631882461624651,0.3847887658307686,-0.7696217283422332,0.6191362991072615,0.32895223194771517
183,0.987702912702637,0.0852242725879869,-0.012373322097373785,-2.4624689961898207,0.8143978904219991,0.13369064063297764
184,9.876043809334602,1.4392203428003525,2.2901120074121994,0.36410153835164544,-0.19028149525617585,1.1383700263111525
185,0.6565679568022049,0.8140720155623035,-0.4207290768078854,-0.20570644568618215,0.6751797374359546,0.2729087936190221
186,2.36853710419588,0.6827580845790788,0.862272508952812,-0.38161467749875305,0.40271175465846404,0.5453767763965127
187,1.7004579507083153,0.350085771290722,0.5308975975547442,-1.049577093690544,0.6021497507632888,0.3459387802916879
188,6.875214343295069,0.9950489076935408,1.9279228202731915,-0.00496338957069101,-0.0803338680858416,1.0284223991408183
189,3.2566928722679123,0.668079893742688,1.1807122241099628,-0.4033475111859604,0.2648760792471786,0.6832124518077981
190,0.7333901533090655,0.1742991223211056,-0.31007744952030863,-1.746982361918607,0.8261450370418509,0.12194349401312576
