item,F1,F2,F3,n_factors
MFIS_item_20,0.708033475179054,0.33217114825503624,0.07957095660923393,3
OASIS_item_0,0.4320720259001038,0.5218031470797296,0.36191036922152964,3
OASIS_item_1,0.41653520916764886,0.5575943539300813,0.2997365872477552,3
OASIS_item_2,0.39641353463837026,0.5113030378028122,0.30463398561096283,3
OASIS_item_3,0.4873118010412708,0.5362360982814394,0.23604369068355155,3
OASIS_item_4,0.44262791897799003,0.5409482361494433,0.3070513465917003,3
STAI_item_0,-0.27098262793880723,-0.311980062341844,-0.6813875608806665,3
STAI_item_1,-0.27973499762546156,-0.3958436178994535,-0.6528933730231788,3
STAI_item_2,-0.21118751899724497,-0.4224554724066285,-0.3571071858376414,3
STAI_item_3,-0.3124207892203617,-0.3952518886743083,-0.4661969934371964,3
STAI_item_4,-0.21047339883658825,-0.27497409909761766,-0.6266902440985955,3
STAI_item_5,-0.17530120072030028,-0.5194314013658322,-0.30655454772835616,3
STAI_item_6,-0.3119369805287984,-0.6001828215303753,-0.33147824884425553,3
STAI_item_7,-0.350331281708107,-0.23850802559302964,-0.7178086447786481,3
STAI_item_8,-0.19608579188764413,-0.6316358170398355,-0.11351167519587477,3
STAI_item_9,-0.29431333962416856,-0.5476834777930301,-0.39019762228142346,3
STAI_item_10,-0.34791975469196257,-0.2151616864237119,-0.6840333391088449,3
STAI_item_11,-0.2513097473493703,-0.5815791953540507,-0.3685346151744746,3
STAI_item_12,-0.28149024140562695,-0.5275532857023314,-0.3218327882832223,3
STAI_item_13,-0.31833890278362914,-0.519382898202744,-0.28297850020463244,3
STAI_item_14,-0.28856609065573113,-0.31079833009961394,-0.701134960646718,3
STAI_item_15,-0.30360959582780955,-0.26859688717080216,-0.7150851073779404,3
STAI_item_16,-0.28426286726615363,-0.600142710277244,-0.3279605575704871,3
STAI_item_17,-0.21177834531630205,-0.575396498945058,-0.10233896692922197,3
STAI_item_18,-0.21635589291286483,-0.23376182590140593,-0.5460780201727126,3
STAI_item_19,-0.2999244718049169,-0.2774934247537228,-0.7073151907783154,3
STICSA_item_0,0.22893836186627975,0.5909417354718033,0.16931671586959457,3
STICSA_item_1,0.34370177459721857,0.5079351108959818,0.31908649308418563,3
STICSA_item_2,0.33982042390709605,0.624738120537485,0.23656881835994475,3
STICSA_item_3,0.3573932421484944,0.5506506870604114,0.28279904528649763,3
STICSA_item_4,0.37943122485234854,0.5450871634838638,0.25255634732544013,3
STICSA_item_5,0.20807609350085157,0.5809142659203017,-0.004476922942242404,3
STICSA_item_6,0.40381988058480517,0.5068505175931461,0.1462146740818741,3
STICSA_item_7,0.28806969577306474,0.625375139825875,0.1305980388924716,3
STICSA_item_8,0.3694075869530507,0.579236972453206,0.31861299804940396,3
STICSA_item_9,0.38389274895094644,0.6104921215194525,0.2399092940127368,3
STICSA_item_10,0.49033346893165186,0.42426408355392353,0.12374286289626875,3
STICSA_item_11,0.24925024572459414,0.5236376177487826,0.11857702821935,3
STICSA_item_12,0.38182246198085845,0.5827121688899309,0.2602928072879713,3
STICSA_item_13,0.3361646524104925,0.6034936614976413,0.16525949142041685,3
STICSA_item_14,0.2389240970484138,0.585459169916586,0.13106379474738286,3
STICSA_item_15,0.3059757611046754,0.4961305204458049,0.1507354156587659,3
STICSA_item_16,0.431365128210183,0.5174620911963305,0.29067501762463993,3
STICSA_item_17,0.1787708558267257,0.7034990557949143,0.06901144065772805,3
STICSA_item_18,0.376910420738416,0.6007699529104246,0.27639889656247485,3
STICSA_item_19,0.16434347726063858,0.5162624868427531,0.011788621313831403,3
STICSA_item_20,0.20319466631118813,0.5677010071024667,0.07253112113304605,3
