outcome,sample,model,predictor,N,R2,beta,se,t,p
kappa_z,confirmatory,contrasts_only,confidence_intercept_HvL,281,0.07827087945011746,-0.16059937919697664,0.11141713952883484,-1.441424361423436,0.15060671421591298
kappa_z,confirmatory,contrasts_only,confidence_slopeT_HvL,281,0.07827087945011746,0.057544186462001566,0.09600197303672554,0.5994062897018589,0.5493972889933713
kappa_z,confirmatory,contrasts_only,confidence_slopeD_HvL,281,0.07827087945011746,-0.21810149713653354,0.07507331422302439,-2.9051800815481186,0.003969809342466464
kappa_z,exploratory,contrasts_plus_light,anxiety_intercept_HvL,290,0.06333111367556299,0.10422357961617608,0.1138357634103159,0.9155609493345853,0.3606935646286384
kappa_z,exploratory,contrasts_plus_light,anxiety_slopeT_HvL,290,0.06333111367556299,0.02280539085400767,0.10235806920665597,0.2228001273447694,0.8238552687555271
kappa_z,exploratory,contrasts_plus_light,anxiety_slopeD_HvL,290,0.06333111367556299,0.16336975438979834,0.09071514381248391,1.8009093909115972,0.07280475620480205
kappa_z,exploratory,contrasts_plus_light,confidence_intercept_HvL,290,0.06333111367556299,-0.29950649092356135,0.12071666853289163,-2.4810698850751907,0.013692629909340871
kappa_z,exploratory,contrasts_plus_light,confidence_slopeT_HvL,290,0.06333111367556299,-0.20044860399867725,0.09114498277798805,-2.1992280637863764,0.028688161822148034
kappa_z,exploratory,contrasts_plus_light,confidence_slopeD_HvL,290,0.06333111367556299,-0.1039763060968261,0.09074920364371172,-1.145754474111365,0.2528856309938176
kappa_z,exploratory,contrasts_plus_light,anxiety_light_intercept,290,0.06333111367556299,0.06058560285768726,0.09715319935511899,0.6236089316650488,0.5333976109600117
kappa_z,exploratory,contrasts_plus_light,anxiety_light_slopeT,290,0.06333111367556299,-0.06178172291994473,0.10029815365229591,-0.6159806603631381,0.5384131115318996
kappa_z,exploratory,contrasts_plus_light,anxiety_light_slopeD,290,0.06333111367556299,0.011935286345950478,0.08624209896510043,0.13839280918684885,0.8900305326681424
kappa_z,exploratory,contrasts_plus_light,confidence_light_intercept,290,0.06333111367556299,-0.2374982270737336,0.09636625464351198,-2.464537279697251,0.014326227066180627
kappa_z,exploratory,contrasts_plus_light,confidence_light_slopeT,290,0.06333111367556299,-0.09424518965148154,0.1031320967529135,-0.9138298611079009,0.3616009800297984
kappa_z,exploratory,contrasts_plus_light,confidence_light_slopeD,290,0.06333111367556299,-0.1173493776986567,0.08874661363480515,-1.32229696314445,0.18716006531515533
kappa_z,confirmatory,contrasts_plus_light,anxiety_intercept_HvL,281,0.13533008592181717,0.2974083060916592,0.11167539717412592,2.6631497502349224,0.008209814886243078
kappa_z,confirmatory,contrasts_plus_light,anxiety_slopeT_HvL,281,0.13533008592181717,0.22674484061557795,0.10063586242915365,2.253121652087032,0.025060283760979993
kappa_z,confirmatory,contrasts_plus_light,anxiety_slopeD_HvL,281,0.13533008592181717,-0.14684026471007655,0.09424016458963301,-1.5581494933661213,0.12037789102568229
kappa_z,confirmatory,contrasts_plus_light,confidence_intercept_HvL,281,0.13533008592181717,-0.20565483080960642,0.12424284026611727,-1.65526504681567,0.09904124743407863
kappa_z,confirmatory,contrasts_plus_light,confidence_slopeT_HvL,281,0.13533008592181717,0.1013182871333689,0.10485319137475041,0.9662871087180591,0.33477168742502406
kappa_z,confirmatory,contrasts_plus_light,confidence_slopeD_HvL,281,0.13533008592181717,-0.2538699760779959,0.07721439197076455,-3.2878582554158804,0.0011444147044538254
kappa_z,confirmatory,contrasts_plus_light,anxiety_light_intercept,281,0.13533008592181717,-0.045257123553645605,0.10377600627287736,-0.43610392400958964,0.6631124163684619
kappa_z,confirmatory,contrasts_plus_light,anxiety_light_slopeT,281,0.13533008592181717,-0.029134759165336203,0.10352796317727168,-0.28141922502086264,0.7786060374833617
kappa_z,confirmatory,contrasts_plus_light,anxiety_light_slopeD,281,0.13533008592181717,-0.2623776756503854,0.09507076327939679,-2.7598145486567947,0.006182291770279305
kappa_z,confirmatory,contrasts_plus_light,confidence_light_intercept,281,0.13533008592181717,-0.1446462897803409,0.0925575679812169,-1.5627710724820965,0.11928648062502573
kappa_z,confirmatory,contrasts_plus_light,confidence_light_slopeT,281,0.13533008592181717,0.048469253017087224,0.09407486988396024,0.515219984644924,0.6068240095065075
kappa_z,confirmatory,contrasts_plus_light,confidence_light_slopeD,281,0.13533008592181717,-0.11124627239105443,0.07683181603617319,-1.447919340324828,0.1488084385533156
