mediator,outcome,a_omega,a_kappa,b,c_omega,c_kappa,cprime_omega,cprime_kappa,indirect_omega,ind_om_lo,ind_om_hi,p_omega,indirect_kappa,ind_kp_lo,ind_kp_hi,p_kappa
anxiety_intercept,mean_vigor,0.004895991766776516,0.036391333241162026,-0.027822573462210294,0.4933980350497054,-0.8894797053943099,0.493534254140307,-0.8884672048518202,-0.0001362190906015164,-0.0037331572752926398,0.00531694906307313,0.918,-0.001012500542490006,-0.00975203765017566,0.0018809924721821848,0.65
anxiety_intercept,escape_rate,0.004895991766776516,0.036391333241162026,-0.168275463083812,0.21342504326189776,0.015730965031664643,0.2142489185437068,0.021854733485058623,-0.0008238752818088491,-0.018969690916805122,0.014488541445279259,0.9112,-0.006123768453393861,-0.024283179153972323,0.010188420582262004,0.458
anxiety_slope_T,earnings,-0.0006366496048008611,-0.03278837535043689,0.2932245420677749,0.027585293999512445,-0.12095184635622518,0.027771975288337757,-0.11133749000894703,-0.00018668128882536235,-0.02654534027904662,0.025157990529256734,0.9864,-0.009614356347278174,-0.034926126606612234,0.014390241296576647,0.4208
anxiety_slope_T,pct_opt,-0.0006366496048008611,-0.03278837535043689,0.17539376471873455,-0.6251600161426476,-0.26903172844453993,-0.625048351771655,-0.2632808518528162,-0.00011166437099271756,-0.014289518161682993,0.015449258206137193,0.9808,-0.005750876591724083,-0.021589990218842125,0.008806336240704262,0.4304
anxiety_slope_T,p_heavy,-0.0006366496048008611,-0.03278837535043689,0.054088484163465456,-0.8151708439329123,-0.3260724232755323,-0.8151364085208455,-0.3242989497546449,-3.443541206694792e-05,-0.004764401172952555,0.005120070310538654,0.9764,-0.0017734735208878667,-0.006735976290629124,0.002646128105543471,0.4212
anxiety_slope_T,mean_vigor,-0.0006366496048008611,-0.03278837535043689,-0.006617453025956186,0.4933980350497054,-0.8894797053943099,0.4933938220508514,-0.8896966809279893,4.2129988537632674e-06,-0.0020087232882683307,0.0018863316554804325,0.9788,0.00021697553367893582,-0.001672482587487188,0.003011077733912226,0.7812
anxiety_slope_T,escape_rate,-0.0006366496048008611,-0.03278837535043689,0.26495353173344083,0.21342504326189776,0.015730965031664643,0.2135937258231664,0.02441836088056473,-0.0001686825612686875,-0.022549922490951578,0.022936448707161584,0.9992,-0.00868739584889995,-0.03257108934538709,0.012616187555483124,0.422
anxiety_slope_D,earnings,0.046611515371409284,-0.07921734324970589,0.15868049649352428,0.027585293999512445,-0.12095184635622518,0.02018895559806185,-0.10838159899846382,0.007396338401450764,-0.005002158486892164,0.023561790216435157,0.2512,-0.012570247357761265,-0.031269141861661416,0.000949901535798177,0.0648
anxiety_slope_D,pct_opt,0.046611515371409284,-0.07921734324970589,0.06204653923178482,-0.6251600161426476,-0.26903172844453993,-0.6280520993597941,-0.26411656644875986,0.0028920832171450872,-0.002249078756261968,0.010296668339102371,0.2872,-0.004915161995780641,-0.01383192419524761,0.0003902891920403186,0.0812
anxiety_slope_D,p_heavy,0.046611515371409284,-0.07921734324970589,0.030016032329728937,-0.8151708439329123,-0.3260724232755323,-0.8165699366852408,-0.32369463293947487,0.0013990927523258785,-0.0010826732116183465,0.004785899011707985,0.2716,-0.002377790336058406,-0.006423371149443992,0.00017062912978173993,0.078
anxiety_slope_D,mean_vigor,0.046611515371409284,-0.07921734324970589,0.016299353002865877,0.4933980350497054,-0.8894797053943099,0.4926382975066701,-0.8881885139527337,0.0007597375430371089,-0.0017029911533457717,0.004586982364794796,0.5936,-0.0012911914415761506,-0.006017881717936368,0.002168145471710911,0.4836
anxiety_slope_D,escape_rate,0.046611515371409284,-0.07921734324970589,0.149740235038227,0.21342504326189776,0.015730965031664643,0.20644542399469568,0.027592988628979884,0.006979619267202757,-0.004577242796468308,0.022689183302898833,0.2636,-0.011862023597314865,-0.029215912601632536,0.0004711606325945596,0.064
anxiety_cal_T,earnings,0.019866943157940995,-0.04955687031049611,0.3028995966012198,0.027585293999512445,-0.12095184635622518,0.021567604931272754,-0.10594109033035717,0.006017689068239691,-0.018621944910795364,0.0330072355630686,0.6084,-0.015010756025868238,-0.04246039418966562,0.010246859930982594,0.238
anxiety_cal_T,pct_opt,0.019866943157940995,-0.04955687031049611,0.1866210953484079,-0.6251600161426476,-0.26903172844453993,-0.6288676068360082,-0.259783371025157,0.0037075906933595063,-0.012303588311123407,0.020896935521326657,0.6488,-0.00924835741938378,-0.02627110055879822,0.005618782303655944,0.2312
anxiety_cal_T,p_heavy,0.019866943157940995,-0.04955687031049611,0.05204943274770516,-0.8151708439329123,-0.3260724232755323,-0.8162049070547154,-0.32349301628712035,0.001034063121801731,-0.0034398732879901365,0.006056858839461566,0.66,-0.002579406988412914,-0.007628778752077806,0.0017538991875276188,0.2416
anxiety_cal_T,mean_vigor,0.019866943157940995,-0.04955687031049611,-0.01779176155939427,0.4933980350497054,-0.8894797053943099,0.49375150296528625,-0.8903614094145051,-0.0003534679155801256,-0.003733417338924418,0.0016081767936944346,0.7356,0.0008817040201941719,-0.0010289483166543544,0.004906957242862834,0.4344
anxiety_cal_T,escape_rate,0.019866943157940995,-0.04955687031049611,0.27105954382930814,0.21342504326189776,0.015730965031664643,0.2080399187122238,0.029163827691635977,0.005385124549674281,-0.01880885705397196,0.02981091649821413,0.6628,-0.01343286265997126,-0.03786147060801044,0.009269914961862104,0.2376
