subj,sample,F1,F2,F3,F4,F5,F6,F7,F8
111.0,exploratory,2.143211954199501,-0.9782711042733649,1.3798679091724924,1.3662782558175104,-0.8721601641231934,-0.5334177750238147,0.33831869704229206,-0.17525615182925702
112.0,exploratory,-0.12270384760957415,-0.03198701055821389,-0.41091257242864154,-2.457826424707501,0.3855740754178482,0.9646822847384273,1.1326831076194483,0.27902553092967874
113.0,exploratory,-1.1947725127435116,-0.21684960859955876,0.07843082430685398,0.36835321951974026,-0.3666351854395263,-0.5359881040072402,-0.2945282323633678,0.04040866988582968
114.0,exploratory,-0.7982910491142947,-0.2352461009527183,0.1894181612607918,0.13019162702004333,-0.7323403276595171,-0.0725464747149429,-0.8993776524980392,-0.20798841146018446
115.0,exploratory,0.28763232786735365,1.4633499617313537,0.7350128714207349,0.6641262157785324,-0.6866371869070257,1.0646628413058847,0.5873221550762724,1.076756722679265
116.0,exploratory,1.7027044768194761,-1.4602634252971507,0.2995459509353185,-0.04599442286600536,-0.39434820671460535,0.9608132382855408,-0.7034141981854406,-0.5780376409476381
117.0,exploratory,0.311008126257198,-0.7521616489592027,-0.32393228060258034,0.6206565935368686,-1.409813049091897,-1.1060672259989548,1.371075288654752,0.5470130394019619
118.0,exploratory,1.3955068882974468,-1.4714778810970215,-0.16411311849759752,-0.2583835893805484,-0.847961296784402,0.7322538844016807,0.5688846089557322,-0.670891571180246
119.0,exploratory,-1.6494338659230365,1.681031186008273,-0.8183894894508204,1.23334065544062,-0.3883349756865195,-1.2494660430488693,2.728172036917693,-1.7744413121784548
120.0,exploratory,0.6232177900983945,0.6777928039991201,0.24543032073261442,0.9213294368630203,0.6698642435223318,0.888667687259235,0.9230670925876098,-0.6513361405187227
121.0,exploratory,0.4117572282289901,-0.5712465894876319,0.6943363555762421,0.5561349915488181,-0.8352955818624355,1.067134684367782,-0.9726230470485729,-0.7118197560349961
122.0,exploratory,-1.7965319774114759,0.30688359113543756,-1.547044533109213,0.08925000205263835,-0.37196042962043663,0.5359967306155184,-1.0657776733180258,-0.7361375142858064
123.0,exploratory,-0.4076203440603527,1.0543311673132494,0.4663403856177194,0.802186573784435,-0.7836964566984195,-0.6781830905173669,-1.1704006816087047,-0.696959481543002
124.0,exploratory,0.4278618792361186,-1.054648437846493,-0.47098709337815137,-0.525789637075998,-0.6683645199091711,-0.03497024888272654,-0.5371061863754064,0.8111386700381026
125.0,exploratory,0.8974383248981581,-0.9920749494499294,0.14520695192075173,-0.23275724552641947,0.29935447285751376,0.7175232337488429,-0.1652159261519353,0.5272437410382381
126.0,exploratory,1.4310280263187676,-0.08568528304464837,0.08575013889291862,1.0048588847905429,-1.3634312963678978,0.20892751001100276,-0.5508140160705609,0.38529217759486417
127.0,exploratory,0.6483048262731713,2.2863773470529463,-0.03207167456190318,-1.9845165509718101,-0.04777716171945315,2.8167879980709625,-0.4487771291245463,-0.816494747064908
128.0,exploratory,-0.06569740090334936,-0.0507173666934807,0.7940353382240444,0.9626107347956113,-0.7605131640869467,1.3286462440602262,-0.17486811695717341,-1.4864937735703945
129.0,exploratory,-0.7993078475605359,-0.04021274066123,1.4744051856704083,0.35463821868966255,0.48745788333898027,1.7553244454476162,-0.31858749139194725,-1.0072260261773607
130.0,exploratory,1.0576850573594698,-0.30477912617310093,0.6123384329659658,0.057002194425915885,0.5287764819747949,0.3843257267261852,0.15750372759696818,0.23440820724450423
131.0,exploratory,-0.1680027223550374,-0.24125209373108997,1.130187552736452,-0.5568012374224661,-0.22821100586878967,2.0892271349194704,-0.7587491109796357,0.7659561104041915
132.0,exploratory,0.7978512152621771,-0.3078639310852963,1.5639331591358459,-0.3366200903711443,-0.12042769031428219,-0.3778537920751941,-0.6090312825620863,0.8622856514239186
133.0,exploratory,-0.6310986343107116,-0.28831742588713105,0.03779558936235433,0.38384627023215534,-0.6791488370671246,0.14612652285175964,-0.1753098109283177,0.3839135329217721
134.0,exploratory,0.738779581696258,-0.6655781087488873,-0.7293522279077874,0.3998951501491627,-0.5539272557549216,0.40106696753037124,-0.1199644129857904,-1.4922693554385784
135.0,exploratory,0.7129350988913433,-0.3816566534174156,0.9506612538335528,1.4915661401091211,-0.25805952839524693,1.4496439002693247,1.0875726745632304,-1.516497105962971
136.0,exploratory,1.0305278562846658,-1.408335614595146,0.04353456289160628,-0.56210903262681,1.1708489081693705,-0.8589427224356416,-0.5627368589453796,0.004129046707847125
137.0,exploratory,-1.209978820548265,-0.556875229851816,-0.5098408304032148,0.47741689581048946,0.10094702745866609,0.9229539332145466,-0.6734718513614778,-0.25028440581673633
138.0,exploratory,0.510609315595531,1.0544169255818627,-1.1111788334643427,-0.9486456397861757,1.101143777160564,-0.8999508831401787,0.31875739033111894,1.892277787683042
139.0,exploratory,1.742008048293501,0.9897992657470336,-0.7012888203385549,-1.3637554578530617,-0.047274598223296604,0.27830100772898714,0.6395046358543436,-0.2222762488875492
140.0,exploratory,1.101984210277106,0.6545750731575303,-0.9121657689076204,-0.44289479203979065,-0.798169735273125,-0.5362881743876993,0.4491906831386446,-0.20693093169586138
141.0,exploratory,-0.809665780453559,-0.954629699452636,-2.0446903777680014,0.008163631875724183,0.905437211195105,0.45143701906536615,-1.20652231825481,-0.8607535019313772
142.0,exploratory,-1.0004113658798313,-0.26795205739594413,0.3309875949328472,0.4843769611300482,0.5983547861869679,-0.38369434326075436,-0.09486596791422691,0.49383551448551205
143.0,exploratory,0.8183687169035931,-0.9366917734753913,0.38923076058935197,-0.449011431266664,0.29064049782953905,-0.9214387795927655,0.05479840922015024,-0.3061188942181094
144.0,exploratory,-0.8209702528043128,0.3392377711829556,-0.4176367626347461,-1.5140044596472855,0.6507126354629804,0.5769675515237707,0.08900853610583574,0.9218471035785407
145.0,exploratory,0.7781079427829707,-0.8230656169162905,0.9782448133422207,0.42710385598999767,1.6549185282046772,-0.5023172682772014,0.2853287995730675,0.2819298023862104
146.0,exploratory,0.19364063268206386,1.1275407670872009,-0.6150304040958416,-0.2503795178882244,-0.9252470883877786,-0.427910544567185,0.3050607106334042,-0.9372672005905435
147.0,exploratory,0.1669407874002069,-0.29532083196110653,1.2470778211953841,-1.0237080149333613,-0.9306120973738061,-1.3358024639513137,0.9383080084738571,1.4989295129908144
148.0,exploratory,0.6278685312661467,-0.5361712200198443,1.513674360186587,1.1608442673072406,1.1889463163456546,0.14528614749970442,0.20231294082851803,0.878368350460421
149.0,exploratory,-1.1917740120509352,-0.4891114480794779,0.2929669912722657,0.20263516128946504,-0.5647670916971662,-0.5787531617487834,0.09837114878067393,0.045197546404494644
150.0,exploratory,1.69182478346563,-1.0302166281995242,1.7767490807869897,-0.6545583428130565,1.1372668643556925,0.46260698434566927,-1.3199841822433245,-1.4821138398777174
151.0,exploratory,0.0992701576191402,-0.48592816513057197,1.0483772237749867,0.6339055710073417,1.3381820439968926,0.9469358875501626,-0.6243894644604632,-0.6238389146703447
