outcome,sample,model,N,R2,F_p,predictor,beta,p
omega_z,exploratory,clinical_plus_affect,289,0.0809890480545109,0.09965490873959615,PHQ9_Total,0.027866070233825542,0.8343408986651837
omega_z,exploratory,clinical_plus_affect,289,0.0809890480545109,0.09965490873959615,anxiety_intercept_HvL,0.03348920711771297,0.7495163292539375
omega_z,exploratory,clinical_plus_affect,289,0.0809890480545109,0.09965490873959615,anxiety_slopeT_HvL,-0.03876612927529543,0.6737095988787395
omega_z,exploratory,clinical_plus_affect,289,0.0809890480545109,0.09965490873959615,anxiety_slopeD_HvL,-0.014496103374853762,0.8490578053017473
omega_z,exploratory,clinical_plus_affect,289,0.0809890480545109,0.09965490873959615,confidence_intercept_HvL,-0.20164773787426302,0.05567209537404096
omega_z,exploratory,clinical_plus_affect,289,0.0809890480545109,0.09965490873959615,confidence_slopeT_HvL,-0.009199707312797916,0.9159811921487614
omega_z,exploratory,clinical_plus_affect,289,0.0809890480545109,0.09965490873959615,confidence_slopeD_HvL,0.029538108672946276,0.7089484243937767
omega_z,confirmatory,clinical_plus_affect,281,0.10632983243670191,0.01578705155777805,DASS21_Anxiety,0.17744856890666347,0.12347966156633408
omega_z,confirmatory,clinical_plus_affect,281,0.10632983243670191,0.01578705155777805,DASS21_Depression,0.05443093582311009,0.6938355981076293
omega_z,confirmatory,clinical_plus_affect,281,0.10632983243670191,0.01578705155777805,DASS21_Stress,-0.1642672000423562,0.212631063254344
omega_z,confirmatory,clinical_plus_affect,281,0.10632983243670191,0.01578705155777805,OASIS_Total,-0.20365485864942082,0.08215135477341931
omega_z,confirmatory,clinical_plus_affect,281,0.10632983243670191,0.01578705155777805,STICSA_Total,0.113812899756352,0.35276990427874555
omega_z,confirmatory,clinical_plus_affect,281,0.10632983243670191,0.01578705155777805,AMI_Behavioural,0.04501263091472632,0.5689271900144065
omega_z,confirmatory,clinical_plus_affect,281,0.10632983243670191,0.01578705155777805,AMI_Social,0.16219505749293756,0.02322014553342184
omega_z,confirmatory,clinical_plus_affect,281,0.10632983243670191,0.01578705155777805,AMI_Emotional,0.03586622542007169,0.5587596582679832
omega_z,confirmatory,clinical_plus_affect,281,0.10632983243670191,0.01578705155777805,MFIS_Total,0.03563122281668662,0.7412425962615001
omega_z,confirmatory,clinical_plus_affect,281,0.10632983243670191,0.01578705155777805,PHQ9_Total,-0.12854300581252306,0.34373998827569696
omega_z,confirmatory,clinical_plus_affect,281,0.10632983243670191,0.01578705155777805,anxiety_intercept_HvL,-0.10109045471570507,0.3569782391071107
omega_z,confirmatory,clinical_plus_affect,281,0.10632983243670191,0.01578705155777805,anxiety_slopeT_HvL,-0.03946915435601448,0.6759013763790366
omega_z,confirmatory,clinical_plus_affect,281,0.10632983243670191,0.01578705155777805,anxiety_slopeD_HvL,-0.1235789376487113,0.14848323968966723
omega_z,confirmatory,clinical_plus_affect,281,0.10632983243670191,0.01578705155777805,confidence_intercept_HvL,-0.35015417062837434,0.0024931333380472137
omega_z,confirmatory,clinical_plus_affect,281,0.10632983243670191,0.01578705155777805,confidence_slopeT_HvL,-0.2446980187726614,0.013184210758444281
omega_z,confirmatory,clinical_plus_affect,281,0.10632983243670191,0.01578705155777805,confidence_slopeD_HvL,-0.21180401216721295,0.006450202315617818
kappa_z,exploratory,clinical_only,289,0.025313144704590562,0.7036037002593792,DASS21_Anxiety,-0.04181534045237138,0.7049742494126296
kappa_z,exploratory,clinical_only,289,0.025313144704590562,0.7036037002593792,DASS21_Depression,-0.13904629606615204,0.25473001553030683
kappa_z,exploratory,clinical_only,289,0.025313144704590562,0.7036037002593792,DASS21_Stress,-0.018687848354756124,0.8821365836267423
kappa_z,exploratory,clinical_only,289,0.025313144704590562,0.7036037002593792,OASIS_Total,0.05586648749590795,0.6084130344298031
