,conf_accuracy,conf_accuracy_EV,anx_accuracy
204,0.7578089301708888,0.6172727685698673,0.8068715304598787
205,0.35446614742351423,0.3964277280833964,0.26478224349180146
206,0.47882606257189375,0.43043117591522895,0.0406222231851194
207,-0.4573184257380193,-0.4579826579252565,0.6678230711206281
209,0.5994162609680459,0.37285296570633786,0.3564997197883963
210,1.2307054687064719e-17,0.2745212136657981,-0.4909902530309829
211,0.3719673513092908,0.2542955136895252,0.4151682458530186
212,0.004236702510004325,-0.4344690234246301,0.5011614417507342
213,0.3679814581830108,0.4626175025271643,-0.11371470653683555
214,0.4078608645562988,0.07186847530517285,0.3175264481385602
215,0.5062485728299425,0.48003092316156315,0.5339013726107806
216,0.6231866986524263,0.5751662066047193,0.4026936331284146
217,0.0038198279690760625,0.0019301208080916871,0.30723814905702745
218,0.3458411812035407,0.23751100413558948,0.9329903614147113
219,-0.4698312715476128,-0.32280062542957494,0.4214636152117623
220,0.34824152158529603,0.30071938756599104,0.462579753697317
221,0.295813759586517,0.21580053163738822,0.7716651041527232
222,0.49460899887306037,0.4212972296543055,0.5317165721406523
223,-0.1920975003000104,-0.2124202346485489,0.09622504486493763
224,0.17651043739779632,-0.08137202392392048,0.4052026520016734
225,0.5819378647664532,0.3908197441085525,0.7317917228850433
226,-0.08355376789180032,-0.18935956926640718,0.16943474841747153
227,0.19361872238972574,0.23457334530046461,0.4116453226477303
228,-0.05775029801910217,-0.1389722285665796,0.6692014483788845
229,-0.2506014408507486,-0.3984971230131289,
230,0.17596544050895924,0.15883661286975598,0.5923631924454265
231,0.3238904195690521,0.4694344486671262,0.5672168771296103
232,0.059604536101157214,0.012006172846665305,-0.13115576564675044
233,-0.16830553394324646,0.0710677729266003,0.23316068563427197
234,0.33560859523657094,0.31213145171827517,0.33333333333333337
235,0.13369498974763624,0.09646814364878502,0.2562068558484046
236,0.3034889444081303,0.27235704631018887,0.6415330278717848
237,0.5566199848258274,0.24311118251474936,0.32238949605798284
238,0.10398800493386293,-0.09123684935351138,0.8649228885013022
239,0.09018331812997146,0.21484968066373408,0.11840055569457879
240,-0.029845736482691898,-0.003518136882641778,-1.3316999304200064e-17
241,0.19836607856404848,0.12521771365224688,0.11785113019775795
242,0.31304477961082466,0.14666795126439858,0.5984144702439275
243,0.563128416086195,0.5845106496759683,0.6375767130633382
244,0.1772753228080912,-0.008128621025668387,0.18602290120845688
245,0.3744603508793266,0.26300762634233493,-0.18014417303072305
246,0.2492081758491609,0.24841971276754155,0.6443833370420678
247,0.277373785655395,0.12780148050709036,0.16705381391691135
248,0.2927935161763867,0.048753671043141385,0.3099719074004101
249,0.6142678014212363,0.5137184202132323,0.6726525031257895
250,0.2811152130498833,0.10021856026529842,0.40013043414163807
251,0.6638520964274004,0.6077533168006343,0.830731044587275
252,0.4715997182963172,0.18335317140428406,0.3379226676671872
253,0.29702441769165355,0.16364546884539283,0.6546536707079772
254,0.2898196757675779,0.5531763603471425,-5.856183313939849e-18
255,-0.1154552023715927,-0.4683297765182255,0.16477051091432696
256,0.3018585092273981,0.23081770915075073,-0.04707076918501683
257,0.4467710483023738,0.3420583350565864,0.38306543884143696
258,0.3872595659297201,0.20050978419439633,-0.6878852519670831
259,0.2698396380628718,0.2632429758194306,0.25819888974716115
260,0.2143035188686253,0.15669353159377133,0.26924716045464225
261,-0.5022095000634041,-0.26941458460345835,0.8795932074125608
262,-0.012019067209941834,0.11702815682373274,0.10442286380063184
263,-0.088270048851491,-0.23968764533582929,0.08793155726408237
264,0.2909896527972681,0.10686756161196448,0.5292286722692444
265,0.5216139667091632,0.24392476430475798,0.687577374492789
266,0.5736913035693056,0.45082288381127344,0.6811004063853396
267,-0.41967750542538884,-0.32623531591862964,-0.2886751345948129
268,-0.1430159003237282,-0.057245623255362865,-0.16943474841747158
269,0.6369547620116163,0.5128085697178074,0.7385489458759966
270,0.3880956914929561,0.4548917710144704,0.24056261216234412
271,0.4509266168562935,0.1548200054326367,0.7994080650317896
272,0.693875008155478,0.572499708701786,0.45874935025183233
273,0.2941121236776475,0.3099384265246405,0.22271770159368706
274,0.6766689852157184,0.603366073647601,0.5538899305834135
275,0.29628828745431796,0.38116621591713146,-0.3790490217894517
276,0.4815107782336158,0.4506446289675552,0.4966996338993915
277,-0.09690009977280893,-0.19237754438364707,0.5477225575051662
278,0.17774508599438077,-0.1087145268831774,-0.29911332154210646
279,0.006575573717541037,0.0932083462639833,0.44489102730028285
280,-0.48389576578001847,-0.5123035715426816,0.21066252211737163
281,0.46667128838180355,0.34787741106032294,-0.46291004988627577
282,-0.004780359525793581,0.13766812200671766,0.3732758529362985
283,0.16100619322969478,0.23885058252284158,-0.2190890230020665
284,-0.355173151238765,-0.3552776358434226,0.2389092412837483
285,0.19479246108897463,0.04876526532797608,0.2773500981126146
286,0.1475825986283074,0.025776059152815205,0.09114654303753002
287,0.1913844348006697,0.33881931624583594,0.43950398404028307
288,0.027735559534883113,-0.0718858201095216,0.30382181012510007
289,0.007882045971709061,-0.11399481157249812,0.5940885257860046
290,0.1968728314488243,0.16320852579870382,0.3507114831252668
291,0.2441542422543187,0.1978806260815402,-0.2738612787525831
292,-0.006693287664880348,0.03602066918620047,-0.16481194697959012
293,0.2868264307590213,0.39084215578567927,-0.27602622373694174
