subj,intercept,b_threat,b_distance,b_cookie,r2
200,6.437499999999996,-3.5416666666666656,-1.609823385706477e-15,0.44444444444444275,0.36844262295081964
201,5.041666666666664,-1.2500000000000004,-0.7499999999999989,1.1111111111111112,0.6095132743362833
202,4.576388888888885,1.4583333333333335,0.25000000000000056,0.2222222222222222,0.0871647509578547
203,2.6180555555555567,-1.4583333333333357,0.6666666666666656,-0.44444444444444575,0.10963356973995264
204,7.208333333333334,-3.75,-1.3333333333333317,-0.555555555555556,0.6092579986385296
205,2.4791666666666656,-1.4583333333333337,-0.750000000000001,0.44444444444444386,0.31586826347305375
206,3.666666666666667,-1.6666666666666665,-0.5,-0.6666666666666673,0.39743589743589725
207,2.3541666666666616,2.291666666666668,0.8333333333333336,1.6666666666666674,0.6122112211221121
209,4.805555555555556,-1.6666666666666672,-0.7500000000000001,-0.3333333333333343,0.4670103092783504
210,6.097222222222219,-0.41666666666666613,-1.27675647831893e-15,0.22222222222222096,0.27777777777777757
211,4.881944444444442,-2.7083333333333326,-0.41666666666666824,-0.7777777777777781,0.5022156573116692
212,3.770833333333333,-1.041666666666667,0.08333333333333304,-1.3333333333333337,0.5083333333333334
213,4.854166666666665,-0.20833333333333412,-0.41666666666666563,-0.5555555555555561,0.20983606557377033
214,5.909722222222223,-2.708333333333334,-0.3333333333333326,-1.7777777777777783,0.6736111111111112
215,7.777777777777775,-4.166666666666667,-1.2500000000000029,-2.6666666666666665,0.7522365805168986
216,6.826388888888889,-1.8750000000000016,-1.6666666666666645,-2.0000000000000013,0.542271784232365
217,3.6597222222222214,-0.20833333333333334,-1.0547118733938987e-15,-1.8888888888888886,0.5
218,5.569444444444442,-4.583333333333333,-0.5000000000000022,0.11111111111111012,0.4074074074074072
219,0.11805555555555533,1.8750000000000004,0.5000000000000004,1.2222222222222217,0.6215932914046122
220,5.430555555555555,-2.916666666666667,-0.41666666666666563,-1.2222222222222225,0.5593325092707047
221,6.45138888888889,-3.1250000000000004,-0.3333333333333337,-1.444444444444445,0.6934640522875818
222,6.5624999999999964,-5.625,-0.7500000000000022,-1.4444444444444444,0.6322521699406121
223,4.701388888888887,0.20833333333333381,0.7500000000000002,-0.11111111111111155,0.1548064918851435
224,4.25,-1.6666666666666672,0.24999999999999972,-1.1111111111111116,0.2925977653631283
225,5.395833333333331,-1.458333333333333,-1.000000000000001,-1.1111111111111118,0.5179521276595744
226,0.5138888888888864,2.9166666666666647,0.5833333333333337,1.4444444444444444,0.14783686966106335
227,4.34722222222222,-1.2499999999999996,-0.16666666666666752,0.8888888888888875,0.08611111111111125
