item,F1,F2,F3,F4,n_factors
DASS21_item_18,0.24072484093975535,0.6011016364141119,0.020661235734708513,-0.03443514800659093,4
DASS21_item_19,0.2825693729798113,0.6471191661778231,0.11948843328429755,-0.12768789278318046,4
DASS21_item_20,0.31617929087855806,0.49104895660930536,0.1998823216318724,-0.5025007989768593,4
MFIS_item_0,0.5659839104815546,0.11155420415478978,0.1694828035996428,-0.022000185103274266,4
MFIS_item_1,0.7140534913747708,0.158919098651189,0.2550197204152421,-0.13444099667887988,4
MFIS_item_2,0.6817221557126653,0.2964727878806608,0.24591295001804467,-0.07308932809885697,4
MFIS_item_3,0.6554881675227016,0.33640737173831387,0.1821167246416128,-0.0465741275278543,4
MFIS_item_4,0.714501262373524,0.24858537840507108,0.1974921349352404,-0.08861443449469882,4
MFIS_item_5,0.601108908463983,0.2856183594735544,0.058846858747995306,0.07853635701084591,4
MFIS_item_6,0.761644348887472,0.18726050349031167,0.2576176099924853,-0.16819163387671568,4
MFIS_item_7,0.6652191248560241,0.2016388715173698,0.2538754597471546,-0.2833711695706013,4
MFIS_item_8,0.68608701594067,0.2669979353856241,0.2313446702106376,-0.19800491752820937,4
MFIS_item_9,0.7505325898652027,0.25062310018508216,0.18425040335297313,-0.05971453987920036,4
MFIS_item_10,0.6746919092763082,0.31279878318183235,0.2314576874451915,-0.09850156975819237,4
MFIS_item_11,0.7148758306945312,0.28124111911553906,0.2217054411935003,-0.1503512918093885,4
MFIS_item_12,0.6968142695334613,0.2867490389160372,0.1288768866070413,0.09331718389476416,4
MFIS_item_13,0.7141364726987972,0.33010397812142317,0.17772841884749896,0.02571976501387682,4
MFIS_item_14,0.7536634670091041,0.2866142886866659,0.2225536248523761,-0.06556522672772691,4
MFIS_item_15,0.7323821683066359,0.2971859279020527,0.27274150297786454,-0.1291663561336209,4
MFIS_item_16,0.7758157482597167,0.2696403144342165,0.1779882530327648,-0.06510046540989346,4
MFIS_item_17,0.7421103567095118,0.3325491574458183,0.19186684369444004,-0.052228879391404776,4
MFIS_item_18,0.7688096753675114,0.23729764267049194,0.24384660294827776,-0.13803275610340945,4
MFIS_item_19,0.770304029256029,0.2016844856745284,0.15000427814401304,-0.07998326689760138,4
MFIS_item_20,0.7181419015079911,0.319694885096029,0.13550436680083539,0.031412906383671495,4
OASIS_item_0,0.40686723589332857,0.52355766816895,0.3527274426451682,-0.16432335469678475,4
