item,F1,F2,F3,F4,F5,n_factors
MFIS_item_6,0.7609698860474041,0.2037090628123063,0.25430190980509876,-0.1554315888256777,0.040241523672020094,5
MFIS_item_7,0.6672620127197972,0.24349926664869742,0.2505518258724513,-0.24643597448022866,-0.03475209444627625,5
MFIS_item_8,0.6850530328478392,0.28718729248432073,0.22826983300873188,-0.17991769451617445,0.04283228112219856,5
MFIS_item_9,0.7445916953820826,0.23325949003949195,0.17935781801735595,-0.10181939270672734,0.18307700642502742,5
MFIS_item_10,0.6788318164391518,0.33224913879487605,0.23698290528994878,-0.0014012453276435678,-0.0468565383378815,5
MFIS_item_11,0.7211143649589565,0.3096089995499891,0.2257735744871799,-0.05163655334454533,-0.06903524006146387,5
MFIS_item_12,0.6887040933033076,0.22917624478343226,0.12450460229079525,0.011756116281759491,0.31691464481893666,5
MFIS_item_13,0.7085673704718559,0.29349484815100335,0.1759733444197015,-0.008916454940996922,0.23044390968268735,5
MFIS_item_14,0.7609459426626104,0.3027414434074512,0.2282053915659127,0.043351793582999607,-0.06364054439536142,5
MFIS_item_15,0.740223171079089,0.3246584614896859,0.2782335955004073,-0.014410944947007894,-0.08628537958803194,5
MFIS_item_16,0.7716678038567333,0.2545307867855942,0.17408867570329217,-0.09166291002414939,0.16548694909544606,5
MFIS_item_17,0.7420190212155572,0.32932361405990856,0.19492817075800561,-0.005533363142423264,0.06620120777848412,5
MFIS_item_18,0.776162424824023,0.2686070640430967,0.24820294661578915,-0.03038213818375031,-0.0986152417318303,5
MFIS_item_19,0.7667055682925947,0.19039517209369752,0.14431418785915756,-0.11643751128833273,0.15262897644429682,5
MFIS_item_20,0.7125266780333103,0.2895007296249445,0.13501968125013794,0.016572169814712073,0.18759713098802913,5
OASIS_item_0,0.40835978804655093,0.5366301464926746,0.3586243653606153,-0.08259197962432208,0.028320332081757715,5
OASIS_item_1,0.38865113486207536,0.5747336674127139,0.29858892285304717,-0.07194012027629441,0.05110351983031498,5
OASIS_item_2,0.36121999414432404,0.5517769012043852,0.27170481488811976,-0.13115718947840915,0.02588902850074373,5
OASIS_item_3,0.45817169235587524,0.5793380557333998,0.22487466316644122,-0.0439807450500451,-0.021381200913459884,5
OASIS_item_4,0.40106032729620644,0.5948675022584223,0.264296558958422,-0.15140199520154957,0.02423523996965703,5
STAI_item_0,-0.2923208892251278,-0.2096088448136036,-0.7711121567192327,0.03109893632627158,-0.08193071899358265,5
STAI_item_1,-0.28348263898544496,-0.3499350160541396,-0.6876337027892574,0.07750748063419849,-0.01501172001127965,5
STAI_item_2,-0.22803722222729775,-0.32948660038987315,-0.4571698918497414,-0.09116055791579694,-0.1322675482971826,5
STAI_item_3,-0.3225797384864716,-0.3094673318385191,-0.5432705209361303,0.01311577590425215,-0.15933446228459053,5
STAI_item_4,-0.2216861911826075,-0.19044301942163755,-0.6808162866412921,0.10107596666874788,-0.1191937675540925,5
STAI_item_5,-0.18606119941079718,-0.42287830070191484,-0.4064152311222521,-0.08804728711537378,-0.19845149268011975,5
STAI_item_6,-0.30321717211274096,-0.5915151875502338,-0.37469000149021914,-0.06893321636679162,0.024393032773936695,5
STAI_item_7,-0.3449432502551134,-0.23637121470742853,-0.6889346158303707,0.2128998576829531,0.043070457036272505,5
STAI_item_8,-0.19721578948837157,-0.572439692262273,-0.20862388180440977,-0.17516417635453962,-0.12316124216794475,5
STAI_item_9,-0.30452892804334086,-0.4563516469794682,-0.4896672122341876,-0.07269576409147747,-0.16969876380904386,5
STAI_item_10,-0.34321450106973156,-0.22240781126133183,-0.6536674644408417,0.18970281364028987,0.08470711295018127,5
STAI_item_11,-0.27098462670671847,-0.47252990237155745,-0.4986644875713356,-0.16133287524201365,-0.1419688718793616,5
STAI_item_12,-0.29118484940070893,-0.4232950350527194,-0.4319287344955229,-0.07802564719431224,-0.23018462477506998,5
STAI_item_13,-0.313069132464861,-0.5048270694844156,-0.3245274963259443,-0.062222382668049143,-0.00399674807648031,5
STAI_item_14,-0.3036367569627628,-0.23931328567997145,-0.7583114583187692,0.06262861738898666,-0.01455629229128641,5
STAI_item_15,-0.2997315221159686,-0.24901716938048057,-0.6996976394316518,0.2002079265121802,-0.0035866826943732315,5
STAI_item_16,-0.27841338797157617,-0.5744311384329613,-0.38023489975836156,-0.0701519278855147,-0.023750028779075557,5
STAI_item_17,-0.22674586851913134,-0.49323562053961106,-0.22272152891827154,-0.2296300868394842,-0.1226648834002919,5
STAI_item_18,-0.22566542025388747,-0.19943759192722835,-0.5723788134773331,0.0490631021106773,0.04150740469097815,5
STAI_item_19,-0.2986378332234849,-0.25215989893695506,-0.7023033937850326,0.17551403896347714,0.00037082153897140306,5
STICSA_item_0,0.23746255629705718,0.49569731380274107,0.29231496328661216,0.17046797110254652,0.2022660201790036,5
STICSA_item_1,0.36115323492293777,0.38168234585287847,0.4484520052634904,0.09132311193656885,0.28614674186160893,5
STICSA_item_2,0.32166108134017496,0.617182653179075,0.2704490717740738,0.0290695314047971,0.07571251623776172,5
STICSA_item_3,0.3295229678590846,0.5749092340686345,0.2762407905360866,-0.056343473321613,0.03357162280805983,5
STICSA_item_4,0.3665010260345813,0.5709044916148168,0.2748092064555694,0.07802805040362193,-0.09796439393561793,5
STICSA_item_5,0.20859643821244517,0.49388682069193396,0.10229682666028009,0.149468445181379,0.28796251490920743,5
STICSA_item_6,0.4164516746669965,0.3802948413725843,0.2676588222560935,0.07405567846862182,0.4054783644842118,5
STICSA_item_7,0.2877336794953097,0.5135977427671344,0.24831362217169087,0.09157521056340724,0.3830544056161419,5
STICSA_item_8,0.3432533555326597,0.6003057567957968,0.3151625488611952,-0.05225891064068578,0.023243940431307397,5
STICSA_item_9,0.37197048659507015,0.624093303446479,0.27573003756633335,0.09924887999195031,-0.06270845327857733,5
STICSA_item_10,0.47026002414050466,0.44590970669975183,0.12837074668197918,-0.016104761954526592,0.03684904400172015,5
STICSA_item_11,0.24928029620454828,0.4437332421035409,0.20656313104853374,0.08168443290734029,0.26017166844310424,5
STICSA_item_12,0.3479102228302955,0.6107410975685897,0.24566475661919926,-0.08716667565312912,0.07233540567957694,5
STICSA_item_13,0.3368893384513669,0.49176391437880806,0.2734034434544536,0.0547970943117914,0.39750005407361366,5
STICSA_item_14,0.2278819497098405,0.5084550377548449,0.21085314628147037,0.0280805114624418,0.32419642235934004,5
STICSA_item_15,0.3038148221529189,0.49168246008802136,0.20562271249080988,0.14488211687374697,-0.050352856072717,5
STICSA_item_16,0.4100579140182072,0.5734228876753531,0.2841219320318475,0.018714544852672346,-0.14702022384192368,5
STICSA_item_17,0.16683823062194117,0.618161493174238,0.16434458608821992,0.09169996497347103,0.3430835134750959,5
STICSA_item_18,0.3545702880601183,0.6337432894332042,0.28858132440789164,0.036168469102068196,-0.07212833071442497,5
STICSA_item_19,0.14779081326145635,0.48626904755600475,0.056679689103842246,0.051582032297914776,0.1870314294471079,5
STICSA_item_20,0.19920101257137765,0.48339991602627674,0.16300033406120773,0.08273389206857755,0.30255338283436445,5
