mediator_set,mediator,outcome,a_omega,a_kappa,b,indirect_omega,ind_om_lo,ind_om_hi,p_omega,indirect_kappa,ind_kp_lo,ind_kp_hi,p_kappa,total_indirect_omega,total_indirect_kappa,cprime_omega,cprime_kappa,c_omega,c_kappa
confidence_structure,confidence_slope_D,mean_vigor,-0.05944739663518873,-0.043825233231933394,0.03046833676311754,-0.0018112633003715506,-0.007580112216298311,0.0012313228621514583,0.3584,-0.0013352819648327168,-0.006528745996367945,0.001811835725061684,0.4948,0.004682127512586401,0.003472733478537581,0.48871590753711924,-0.8929524388728469,0.4933980350497054,-0.8894797053943099
confidence_structure,confidence_intercept,escape_rate,-0.1573497229653361,-0.0974031260681183,0.1217193115570439,-0.01915249995303229,-0.04146014407166293,-0.003574986554900175,0.0064,-0.011855841448515314,-0.029019259944411412,-0.0001330242427934091,0.046,-0.0030126030996422554,-0.008982406369220815,0.21643764636154006,0.024713371400885607,0.21342504326189776,0.015730965031664643
confidence_structure,confidence_slope_T,escape_rate,-0.010658611696295853,0.03719143216823341,-0.20033849871230686,0.0021353302655933454,-0.017558551899180125,0.023484051187938546,0.806,-0.007450875685544477,-0.027616118155192423,0.010184945835127317,0.4244,-0.0030126030996422554,-0.008982406369220815,0.21643764636154006,0.024713371400885607,0.21342504326189776,0.015730965031664643
confidence_structure,confidence_slope_D,escape_rate,-0.05944739663518873,-0.043825233231933394,-0.23557914022271845,0.014004566587796686,-0.00966808199765307,0.0381447046873549,0.2288,0.010324310764838977,-0.012616360950456594,0.033608882736487815,0.3836,-0.0030126030996422554,-0.008982406369220815,0.21643764636154006,0.024713371400885607,0.21342504326189776,0.015730965031664643
anxiety_structure,anxiety_intercept,earnings,0.004895991766776516,0.036391333241162026,-0.15352741011647658,-0.000751668935904791,-0.01656121186677373,0.012945185299058744,0.8952,-0.00558706714320125,-0.022604676754408675,0.00945324361203006,0.4684,0.0033019782844735217,-0.02110856570677323,0.024283315715038892,-0.09984328064945201,0.027585293999512445,-0.12095184635622518
anxiety_structure,anxiety_slope_T,earnings,-0.0006366496048008611,-0.03278837535043689,0.25486082014910805,-0.00016225704042715296,-0.022143557980347426,0.022855747051120444,0.9656,-0.008356472233169144,-0.02996398232760265,0.011734382763646044,0.4168,0.0033019782844735217,-0.02110856570677323,0.024283315715038892,-0.09984328064945201,0.027585293999512445,-0.12095184635622518
anxiety_structure,anxiety_slope_D,earnings,0.046611515371409284,-0.07921734324970589,0.09044769789637498,0.004215904260805465,-0.0028442736998636584,0.015683475723566764,0.2968,-0.0071650263304028385,-0.020732058028037813,0.0008470704388116492,0.104,0.0033019782844735217,-0.02110856570677323,0.024283315715038892,-0.09984328064945201,0.027585293999512445,-0.12095184635622518
anxiety_structure,anxiety_intercept,pct_opt,0.004895991766776516,0.036391333241162026,-0.09929218719872615,-0.0004861337310301958,-0.010798031585697523,0.009119847502679386,0.9212,-0.0036133750725926856,-0.014689415360532625,0.005888823791352587,0.454,0.0002741843733242617,-0.010420478586096377,-0.6254342005159724,-0.258611249858444,-0.6251600161426476,-0.26903172844453993
anxiety_structure,anxiety_slope_T,pct_opt,-0.0006366496048008611,-0.03278837535043689,0.16282445147148836,-0.00010366212268124004,-0.014226589288105787,0.015022707635425379,0.982,-0.005338749231076157,-0.019708014932845914,0.007943602410986553,0.4228,0.0002741843733242617,-0.010420478586096377,-0.6254342005159724,-0.258611249858444,-0.6251600161426476,-0.26903172844453993
anxiety_structure,anxiety_slope_D,pct_opt,0.046611515371409284,-0.07921734324970589,0.01853576782800004,0.0008639802270356976,-0.002185052499355711,0.005736744427626074,0.63,-0.0014683542824275348,-0.008197670312689058,0.003141835395063702,0.5492,0.0002741843733242617,-0.010420478586096377,-0.6254342005159724,-0.258611249858444,-0.6251600161426476,-0.26903172844453993
anxiety_structure,anxiety_intercept,p_heavy,0.004895991766776516,0.036391333241162026,-0.03770643130531419,-0.00018461037722534255,-0.004430987202423521,0.0033480708424052244,0.9324,-0.0013721873069666728,-0.005987275849287091,0.002369643783843572,0.4644,0.0006452383353466597,-0.004334669758629619,-0.8158160822682595,-0.3217377535169033,-0.8151708439329123,-0.3260724232755323
anxiety_structure,anxiety_slope_T,p_heavy,-0.0006366496048008611,-0.03278837535043689,0.045825752372134446,-2.9174947137421517e-05,-0.0041112160211821585,0.004199589537493884,0.9924,-0.001502551969493718,-0.005946858964043837,0.002196631690115546,0.4232,0.0006452383353466597,-0.004334669758629619,-0.8158160822682595,-0.3217377535169033,-0.8151708439329123,-0.3260724232755323
anxiety_structure,anxiety_slope_D,p_heavy,0.046611515371409284,-0.07921734324970589,0.018429429999530424,0.0008590236597094238,-0.0009820543222491302,0.00359122735611125,0.4028,-0.0014599304821692287,-0.005039806175972854,0.0007402926694844135,0.2364,0.0006452383353466597,-0.004334669758629619,-0.8158160822682595,-0.3217377535169033,-0.8151708439329123,-0.3260724232755323
anxiety_structure,anxiety_intercept,mean_vigor,0.004895991766776516,0.036391333241162026,-0.030480920900681066,-0.00014923433777350073,-0.003961736616595494,0.005661718189564278,0.922,-0.0011092413499941853,-0.010559707065205438,0.0019088740491959109,0.6312,0.0009444574806987347,-0.002430989276097078,0.49245357756900643,-0.887048716118214,0.4933980350497054,-0.8894797053943099
anxiety_structure,anxiety_slope_T,mean_vigor,-0.0006366496048008611,-0.03278837535043689,-0.01585475440872592,1.0093923128530067e-05,-0.002271205815629966,0.0021048009676240065,0.996,0.0005198516386422995,-0.0010901028435212983,0.0038082138813134935,0.5996,0.0009444574806987347,-0.002430989276097078,0.49245357756900643,-0.887048716118214,0.4933980350497054,-0.8894797053943099
anxiety_structure,anxiety_slope_D,mean_vigor,0.046611515371409284,-0.07921734324970589,0.023247429024982225,0.0010835978953437054,-0.0010515377409661888,0.004826492332987217,0.3832,-0.0018415995647451924,-0.006186959055586486,0.0009525246626898802,0.2412,0.0009444574806987347,-0.002430989276097078,0.49245357756900643,-0.887048716118214,0.4933980350497054,-0.8894797053943099
anxiety_structure,anxiety_intercept,escape_rate,0.004895991766776516,0.036391333241162026,-0.1586705483610662,-0.0007768496984056952,-0.01771164819217204,0.013865486886114178,0.902,-0.005774232800965475,-0.02305416973017788,0.00887098940384369,0.4416,0.003307226243732401,-0.02037510140509371,0.21011781701816537,0.03610606643675855,0.21342504326189776,0.015730965031664643
anxiety_structure,anxiety_slope_T,escape_rate,-0.0006366496048008611,-0.03278837535043689,0.22615301152483283,-0.0001439802254118094,-0.019841452030273102,0.02007916141517403,0.9808,-0.0074151898285078986,-0.026867875125213835,0.010660046744529847,0.4212,0.003307226243732401,-0.02037510140509371,0.21011781701816537,0.03610606643675855,0.21342504326189776,0.015730965031664643
anxiety_structure,anxiety_slope_D,escape_rate,0.046611515371409284,-0.07921734324970589,0.09070840400403124,0.004228056167549905,-0.0027498967096152324,0.01650057786077519,0.2732,-0.007185678775620339,-0.02170981970195262,0.00109414732214543,0.116,0.003307226243732401,-0.02037510140509371,0.21011781701816537,0.03610606643675855,0.21342504326189776,0.015730965031664643
