test,sample,N,R2,predictor,beta,p,scale
C_clinical_full,confirmatory,281,0.10893278439622278,confidence_intercept_HvL,-0.28370430378455697,0.01224115248571881,AMI_Total
C_clinical_full,confirmatory,281,0.10893278439622278,confidence_slopeT_HvL,-0.19938648412624393,0.04010204882009841,AMI_Total
C_clinical_full,confirmatory,281,0.10893278439622278,confidence_slopeD_HvL,-0.2003175538574923,0.008794454727866776,AMI_Total
C_clinical_full,exploratory,290,0.05307013501877833,omega_z,-0.03151199267635359,0.6223411294168941,AMI_Behavioural
C_clinical_full,exploratory,290,0.05307013501877833,kappa_z,0.011344277209367124,0.8575955320865044,AMI_Behavioural
C_clinical_full,exploratory,290,0.05307013501877833,anxiety_intercept_HvL,0.22810696564678262,0.025887959162444626,AMI_Behavioural
C_clinical_full,exploratory,290,0.05307013501877833,anxiety_slopeT_HvL,0.09048004395986871,0.3165622077351364,AMI_Behavioural
C_clinical_full,exploratory,290,0.05307013501877833,anxiety_slopeD_HvL,-0.011879212305801261,0.8739469803558307,AMI_Behavioural
C_clinical_full,exploratory,290,0.05307013501877833,confidence_intercept_HvL,-0.07986092870679609,0.44303783973815725,AMI_Behavioural
C_clinical_full,exploratory,290,0.05307013501877833,confidence_slopeT_HvL,0.07783033612839477,0.3590694347845422,AMI_Behavioural
C_clinical_full,exploratory,290,0.05307013501877833,confidence_slopeD_HvL,-0.13260854891814405,0.08707286697052447,AMI_Behavioural
C_clinical_full,confirmatory,281,0.12687015377740785,omega_z,0.027358147121727728,0.6543465703008962,AMI_Behavioural
C_clinical_full,confirmatory,281,0.12687015377740785,kappa_z,0.07160792818078769,0.24684669683362223,AMI_Behavioural
C_clinical_full,confirmatory,281,0.12687015377740785,anxiety_intercept_HvL,0.4581656082671667,8.588628033745648e-06,AMI_Behavioural
C_clinical_full,confirmatory,281,0.12687015377740785,anxiety_slopeT_HvL,0.25833841680646696,0.003957720614315494,AMI_Behavioural
C_clinical_full,confirmatory,281,0.12687015377740785,anxiety_slopeD_HvL,0.29612414912593765,0.00027705992103943685,AMI_Behavioural
C_clinical_full,confirmatory,281,0.12687015377740785,confidence_intercept_HvL,-0.2264514407666534,0.04296250505392518,AMI_Behavioural
C_clinical_full,confirmatory,281,0.12687015377740785,confidence_slopeT_HvL,-0.16455719246697634,0.08662825943105766,AMI_Behavioural
C_clinical_full,confirmatory,281,0.12687015377740785,confidence_slopeD_HvL,-0.18063872848102977,0.016882402114133815,AMI_Behavioural
C_clinical_full,exploratory,290,0.0757102360451356,omega_z,0.08483336694707683,0.180168625312451,AMI_Social
C_clinical_full,exploratory,290,0.0757102360451356,kappa_z,-0.06992188124269832,0.2634715690994987,AMI_Social
C_clinical_full,exploratory,290,0.0757102360451356,anxiety_intercept_HvL,0.2261644052702737,0.02536911735381561,AMI_Social
C_clinical_full,exploratory,290,0.0757102360451356,anxiety_slopeT_HvL,0.04283125541677997,0.6310763468742491,AMI_Social
C_clinical_full,exploratory,290,0.0757102360451356,anxiety_slopeD_HvL,-0.05692236637407459,0.4418548904640814,AMI_Social
C_clinical_full,exploratory,290,0.0757102360451356,confidence_intercept_HvL,-0.060387876123329944,0.5570553884244415,AMI_Social
C_clinical_full,exploratory,290,0.0757102360451356,confidence_slopeT_HvL,0.04186295578949145,0.6173746849628442,AMI_Social
C_clinical_full,exploratory,290,0.0757102360451356,confidence_slopeD_HvL,-0.09046130961161031,0.23679311742891068,AMI_Social
C_clinical_full,confirmatory,281,0.07590194102964487,omega_z,0.14297182234442718,0.023569755745411227,AMI_Social
C_clinical_full,confirmatory,281,0.07590194102964487,kappa_z,-0.059265002406260134,0.35131973090827995,AMI_Social
C_clinical_full,confirmatory,281,0.07590194102964487,anxiety_intercept_HvL,0.2405735887360523,0.021335405040240465,AMI_Social
C_clinical_full,confirmatory,281,0.07590194102964487,anxiety_slopeT_HvL,0.12306927828558334,0.179479719371712,AMI_Social
C_clinical_full,confirmatory,281,0.07590194102964487,anxiety_slopeD_HvL,0.08030410295967096,0.33236972586665325,AMI_Social
C_clinical_full,confirmatory,281,0.07590194102964487,confidence_intercept_HvL,-0.26700878009974094,0.0204975669063374,AMI_Social
C_clinical_full,confirmatory,281,0.07590194102964487,confidence_slopeT_HvL,-0.18186214173678997,0.06577972176167525,AMI_Social
C_clinical_full,confirmatory,281,0.07590194102964487,confidence_slopeD_HvL,-0.1290716677035301,0.09612111695499308,AMI_Social
C_clinical_full,exploratory,290,0.029452832455129307,omega_z,0.1470750443409871,0.023771072179755808,AMI_Emotional
C_clinical_full,exploratory,290,0.029452832455129307,kappa_z,-0.06920863718019478,0.28005342059615246,AMI_Emotional
C_clinical_full,exploratory,290,0.029452832455129307,anxiety_intercept_HvL,-0.013225440849568289,0.89802696693286,AMI_Emotional
C_clinical_full,exploratory,290,0.029452832455129307,anxiety_slopeT_HvL,0.008384778743373851,0.9268899795700349,AMI_Emotional
C_clinical_full,exploratory,290,0.029452832455129307,anxiety_slopeD_HvL,0.06160129233569663,0.4167024641838646,AMI_Emotional
C_clinical_full,exploratory,290,0.029452832455129307,confidence_intercept_HvL,0.0912753461729046,0.38657070709062913,AMI_Emotional
C_clinical_full,exploratory,290,0.029452832455129307,confidence_slopeT_HvL,0.06337646901595918,0.46059322850391105,AMI_Emotional
C_clinical_full,exploratory,290,0.029452832455129307,confidence_slopeD_HvL,-0.04749977976398487,0.5440042192600424,AMI_Emotional
C_clinical_full,confirmatory,281,0.019927209923999878,omega_z,0.07027726721085296,0.2781024585584854,AMI_Emotional
C_clinical_full,confirmatory,281,0.019927209923999878,kappa_z,0.019509279984513163,0.7655986996096414,AMI_Emotional
C_clinical_full,confirmatory,281,0.019927209923999878,anxiety_intercept_HvL,-0.04322067811122926,0.6865863458121572,AMI_Emotional
C_clinical_full,confirmatory,281,0.019927209923999878,anxiety_slopeT_HvL,0.011557235788420194,0.9024178058635515,AMI_Emotional
C_clinical_full,confirmatory,281,0.019927209923999878,anxiety_slopeD_HvL,0.01557435804208548,0.8550309270484842,AMI_Emotional
C_clinical_full,confirmatory,281,0.019927209923999878,confidence_intercept_HvL,-0.08248899435954121,0.4850292552320338,AMI_Emotional
C_clinical_full,confirmatory,281,0.019927209923999878,confidence_slopeT_HvL,-0.057847797574728396,0.568745506498994,AMI_Emotional
C_clinical_full,confirmatory,281,0.019927209923999878,confidence_slopeD_HvL,-0.10894619683401446,0.17226991917974835,AMI_Emotional
C_clinical_full,exploratory,289,0.036252010385200206,omega_z,-0.055699792710525324,0.3893615099177296,MFIS_Total
C_clinical_full,exploratory,289,0.036252010385200206,kappa_z,-0.04986747093443811,0.4353420346054369,MFIS_Total
C_clinical_full,exploratory,289,0.036252010385200206,anxiety_intercept_HvL,0.1905838680124789,0.06457992753114908,MFIS_Total
C_clinical_full,exploratory,289,0.036252010385200206,anxiety_slopeT_HvL,0.09705833139551888,0.2871686704348131,MFIS_Total
C_clinical_full,exploratory,289,0.036252010385200206,anxiety_slopeD_HvL,0.0009955292210141742,0.9895000216386228,MFIS_Total
C_clinical_full,exploratory,289,0.036252010385200206,confidence_intercept_HvL,0.04496663209393298,0.6688024141388861,MFIS_Total
C_clinical_full,exploratory,289,0.036252010385200206,confidence_slopeT_HvL,0.12375437599376682,0.14903711704035144,MFIS_Total
C_clinical_full,exploratory,289,0.036252010385200206,confidence_slopeD_HvL,0.047519863786830756,0.5431532539115581,MFIS_Total
C_clinical_full,confirmatory,281,0.07405927998336359,omega_z,-0.03946367317404867,0.5306287084077209,MFIS_Total
C_clinical_full,confirmatory,281,0.07405927998336359,kappa_z,0.02910822532718353,0.6472447212430789,MFIS_Total
C_clinical_full,confirmatory,281,0.07405927998336359,anxiety_intercept_HvL,0.3401802584426728,0.0012107229341705036,MFIS_Total
C_clinical_full,confirmatory,281,0.07405927998336359,anxiety_slopeT_HvL,0.20331981268386848,0.027161526862146464,MFIS_Total
C_clinical_full,confirmatory,281,0.07405927998336359,anxiety_slopeD_HvL,0.25015392751253646,0.002750468181482549,MFIS_Total
C_clinical_full,confirmatory,281,0.07405927998336359,confidence_intercept_HvL,-0.2144687599009938,0.06252149405964949,MFIS_Total
C_clinical_full,confirmatory,281,0.07405927998336359,confidence_slopeT_HvL,-0.057970098206968475,0.5568339628520359,MFIS_Total
