omega,kappa,earnings,survival
0.1373823795883263,1.1087345631067829,0.17886665313073166,0.58220975579691
0.1373823795883263,1.362958896015886,0.06489211846639925,0.5686670107737499
0.1373823795883263,1.6754749189233409,-0.03812172154072297,0.5566122270136712
0.1373823795883263,2.059648469331724,-0.1337612738492361,0.5450876714392305
0.1373823795883263,2.5319100687860603,-0.22388492253354947,0.5342790282117957
0.1373823795883263,3.1124576314230024,-0.3079608875863536,0.5238426700841232
0.1373823795883263,3.826120298201573,-0.3804224525024046,0.515113545070727
0.1373823795883263,4.703420341698632,-0.44648767078125257,0.5068868624179976
0.1373823795883263,5.781878557530657,-0.5101400519229425,0.4988533860987828
0.1373823795883263,7.107618972018045,-0.5604864121382622,0.4924301872886854
0.1373823795883263,8.737341497011023,-0.5999886420661709,0.48773433277740996
0.1373823795883263,10.7407468993397,-0.6357035539477282,0.4831525234699882
0.1373823795883263,13.203517797162956,-0.6760567581802598,0.4779481938985749
0.1373823795883263,16.23098317592011,-0.7010261553631375,0.47500373010902003
0.1373823795883263,19.952623149688797,-0.7233550093461891,0.4720478237830592
0.16102620275609392,0.05011872336272722,1.4198169311642128,0.7229641850052277
0.16102620275609392,0.06161056229074131,1.414562382886246,0.7222693258778552
0.16102620275609392,0.07573739175895006,1.4038064659799416,0.7208784321376643
0.16102620275609392,0.0931033948916044,1.3690372970561768,0.7165249938613295
0.16102620275609392,0.11445128937012382,1.3266036427521974,0.7112052650133381
0.16102620275609392,0.1406940923446931,1.2819680020112558,0.7058282260415077
0.16102620275609392,0.17295416879649622,1.236576471977317,0.7005333259110698
0.16102620275609392,0.21261123338996563,1.1608533009265605,0.6923925227218777
0.16102620275609392,0.261361358781646,1.069653750808934,0.6826129763277425
0.16102620275609392,0.3212895140817721,0.9522099109439119,0.6700448760450093
0.16102620275609392,0.3949587358288188,0.8279537770600813,0.6566011266409371
0.16102620275609392,0.48551974518470176,0.6984581591078799,0.6425955855584607
0.16102620275609392,0.5968456995122308,0.565187934192846,0.6277505448006241
0.16102620275609392,0.7336978414559202,0.4399430064367814,0.6136832378556755
0.16102620275609392,0.9019291300867378,0.32132553409597275,0.6002948696318062
0.16102620275609392,1.1087345631067829,0.20201944112496178,0.5864684642215958
0.16102620275609392,1.362958896015886,0.08716880328344459,0.5728801580921985
0.16102620275609392,1.6754749189233409,-0.016733605596998064,0.5604946556428358
0.16102620275609392,2.059648469331724,-0.11360930810013034,0.5489239395612923
0.16102620275609392,2.5319100687860603,-0.20456857342827015,0.537982371734535
0.16102620275609392,3.1124576314230024,-0.29000374955756975,0.5271575623149258
0.16102620275609392,3.826120298201573,-0.36630545829951894,0.5179503085284138
0.16102620275609392,4.703420341698632,-0.4377799930446849,0.5089186439349989
0.16102620275609392,5.781878557530657,-0.49240605256856895,0.5021253461290649
0.16102620275609392,7.107618972018045,-0.547176495757792,0.49525382682309377
0.16102620275609392,8.737341497011023,-0.5996516741269133,0.48855149515457186
0.16102620275609392,10.7407468993397,-0.6327943551100617,0.4844517511678951
0.16102620275609392,13.203517797162956,-0.6641848629114526,0.48050396651807475
0.16102620275609392,16.23098317592011,-0.6961985059931474,0.47647106563355063
0.16102620275609392,19.952623149688797,-0.7214235087132317,0.47322010232454326
0.18873918221350972,0.05011872336272722,1.41704402047444,0.7245308888039163
0.18873918221350972,0.06161056229074131,1.4148556095616749,0.7243307248112503
0.18873918221350972,0.07573739175895006,1.4054199784589716,0.7230400486036536
0.18873918221350972,0.0931033948916044,1.3780777485657802,0.7197284720716414
0.18873918221350972,0.11445128937012382,1.3359950953748532,0.7144385432958739
0.18873918221350972,0.1406940923446931,1.2911039068737695,0.7089411417546995
0.18873918221350972,0.17295416879649622,1.245725253460037,0.7036744538559458
0.18873918221350972,0.21261123338996563,1.1782752847421083,0.6963225034302903
0.18873918221350972,0.261361358781646,1.0869878491771017,0.6864964165704057
0.18873918221350972,0.3212895140817721,0.9768557933657311,0.6747519828108923
0.18873918221350972,0.3949587358288188,0.8558656178023543,0.6617003179451312
0.18873918221350972,0.48551974518470176,0.7267391903087991,0.6475916787461283
0.18873918221350972,0.5968456995122308,0.5959656125827707,0.633202356824333
0.18873918221350972,0.7336978414559202,0.4691856222852938,0.6188746134261693
0.18873918221350972,0.9019291300867378,0.34672481548513406,0.6049432304586122
0.18873918221350972,1.1087345631067829,0.23008058500039358,0.5914784087934051
0.18873918221350972,1.362958896015886,0.11515514235839625,0.5778612082800042
0.18873918221350972,1.6754749189233409,0.008059255918676487,0.5649741819235247
0.18873918221350972,2.059648469331724,-0.08987008634716354,0.5533063663310261
0.18873918221350972,2.5319100687860603,-0.18589281843138236,0.5415531220472896
0.18873918221350972,3.1124576314230024,-0.26861694322320223,0.531579046252606
0.18873918221350972,3.826120298201573,-0.3477875525178113,0.5214798956167687
0.18873918221350972,4.703420341698632,-0.41924570500234193,0.5127872652126074
0.18873918221350972,5.781878557530657,-0.4811824750179612,0.5048058157139722
0.18873918221350972,7.107618972018045,-0.5344147146652504,0.49807273729084106
0.18873918221350972,8.737341497011023,-0.5810740147422933,0.49193757868330945
0.18873918221350972,10.7407468993397,-0.625796304845252,0.4863153539915052
0.18873918221350972,13.203517797162956,-0.6654078236486106,0.4811431995371503
0.18873918221350972,16.23098317592011,-0.6940782437184387,0.47754032724758777
0.18873918221350972,19.952623149688797,-0.7227980118857693,0.47380515297553116
0.2212216291070449,0.05011872336272722,1.4139009259914714,0.7264130964189521
0.2212216291070449,0.06161056229074131,1.4121846053873062,0.7262806826891182
0.2212216291070449,0.07573739175895006,1.4054226704479533,0.7253967969941373
