subj,sample,omega,kappa,omega_z,kappa_z,escape_rate,captures_per_trial,earnings
219,exploratory,1.1070120744355567,0.5715230952350073,-0.22938765952630938,0.7678218221674823,0.6097560975609756,0.19753086419753085,53.0
220,exploratory,0.8149973069704698,1.3277185237040818,-0.5631495235518433,1.405746403063656,0.5714285714285714,0.2222222222222222,46.0
221,exploratory,1.1836127849739675,0.1739943104938367,-0.15646665616390612,-0.13223891498147522,0.1794871794871795,0.3950617283950617,-68.0
222,exploratory,2.439379545665141,0.2910099717332181,0.6317100819417135,0.25701490785916237,0.3170731707317073,0.345679012345679,-7.0
223,exploratory,1.3896620887087312,0.00411418559776,0.018448555985810734,-2.966175802796219,0.09523809523809523,0.4691358024691358,-110.0
224,exploratory,0.2330159773491632,0.0164606801431038,-1.9277739888183287,-1.916833295087425,0.15384615384615385,0.4074074074074074,-30.0
225,exploratory,0.5586430495992087,0.045540173218651,-0.9747719571234031,-1.146688034979259,0.43902439024390244,0.2839506172839506,74.0
226,exploratory,5.6474882590371625,0.8831080650887537,1.5466352156682475,1.0971421578101124,0.05128205128205128,0.4567901234567901,-126.0
227,exploratory,0.6139582603153074,0.0463319899821541,-0.8718688494262782,-1.1336423056650988,0.34146341463414637,0.3333333333333333,6.0
228,exploratory,1.1369426927146724,0.4745791417399309,-0.20031135654436574,0.627148627404306,0.0975609756097561,0.4567901234567901,-106.0
229,exploratory,0.4797915956355639,0.0744000865367057,-1.140608087783377,-0.7751985807605629,0.30952380952380953,0.35802469135802467,15.0
230,exploratory,1.5515624072157743,0.2191906786574763,0.13855618065668074,0.04252321927482602,0.4358974358974359,0.2716049382716049,28.0
231,exploratory,0.5938856352236471,0.1636009641083409,-0.9080969186021672,-0.17885257101281704,0.20512820512820512,0.38271604938271603,-7.0
232,exploratory,0.4624383725104297,0.5674882510427834,-1.1807579617862944,0.7624599384051904,0.0,0.5061728395061729,-113.0
233,exploratory,0.9964199482473916,0.3116001964279759,-0.34409949378030175,0.30875302094805823,0.2682926829268293,0.37037037037037035,-14.0
234,exploratory,3.1878203018535065,0.1751397938700309,0.9233571928019683,-0.12727282099028575,0.9024390243902439,0.04938271604938271,153.0
235,exploratory,0.3958322033210544,0.0828915099512245,-1.350260500887343,-0.6934059318361295,0.05128205128205128,0.4567901234567901,-68.0
236,exploratory,1.230868017291256,0.3997225381815347,-0.11379952475100741,0.4972363310132548,0.5365853658536586,0.2345679012345679,62.0
237,exploratory,0.8749853660497618,0.044541724622548,-0.48574311850127294,-1.1634653642662207,0.6829268292682927,0.16049382716049382,135.0
238,exploratory,0.1728300478459042,0.0249114949553395,-2.253430643152933,-1.6032454173747681,0.10256410256410256,0.43209876543209874,-21.0
239,exploratory,0.5839625461277562,0.1896261071069299,-0.9264614431385642,-0.06712928218209537,0.02564102564102564,0.4691358024691358,-87.0
240,exploratory,1.130165173862959,1.2700193296807225,-0.20682781577759704,1.3721213701883082,0.5641025641025641,0.20987654320987653,41.0
241,exploratory,0.8082989688207257,0.0821680621954825,-0.5721441592721642,-0.7000400942493789,0.12195121951219512,0.4444444444444444,-47.0
242,exploratory,0.9090197670330316,0.4606630230824875,-0.4441533458875338,0.6046247601474544,0.4146341463414634,0.2962962962962963,26.0
243,exploratory,1.6822826474638684,0.6626897098618364,0.22671630199249357,0.879831199203085,0.7619047619047619,0.12345679012345678,115.0
244,exploratory,0.7064974900180504,0.0490686207231384,-0.718856536442954,-1.0902111814852646,0.0975609756097561,0.4567901234567901,-58.0
245,exploratory,1.5009113023884144,0.2355486915419629,0.10238283369643505,0.09699508884240252,0.43902439024390244,0.2839506172839506,-5.0
246,exploratory,1.843019241666211,0.3870376071423257,0.32617242191572476,0.47283012603487173,0.02564102564102564,0.4691358024691358,-116.0
247,exploratory,0.6753361818255682,0.2054278024144575,-0.7680203296239445,-0.006553929685375385,0.17073170731707318,0.41975308641975306,-74.0
248,exploratory,0.6121354547509325,0.1208865467624057,-0.8751094748726768,-0.40784650841730347,0.20512820512820512,0.38271604938271603,-23.0
249,exploratory,0.4976033335106504,0.3344961695735305,-1.1008801395817556,0.36241424369173797,0.5476190476190477,0.2345679012345679,80.0
250,exploratory,0.4062207576450264,0.6588604520368699,-1.3220254746526154,0.8754453971004592,0.0,0.5061728395061729,-165.0
251,exploratory,0.5166631385274644,0.0212787670946927,-1.0599135934012573,-1.7225335197226186,0.047619047619047616,0.49382716049382713,-95.0
252,exploratory,0.5233838898915767,0.2785089345100263,-1.0458277539204595,0.22378535281764633,0.3076923076923077,0.3333333333333333,-1.0
253,exploratory,2.259203315049257,0.3103505239658163,0.5480813607252565,0.3057117321046239,0.36585365853658536,0.32098765432098764,-37.0
254,exploratory,0.1815187799641553,0.9965459527278956,-2.1999712151703967,1.1886008876232765,0.04878048780487805,0.48148148148148145,-105.0
255,exploratory,0.2348276026664348,0.0741696885967845,-1.9193332256249136,-0.7775458631119374,0.02564102564102564,0.4691358024691358,-177.0
256,exploratory,0.9516055983742376,0.1000690354595756,-0.3942541112688342,-0.5508776757939335,0.6666666666666666,0.16049382716049382,122.0
257,exploratory,2.569501087370503,0.0043246190695649,0.6883494086351196,-2.9284237311712307,0.28205128205128205,0.345679012345679,-4.0
258,exploratory,0.4439617145962115,0.192993025889743,-1.2251981084627226,-0.053809594950739,0.2857142857142857,0.37037037037037035,12.0
259,exploratory,3.8203480856026815,0.7725987901051058,1.1206314289901065,0.995965974436357,0.4878048780487805,0.25925925925925924,-33.0
260,exploratory,1.431863884228311,0.3669950720972733,0.05105407397727932,0.43258793171834115,0.5365853658536586,0.2345679012345679,38.0
261,exploratory,0.6185287814199992,0.0562253992400904,-0.8637853914258159,-0.9871723643365665,0.38461538461538464,0.2962962962962963,61.0
262,exploratory,1.4004450229593566,0.1488053939002696,0.026872783390780582,-0.25059130733532814,0.7560975609756098,0.12345679012345678,116.0
263,exploratory,2.277387127151632,0.6350999781050733,0.5568185053775574,0.8476482783305839,0.2926829268292683,0.35802469135802467,-102.0
264,exploratory,0.4482079566342873,0.2740470107128276,-1.2148234834603768,0.21156251096766407,0.0,0.48148148148148145,-92.0
265,exploratory,0.5824436352856137,0.1009766843941281,-0.9292999800996922,-0.5440441807953773,0.7692307692307693,0.1111111111111111,174.0
266,exploratory,0.6755790411763515,0.2990766983010017,-0.7676284627275377,0.2777080026758937,0.4523809523809524,0.2839506172839506,40.0
267,exploratory,0.5396615033890162,0.0262668799370257,-1.0124478788722349,-1.5631500124854998,0.0,0.48148148148148145,-127.0
268,exploratory,1.0173703650734187,1.643021903150202,-0.32142143231566755,1.5670037677346789,0.6341463414634146,0.18518518518518517,36.0
269,exploratory,1.2491801542515817,0.1592811852493701,-0.09770424080586232,-0.19910421353467592,0.47619047619047616,0.2716049382716049,67.0
