label,kappa_opt,sample,outcome,model,R2,beta_omega,p_omega,beta_kappa,p_kappa,delta_R2,beta_anxiety_slope_T,p_anxiety_slope_T,beta_confidence_slope_T,p_confidence_slope_T,beta_anxiety_slope_D,p_anxiety_slope_D,beta_confidence_slope_D,p_confidence_slope_D,beta_anxiety_intercept,p_anxiety_intercept,beta_confidence_intercept,p_confidence_intercept
κ_opt*,6.866488450042998,confirmatory,delta_uL_sum,with_affect,0.7796101577227523,0.5596298777570075,2.571036173972473e-50,-0.8718490936532713,4.537578277789559e-84,0.005583685360993629,-0.008852217687399617,0.7856338921240383,0.03253847493987645,0.29833635066510494,0.0032028759327615967,0.920135034254882,0.05428959050624931,0.07218058411167129,0.013357208418246396,0.6487566181517503,-0.016691007766752395,0.5742300000119424
κ_opt*/2,3.433244225021499,exploratory,delta_choice_sum,params_only,0.9188178350035853,-0.7561528575819849,4.712056617406995e-124,-0.3729860456779115,1.4450001982496664e-58,,,,,,,,,,,,,
κ_opt*/2,3.433244225021499,exploratory,delta_choice_sum,with_affect,0.9272435972238569,-0.7451963615103002,6.6579283828961855e-124,-0.3671932616110221,9.11197034239418e-60,0.008425762220271582,0.049148993709074794,0.006374465007722472,-0.054900611590712155,0.0042876980582933245,-0.028719549973577823,0.08919579624034465,0.019298610008121365,0.283410452781075,0.006833656953089392,0.6807925821619545,0.043338637935577594,0.010697090149050122
κ_opt*/2,3.433244225021499,exploratory,delta_uH_sum,params_only,0.6539955556052558,0.5875015396330007,1.247617410402862e-40,-0.8130095386406588,1.0501612049123379e-62,,,,,,,,,,,,,
κ_opt*/2,3.433244225021499,exploratory,delta_uH_sum,with_affect,0.6629466282329667,0.583975835496169,3.07885195881654e-39,-0.8141699143089494,5.110525184234195e-62,0.008951072627710888,-0.02863554394725011,0.457498086457606,0.022437048901379444,0.5849648960852102,0.05123024859887049,0.1586105017997316,0.05971727404533837,0.12343937981928048,-0.047439835738724595,0.18517994990323083,-0.04351592863666294,0.2316365304180265
κ_opt*/2,3.433244225021499,exploratory,delta_uL_sum,params_only,0.6640933252332926,0.5200762449349265,8.883632273871955e-35,-0.8477400611219424,3.33345990945751e-67,,,,,,,,,,,,,
κ_opt*/2,3.433244225021499,exploratory,delta_uL_sum,with_affect,0.6885209346842791,0.5117081852707563,2.6871193769255067e-34,-0.8553231354513252,4.881177968227212e-69,0.024427609450986543,-0.05556991478888686,0.13424476378457834,0.047338548217036765,0.2311348346352226,0.02637661266590359,0.4496500109658201,0.09336925108758948,0.01252835414714113,-0.06523835317377116,0.05844842325923592,-0.09700691599536931,0.0058060442546257
κ_opt*/2,3.433244225021499,confirmatory,delta_choice_sum,params_only,0.888125331643335,-0.8164839729025544,3.277541422551141e-114,-0.2846764321935173,2.2159411918680506e-32,,,,,,,,,,,,,
κ_opt*/2,3.433244225021499,confirmatory,delta_choice_sum,with_affect,0.9025578686495898,-0.819836327515604,2.7697642056391334e-118,-0.271502213191695,8.082770512073675e-32,0.014432537006254798,0.03737929427240908,0.08495843772077903,-0.06727993908347217,0.0013427475320329663,0.021535837082144117,0.31109168655110525,-0.024519867007736673,0.2212478730640889,-0.04406054662579737,0.02447860183614874,0.0454484194080249,0.022004211047363723
κ_opt*/2,3.433244225021499,confirmatory,delta_uH_sum,params_only,0.6168929034119531,0.5631523662573115,1.0021048582580669e-35,-0.743451774994427,1.7051418022211556e-52,,,,,,,,,,,,,
κ_opt*/2,3.433244225021499,confirmatory,delta_uH_sum,with_affect,0.6238153261239875,0.5570102225794925,1.8540720840129524e-34,-0.7346718562424797,6.474285526580818e-50,0.0069224227120343595,0.007090984383131103,0.8675526991444993,-0.038548631793114636,0.3455602617611265,0.04657290761517732,0.26499990123642203,-0.022386879976066743,0.5693486547362363,-0.0324528564184289,0.39718599911245867,0.0060870884745964325,0.8753456560117702
κ_opt*/2,3.433244225021499,confirmatory,delta_uL_sum,params_only,0.7783814868165021,0.5342410543893179,1.0852030516006444e-48,-0.8818249013287409,1.8674338253423436e-88,,,,,,,,,,,,,
κ_opt*/2,3.433244225021499,confirmatory,delta_uL_sum,with_affect,0.7827892437876176,0.5377098590247884,3.5089530283967825e-48,-0.8827000184317996,8.030560213068618e-86,0.004407756971115506,-0.006472638468267521,0.8412238806392861,0.02928533960466526,0.34566983456741696,0.004630724178965387,0.883908127174868,0.04948503762167173,0.09862070680556663,0.010284534220083248,0.723868123373163,-0.01216061097089423,0.6800639771129973
2·κ_opt*,13.732976900085996,exploratory,delta_choice_sum,params_only,0.9188178350035853,-0.7561528575819849,4.712056617406995e-124,-0.3729860456779115,1.4450001982496664e-58,,,,,,,,,,,,,
2·κ_opt*,13.732976900085996,exploratory,delta_choice_sum,with_affect,0.9272435972238569,-0.7451963615103002,6.6579283828961855e-124,-0.3671932616110221,9.11197034239418e-60,0.008425762220271582,0.049148993709074794,0.006374465007722472,-0.054900611590712155,0.0042876980582933245,-0.028719549973577823,0.08919579624034465,0.019298610008121365,0.283410452781075,0.006833656953089392,0.6807925821619545,0.043338637935577594,0.010697090149050122
2·κ_opt*,13.732976900085996,exploratory,delta_uH_sum,params_only,0.6639721635757205,0.47025723453982027,6.780556627573943e-30,-0.8610135871065817,1.8698293685017786e-68,,,,,,,,,,,,,
2·κ_opt*,13.732976900085996,exploratory,delta_uH_sum,with_affect,0.6734835981363552,0.4666549413218637,7.829737735216089e-29,-0.8628683965275246,7.73549447489924e-68,0.009511434560634635,-0.03887880326786134,0.3056295587273958,0.02371185564810024,0.5576116491369585,0.045396871891731416,0.20420626126256186,0.06577798134091721,0.08487282487235734,-0.03786704375883133,0.2823237142904698,-0.043207986199584596,0.22755782211783418
2·κ_opt*,13.732976900085996,exploratory,delta_uL_sum,params_only,0.6491794294309778,0.5422999775796813,7.983393233139821e-36,-0.8284399710699522,1.2368249991682076e-63,,,,,,,,,,,,,
2·κ_opt*,13.732976900085996,exploratory,delta_uL_sum,with_affect,0.6759575955512543,0.5333820671351326,2.07645657551649e-35,-0.8364587329284175,1.1760064867597979e-65,0.026778166120276503,-0.0639893255201917,0.09106921891248848,0.05005857494324683,0.21448138397538521,0.030572338641886725,0.39035511441880144,0.09509807067992943,0.012653090294475523,-0.06639282084201364,0.05900829421154804,-0.09927311373422341,0.005647209232533478
2·κ_opt*,13.732976900085996,confirmatory,delta_choice_sum,params_only,0.888125331643335,-0.8164839729025544,3.277541422551141e-114,-0.2846764321935173,2.2159411918680506e-32,,,,,,,,,,,,,
2·κ_opt*,13.732976900085996,confirmatory,delta_choice_sum,with_affect,0.9025578686495898,-0.819836327515604,2.7697642056391334e-118,-0.271502213191695,8.082770512073675e-32,0.014432537006254798,0.03737929427240908,0.08495843772077903,-0.06727993908347217,0.0013427475320329663,0.021535837082144117,0.31109168655110525,-0.024519867007736673,0.2212478730640889,-0.04406054662579737,0.02447860183614874,0.0454484194080249,0.022004211047363723
2·κ_opt*,13.732976900085996,confirmatory,delta_uH_sum,params_only,0.6122491604034379,0.45457298327420825,1.1999275509886704e-25,-0.7888434912453949,3.105297626723415e-56,,,,,,,,,,,,,
2·κ_opt*,13.732976900085996,confirmatory,delta_uH_sum,with_affect,0.6176591932566828,0.448218150139227,1.590874008741665e-24,-0.781233812030102,1.6359268166485252e-53,0.005410032853244928,0.0032690484163518576,0.939210233186069,-0.03650774640962152,0.3755299792966837,0.04537930760281226,0.2813077519666443,-0.011993387970271528,0.762317795111034,-0.02869302190160843,0.45770569291382446,-0.005693808465536122,0.8842757670826499
2·κ_opt*,13.732976900085996,confirmatory,delta_uL_sum,params_only,0.7687249701100672,0.5710457627645822,1.0383793610353309e-51,-0.8598242680736673,3.235206971076351e-84,,,,,,,,,,,,,
2·κ_opt*,13.732976900085996,confirmatory,delta_uL_sum,with_affect,0.7754522876687739,0.5749698870679566,1.6921296180449721e-51,-0.8621065100653802,2.9876232556127483e-82,0.0067273175587067024,-0.010967202778447436,0.7385141277349605,0.0357108282763798,0.2582310573058414,0.001959324364814805,0.9515463492045555,0.05816602634269861,0.05642686171951656,0.01582920473223059,0.5928382970595285,-0.019983642651771417,0.5052002887942868
