subj,log_omega_true,log_omega_rec,log_omega_lo80,log_omega_hi80,log_omega_lo95,log_omega_hi95,log_kappa_true,log_kappa_rec,log_kappa_lo80,log_kappa_hi80,log_kappa_lo95,log_kappa_hi95
139,0.8295642448892129,0.7432569469265445,0.45394962182529186,1.0243537850483435,0.27784579026406847,1.1589187934301748,-0.03395257234998206,-0.173280701891389,-0.48614869968109187,0.12561064718970624,-0.6546383206952738,0.2748732553005135
140,-0.9775424577853544,-0.8379139044224758,-1.3102554115823697,-0.3986958918984576,-1.6115458902840807,-0.20272301788045852,-0.4645878429779144,-0.32710351398676374,-0.6394232927907416,-0.024411980633345525,-0.800879607505067,0.12174964874182832
141,0.8465717387754246,0.6674742240675762,0.3452103085402926,0.982441072020156,0.13938492844134875,1.126587958392847,-0.43527917285583384,-0.3445036181203595,-0.7064650389939192,0.012328694359036023,-0.9259362984474566,0.18712704833375388
142,-0.7890930744622008,-0.2543087056740656,-0.6284413812144787,0.0932396142574871,-0.8722943777179173,0.24923744688258848,-2.915437742606139,-4.505110963213225,-6.609313485608409,-2.7164570899524327,-8.048631565451348,-2.1531146344698184
143,0.24015742807392745,0.16283710954364175,-0.17786408964293207,0.48413631828062126,-0.3911550035503477,0.6332782793770627,-1.2171456893709525,-2.170749057404067,-3.86404655797024,-1.087354100052282,-5.811370280629361,-0.8538808527348412
144,-0.13508636277105548,0.48776038970485414,0.22581444763214562,0.7453865048476835,0.06772603822592241,0.8671867811155614,-1.9186179068253253,-4.236676835900876,-6.392885101901356,-2.372144270148243,-7.8381803731132,-1.8188838326716643
145,0.07173536710157444,0.013464069151321065,-0.2811668108023431,0.2957130127471835,-0.47722860174709725,0.43137085409360765,-1.9310685937658145,-4.659312439076909,-6.697800474999509,-2.911954570410176,-8.079780785598588,-2.3596642860210393
146,-1.116005174398459,-0.8504366817309555,-1.378004671490483,-0.3556180085159885,-1.6931148056331584,-0.1450830808038424,1.0703260194752116,1.6538892903953608,1.0965621387785638,2.234142705709558,0.837650824754152,2.6076956779107294
147,0.0964129041081428,0.21029175825710006,-0.06726436342104715,0.47667250793335036,-0.24546634966449482,0.599333470649848,-1.917065470959612,-4.776708532558539,-6.806167695292763,-3.043649359884247,-8.134838412144115,-2.469049704430801
148,-0.05624166470902011,0.4334292150270932,0.11457479144992504,0.7373900091370322,-0.07676571336447373,0.8684485069989787,-1.0645551058945233,-0.6186877077263663,-0.9558234223248961,-0.2937100556694856,-1.1610161228303721,-0.13324594445676477
149,-0.5053260139453322,0.045532144951339226,-0.24682588337617287,0.32498292860424866,-0.4303681807428942,0.4590394925942922,-3.98412181571015,-4.445703094090139,-6.519928976176113,-2.671819774436156,-7.8689336753218,-2.1373340264354974
150,-0.23780779238605956,-0.03117269437923328,-0.4260546352316107,0.3363529936724439,-0.665789281650444,0.5047049160990456,1.145174455872586,1.047427772505271,0.6764262456717445,1.4284510123739884,0.4785364275913664,1.6419388383314815
151,0.24197080534444196,0.47746410866190986,0.2032355434070298,0.7411659746276229,0.04034380538106848,0.8691166456337812,-0.3180930570826747,-0.033175449475776136,-0.3017501285391846,0.22472740913543987,-0.4537909954307364,0.3562547757138112
152,-0.723765104922026,-0.35964716344448544,-0.7121655478921417,-0.031082111699692588,-0.9384177625918056,0.12249110525937544,-1.3655769758241698,-0.9954350070325801,-1.312193906040345,-0.695394062458003,-1.5150896435965122,-0.5442635877519993
153,0.8754158352758299,1.1753726557893307,0.9091382802442912,1.4295069213108076,0.7575348848805582,1.5561797281532705,-2.3372604010344036,-3.8791995428343706,-6.167208198548244,-1.8722942016077635,-7.669298614126519,-1.3016342582150429
154,1.6229438785567882,1.38661202394245,1.1124885648878662,1.6531555251161805,0.9502262264493792,1.781111834486966,-1.225119139221597,-3.2614438315507,-5.776334790006334,-1.1196211017452422,-7.3445428615641415,-0.6125028914555111
155,0.9525730656900837,0.7185150056150348,0.44623016653863706,0.9788022210640334,0.2915438296269646,1.1076185565283994,-0.09778281910989466,-0.2543055328344157,-0.533763040569894,0.016537601228858057,-0.6930823001263505,0.15065081883792134
156,1.2182494897884895,1.271277919035902,0.969970601011026,1.565486759832982,0.7910121907769084,1.7106221908747439,0.6581514464421565,0.5961186523325159,0.28385511300878186,0.9003084565268683,0.10938400063194212,1.0677056991074405
157,0.24861673034181753,0.5844365105666575,0.3013724373115803,0.858683265732044,0.12584999148306722,0.9953560232426162,-0.3741607978944028,-0.07274779532118653,-0.3670947592563789,0.21300109485036559,-0.5373114857138269,0.3594084728747344
158,-0.4028286916145472,-0.17786995067243716,-0.5167235272102008,0.13471545712467367,-0.7338061483002071,0.27639783951240204,-1.2867004389985452,-0.8784823290247674,-1.20159453735495,-0.5742253904614674,-1.4044643770359484,-0.4295520331788706
159,-0.32286409730516163,-0.4817480486701445,-0.8494517168524167,-0.13418504200244424,-1.0629118280884187,0.025403371179425774,0.06901241013158452,0.18027320643400907,-0.10019796220946063,0.45440608307044916,-0.25144860988472373,0.6089253203451093
160,0.304964966929524,0.37102786253536985,0.07014155122501746,0.6582036471628264,-0.12076530339703889,0.7946272249082479,-0.46239092995642955,-0.4585168074325427,-0.7557940010577412,-0.1712020895491607,-0.946800963264072,-0.0364336921067828
161,1.1785615170356527,1.0074636395132885,0.703352430206887,1.2984251877429438,0.5213658724230382,1.4378871912550302,-0.18647281815876096,-0.5263138668068633,-0.9029911478376901,-0.16679521696103944,-1.1861644163667406,-0.012271287839173963
162,1.4684310839445704,1.276166965739101,0.9581084540763467,1.5781997005938826,0.7820454276454609,1.7245434703073639,0.6852050854527569,0.5992390030471058,0.268735952215666,0.923540194350626,0.0866551718221402,1.0852899142664292
163,-0.7086282767644028,0.14334860298258537,-0.13599152783351318,0.4085210328678476,-0.3021770062904647,0.5447064932502662,-3.6357738155677444,-4.491879293709014,-6.581129002326426,-2.6840545416043664,-7.936101151646601,-2.1465153367565755
164,-0.8523004505008812,-0.30918905343894504,-0.6065742162011444,-0.027832507766673113,-0.7855148423116942,0.10604490168441216,-2.985532694898189,-5.002832497024595,-6.939240258634896,-3.316723985809238,-8.243952832293521,-2.7967072855148154
165,1.2548406853925964,1.2364960278054442,0.9536983614888351,1.5110510480023172,0.7930885157943884,1.6429737897312173,0.29641304585628697,0.24516545856043442,-0.052164037123000453,0.538374755575563,-0.21514925636548954,0.6799879058956173
166,-0.9940911008127625,-0.5928053462815996,-0.9812563407989024,-0.22444349108696404,-1.2330392514014932,-0.05871179604154192,-2.226445431183696,-4.137155861508426,-6.232191807524145,-2.4356354670248574,-7.692867125166026,-1.9996167736584995
167,-0.7997660040661111,-0.15103760931395319,-0.47924243210881157,0.15903730554993684,-0.6923564291509572,0.2984971927061084,-1.1977733680031792,-0.7937625177436761,-1.098616824250884,-0.49664214860551115,-1.2878100603905203,-0.35423400392862686
168,-0.007835592277668222,0.42004644374398775,0.12949200985120554,0.6971658011319763,-0.051102940018937205,0.8366538404307737,-2.5315067305388337,-4.329361511205674,-6.422209462642469,-2.534770417835235,-7.773455079354918,-1.9811693257357867
169,1.0667651684590425,1.3605182280279773,1.0515120746022915,1.6509115637140253,0.8782101043013324,1.7940756542718999,-0.1710600358771397,0.10436507616869349,-0.20536396620423997,0.4085938115176851,-0.3944066721918556,0.5607598097373581
170,-0.7734275787498657,-0.5326195338223759,-0.8787734770920224,-0.20870305889047602,-1.0969698894938287,-0.05825781139875215,-4.69129649114174,-4.94937154495379,-6.842710005651307,-3.283891301602452,-8.208905912715029,-2.7160868573575754
171,0.41556421784153,0.4386668530482918,0.1699428692535125,0.6943254453712008,-0.00025463857730415084,0.8231145662890665,-1.5661844577642734,-4.504130785247231,-6.56107959721351,-2.732349412036575,-7.951321950698344,-2.16599151548439
172,-0.6785587184060723,-0.5607360318474759,-1.0246119381403034,-0.12867685778242413,-1.3111763810347044,0.06136248543584418,1.1335006550007385,1.2156511138999433,0.792398912189092,1.6526527257599253,0.5635302108582035,1.9091856979300514
173,0.23444712072742696,0.8256508327622628,0.5519353260185071,1.0876536572705016,0.400118385966595,1.215489985323322,-2.4966909958164454,-4.245158316561047,-6.393747797628291,-2.402321944233727,-7.709761774864988,-1.8122646168504766
174,0.41953876635014764,0.6251181323534621,0.3495126715904144,0.89418575816038,0.18186777143310667,1.02672505888339,-4.0467118460901705,-4.365393531766407,-6.477019223535987,-2.5116797763293186,-7.930250831989854,-1.943432806195723
175,0.8722053842799883,0.9330029530747124,0.6580771346670804,1.197571053230025,0.4953846915223036,1.3253654722513526,-1.2824701210497684,-4.134578396410614,-6.303923896326265,-2.2478710841313823,-7.742902786551174,-1.6577921486258256
176,0.4075038840327977,0.19456997395713643,-0.1081781399275855,0.4841527192524597,-0.3004201381247137,0.6185640733026416,-2.5273065637398044,-4.566092862005721,-6.663971428906103,-2.786950433713185,-8.027760086497672,-2.206587302598091
177,0.7500928748578568,0.9873871228571969,0.67910828030314,1.283231211461238,0.5029220074380922,1.4256650889375426,-0.189923678595165,0.2882520805830897,-0.02934122085750914,0.6039811989368205,-0.20611294206269196,0.7656590211969632
178,0.3863493866815316,0.5673097200025572,0.26955393525284493,0.8520366203054328,0.10010162802829153,0.9841306566104775,-1.3124916249264797,-4.013790751421153,-6.189000793771921,-2.1214914385119816,-7.648154726087333,-1.6016660504350293
179,-0.43534353004757165,-0.31632174593353557,-0.6534019419279583,0.0017825932510496978,-0.8712087407568991,0.14772312597724382,-2.6693685618212077,-4.820972542636548,-6.787061050935501,-3.129777812537098,-8.1157844440192,-2.584554855026396
180,0.28784168104017605,0.10019757207047705,-0.23324976270508938,0.4182513745609633,-0.45586177011293616,0.561639070541909,-1.8579387915359646,-3.7331416034046003,-5.92084706496816,-1.9170691356079672,-7.428264486476707,-1.4984219870318685
181,-0.23013888276181943,0.20834455590510279,-0.15934560162468184,0.5571727674656006,-0.397708590107594,0.7168507211135645,0.05176660808201957,0.6180479805324182,0.2779904282452814,0.9533959725211409,0.08803475813083332,1.1280415774176524
182,1.1068378102243732,1.3482702324985807,1.0870103113316432,1.6012064799052448,0.9372025924947704,1.7227341721971676,-2.1046137323119667,-3.861398575995191,-6.135218562095862,-1.8530882703384857,-7.644207153081861,-1.2460543404061581
183,-0.8744825309791746,-0.3906627462495864,-0.7336071340043837,-0.06352514308682998,-0.9535468519194532,0.09037825315928052,-2.3354458673259235,-4.543050386656389,-6.541455642848141,-2.817260688136939,-7.8612339455714695,-2.300248368764848
184,0.7927001239569091,1.0021253004337132,0.7322730494313002,1.2647526731794059,0.5765247649298508,1.3923816348610443,-1.5034634353432612,-4.057190999455468,-6.295481776315941,-2.1249803600761443,-7.731355011219017,-1.5151466783065066
185,1.0588899718218434,0.8463622735668712,0.5449628251763292,1.1320219790688466,0.37580144910819,1.2731916399716743,-1.8832129679903509,-3.837624044881314,-6.036908846407668,-1.8948995945198641,-7.493764664356915,-1.3331548445549672
