subj,k,beta,alpha,delta
213,9.3303995,6.8400536,0.117357895,0.13040479
214,4.090173,6.411251,0.20634346,0.16524781
215,11.657987,7.170155,0.1204719,0.13350876
216,10.679838,7.7817607,0.41630062,0.14664644
217,6.150686,7.44979,0.39052442,-0.14556858
218,4.3273726,6.4764533,0.013386577,0.16783823
219,8.493254,6.6524825,0.057779115,0.124518454
220,9.302663,6.7610316,0.0068509877,0.046767592
221,8.776824,7.4495754,-0.0041603893,0.09773931
222,10.663475,6.6576242,0.14600115,0.14401612
223,4.6955137,7.371644,0.6506577,0.058498345
224,2.903462,7.367815,0.013684221,0.055056717
225,4.4863577,7.1740437,0.090071306,0.21391709
226,19.122904,6.5388894,0.03989889,0.058785487
227,6.450281,6.6998553,0.07928071,0.09747319
228,8.749539,6.9779544,-0.060778536,0.082528464
229,4.2823534,7.0422354,0.0517352,0.16727673
230,9.418596,7.3837643,0.164142,0.16224757
231,5.0973783,7.2597494,-0.040891714,0.14428702
232,7.16041,6.9259596,-0.10245863,-0.04558631
233,6.537681,6.8585234,0.03775032,0.16383764
234,12.2134,7.7796106,0.27236462,0.25542128
235,4.855852,6.5217233,0.00962168,0.0074288547
236,8.065455,6.9609923,0.020406544,0.17744973
237,6.241516,6.9031076,0.1883204,0.18943235
238,2.499814,7.6719766,-0.00048056245,-0.0163633
239,6.384031,6.7835016,-0.057978965,-0.024577506
240,12.197235,7.2703357,0.0818824,0.07625523
241,5.683204,6.908978,0.0034656227,0.09853093
242,6.5981107,7.1784024,0.014142998,0.14448965
243,10.827616,7.3024826,0.11453586,0.113322675
244,5.1445737,6.5623503,0.06662621,0.15130916
245,11.310391,6.9216537,0.18845561,0.0886243
246,11.861132,6.838285,-0.03452248,0.095806286
247,8.120203,7.1742387,0.019023873,-0.014519386
248,5.9159846,6.7187595,0.026331224,0.08553056
249,5.294921,7.0939155,-0.025651462,0.16023663
250,6.264554,7.071489,-0.1913493,0.08260835
251,4.027506,7.0682673,-0.103583984,0.07276354
252,5.9278746,6.9381447,-0.009918794,0.14563964
253,10.648958,7.018594,0.01610794,0.15048172
254,5.2824416,6.5899105,-0.0878633,0.0044600666
255,3.910342,6.9333034,0.039538354,0.006144069
256,8.517614,7.071107,0.1822949,0.071259975
257,6.975304,7.3312325,0.970918,0.08969212
258,4.8226986,7.289426,-0.04766553,0.13341928
259,14.557534,6.9736924,0.10556577,0.104085796
260,8.47576,7.1828237,0.12065666,0.1363723
261,4.6402383,6.8165774,0.0798002,0.19931355
262,10.842051,7.7542467,0.26889798,0.14464812
263,15.040632,7.524082,0.07642648,0.0679092
264,5.283628,6.985001,-0.12290583,0.03255982
265,5.259385,7.0539174,0.14855377,0.17436576
266,6.1616316,7.126442,0.02116549,0.17817527
267,4.672062,7.2599564,-0.09760418,-0.03228671
268,13.049884,7.8846536,0.06329408,0.051987246
269,7.5867653,6.7584796,0.1071942,0.20025334
270,19.971344,6.809968,0.23155352,0.09585734
271,4.525407,7.0109906,-0.06712546,0.11682096
272,10.044895,6.944059,0.16980147,0.113102585
273,12.858881,7.10025,0.1159564,0.091925114
274,8.544477,7.217969,0.06498125,0.16950938
275,14.111625,7.2466736,0.03796223,0.10738887
276,7.368303,7.1927466,-0.04217813,0.056518428
277,8.408476,7.055199,0.04894269,0.122526474
278,2.9550045,6.7379084,0.052387338,0.019190602
279,6.7138925,7.089747,-0.12802151,0.11028502
280,7.795944,6.557492,0.18342254,-0.05953916
281,8.366588,7.2116566,0.18012054,0.15008996
282,12.059965,7.2029576,0.14873613,0.1338579
283,6.422609,7.3265076,0.025959313,0.03835026
284,19.86948,6.919074,0.15976378,-0.013027109
285,7.9381676,6.9080286,-0.08430175,0.12630758
286,8.256882,7.3100495,0.00019861758,0.0887805
287,11.85467,6.5084176,0.009635963,0.12816651
288,16.25683,7.23859,0.030943505,0.087101564
289,6.4997888,7.1519227,-0.008801304,0.15404323
290,9.953426,7.201718,-0.057013623,0.112433
291,5.5021377,6.742804,-0.025520347,-0.025285996
292,19.127869,6.833043,0.06667863,0.047486372
293,5.1405873,7.4352255,0.11069188,0.07471433
