subj,k_bayes,k_bayes_sd,beta_bayes,beta_bayes_sd,alpha_bayes,alpha_bayes_sd,delta_bayes,delta_bayes_sd,delta_ols,logk_bayes,logbeta_bayes
81,2.9948292,0.95713,69.98424,33.736744,-0.10475063,0.027952723,0.34979972,0.04517629,0.45821815930825677,1.0481193,4.142054
82,12.319113,2.0509915,73.72958,74.17314,-0.014450968,0.029138224,0.111747466,0.047226466,0.042329654575498185,2.4974012,3.9465952
83,0.6842034,0.3489642,11.794355,7.2502165,-0.19403273,0.030540945,0.029212335,0.043149974,-0.04236856468249704,-0.49434748,2.3045578
84,5.2094607,1.2959036,125.60059,73.02727,-0.09336856,0.02833218,0.2192259,0.048516165,0.24937261609120193,1.6201208,4.6856647
85,6.18152,1.2636695,89.79784,52.665684,-0.03265168,0.02887307,0.27397257,0.049754303,0.319833934713091,1.8009169,4.345593
86,1.5551784,0.74327123,31.573368,16.10929,-0.07613291,0.028392099,0.31472427,0.042899787,0.4076514998911572,0.33795896,3.3379128
87,1.789471,0.89955395,112.129715,39.314995,-0.026061513,0.028933898,0.35483706,0.045327377,0.4647993968396251,0.46894053,4.661905
88,7.8280787,1.4971373,85.353096,65.889015,0.14669889,0.028200757,0.2750258,0.04810612,0.2957742396906998,2.0397487,4.2195034
89,10.0408125,1.8020543,105.97157,106.07528,0.09739439,0.03059357,0.19839495,0.047414534,0.16564001971991466,2.2908556,4.313045
90,2.0697017,0.8499302,29.51168,16.848227,0.06163177,0.027138932,0.25489807,0.0458877,0.2602832236243617,0.6499383,3.2357578
91,0.8510232,0.45127904,14.023739,8.156298,0.13243623,0.029729767,0.1694138,0.048008077,0.14582642099979398,-0.2808397,2.4984343
92,1.7867672,0.8743538,62.374077,27.126877,-0.049221005,0.030175667,0.34016854,0.05274534,0.4447597350077346,0.47386944,4.0452895
93,2.369231,0.91342676,27.137712,14.996446,0.04892017,0.028369607,0.1562285,0.04496966,0.10726219479219012,0.79479533,3.1642535
94,6.1030517,1.3192384,106.381134,78.52331,-0.014055064,0.02826157,0.33584693,0.04592809,0.43566046877545117,1.7856898,4.4528737
95,5.249946,1.399425,125.539276,70.45111,0.025146825,0.030258808,0.2007584,0.048449226,0.1920895593515497,1.6249162,4.694084
96,1.3170989,0.6267989,21.81894,12.919654,-0.2384127,0.02940889,0.15378606,0.045473088,0.16793589060561276,0.1712145,2.93458
97,1.3459207,0.6468996,23.483936,13.556889,-0.25752705,0.028299995,0.21658343,0.049703393,0.249381117559189,0.19301355,3.0171685
98,41.058525,12.735184,63.160698,67.90964,0.099414326,0.028711379,0.11789534,0.048955012,0.03557901008832736,3.669091,3.7495966
99,6.803562,1.4259099,125.56784,94.17615,0.010121398,0.028754994,0.13053738,0.050017636,0.07929829617337919,1.8959413,4.6169724
100,2.9841738,0.9505504,51.77906,27.293552,-0.111781724,0.02828817,0.29575893,0.04627083,0.37648349239173357,1.0445471,3.8233922
101,1.1081516,0.53457856,19.472057,11.560121,0.27531892,0.028340764,0.25729305,0.049429707,0.23958750894225356,-0.004499195,2.8143308
102,4.009503,1.2634442,148.78845,70.49388,-0.019502424,0.029421935,0.30703953,0.049998652,0.36221567409973154,1.340935,4.9000387
103,1.8390119,0.80459255,40.68448,19.855585,-0.12523045,0.028933734,0.2070607,0.047611702,0.24140824842584294,0.52088416,3.6002018
104,10.089295,1.7153662,43.511135,34.082054,0.14424281,0.028757874,0.16317983,0.047160875,0.10744308053302576,2.2971735,3.5272348
105,3.1314805,1.0988044,188.2601,77.269295,0.016771398,0.029090399,0.27489632,0.0484114,0.3325065313837516,1.083016,5.160093
106,2.110578,0.81343603,45.71095,23.681057,-0.08788447,0.029423501,0.14959225,0.043507576,0.1359313580368503,0.6765422,3.7023256
107,2.3202775,0.90647554,41.133514,20.209408,0.10054608,0.029051144,0.337071,0.049365606,0.40352905715375353,0.76876265,3.6089928
108,6.062767,1.3740041,117.65788,75.52138,0.058637835,0.02852083,0.3068163,0.046903986,0.3525014509713296,1.7769498,4.592684
109,6.7128987,1.3094933,53.698074,36.094975,0.077839635,0.030227179,0.23005565,0.049977046,0.22977748180947635,1.885138,3.7902458
110,24.18252,4.6167474,52.326313,47.388393,0.14877501,0.027894355,0.11833614,0.04600571,0.020577053805573446,3.1676536,3.635478
111,6.815556,1.3923639,64.17498,47.747776,-0.11190833,0.031654127,0.16308683,0.049848776,0.15460919739499457,1.8986703,3.931037
112,5.3638563,1.2623655,79.481026,45.4297,0.1502192,0.027486796,0.29885024,0.04763979,0.3302759179417947,1.6523123,4.2323856
113,4.524292,1.1475976,38.04118,21.715302,-0.076220855,0.031112337,0.1786939,0.04751598,0.16987192556966493,1.478768,3.4944685
114,6.055709,1.2054992,54.87894,34.0048,0.07794519,0.028341262,0.2123898,0.04958958,0.20221377925881648,1.7818588,3.8457694
115,2.2890387,1.1125878,234.47258,86.77531,0.009275507,0.02738757,0.24841823,0.046699442,0.27684093172482954,0.72249466,5.3919744
116,5.9755287,1.1450889,30.863531,20.345743,0.07574887,0.029656125,0.22472596,0.047514472,0.2431098600354509,1.7695402,3.2461095
117,11.128794,1.9072158,58.14424,50.29296,0.14926206,0.029765423,0.06984888,0.046457447,-0.04239364045947479,2.3951516,3.7614787
118,7.895805,1.6126186,120.21529,97.1804,-0.053671777,0.029679209,0.14097737,0.047549244,0.09301129545466709,2.0458999,4.5267277
119,12.890335,2.280098,53.83291,46.31085,-0.06345403,0.02732607,0.22715238,0.04933235,0.25281310779275523,2.541118,3.6908648
120,2.164068,1.038931,230.1808,80.65244,-0.023750177,0.028119257,0.31492072,0.04594786,0.41390084865534277,0.6668764,5.3800464
121,7.940072,1.3329821,60.481194,43.410213,-0.050382562,0.031006275,0.27239445,0.051342085,0.3325919319449558,2.0581334,3.8812623
122,1.6486394,0.8068314,88.84773,31.698702,0.1775795,0.028685067,0.2859069,0.05029715,0.30551856930185955,0.3927593,4.4270024
123,6.0804663,1.1761736,24.063803,15.708481,0.18053149,0.028779227,0.081550874,0.044556025,-0.055969508834136955,1.7866524,2.998752
124,41.66971,13.495434,64.67224,68.16069,0.25878015,0.029620646,0.17625648,0.051511608,0.10748631525648271,3.678867,3.7855706
125,5.5343213,1.1909481,67.18741,45.60068,-0.033231653,0.029246375,0.2781022,0.04738707,0.3469465464753231,1.6886554,4.032412
