subj,k_joint,beta_joint,alpha_joint,delta_joint
193,5.3569756,6.522088,-0.295661,0.27199197
194,5.196983,7.5279365,-0.060177967,0.27182227
195,6.1950502,7.4008493,-0.026163733,0.27224094
196,3.9679663,6.9371257,-0.06560052,0.27262583
197,1.983702,6.5064845,-0.28084666,0.271994
198,4.422293,6.781726,0.16440673,0.272583
199,10.54578,6.825928,0.089306444,0.27210644
200,3.3902192,7.0770817,0.45258316,0.27213144
201,4.394589,6.5235896,-0.1980439,0.27223843
202,5.7850943,6.789855,-0.02136628,0.27214456
203,8.289271,6.3559566,0.08160966,0.27212805
204,4.04934,7.0333037,0.013120052,0.27312437
205,4.9201856,7.113691,0.23284547,0.2730251
206,20.727291,7.5461,-0.24952452,0.27124873
207,10.817739,7.188975,0.13167822,0.27212632
208,3.3977666,6.64226,0.09143802,0.27220446
209,6.5764737,6.559964,-0.020492535,0.271802
210,4.862823,7.6969886,-0.31182507,0.27143306
211,4.045805,6.670422,-0.21180157,0.27281737
212,2.615832,7.7723246,-0.2734564,0.27261868
213,7.2741437,6.051616,-0.057790224,0.272378
214,3.0441773,6.3425508,0.073298216,0.27268115
215,8.71779,5.715898,0.07669434,0.27242717
216,7.9480815,7.583901,0.2649353,0.27257764
217,4.5481052,6.214727,0.16257165,0.27264753
218,3.1573749,7.200139,-0.10135381,0.27279252
219,6.505995,7.6305146,-0.103198566,0.27273875
220,7.026375,7.733325,-0.13724115,0.27247527
221,6.6359153,7.138798,-0.0033054827,0.27257755
222,8.0115385,6.519899,0.07334015,0.27259624
223,3.5209627,6.056453,0.35568723,0.27244148
224,1.9354342,6.7230787,-0.16245267,0.2718069
225,3.3999732,6.893797,-0.00671406,0.27255198
226,20.551725,6.7072606,-0.013420275,0.2719472
227,4.6780806,6.600602,-0.02719675,0.2722403
228,6.5746565,7.164125,-0.16611977,0.2724958
229,3.2680068,6.649797,-0.07824852,0.27277496
230,7.2220736,6.1346807,0.16515718,0.2726307
231,4.0411105,6.0192275,-0.14869224,0.27276617
232,5.4858203,8.020219,-0.26468292,0.27129307
233,4.981154,6.3013906,-0.065940976,0.2725603
234,9.269698,6.6283946,0.28423554,0.2726077
235,3.687488,7.22828,-0.1456486,0.27169195
236,6.1899633,6.698772,-0.051503927,0.27239564
237,4.801507,6.675141,0.112933196,0.2724463
238,1.5918794,7.498522,-0.23275284,0.2719603
239,4.9503326,6.3567014,-0.1516146,0.2716498
240,9.306019,6.61273,-0.050126873,0.27210546
241,4.382695,6.7350464,-0.12027828,0.27249104
242,5.1184077,7.2340097,-0.081490666,0.2724436
243,8.033266,6.066889,0.007978504,0.2724253
244,3.949318,6.5872307,-0.058586426,0.2727645
245,8.79218,7.3743105,0.12231714,0.2723438
246,9.267648,6.246945,-0.12553948,0.27205744
247,5.876985,6.518191,-0.15642038,0.271814
248,4.619845,7.2201366,-0.13099003,0.27206928
249,4.000026,6.6223845,-0.1360958,0.27257636
250,4.7411118,7.2434993,-0.3483985,0.27185753
251,2.9638062,7.319507,-0.24836132,0.27224162
252,4.554171,7.264381,-0.13323626,0.27155706
253,8.089748,6.0335684,-0.099997,0.27278462
254,4.192249,7.948849,-0.23861316,0.2719195
255,2.882737,6.9102416,-0.16478188,0.27150488
256,6.4522476,7.334181,0.051917452,0.27217966
257,5.4384375,6.8955393,0.8019414,0.2723204
258,3.7718287,6.0602894,-0.15910332,0.27242783
259,11.870109,6.726341,0.050264496,0.27240396
260,6.651204,6.6005583,0.01882571,0.27259097
261,3.5759187,6.094838,-0.010782912,0.2731022
262,7.950676,6.124758,0.1311939,0.2723645
263,12.622091,6.642822,-0.0033458117,0.27220297
264,4.116341,6.4668384,-0.29516265,0.27208158
265,4.0451965,6.818024,0.05257694,0.27257496
266,4.7438245,6.8002534,-0.06343784,0.27253154
267,3.676982,6.4635134,-0.25620946,0.27190778
268,12.181094,6.6810875,0.029914077,0.27189523
269,5.642225,7.089986,0.022667851,0.27290216
270,29.492289,6.1814322,0.17440787,0.27146098
271,3.4450831,6.878068,-0.1824476,0.27191865
272,7.4005055,7.3959684,0.058035914,0.27216852
273,9.739893,6.740677,0.040653773,0.27252468
274,6.5019703,7.29322,0.005834344,0.27306327
275,11.003762,6.1106043,-0.02647283,0.27226096
276,5.7883167,6.4822965,-0.12769146,0.27193502
277,6.396075,6.0821867,-0.03503866,0.2721844
278,1.9893217,7.347888,-0.12198657,0.27220502
279,5.4119425,7.124473,-0.14123763,0.2725916
280,6.3691144,7.005274,0.028964624,0.27188554
281,6.3797865,7.1007147,0.08015785,0.27237174
282,8.909828,6.6896214,0.08290925,0.27193373
283,4.966372,6.8469534,-0.08762576,0.27258086
284,29.492435,6.831874,-0.033582218,0.2717796
285,6.022031,6.360995,-0.2046833,0.27224264
286,6.312652,6.622105,-0.1420662,0.27217022
287,8.144726,6.6656384,-0.036785718,0.2718627
288,13.593999,6.1650834,0.015653376,0.2718645
289,4.8992395,6.4961014,-0.11994226,0.27277875
290,7.524771,6.886276,-0.11094996,0.2723788
291,4.3728514,6.7720656,-0.20762621,0.272013
292,20.591738,7.187361,-0.03704152,0.27199394
293,3.9393573,7.054838,0.022780005,0.27177724
