subj,gamma_i,omega_i,log_gamma,log_omega,log_gamma_z,log_omega_z
41,0.17062542531507752,0.08728188609383263,-1.7682846203569207,-2.438612327999783,-0.40126897325765204,-1.6106087808852596
42,0.1110633617507516,3.0025757455652657,-2.1976544139459757,1.0994705021526332,-1.0681489214729445,1.0215080128225718
43,0.22934098603951833,0.4343787673697153,-1.472545360915283,-0.8338383896193324,0.05806138711331478,-0.4167553195365672
44,0.15095190914176876,0.1906067670755423,-1.890793975398379,-1.6575427843233377,-0.5915455916080564,-1.0295409083516143
45,0.19923143678368538,0.43714278024164377,-1.613288131104001,-0.8274954090088478,-0.16053464059179212,-0.41203653069286433
46,0.15849803649109423,0.9543200317514071,-1.8420130738103406,-0.04675620073720999,-0.5157810510869286,0.1687855925442583
47,0.191084409492271,0.21253370250042541,-1.6550400140452954,-1.5486547031913143,-0.22538199117283939,-0.9485348492114236
48,0.20083710529754295,1.2427559621689124,-1.605261120897279,0.21733146354212027,-0.14806741017430766,0.3652506301168118
49,0.14769176365170433,1.6552964723977628,-1.912627855036883,0.503980130186299,-0.6254570980532449,0.5784996707944711
50,0.13603534737467374,0.7161951403838556,-1.9948405198493828,-0.33380260671888184,-0.7531465127987881,-0.044759341824982285
51,0.1322180760454762,3.018517403390125,-2.023302628343698,1.1047657848133814,-0.7973527185500788,1.0254473785999931
52,0.31837355620821767,2.485294149438915,-1.1445298805707957,0.9103910225389562,0.5675218797051764,0.8808444677536572
53,0.14562479254972838,0.8255428410808057,-1.926721879214408,-0.19171411983857511,-0.6473473713188318,0.060945784500191696
54,0.25896067391444955,0.29971383537154245,-1.3510790669793293,-1.2049271416558367,0.24671796477522578,-0.6928226088230893
55,0.5022361428203592,0.08510434966908997,-0.6886848658710764,-2.4638771322637645,1.2755220798498963,-1.6294042469004242
56,0.24706897060984023,1.2781816399894128,-1.398087748094285,0.24543847417329512,0.17370596603733884,0.38616052348413377
57,1.266421847884148,0.07511571729506686,0.23619548139743443,-2.588725457221367,2.712009152999908,-1.7222837493209604
58,0.19890951999573,0.64876320636885,-1.614905231041223,-0.43268748807131313,-0.1630462553781497,-0.11832363337672314
59,0.23941140459278948,0.2374731801301899,-1.4295718487607254,-1.4377005876516573,0.12480612320830196,-0.8659917870891755
60,1.37862485334317,0.07838023873028137,0.3210865192651094,-2.5461834404092,2.843858509387843,-1.6906350960064525
61,0.36018921859176467,1.1059470100787832,-1.0211257784157162,0.1007019906311865,0.7591881833983943,0.27848544992544333
62,0.627144088781663,0.10982164979904949,-0.46657895808140537,-2.2088975944883824,1.6204880706965845,-1.4397150972539385
63,0.8387863663930694,6.0759928353402906,-0.17579923379048346,1.8043454055590804,2.072115479919463,1.5458917425950514
64,0.18786704534359616,1.406460317912319,-1.6720207719592142,0.3410761351920162,-0.2517558235368569,0.457309082113969
65,0.16493738154879434,1.174936257322457,-1.8021893828769766,0.16121389703731678,-0.45392849102351246,0.3235025998105382
66,0.15101365589843782,0.5786345231785135,-1.8903850098428432,-0.5470842214753397,-0.5909104027042964,-0.20342779220872112
67,0.5002658011970484,0.06863445137129906,-0.6926157194163439,-2.678960663735113,1.2694168357273468,-1.7894132128893114
68,2.261199892582164,0.0593052392470843,0.8158955983142054,-2.825057625328371,3.6123761320516676,-1.89810039874096
69,0.11857382494686881,3.085041549090163,-2.1322195170557547,1.1265651253671962,-0.9665180631751009,1.0416647519962459
70,0.3965445253428276,0.13428500020856893,-0.9249669482653505,-2.0077908703833027,0.9085382229880297,-1.2901040193748645
71,0.2224579950713741,0.2926452791305429,-1.5030169813942706,-1.2287940548271206,0.010734087916966908,-0.7105781295352477
72,0.09773828380280457,2.7288540952174105,-2.3254619460951393,1.0038817757375258,-1.2666544560814954,0.9503958585388607
73,0.1915798329651982,1.2245325702729495,-1.6524506749079353,0.20255919589092777,-0.22136033344186437,0.3542609683049159
74,0.8028884050865323,0.04836582136237197,-0.21953954718792584,-3.028961884914098,2.004179778878218,-2.0497926715702626
75,0.2896172024907892,0.37803939591612296,-1.2391952193687525,-0.9727568667929595,0.42049147100393935,-0.5201021529144816
76,0.0865283379005278,0.18873120599671303,-2.447283312908913,-1.6674314666888534,-1.455862518700916,-1.0368974820022077
77,0.11624169273856808,43.544144532506586,-2.152083697381474,3.7737752403553677,-0.9973703116209558,3.01102684288699
78,0.1508451472848239,2.2665789460270918,-1.8915014830372037,0.8182716224829106,-0.5926444641058105,0.8123132796629131
79,0.13271026051378743,9.543298217144446,-2.0195870195043324,2.255839150778607,-0.7915817838746974,1.8817754191779332
80,0.42088484946913945,0.12330014994508268,-0.8653959994126518,-2.093133652712962,1.0010614323036005,-1.353593819183189
81,0.24683875868806454,1.8155814684860887,-1.39901995435384,0.5964057847217389,0.1722581006509513,0.647258693449034
82,0.9722423252489643,0.07616548862245491,-0.028150199781536125,-2.5748468240992093,2.3014380396898497,-1.7119588968321429
83,0.1383748991495077,0.4777804770864723,-1.9777886167737808,-0.73860390493679,-0.7266621806221439,-0.34590669939212787
84,1.2152707492434318,0.06709037762867306,0.19496689085109867,-2.701714648735254,2.6479745591857826,-1.8063407832481055
85,0.6045073190442817,0.13130242212071672,-0.503341501400451,-2.0302520506179693,1.5633899623738277,-1.306813760932729
86,0.17975422695912624,1.1129435091142679,-1.7161647668904279,0.10700831549251598,-0.3203185065511152,0.2831769691382277
87,0.1836249747894185,1.2132334744311675,-1.6948597817819457,0.1932890883006085,-0.2872284578844167,0.34736457637762264
88,0.1995941384281643,1.5218661775089763,-1.6114692821283434,0.4199373301526557,-0.15770967728787857,0.5159769781447764
89,0.17217867108456647,1.015486756749505,-1.759222555957474,0.015368060840026433,-0.38719413816757414,0.21500223586323283
90,0.14411157522938015,0.9985653162287782,-1.9371674514485624,-0.0014357139153888048,-0.6635710153073023,0.20250125726700619
91,0.1699555829037169,2.7994649174798374,-1.7722181531076262,1.0294282980189966,-0.40737837861466764,0.9694009054939071
92,0.19606107006111492,0.8548007393221796,-1.6293290863387293,-0.15688689063089759,-0.1854488091150156,0.08685510863884983
93,0.12476091003152572,1.144959718251323,-2.081356093011958,0.13536945582082213,-0.887519032272513,0.3042759194258396
94,0.22875044339109718,0.19141999516280744,-1.4751236365066487,-1.6532853374844247,0.05405691283839564,-1.0263736288217173
95,0.1135545132471557,0.24790645367916955,-2.175472264437927,-1.3947038068826405,-1.0336964962299398,-0.8340048172610475
96,0.24034752793221809,0.9599533119985827,-1.4256693699781147,-0.0408706290377038,0.13086729678715306,0.17316409719056539
97,1.0257957750387925,0.08382061635889017,0.025468677265770148,-2.4790762831492055,2.3847167297201333,-1.6407114836769994
98,0.3229771768149334,0.12853358693503608,-1.1301736182717033,-2.0515650318735097,0.5898194507069852,-1.3226693128176665
99,0.20885889719584344,0.07691077826642924,-1.566096388056503,-2.5651092527805317,-0.08723831739998049,-1.7047147405395342
100,0.17746135169361105,1.1412809163433648,-1.7290024307121976,0.1321512424557265,-0.34025745128475654,0.30188176591088683
101,0.3296808786818741,7.643464139279817,-1.1096301266982895,2.0338509217857252,0.6217267781463989,1.7166297813884266
102,0.14269779244258768,1.329161170231832,-1.9470262245378036,0.28454804418552465,-0.6788832663910663,0.4152556467374939
103,0.16950904016894305,1.032669997453408,-1.7748490192538093,0.03214767874429122,-0.41146453443075925,0.22748524324265962
104,0.20247456523825774,2.298997130971884,-1.5971410040860465,0.8324729978341519,-0.13545557031172167,0.8228782325908636
105,0.15630959726196778,0.7054817185912707,-1.8559166406120937,-0.34887442072341956,-0.5373755135926798,-0.05597184776602484
106,0.1583173987238927,0.9738345498865388,-1.8431534083186862,-0.02651385641483876,-0.517552172924627,0.18384465616505952
107,0.15294745790910283,2.695045511784463,-1.8776608289280339,0.9914150917079652,-0.5711477150717532,0.9411214096434282
