subj,lam,omega,log_lam,log_omega,log_lam_z,log_omega_z
20,0.6267613006708553,4.74781056098308,-0.4671895115185605,1.5576835772536968,-0.057972194155825954,0.2192196038113444
21,0.5604411616783089,6.0905251706611185,-0.5790310166843291,1.8067343129235127,-0.22788073964308916,0.3657158664590902
22,0.45897094634251534,5.887915322138238,-0.7787683686537025,1.772901999892835,-0.5313198153448431,0.345815072340201
23,0.47481910115236486,27.595234211393347,-0.7448213871645758,3.317643084313078,-0.47974788558628384,1.2544604333641967
24,0.20073753207091163,6.969164238678484,-1.6057570348291172,1.9414953092153435,-1.7876730913138372,0.44498478431369665
25,0.7057588826000897,10.55125462252547,-0.3484816258843984,2.3562447744178616,0.12236769089913792,0.688948113407705
26,0.9829736482715289,34.90189763076185,-0.017172966649506426,3.5525412011044684,0.6256886388289874,1.3926318630545484
27,0.8641971070064521,4.970830433869317,-0.1459544030871626,1.6035869154603952,0.43004511169251836,0.24622079885801218
28,0.6830962232693104,8.703471723314639,-0.3811195460704644,2.163721994718653,0.07278447455807996,0.575702643063537
29,0.48931874232744804,13.042673218670805,-0.7147411770522734,2.568226536920395,-0.4340503179385904,0.8136397184037022
30,0.5643916663625658,4.198153199128571,-0.5720068245934142,1.4346447140933587,-0.21720965416707064,0.14684586211192777
31,0.37124648887392525,6.0139252406411865,-0.9908890464886034,1.7940776536013423,-0.853571521321807,0.35827098466294927
32,1.6702414917276496,0.09894746922182238,0.5129682217991891,-2.313166183593918,1.431074064380077,-2.0576860303358044
33,0.4028461204899235,3.5398166591416014,-0.9092006249656015,1.264074934601535,-0.7294712522530765,0.046513553721036605
34,0.961788959936727,0.20488857644406477,-0.03896022874809384,-1.5852889771506031,0.5925896385264254,-1.6295351552795831
35,3.253218872608673,12.177657660484787,1.179644928538176,2.4996029334827274,2.443882944092202,0.7732740418840095
36,0.640977665988812,5.481705282434053,-0.44476066511963064,1.7014162354784816,-0.023898505117476012,0.3037658196405262
37,1.939147493566422,2.515449851189657,0.6622484401888402,0.9224516548290886,1.6578591450977656,-0.15443559660180706
38,0.6706383104565355,6.239293883726817,-0.39952531795587626,1.8308670163191352,0.04482260186166469,0.3799111702614942
39,0.17530068124663614,4.517924618911434,-1.7412526008865945,1.5080527332920652,-1.9935166599843137,0.1900258207338602
40,0.4003578976067887,2.644556864232925,-0.915396387902004,0.972503514122333,-0.738883796077015,-0.12499416449637356
41,1.3450404177877775,0.26731925306726567,0.29642406300213275,-1.3193116304952524,1.1021022484121359,-1.4730823460590916
42,0.5252497856578563,14.7600522467976,-0.6438813473335383,2.6919243589219963,-0.32640074202184555,0.8864010719173306
43,1.9169247405794638,1.9417048030243274,0.6507222043358716,0.6635663516333439,1.6403485977761934,-0.3067167343009381
44,0.8520557743992112,0.7015962612228379,-0.1601032913855518,-0.3543971668681831,0.4085502558473838,-0.9055017592523698
45,1.1209644003574115,2.1007011498688404,0.11418938654508967,0.7422711698934805,0.8252530700300558,-0.2604211002146925
46,0.8531841869744878,4.9221401338937145,-0.15877982634187027,1.5937434224887506,0.41056085128994224,0.24043067369388857
47,0.460351344746853,1.1045129816063743,-0.7757652881124314,0.09940449718730242,-0.5267575640948068,-0.6385672023691729
48,0.9389939935682604,5.838177218259843,-0.0629461964202534,1.7644186279595147,0.5561503857352487,0.34082499560125945
49,0.6476817676248102,8.059237168933631,-0.4343558026030695,2.0868189079866064,-0.00809153744868839,0.5304668208844915
50,0.9244971195266292,3.8417589923082285,-0.07850534386924438,1.3459303326307837,0.5325130776700397,0.09466241727117916
51,0.286828405952212,14.5398475107342,-1.2488711306974711,2.676892984480516,-1.2454954374451879,0.8775593386367064
52,1.201216112030929,9.905367958817534,0.18333447031624264,2.2930768282558236,0.9302976202955273,0.6517915557007602
53,1.1155404707529908,4.343636883629702,0.10933901460256273,1.4687119888131142,0.817884431342607,0.1668848650549055
54,0.5425207190534599,1.2908070128553824,-0.6115290024931981,0.2552676141336401,-0.27725136901602676,-0.5468856256982298
55,1.3718345053662686,0.2171556507772042,0.31614889911728217,-1.5271408978798144,1.1320680308766358,-1.5953313763973198
56,0.7462741338932849,5.540857517642208,-0.2926622745727516,1.712149275359002,0.20716791580086152,0.3100791927976728
57,0.7472181919720402,0.11944059508618736,-0.2913980455062286,-2.124936143461308,0.20908852051319324,-1.9469656290356425
58,0.7418850826557326,3.1363485998610043,-0.2985609229361925,1.1430592569802351,0.19820674559586843,-0.024670112713936654
59,0.8373290832054814,1.0643437150395794,-0.17753811586467141,0.062358379203852975,0.38206343716873437,-0.6603584161778239
60,0.3498391772986807,0.1299179492336833,-1.050281723530475,-2.0408521875326113,-0.9438003085133072,-1.8975058863889769
61,0.8332596764386418,4.1252192504793275,-0.18240994897405804,1.4171191700054986,0.3746621948817527,0.13653701197809953
62,0.17570902251868487,0.2535532427171934,-1.7389259332652875,-1.3721814475616274,-1.9899820087760467,-1.5041813532002002
63,0.5108355083591503,11.565650612923958,-0.6717076420496293,2.4480395511632,-0.36867418294615467,0.7429435038955481
64,1.1346140889418752,6.326900466367114,0.12629258337410637,1.844810458472665,0.8436401309509213,0.3881129615890463
65,1.08063955224369,6.049800977466108,0.07755304387134104,1.8000253752150617,0.7695954884690486,0.36176954484722545
66,0.16050203209891598,3.2902208077954445,-1.829448675439781,1.190954677356623,-2.1275032933259106,0.0035028620183515935
67,0.3140713280893713,0.2040608226431922,-1.1581351593504101,-1.589337179364136,-1.1076502171747462,-1.631916382916313
68,0.44684758941886304,0.07109648753005919,-0.8055377057785227,-2.6437173452208307,-0.5719875364005904,-2.2521223553760703
69,0.342400557537776,15.462412755605945,-1.0717740063929317,2.7384120953813267,-0.9764511791802242,0.9137460208568676
70,1.3350989264461002,0.3319353728799548,0.28900539131359654,-1.1028149890145016,1.0908318733024798,-1.3457350054964563
71,0.6664929532857553,1.297145211499741,-0.4057257121338109,0.2601658585890815,0.03540302229986334,-0.5440043874464041
72,3.224133896269391,13.200777489675339,1.1706643548829172,2.5802757285907254,2.4302397424458664,0.820727276458419
73,0.8896468830647747,5.646746677243684,-0.1169306555876411,1.7310795699790866,0.47413771143823996,0.3212143432528788
74,1.9862595027287984,0.10515515503994127,0.6862532231135045,-2.2523183524532002,1.6943269818406812,-2.0218942073228656
75,0.7775479574133765,1.5345677925491663,-0.2516099552703643,0.4282487730194653,0.269534206841106,-0.44513489921635435
