claim,dv_base,predictor,type,beta,se,p,ci_lo,ci_hi,nobs,n_groups,p_fdr,sig_fdr,sig_uncorrected,sig_star
main_effect,terminal_mean,z_z,main,-0.007962087714148948,0.011128661188688592,0.47432619334193815,-0.029774263643978588,0.013850088215680692,23413,292,0.5967329529140513,False,False,ns
main_effect,terminal_mean,kappa_z,main,-0.0436203601693167,0.011220464176282538,0.00010125204012883057,-0.06561246995483047,-0.02162825038380293,23413,292,0.0020572566781528858,True,True,**
main_effect,terminal_mean,beta_z,main,0.011596515968718425,0.011046580614544135,0.2938177501162875,-0.010054782035788077,0.033247813973224925,23413,292,0.4407266251744313,False,False,ns
threat_interaction_onset,onset_slope,z_z:threat_c,param×threat,0.0041973119099160345,0.0044424019574750605,0.3447459872410966,-0.004509795926735084,0.012904419746567152,23475,292,0.46512706660391684,False,False,ns
threat_interaction_onset,onset_slope,kappa_z:threat_c,param×threat,-0.0008095787800725537,0.004504157957369175,0.8573564402931538,-0.009637728376516136,0.008018570816371029,23475,292,0.8799184518798158,False,False,ns
threat_interaction_onset,onset_slope,beta_z:threat_c,param×threat,0.007035710233420509,0.00441175371821137,0.11076480588578837,-0.0016113270542737756,0.015682747521114794,23475,292,0.23999041275254146,False,False,ns
threat_interaction_onset,onset_mean,z_z:threat_c,param×threat,-0.004487364501418987,0.003106990351109621,0.14866018611449505,-0.010577065589593843,0.0016023365867558698,23475,292,0.2898873629232654,False,False,ns
threat_interaction_onset,onset_mean,kappa_z:threat_c,param×threat,-0.004078106241685624,0.0031501841726122443,0.19547164014757623,-0.010252467220005623,0.0020962547366343747,23475,292,0.3185858623329992,False,False,ns
threat_interaction_onset,onset_mean,beta_z:threat_c,param×threat,0.006271179675486285,0.0030855562774370743,0.04211006063603013,0.00022348937170961914,0.012318869979262952,23475,292,0.10264327280032344,False,True,ns
threat_interaction_onset,onset_peak,z_z:threat_c,param×threat,-0.004487364501418987,0.003106990351109621,0.14866018611449505,-0.010577065589593843,0.0016023365867558698,23475,292,0.2898873629232654,False,False,ns
threat_interaction_onset,onset_peak,kappa_z:threat_c,param×threat,-0.004078106241685624,0.0031501841726122443,0.19547164014757623,-0.010252467220005623,0.0020962547366343747,23475,292,0.3185858623329992,False,False,ns
threat_interaction_onset,onset_peak,beta_z:threat_c,param×threat,0.006271179675486285,0.0030855562774370743,0.04211006063603013,0.00022348937170961914,0.012318869979262952,23475,292,0.10264327280032344,False,True,ns
threat_interaction_enc_term,encounter_spike,z_z:threat_c,param×threat,-0.0028854706135316966,0.009385319358021112,0.7585045910932632,-0.021280696555253074,0.015509755328189682,16054,292,0.8217133070177017,False,False,ns
threat_interaction_enc_term,encounter_spike,kappa_z:threat_c,param×threat,-0.025440869994342155,0.010023717381665988,0.011146652511995033,-0.04508735606240749,-0.005794383926276819,16054,292,0.05433993099597579,False,True,ns
threat_interaction_enc_term,encounter_spike,beta_z:threat_c,param×threat,0.007922867532675808,0.010195765926835947,0.43711494358731773,-0.01206083368392265,0.027906568749274267,16054,292,0.568249426663513,False,False,ns
threat_interaction_enc_term,post_encounter_vigor,z_z:threat_c,param×threat,0.003206533244833285,0.0084587266824038,0.7046285335998922,-0.013372571052678162,0.019785637542344733,16054,292,0.8071443929037645,False,False,ns
threat_interaction_enc_term,post_encounter_vigor,kappa_z:threat_c,param×threat,-0.03112428037044875,0.009035268196993297,0.0005715783668770659,-0.048833406036555616,-0.013415154704341885,16054,292,0.004373239299460333,True,True,**
threat_interaction_enc_term,post_encounter_vigor,beta_z:threat_c,param×threat,0.01075677239675264,0.009193604034458795,0.24198977742585326,-0.007262691510786597,0.02877623630429188,16054,292,0.3775040527843311,False,False,ns
threat_interaction_enc_term,terminal_mean,z_z:threat_c,param×threat,0.0007943965737299861,0.006881662014154315,0.9080989656197004,-0.01269366097401247,0.014282454121472443,23413,292,0.9080989656197004,False,False,ns
threat_interaction_enc_term,terminal_mean,kappa_z:threat_c,param×threat,0.0024779255538374674,0.007026838587578746,0.7243603526059426,-0.011294678077816873,0.01625052918549181,23413,292,0.8071443929037645,False,False,ns
threat_interaction_enc_term,terminal_mean,beta_z:threat_c,param×threat,0.011473149710958388,0.007055948153799481,0.10394428854316726,-0.0023565086704885954,0.02530280809240537,23413,292,0.2384604266578543,False,False,ns
attack_interaction_terminal,terminal_auc,attack_c:z_z,attack×param,0.0007226198249439297,0.00393833127812668,0.8544184613213962,-0.006996509480184363,0.008441749130072222,23413,292,0.8799184518798158,False,False,ns
attack_interaction_terminal,terminal_auc,attack_c:kappa_z,attack×param,-0.0017750931314843197,0.0040038109010668,0.6575119508808087,-0.009622562497575248,0.006072376234606608,23413,292,0.8013426901359857,False,False,ns
attack_interaction_terminal,terminal_auc,attack_c:beta_z,attack×param,-0.001630800928288861,0.004042263241411603,0.6866263403813966,-0.009553636881455604,0.006292035024877882,23413,292,0.8071443929037645,False,False,ns
