subj,alpha_v,delta,r,p,n_trials,delta_sh_r,delta_sh_r_corrected
25,0.002203747491922286,-0.005690003770127425,-0.0209440153850863,0.8913801725535164,45,-0.3204305875777517,-0.9430400536587225
26,-0.0014322726953361776,0.0036980811395973742,0.005566261948636467,0.9710518211111477,45,-0.3204305875777517,-0.9430400536587225
27,-0.030642576550334977,0.08104934570870688,0.19120689060238044,0.21935268197448532,43,-0.3204305875777517,-0.9430400536587225
28,-0.0006409851701557988,0.0016550026934350481,0.006171540367927874,0.9679055379522992,45,-0.3204305875777517,-0.9430400536587225
29,0.03739553290992254,-0.09655403989037381,-0.21251335641000868,0.16105429395705068,45,-0.3204305875777517,-0.9430400536587225
30,-0.005476304018360368,0.014139637424455103,0.038429214154881014,0.8021007688114807,45,-0.3204305875777517,-0.9430400536587225
31,-0.02898677512253953,0.07484290298032742,0.12707100185962286,0.4055158506026359,45,-0.3204305875777517,-0.9430400536587225
32,0.002963467081093481,-0.007651574840528137,-0.026265718104792488,0.8640137814024436,45,-0.3204305875777517,-0.9430400536587225
33,0.016788890705379676,-0.04334836534585734,-0.12576563862955709,0.41039615065180385,45,-0.3204305875777517,-0.9430400536587225
34,0.014536059169377393,-0.03753162818322858,-0.14912587035929856,0.32822401030021764,45,-0.3204305875777517,-0.9430400536587225
35,-0.05603387647132743,0.14467763187268956,0.2991546106866353,0.045901757335848684,45,-0.3204305875777517,-0.9430400536587225
36,0.0052274675133751405,-0.013497149727157324,-0.026755702576195917,0.8615014768825215,45,-0.3204305875777517,-0.9430400536587225
37,-0.03611967178799862,0.09325980830507846,0.3096973349609421,0.03842848636883217,45,-0.3204305875777517,-0.9430400536587225
38,-0.012722282847508794,0.03284851718823998,0.06375250831947442,0.6773705153653945,45,-0.3204305875777517,-0.9430400536587225
39,0.03184443953749852,-0.08222129880583624,-0.21367207049709644,0.15872948791178149,45,-0.3204305875777517,-0.9430400536587225
40,0.026581148286627988,-0.06863165336301502,-0.1252000370530161,0.4125211458432408,45,-0.3204305875777517,-0.9430400536587225
41,0.009469170753498561,-0.024449088420918315,-0.04068148636466468,0.7907552056369156,45,-0.3204305875777517,-0.9430400536587225
42,0.05294623276713375,-0.1367054370626814,-0.24361917802694794,0.10681813953891131,45,-0.3204305875777517,-0.9430400536587225
43,-0.012012951938397092,0.0310170480376646,0.0661876433520571,0.6657557974956566,45,-0.3204305875777517,-0.9430400536587225
44,0.030194692863715417,-0.0797595660550976,-0.12496998102560236,0.4189359564035,44,-0.3204305875777517,-0.9430400536587225
45,-0.02182327422863589,0.05634697854114996,0.14292067673947273,0.3489736080576337,45,-0.3204305875777517,-0.9430400536587225
46,-0.013886250008981629,0.035853842236305104,0.14520924187591733,0.3412292096287499,45,-0.3204305875777517,-0.9430400536587225
47,-0.016012053569297458,0.04134259733056313,0.08725278701789456,0.5687268551169311,45,-0.3204305875777517,-0.9430400536587225
48,0.0030821288700227127,-0.007957955688993342,-0.02374013869861377,0.8769837377532704,45,-0.3204305875777517,-0.9430400536587225
49,0.008440419010146966,-0.021792885149149878,-0.07306970655762228,0.6333538320246958,45,-0.3204305875777517,-0.9430400536587225
50,0.0007911553283979665,-0.0020427371184044774,-0.0039120600733929265,0.9796525660365727,45,-0.3204305875777517,-0.9430400536587225
51,0.031931240211198655,-0.08244541529940624,-0.21613190728584616,0.15387554140063137,45,-0.3204305875777517,-0.9430400536587225
