subj,accuracy,brier,log_lik,mean_p_high,mean_choice,n_trials
52,0.7333333333333333,0.15582004190356472,-20.958132359849174,0.2783985439190453,0.24444444444444444,45.0
53,0.8888888888888888,0.07356291403196837,-10.126610356526925,0.19697192325446752,0.2,45.0
54,0.7777777777777778,0.15359307693108432,-21.64658967686265,0.49319330178534465,0.4888888888888889,45.0
55,0.9111111111111111,0.10747067428547652,-16.040950615149654,0.16582046730626068,0.08888888888888889,45.0
56,0.8444444444444444,0.10625068790479823,-14.93209663814792,0.3804784236001186,0.37777777777777777,45.0
57,0.6666666666666666,0.1904409943536165,-25.262806117626212,0.3888034859470228,0.4,45.0
58,0.7333333333333333,0.16785190017870955,-22.705242163227886,0.38220862553742163,0.37777777777777777,45.0
59,0.8222222222222222,0.15072857675697318,-21.10488804428538,0.3858147741265469,0.37777777777777777,45.0
60,0.8,0.1641043647232554,-22.25566859088397,0.5749805239837471,0.5777777777777777,45.0
61,0.7333333333333333,0.17521600528487816,-23.059045214840904,0.3322670820142612,0.3333333333333333,45.0
62,0.8888888888888888,0.07194007969795693,-10.805820787485136,0.7982273598131461,0.8222222222222222,45.0
63,0.8888888888888888,0.0715740489126785,-10.803350276775708,0.5111128764563152,0.5111111111111111,45.0
64,0.8222222222222222,0.12676704232947675,-18.110730377384513,0.19604843321200455,0.15555555555555556,45.0
65,0.8222222222222222,0.14605534779272317,-20.376314056520386,0.2649275826682156,0.24444444444444444,45.0
66,0.7555555555555555,0.13486553300131435,-17.566986403675088,0.7968342779699064,0.8222222222222222,45.0
67,0.8444444444444444,0.1284919660144968,-18.609812581332466,0.6640153147393957,0.6888888888888889,45.0
68,0.8444444444444444,0.13913389931887796,-19.724135224547478,0.5917940621729761,0.6,45.0
69,0.7777777777777778,0.12911172688984543,-18.3497853297177,0.6194781329424961,0.6222222222222222,45.0
70,0.8444444444444444,0.11417577322868715,-16.89203012975671,0.1914129350917878,0.13333333333333333,45.0
71,0.6888888888888889,0.18550013233276985,-24.746317395040478,0.41623695333212224,0.4222222222222222,45.0
72,0.9777777777777777,0.04840416702956528,-7.859559051977727,0.10693939779641745,0.022222222222222223,45.0
73,0.8444444444444444,0.09409373650436878,-13.18516032662971,0.28903061704804983,0.28888888888888886,45.0
74,0.9111111111111111,0.0696091157518926,-10.461668840138493,0.1557712884862198,0.1111111111111111,45.0
75,0.8,0.1289755068089377,-18.021644079369672,0.35992736477879145,0.35555555555555557,45.0
76,0.6,0.22843014413936394,-28.93420452462795,0.44271239705753374,0.4666666666666667,45.0
77,0.9777777777777777,0.06414557418107525,-12.606819637547531,0.14006750732552112,0.022222222222222223,45.0
78,0.9333333333333333,0.047488281687113276,-7.3830960348245185,0.3939811661331015,0.4,45.0
79,0.8,0.1378036762876979,-19.442042098906416,0.7602093356547417,0.7777777777777778,45.0
80,0.8222222222222222,0.10291176999449483,-13.84415818277893,0.19980142406580997,0.2,45.0
81,0.8666666666666667,0.09375666588368134,-14.158326256601852,0.48437754183886234,0.4888888888888889,45.0
82,0.8444444444444444,0.11022417481594841,-15.154163219082,0.20965655308182413,0.17777777777777778,45.0
83,0.9777777777777777,0.025247896835756563,-5.004196341615737,0.9167185002983119,0.9777777777777777,45.0
84,0.9111111111111111,0.057116251639408304,-8.513121943646995,0.33669153933846313,0.3333333333333333,45.0
85,0.8888888888888888,0.09300552927707639,-13.661612581850532,0.40344137690836795,0.4,45.0
86,0.8444444444444444,0.10073051497724482,-14.263474728813664,0.7065071304553582,0.7111111111111111,45.0
87,0.9111111111111111,0.051700601440783464,-8.506116518393574,0.5944902412288958,0.6,45.0
88,0.9111111111111111,0.06513361877036886,-9.512439746254032,0.2725741743765304,0.26666666666666666,45.0
89,0.8888888888888888,0.09303720391345362,-13.417643046978275,0.2608507343187187,0.24444444444444444,45.0
90,0.7777777777777778,0.16039484193029424,-22.781350827083962,0.6525860340907571,0.6666666666666666,45.0
91,0.9111111111111111,0.065951961720113,-9.807022159802244,0.8711231528566249,0.9111111111111111,45.0
92,0.8222222222222222,0.13313252550870375,-20.164310719043065,0.6217165817751942,0.6222222222222222,45.0
93,0.7555555555555555,0.1869120783033402,-25.441272671772428,0.6171264264597282,0.6444444444444445,45.0
94,0.9555555555555556,0.031121506008460878,-5.1448238396940855,0.2867713969361936,0.28888888888888886,45.0
95,0.9777777777777777,0.02016803457786612,-3.8677314993774465,0.3084833086014734,0.3111111111111111,45.0
96,0.8,0.13218809434435533,-18.20731049769261,0.7601329850148656,0.7777777777777778,45.0
97,0.8222222222222222,0.11624827143309165,-16.687568863196834,0.7559952408952981,0.7777777777777778,45.0
98,1.0,0.004501517141472136,-1.7149115216075685,0.03559527228319453,0.0,45.0
99,0.9111111111111111,0.0781789159705106,-11.617537483694633,0.3420851990463189,0.3333333333333333,45.0
100,0.8222222222222222,0.13414011428898032,-18.979364897035726,0.49409940715941253,0.4888888888888889,45.0
101,0.8666666666666667,0.09772292383788493,-13.62724483646619,0.8161941938684434,0.8444444444444444,45.0
102,1.0,0.003498992802575891,-1.7925884229712166,0.3249025749394177,0.3333333333333333,45.0
103,0.9111111111111111,0.08453366823038908,-13.196149773104953,0.6865260589371713,0.7111111111111111,45.0
104,0.7555555555555555,0.14404374369110085,-19.819778433288313,0.22605023649940964,0.17777777777777778,45.0
105,0.9555555555555556,0.04183838539797627,-7.154785069033238,0.40316992626955783,0.4,45.0
106,0.8444444444444444,0.12020554174643877,-17.20066376974895,0.6292306384022323,0.6444444444444445,45.0
107,0.8222222222222222,0.12269082916273183,-17.087473268336893,0.6014963821285879,0.6,45.0
108,0.8888888888888888,0.07277380723970032,-10.423578171074583,0.31455389675915335,0.3111111111111111,45.0
109,0.7777777777777778,0.15435296324296433,-21.330837828085215,0.37598009114838404,0.37777777777777777,45.0
110,0.9777777777777777,0.028103040952950357,-4.863411341137216,0.061603289765414924,0.022222222222222223,45.0
111,0.8,0.1383318738085227,-18.965377508391832,0.35776050798941383,0.35555555555555557,45.0
112,0.8888888888888888,0.07993723775179906,-12.107755369963055,0.36083649836957815,0.35555555555555557,45.0
113,0.7111111111111111,0.19618806255474355,-26.114873219305352,0.48586779070934766,0.5111111111111111,45.0
114,0.7555555555555555,0.17013538493847963,-22.769252844147463,0.34494484631417605,0.35555555555555557,45.0
115,0.8888888888888888,0.06989213821551174,-10.670817146878816,0.4693822741828776,0.4666666666666667,45.0
116,0.7333333333333333,0.1922638693175233,-25.195403225017756,0.34087389254600303,0.35555555555555557,45.0
117,0.8,0.12485385927322139,-17.276728532315797,0.2544168467550983,0.24444444444444444,45.0
118,0.8888888888888888,0.08600018246349148,-12.465344397664243,0.3201552886821475,0.3111111111111111,45.0
119,0.8666666666666667,0.07427218356672503,-10.116866283753081,0.1269456834537216,0.1111111111111111,45.0
120,0.9333333333333333,0.060012086116260174,-10.122849398192747,0.47194143463513294,0.4666666666666667,45.0
121,0.8444444444444444,0.09032542204201857,-13.073095976796882,0.24197491282543865,0.24444444444444444,45.0
122,0.9111111111111111,0.0676261449220586,-10.46465196764531,0.6158611802126548,0.6222222222222222,45.0
123,0.7333333333333333,0.19222070737802815,-25.623454239499655,0.4666459819661997,0.4888888888888889,45.0
124,1.0,0.004212660632368232,-1.6313682842846167,0.03390643007148601,0.0,45.0
125,0.8,0.11994183934777276,-16.60661409884677,0.37608243044859113,0.37777777777777777,45.0
126,0.8666666666666667,0.09964122580895246,-14.783987878411834,0.3611965650260485,0.35555555555555557,45.0
127,0.8444444444444444,0.14354414182903039,-20.024388277934523,0.2915057343113721,0.28888888888888886,45.0
128,0.7777777777777778,0.13651500602725408,-18.234409564390077,0.25187161253671975,0.26666666666666666,45.0
129,0.9111111111111111,0.06723332880220452,-10.285418557757751,0.4041082080426263,0.4,45.0
130,0.8666666666666667,0.0794727050115048,-11.371413604913709,0.8223246678738261,0.8444444444444444,45.0
131,0.8,0.15132532908089474,-21.197909613868024,0.5994341855840978,0.6,45.0
132,0.8,0.1570524739322066,-21.551005422449943,0.5945091964474866,0.6,45.0
133,0.7555555555555555,0.14869360787309469,-20.263691207994476,0.5967638080866894,0.6,45.0
134,0.9555555555555556,0.08705318173293201,-13.818176100864317,0.15988927418034565,0.044444444444444446,45.0
135,0.8444444444444444,0.08174182499296066,-12.292278782409628,0.5731410212423056,0.5777777777777777,45.0
136,0.8888888888888888,0.06859159175483268,-10.595042300654754,0.5946799093676632,0.6,45.0
137,0.9111111111111111,0.06289024676135971,-9.661028678429759,0.5430652390721357,0.5555555555555556,45.0
138,0.7333333333333333,0.16149581774072638,-21.911284452734776,0.5068486265422874,0.5111111111111111,45.0
139,0.8222222222222222,0.13617232043625313,-19.457703733803342,0.22881402411660406,0.15555555555555556,45.0
140,0.7333333333333333,0.17828197987110375,-23.989503599625316,0.47970036711813885,0.4888888888888889,45.0
141,0.9111111111111111,0.06700534182505948,-9.824715822394905,0.2756132930960193,0.26666666666666666,45.0
142,0.7555555555555555,0.1542336374661722,-20.547663214019178,0.4279746712394521,0.4222222222222222,45.0
143,0.9111111111111111,0.06615404587086024,-10.02871009171108,0.44458850352772217,0.4444444444444444,45.0
144,0.7777777777777778,0.17174572308211222,-23.163493132482362,0.43087892824398916,0.4444444444444444,45.0
145,0.8,0.1320023859785358,-17.45816435353109,0.8063455829821499,0.8222222222222222,45.0
146,0.8666666666666667,0.07378830587749664,-11.358383311083339,0.14422978643779727,0.06666666666666667,45.0
147,0.7333333333333333,0.1694495935403913,-22.329576038161424,0.3264858218749144,0.3333333333333333,45.0
148,0.7333333333333333,0.18358338100437566,-24.494600573104794,0.4176874212283271,0.4222222222222222,45.0
149,0.8444444444444444,0.0946983183292651,-13.185590614741237,0.47330993637718677,0.4666666666666667,45.0
150,0.7111111111111111,0.18842894897973292,-25.749589478875315,0.6778233962156748,0.6888888888888889,45.0
151,0.8666666666666667,0.11765367764067487,-18.289452011799252,0.4922215479638665,0.4888888888888889,45.0
152,0.7111111111111111,0.1528111478995407,-20.69122035058442,0.3659727601102902,0.35555555555555557,45.0
153,0.9777777777777777,0.027736023340959193,-4.804436480020513,0.059714059241235684,0.022222222222222223,45.0
154,0.9111111111111111,0.08703038932076976,-12.890008164092718,0.33886830838634696,0.3333333333333333,45.0
155,0.8222222222222222,0.14464513415538896,-20.078423548922608,0.5548660817697427,0.5555555555555556,45.0
156,0.8,0.1121898155747711,-15.826765628727454,0.43128549402584926,0.4222222222222222,45.0
157,0.8222222222222222,0.11783657671162823,-17.80581632939386,0.4888381026026812,0.4888888888888889,45.0
158,0.7111111111111111,0.18063129872986,-24.009688522061847,0.701728761438469,0.7111111111111111,45.0
159,0.7111111111111111,0.17968780552804328,-24.119556916771664,0.3483610671171903,0.35555555555555557,45.0
160,0.6888888888888889,0.21698222465978795,-28.21612846477374,0.4939929430304599,0.5333333333333333,45.0
161,0.6888888888888889,0.18247054607226493,-24.224338194701474,0.4961494357746697,0.5111111111111111,45.0
162,0.6444444444444445,0.20784107327131393,-27.4509618026827,0.655660474929945,0.6666666666666666,45.0
163,0.8,0.14080023142262843,-18.796444591543757,0.2462304225490057,0.2222222222222222,45.0
164,0.7333333333333333,0.17250836419485532,-22.90477944609921,0.4840668507674997,0.4888888888888889,45.0
165,0.8222222222222222,0.08829870997170605,-12.37717284619971,0.592412814770798,0.6,45.0
166,0.8444444444444444,0.11916881182569031,-16.84825932708305,0.30087057982368454,0.28888888888888886,45.0
167,0.9555555555555556,0.03898080828346097,-6.159118792711013,0.2869378109443045,0.28888888888888886,45.0
168,0.9333333333333333,0.05217402351306271,-8.5043751386626,0.5206790910606398,0.5333333333333333,45.0
169,0.7555555555555555,0.17592939120922307,-23.41792740873872,0.5900832025024437,0.6,45.0
170,0.6444444444444445,0.19915200755742132,-25.94887001379759,0.32550498634634545,0.3333333333333333,45.0
171,0.8222222222222222,0.1257607798513255,-17.79170056350255,0.7200704524332402,0.7333333333333333,45.0
172,0.9555555555555556,0.029722936613460864,-5.096880360509762,0.37570879823737796,0.37777777777777777,45.0
173,0.9111111111111111,0.06626194963547391,-10.194215004825601,0.4890519417781888,0.4888888888888889,45.0
174,0.8666666666666667,0.09378290272499425,-15.586886957902589,0.5356689649776445,0.5333333333333333,45.0
175,0.7555555555555555,0.1593435101702566,-21.568569728441563,0.2656750761304317,0.26666666666666666,45.0
176,0.6888888888888889,0.19044031371794465,-24.943962327841053,0.6027407226656283,0.6222222222222222,45.0
177,0.8444444444444444,0.13072561787103015,-18.818458355295206,0.6691857936948469,0.6888888888888889,45.0
178,0.6888888888888889,0.20463845165279457,-27.549444534727503,0.6590250449756299,0.7111111111111111,45.0
179,0.7111111111111111,0.19332713091423454,-25.718116488125805,0.44011165124226803,0.4444444444444444,45.0
180,0.8444444444444444,0.09107714106478915,-12.917689535584413,0.6382803820405119,0.6444444444444445,45.0
