subj,k,k_sd,beta,beta_sd,alpha,alpha_sd,delta,delta_sd,delta_ols
64,9.463614,1.5921208,139.65485,88.127914,0.03829615,0.03759397,0.12189699,0.05862755,0.18154020288521883
65,8.914908,1.4998752,111.82807,79.04925,0.14980865,0.038389564,0.12839857,0.062455785,0.15682999715839022
66,1.3985598,0.58988845,23.975325,15.6563225,-0.13646474,0.04085158,0.084158465,0.06393204,-0.032097929128674166
67,2.4849632,0.8207493,50.176777,34.538895,-0.14229926,0.04081634,0.10083047,0.066274226,0.013081389694418907
68,2.7532506,1.0001085,107.86815,59.960117,-0.1272602,0.042239252,0.18429562,0.060599566,0.17147893382527438
69,1.8970976,0.83405507,120.93833,60.47621,0.010295296,0.039947417,0.27374953,0.06268738,0.2537829419471237
70,11.366159,1.9742341,118.57436,79.7999,0.022084408,0.039536018,0.08075507,0.05976705,0.12312319376414732
71,5.1389775,1.1659312,89.695114,54.535934,-0.11058926,0.03629132,0.09977327,0.058752883,0.10588930059133152
72,29.18361,6.807449,81.6147,65.34317,0.4454064,0.041257866,0.047536712,0.06780137,0.013854742815561523
73,4.997502,1.6395298,483.4018,251.4035,0.026208453,0.039599717,0.32526436,0.060278453,0.38503766882814605
74,17.266403,3.0085998,124.25494,107.54618,-0.05914444,0.041863285,0.011888446,0.07217537,0.004852764959625792
75,3.2813632,1.4462378,479.11923,204.1651,-0.09813165,0.04032519,0.3427208,0.059721913,0.42440638847917644
76,4.60733,1.0778053,50.819916,31.194637,-0.03550859,0.037964955,0.06831866,0.0588485,0.023486602366451316
77,21.392431,4.0010724,40.57863,29.87205,0.54714894,0.038499244,0.031160694,0.06399791,-0.029017913455804067
78,2.3762035,1.0855536,394.24768,161.65863,0.02938953,0.03915532,0.38719603,0.05876227,0.3947563829323236
79,1.546414,0.75169116,57.211414,34.041782,0.18202405,0.04364412,0.25415257,0.06728081,0.22879991857041007
80,9.041894,1.7505039,214.03487,153.76186,0.18253455,0.04048877,0.20564733,0.064616494,0.2294915627133479
81,1.5335782,0.9260062,285.01175,106.02076,-0.11685889,0.042523637,0.3672179,0.06497526,0.44060003465098346
82,12.587368,2.0571778,125.30824,116.57581,0.00010918409,0.04337949,0.05693598,0.074604124,0.04084597973435952
83,0.8334301,0.3629277,17.205523,11.178197,-0.22469799,0.041738108,0.07860425,0.06691949,-0.03416398267637411
84,4.7417245,1.4095001,362.665,198.78352,-0.11304423,0.03982416,0.26229227,0.059359875,0.23929101636469993
85,4.8411417,1.3451844,353.281,176.77255,-0.046730254,0.036188558,0.2760175,0.056320958,0.3075120776746359
86,0.8710097,0.49161726,128.5453,54.715534,-0.09227976,0.0414293,0.34025744,0.062079445,0.39751262247138336
87,1.1479809,0.6332443,343.78976,128.3105,-0.055797163,0.04209368,0.42932075,0.06151064,0.446647357462376
88,7.0720954,1.7028174,309.1883,195.52853,0.14225514,0.039382454,0.26409626,0.062271435,0.2839175873716812
89,9.90915,1.8890405,206.79024,161.98633,0.11343719,0.042977914,0.17052357,0.06928696,0.15914968576817348
90,1.7261162,0.7529151,81.04987,43.88408,0.05125851,0.040815033,0.2483443,0.061498255,0.2570147306972135
91,0.9332242,0.41173643,28.928562,18.444944,0.12281663,0.041555896,0.21368252,0.06317855,0.15084921969561646
92,0.9970325,0.59037447,210.08263,77.000694,-0.082889006,0.042142317,0.3848501,0.06235409,0.4295830993721181
93,2.548998,0.8555967,55.536304,36.000816,0.04410273,0.040399462,0.15854856,0.065471135,0.10951953980454991
94,4.1997366,1.5510887,544.23315,268.82214,-0.016029278,0.039450563,0.3475398,0.05897876,0.4179802456827596
95,5.244051,1.2650722,255.7191,175.08304,0.010156618,0.039866943,0.23783892,0.06481239,0.1845023629927276
96,1.1398424,0.54861397,55.727337,31.850266,-0.23890308,0.04283449,0.17616549,0.06440105,0.16859956276091245
97,0.992311,0.5435232,74.6667,37.988182,-0.2737405,0.04418757,0.2189138,0.0668964,0.24794468704283593
98,42.447887,12.92236,137.50621,121.94415,0.17021978,0.04498556,-0.0064426465,0.072857484,0.03413016583671671
99,7.7658396,1.4711556,166.48254,142.82948,0.00803878,0.043797277,0.14035666,0.073985144,0.0762555275299293
100,1.7303562,0.9453878,205.70567,84.50787,-0.124696866,0.04066418,0.3137903,0.06122862,0.36853188127272907
101,1.0968677,0.49242002,40.698467,23.806473,0.25567535,0.041258976,0.2696548,0.06392806,0.2371643532106219
102,3.106297,1.3460914,444.0329,192.67148,-0.054646958,0.04296681,0.34979913,0.059345894,0.34748855004280094
103,1.511423,0.6823868,112.39803,57.304516,-0.1433715,0.04156791,0.25015524,0.0611269,0.23575949375015393
104,10.706079,1.8236426,93.29201,65.55942,0.16980234,0.038913656,0.09606817,0.06271504,0.10484522663349714
105,3.082141,1.3036265,460.44073,204.81628,-0.024959357,0.040178515,0.36134082,0.058968764,0.31897231657189395
106,2.3726084,0.90067524,95.74305,56.94786,-0.10671818,0.041292444,0.19001642,0.063541576,0.1363471229101264
107,1.5111272,0.81297404,160.0551,74.12407,0.078095704,0.04302236,0.3489163,0.064412415,0.3926744515202364
108,4.767605,1.3901458,448.45654,231.3352,0.047434945,0.038321637,0.32616565,0.057866335,0.338352331185208
109,6.2871065,1.3426888,174.62354,110.06296,0.08696983,0.038443916,0.19963402,0.058454588,0.22170348698970163
110,23.15265,4.761402,94.734764,74.261314,0.19427392,0.040800825,0.022535922,0.067025974,0.01988448452610133
111,6.310559,1.3956903,177.38718,124.75267,-0.10118317,0.041827556,0.15055743,0.06730872,0.14884065085326328
112,4.521529,1.3537425,261.83063,128.11505,0.14369541,0.037650548,0.30026507,0.055070825,0.3182403662628007
113,3.9482071,1.0847759,110.23759,63.154423,-0.07510397,0.039388124,0.16045645,0.05737883,0.16620882151665844
114,5.7364426,1.2808272,148.72577,89.24113,0.07657872,0.03797485,0.19163015,0.056417473,0.19472868903364937
115,2.7999172,1.1881864,466.79605,244.18086,-0.046712354,0.041169945,0.36383554,0.061840694,0.2658463558744059
116,5.464269,1.3478587,109.669624,64.43251,0.11612223,0.038507633,0.17457144,0.05705385,0.23751889996034722
117,11.80516,1.8534983,59.727905,48.336815,0.17455739,0.041764397,0.033214003,0.067773245,-0.0400066101828444
118,8.047468,1.5049,181.80415,135.74092,-0.061855286,0.04218093,0.13541918,0.06652823,0.08951124831104453
119,11.367082,2.1489697,270.67395,189.19604,-0.02642315,0.039612938,0.15538755,0.0633307,0.24283917895346738
120,1.8584858,0.96423525,589.2204,246.76646,-0.075979054,0.04139289,0.43033466,0.06221427,0.39708989221634533
121,6.5214653,1.5769248,283.98975,155.92783,-0.022617912,0.038529694,0.2259262,0.0568022,0.31988019813512597
122,1.819987,0.80013734,206.4234,91.40772,0.12667438,0.039626267,0.36591193,0.05860713,0.29575418882497495
123,6.2781453,1.1363615,31.378607,21.774063,0.18996702,0.040169977,0.037319638,0.061205488,-0.047856879106015486
124,39.319775,13.154987,176.66312,149.59132,0.31077105,0.043765634,0.066221274,0.074093096,0.10310927020661886
125,3.897825,1.3364441,288.5445,136.17546,-0.038000155,0.037937403,0.28143686,0.05560436,0.3341513952528906
126,5.0888834,1.3743886,296.90625,180.9531,0.007536778,0.038648102,0.25988516,0.060932513,0.20672257690087695
127,7.218343,1.4915489,153.30716,91.20871,0.031490516,0.03773744,0.15990335,0.05453485,0.21818682486745086
128,5.7121186,1.5484403,363.72363,198.97916,-2.9437295e-05,0.038772352,0.27210048,0.057941344,0.29422760349344856
129,3.031128,1.2151052,478.0272,205.05795,-0.03006275,0.037878495,0.36579648,0.05667943,0.3218990960280724
130,0.9709458,0.45371503,47.88246,26.184282,-0.045323566,0.041334547,0.22554423,0.062451497,0.1957949544813167
131,1.9063122,0.80596524,128.15707,60.67375,-0.018115219,0.040326245,0.27228147,0.059298575,0.27587018646975187
132,2.0130637,0.92407125,128.19925,57.994656,-0.12919202,0.039891742,0.24163671,0.058657203,0.3049412295642496
133,1.4046862,0.70518976,150.31682,66.94055,-0.20878343,0.04152418,0.27771232,0.0636419,0.32480566236654107
134,21.10653,4.073269,83.861115,67.42415,-0.038265586,0.04001528,-0.040218562,0.06642504,-0.028358709866535815
135,2.2132301,1.0034477,227.3788,96.818565,-0.01785025,0.038888946,0.32229862,0.057930958,0.29306173108842654
136,1.5392109,0.777112,281.7807,114.858475,-0.054880824,0.04122728,0.37540263,0.060753316,0.33927871872404114
137,1.4751972,0.789263,223.419,88.72023,-0.02263481,0.040905956,0.36470872,0.06221116,0.3872004200169483
138,4.6348724,1.0485065,87.89995,55.64504,-0.01801679,0.037354786,0.13042746,0.059712045,0.09405809583497594
139,12.645249,2.0705152,53.218845,39.526665,0.23336245,0.03884439,0.03297604,0.0639706,0.0002186167306095262
140,3.5184639,1.180562,147.17522,73.34926,-0.056883287,0.03760184,0.2125727,0.057707887,0.21383322951323144
141,11.055473,1.8467515,79.99685,71.67393,0.2516555,0.045168567,0.08530645,0.07597008,-0.0002418467067641122
