subj,k,beta,mean_anxiety,mean_confidence,k_z,beta_z,mean_anxiety_z,mean_confidence_z,mean_S_probe
51,1.3421887,41.769733,3.888888888888889,4.722222222222222,-0.7538512908498749,-0.31218556150449606,-0.39029464367993133,1.1562742689793486,0.612698418469656
52,10.16143,33.116558,5.5,1.7777777777777777,0.6365343439405635,-0.5178736767870759,0.8416271941166403,-1.0313054632111462,0.612698418469656
53,9.094623,52.355335,5.277777777777778,1.7777777777777777,0.46834832005958843,-0.060563177291591025,0.671706940627458,-1.0313054632111462,0.612698418469656
54,3.4174755,45.030525,3.2777777777777777,3.7222222222222223,-0.426674739416792,-0.234675727159471,-0.8575753407751827,0.41332266182031263,0.612698418469656
55,12.33842,24.158905,1.4444444444444444,2.0,0.9797447766886092,-0.7307993096241957,-2.2594174320609364,-0.8662051060646938,0.612698418469656
56,5.3867435,55.722385,3.2777777777777777,2.0555555555555554,-0.11621243941684797,0.01947243605983329,-0.8575753407751827,-0.8249300167780809,0.612698418469656
57,6.074785,27.82669,3.1666666666666665,4.333333333333333,-0.007740181407571556,-0.6436151507562986,-0.9425354675197739,0.8673486439730566,0.612698418469656
58,5.731246,28.475616,3.9444444444444446,2.3333333333333335,-0.06190036076339363,-0.6281900188367588,-0.34781458030763557,-0.618554570345015,0.612698418469656
59,7.1690083,25.8322,4.888888888888889,5.388888888888889,0.16476812240457014,-0.691024672584986,0.37434649702138934,1.6515753404187061,0.612698418469656
60,2.3708274,23.215866,4.944444444444445,3.2222222222222223,-0.5916826390102305,-0.7532155804783006,0.41682656039368476,0.04184685824079468,0.612698418469656
61,6.8952637,35.42746,3.6666666666666665,3.7222222222222223,0.12161128538260839,-0.46294296326484324,-0.5602148971691138,0.41332266182031263,0.612698418469656
62,0.9958568,21.354681,3.7777777777777777,3.6666666666666665,-0.8084517811017605,-0.7974564094043547,-0.4752547704245225,0.37204757253369936,0.612698418469656
63,2.2594879,86.46273,1.2777777777777777,4.222222222222222,-0.6092357182512703,0.7501780586996469,-2.3868576221778235,0.7847984653998307,0.612698418469656
64,10.1104355,32.723644,4.388888888888889,2.388888888888889,0.6284948745756284,-0.5272133399890958,-0.007974073329270836,-0.5772794810584021,0.612698418469656
