subj,n_trials,optimality_rate,overcautious_rate,overrisky_rate,subj_optimality_rate,subj_overcautious_rate,subj_overrisky_rate,total_ev_loss,mean_ev_loss,heavy_rate,survival_rate,total_earnings
103,45,0.8,0.022222222222222223,0.17777777777777778,0.4,0.0,0.6,7.441396125196806,0.1653643583377068,0.7111111111111111,0.6,107
104,45,0.5333333333333333,0.4222222222222222,0.044444444444444446,0.7555555555555555,0.08888888888888889,0.15555555555555556,19.32862703289512,0.4295250451754471,0.17777777777777778,0.6444444444444445,45
105,45,0.8444444444444444,0.15555555555555556,0.0,0.7111111111111111,0.0,0.28888888888888886,1.5389096156412583,0.03419799145869463,0.4,0.8444444444444444,94
106,45,0.7777777777777778,0.06666666666666667,0.15555555555555556,0.4666666666666667,0.0,0.5333333333333333,6.955785821592956,0.15457301825762124,0.6444444444444445,0.5333333333333333,96
107,45,0.8222222222222222,0.06666666666666667,0.1111111111111111,0.5111111111111111,0.0,0.4888888888888889,4.728459947179303,0.10507688771509562,0.6,0.8,116
108,45,0.7555555555555555,0.24444444444444444,0.0,0.8,0.0,0.2,5.0802654023086,0.11289478671796888,0.3111111111111111,0.8666666666666667,83
109,45,0.6444444444444445,0.26666666666666666,0.08888888888888889,0.6888888888888889,0.022222222222222223,0.28888888888888886,11.551411994991525,0.256698044333145,0.37777777777777777,0.6444444444444445,69
110,45,0.4666666666666667,0.5333333333333333,0.0,0.8666666666666667,0.1111111111111111,0.022222222222222223,23.237418801187395,0.516387084470831,0.022222222222222223,0.7111111111111111,32
111,45,0.7111111111111111,0.24444444444444444,0.044444444444444446,0.7111111111111111,0.022222222222222223,0.26666666666666666,9.381777528148522,0.20848394506996715,0.35555555555555557,0.5555555555555556,69
112,45,0.7555555555555555,0.2222222222222222,0.022222222222222223,0.7555555555555555,0.0,0.24444444444444444,4.367658588896137,0.09705907975324748,0.35555555555555557,0.8888888888888888,96
113,45,0.6888888888888889,0.17777777777777778,0.13333333333333333,0.5111111111111111,0.044444444444444446,0.4444444444444444,14.92058929530798,0.331568651006844,0.5111111111111111,0.7111111111111111,88
