subj,k,z,beta,alpha_bayes,rho_bayes,quad,diagonal,coupling_product,coupling_dist,cluster_4,cluster_4_prob
56,1.3944535133370075,0.2983790509236732,1.7737748902258936,0.64497083,0.6869861,LH,False,-0.17444023600728317,0.9185874560825125,0,0.9954308890858798
57,2.944144396559402,0.3222813743840254,0.3614165265561437,0.81826085,0.40884268,LH,False,-0.24546969823299183,1.7023619775551664,3,0.7098034450485727
58,2.269427210290831,0.2615364781683405,0.8573315367331263,0.1985614,0.6208369,LL,True,0.4425326390595122,1.3816915647734853,2,0.933647686336734
59,2.2553131237537065,0.3816388360490129,0.6104768525567569,0.55784696,0.6807467,LH,False,-0.05402820850856813,0.4696515759045664,2,0.8836168587284361
60,1.1383270093005566,0.1589473997713798,1.0326703178708732,0.2703867,0.6089819,HL,False,-0.9140915896173779,1.9940471563625497,0,0.7462283130935647
62,0.4730379859471448,0.2633481113257353,0.4958015180671256,0.29459962,0.47844934,HL,False,-2.211930671139101,3.0700665176622945,2,0.9986667496516015
63,0.6787577623645026,0.3456386726163603,1.8028243690543384,0.89287704,0.72994804,HH,True,0.7455875903757393,1.5410364332454825,0,0.9995330940897073
64,4.5052466903029345,0.2711215419041038,1.327780454568496,0.28489387,0.66083646,LL,True,1.6386743472146974,0.15478890577916693,3,0.9999985506260082
65,3.572654643662214,0.3286675120365058,0.875826680830726,0.6962148,0.49206007,LH,False,-0.8441864186298732,1.837613270657915,3,0.9859614063665857
66,0.7498531006130869,0.187531579513457,0.3440523005864219,0.50092304,0.71530634,HL,False,-0.17596269148517485,2.006913719708943,2,0.666651327589958
67,0.9988949772929704,0.3488336738622974,0.3147951349058583,0.4582505,0.43372303,HL,False,-0.3928475814619139,1.5718252127863217,2,0.9415966535381204
68,1.2296230442705087,0.3409761186263625,0.4459295630962028,0.33337048,0.47979894,HL,False,-0.7865649206320462,1.7786636963007327,2,0.9898609002270858
69,0.8816191506612737,0.2288122997987329,0.9825475668738342,0.3642999,0.56546414,HL,False,-0.7422153677953975,1.7284514151608437,0,0.5912948023426433
70,4.440951594899177,0.3214770480784653,1.3468343827507214,0.40274444,0.58886826,LL,True,0.878146019147199,0.8712169926981808,3,0.9999990091832528
71,2.310255089938566,0.2434822909429485,0.6280844761204991,0.30324084,0.6432089,HL,False,0.05540564888249165,1.0606190474528232,2,0.9677668590482775
72,4.570304541536744,0.8464074665386077,2.479465252937488,0.81817317,0.4545219,LH,False,-3.108565528176926,3.5576685155362657,3,0.9999999999993925
73,1.683281649061219,0.3519444662024876,2.35985696530452,0.6024893,0.5035937,LH,False,-0.30412844044415943,1.1363356975779486,0,0.9974653846925671
74,4.032134938390059,1.1917019200019765,1.1017576174580377,0.30086866,0.36212462,LL,True,1.7718588049596806,0.45542904817211016,3,1.0
