subj,k,c_death,epsilon
217,0.24172419572296083,3.50606817353443,6.054345705321802
218,0.24065171015021006,0.08749849476066178,0.5165993213618663
219,0.24102031340236402,0.29295512202346136,0.2398588621985751
220,0.24166411113446434,0.24120723260350427,0.15111482560288997
221,0.2399064496669168,0.30782681880991575,0.8585119892242544
222,0.24067684155460306,0.4399815295137074,0.8394407086907499
223,0.24131284100311112,4.271137986795181,6.355712505303373
224,0.24039694489677968,0.07087811591465397,1.6575056719519343
225,0.24135543381853483,0.16118253177468014,1.1286284681852419
226,0.24129412864626612,0.9736673214424199,0.5254730032426452
227,0.2409458142650596,0.23152254083146487,1.1400322670853085
228,0.24057285905992898,0.2080097830957002,0.313340362342243
229,0.2404271573813211,0.10255387709836827,0.792924593990251
230,0.24066712739859725,0.3431595112967568,0.7438964460333762
231,0.2407077959552828,0.1153330111257041,0.5890338402997842
232,0.24100207173038632,0.0924136240606966,0.12305338527013553
233,0.24064741822777244,0.1616072980484067,0.673040825940301
234,0.24104060844445863,0.6339183642951898,1.3500139424472888
235,0.23986733532935645,0.08413132393070802,0.7548396607423918
236,0.24083835015834268,0.25427803108494496,0.34433582937865304
237,0.2415704632551745,0.2495512596852587,1.410081683046027
238,0.24079207747772066,0.04354706527153316,1.2478269941621625
239,0.24017115611901974,0.12093144030767232,0.4728397518962877
240,0.24040396484797744,0.38767685133923707,0.12398098881936603
241,0.2401587479858644,0.14141160724961882,0.9729045637178398
242,0.24041211992070996,0.20132583331743223,0.1619912124895229
243,0.24131739035412383,0.37163376302106965,0.2780253473358277
244,0.24061756529271838,0.17632260480578674,1.2051424226955247
245,0.2410360240809931,0.40074635413500026,0.9012039486653071
246,0.24103798451392014,0.4418517011606349,0.5609935807389838
247,0.24059163918185286,0.17922138762551207,0.4816581657637039
248,0.2411393451457397,0.12044540646523108,0.9002680794422391
249,0.24021593806756975,0.08934496935577729,0.5602395895785854
250,0.24045249518930942,0.11608077749548026,0.11665813281733382
251,0.24110542719616485,0.17689169809887828,1.7926428033821105
252,0.2407454808412314,0.08796216631483428,0.3124861765814178
253,0.2404962891689675,0.4176813003021569,0.6758102774098053
254,0.24088557037009084,0.08308717561158287,0.0576636638676383
255,0.23962283021826353,0.05290301060689642,0.8573093576273675
256,0.2421224147260224,0.2355484923984603,1.0309827658396353
257,0.2409473570938584,5.449379296628896,6.347663642819839
258,0.24094377043786372,0.09467789303768961,0.4047567570996979
259,0.24080662767820882,0.6196723798070692,0.4090668941766585
260,0.24106286753816838,0.26230949113605184,0.5967718897548109
261,0.24076360766458105,0.17595446316627053,1.1391310644826436
262,0.24078907315351164,0.448069449534513,0.9988830515452262
263,0.24076286121465812,0.5699617402034877,0.33634050472464283
264,0.24023853406409973,0.10163672127071299,0.19443206480626254
265,0.24128162817083215,0.1524661276854325,1.199420229004424
266,0.24126305914057092,0.15513844961941742,0.32256466692282576
267,0.24083219762339447,0.1976405798419203,1.5469752598533286
268,0.24040155588515183,0.4895918378468175,0.10092913413041109
269,0.24016669983327696,0.27906869326915085,0.8159367292033826
270,0.2406772103069087,1.339230336986286,0.35082001798853796
271,0.24030796121003317,0.08963930062774715,0.602917481567173
272,0.2422503050668108,0.31302975572182207,1.2327842566968354
273,0.2409310150808139,0.4535744101176844,0.2988511474700314
274,0.2404317334479914,0.3925042409068456,0.8182687198726785
275,0.24159414663602852,0.5169014589126794,0.4012164080678088
276,0.24025872520026656,0.19395792918329682,0.17364685645485123
277,0.2412327551690336,0.2563872255706222,0.3704205373405426
278,0.2410869836811593,0.04464811931886006,0.32884350469566687
279,0.24095074620317203,0.18832971548725802,0.16939457561033378
