subj,k,beta,alpha
230,6.187927,49.872196,0.7052756
231,2.334125,55.31174,0.40887472
232,4.9855366,48.799397,0.09356552
233,1.6887715,174.97787,0.5374395
234,8.332472,72.81558,0.57582337
235,2.5648057,41.497242,0.3230711
236,4.313117,73.929016,0.7097352
237,2.224569,96.44492,0.62178326
238,0.82627624,23.890884,0.33845317
239,3.8560495,42.783596,0.2225447
240,9.143096,34.12355,0.5762512
241,2.7657268,90.379875,0.31850907
242,2.9922063,98.33372,0.47785428
243,7.292406,51.689987,0.66233295
244,1.7163595,89.973915,0.4313767
245,8.699995,28.79352,0.63145685
246,8.503415,51.45277,0.17087911
247,5.782003,28.29986,0.31288618
248,2.9764402,52.556126,0.41677818
249,2.0175672,61.465492,0.60937893
250,3.877881,47.031807,0.25736818
251,1.589088,69.61941,0.20434943
252,2.8398492,49.985844,0.5929671
253,7.0189424,80.6338,0.33582518
254,3.3349984,35.89872,0.27823976
255,1.7364253,23.558739,0.49782366
256,5.8375597,32.21573,0.73384976
257,4.226418,45.45588,0.44726396
258,1.938536,50.45082,0.46892366
259,12.102736,53.6745,0.6205663
260,4.233859,96.40202,0.72864693
261,1.6750951,51.682743,0.65441084
262,7.593242,26.970085,0.69994783
263,12.691112,36.212395,0.4855192
264,3.224111,47.88234,0.19456147
265,1.946282,47.50699,0.7920231
266,2.7321165,65.43591,0.58617735
267,2.9423227,49.13146,0.06473746
268,11.131828,29.624163,0.5171456
269,3.4164865,91.30295,0.6795485
270,36.976475,53.39057,0.6382738
271,1.9879928,45.378048,0.38864556
272,6.287988,67.96473,0.51806796
273,9.283557,69.970924,0.48420557
274,3.968233,142.42201,0.59197634
275,10.845696,38.15513,0.4448594
276,5.027855,35.80569,0.31247595
277,5.1071672,72.54516,0.4398624
278,1.0571313,28.240736,0.34777543
279,3.4283257,123.77008,0.27003253
280,6.427762,73.19583,0.11874363
281,5.589446,32.594,0.61379874
282,8.461844,57.574684,0.6320223
283,4.1650996,84.19592,0.11404391
284,39.259266,56.26009,0.10861674
285,2.4345846,197.57693,0.5855939
286,5.3592553,34.812378,0.4721353
287,7.911451,35.239643,0.39138037
288,14.6037035,56.120686,0.4293097
289,1.9309055,117.432465,0.59349245
290,6.7778287,43.124325,0.51721185
291,3.2302225,41.81252,0.22749153
292,23.164299,42.81469,0.5443335
293,2.5160046,29.986107,0.5009765
