subj,c_death,epsilon
106,0.2500675205751099,0.27409716554345864
107,0.4869663911711805,0.5462591978091524
108,0.9017385953346382,0.22558291621623291
109,0.6263371963271847,0.28529552521938156
110,2.4648107486608066,0.10933649112425263
111,0.6210336724414275,0.02156904879911782
112,0.814851974704073,0.26814187688780833
113,0.2627855317571364,0.04434289535346808
114,0.613992536072375,0.13527338737381991
115,0.45362092372809887,0.1406192708441654
116,0.6174678612656299,0.11042511609036756
117,0.8822664658012029,0.373250617906173
118,0.6444507182671555,0.046554829522961076
119,1.5149075985474059,0.07492340746434578
120,0.5429183697012883,0.24277668714118608
121,0.9703778150570392,0.0853668901421831
122,1.1634525912752152,1.4755195719418766
123,0.5975093904309552,0.5966624240747928
124,3.3483522626763444,0.14363965132779913
125,0.6882799476123069,0.15198081176729691
126,0.7815813987223779,0.2615729974278409
127,0.7835064788685158,0.10533688783361961
128,1.008744941905733,0.25629290971920704
129,0.7422605585043736,0.28152521812314896
130,0.19337215942205963,0.6004516718382683
131,0.36303932512571807,0.3545933710777873
132,0.2617022710539591,0.1676395763055574
133,0.33521587034830436,0.29025329413695333
134,1.5872612385447866,0.012971744174711312
135,0.39145352543305034,0.33590324791735926
136,0.283571479896734,0.20992198421844555
137,0.414015893002147,0.3082557583270983
138,0.40204701023489203,0.2796682702090179
139,1.0211842538339202,0.07898952887033248
140,0.44760756298320714,0.2601525203029366
141,0.8013227562496804,0.2564622917852571
142,0.6654073925224346,0.27643050030269484
143,0.6517777273818604,0.4882629758537093
144,0.44086661687213796,0.13540680614071066
145,0.12147542650441111,0.3079909379057688
146,1.7234402050728643,0.12978380409499043
147,0.6987926470482085,0.21690511925711953
148,0.41011341660438067,0.03973735616286103
149,0.5141710032171866,0.17579114518367067
150,0.199775615846881,0.24983184492451915
151,0.5024736137644864,0.25548142225163495
152,10.113043628567787,2.7922131898531557
153,2.5260783860918874,0.1639396074164039
154,7.099108995684933,2.512614962337737
155,0.46508021360551194,0.43292450220567413
156,0.6077300512177793,0.26883049679351806
157,0.6548586921552852,0.47630226652590024
158,0.8983428517741533,1.5411553381470293
159,0.5849651885686861,0.06381066196062
160,0.25401738083864844,0.2586700597419288
161,0.28811556350952705,0.05641451906218241
162,0.26736746442492376,0.360306593011979
163,0.9920598756201876,0.20430800155010823
164,0.37727230066705403,0.08856201406224992
165,0.3834566277351426,0.3210618338916055
166,0.9736780132253875,0.30305961666958187
167,0.8189879782619102,0.012935110764447835
168,0.3482980182614013,0.16231674645806665
169,0.23313224901543583,0.12510302579894944
170,0.5972780490050005,0.13662126164370653
171,0.1936005334053978,0.33719100522609596
172,0.6908057957545498,0.09221314608291925
173,0.6446377930518382,0.431384612028134
174,0.49473820983747124,0.2842680759059247
175,0.7637461008607129,0.03017499173612374
176,0.17384809921027625,0.0442249905640685
177,0.23816368508722377,0.4187180522986067
178,0.14288063114189659,0.232443736564438
179,0.41675620607301406,0.09134482009349983
180,0.254941547292819,0.18204224683075212
