subj,alpha_bayes,alpha_sd,rho_bayes,rho_sd,alpha_ols,rho_ols,k,z,beta
93,0.6894537,0.028066378,0.49972722,0.04928142,0.6934156378600823,0.5037647537647538,1.5124172574726775,0.1795382888670072,0.3594516047331657
94,0.5043126,0.02853822,0.5741795,0.049681474,0.5037037037037037,0.5925824175824176,0.9619672122598736,0.3492342464002715,5.515249952755519
95,0.6554093,0.027612869,0.32899022,0.049383752,0.658179012345679,0.304029304029304,0.7794371262424271,0.3176822724399758,5.839233327020722
96,0.30820906,0.028090099,0.4434418,0.048793107,0.30384087791495196,0.407000407000407,0.8220141926719714,0.1933791379607037,0.4339484881512243
97,0.4398968,0.028607182,0.38644406,0.0486814,0.4377637130801688,0.3155982905982906,0.7786199124871855,0.2230736531280868,0.4155263970880395
98,0.6482889,0.028724018,0.4702676,0.050033305,0.6516754850088183,0.48129251700680276,3.7970888854418896,0.4670455007477087,13.269269748601888
99,0.6173367,0.028865712,0.30406225,0.05005091,0.620713305898491,0.27879527879527877,1.4423836478090764,0.8215226948421039,1.2517080411541217
100,0.47733232,0.02863656,0.57268155,0.049380854,0.47654320987654325,0.5810439560439561,0.999670225389654,0.1877248425235996,1.703016236927699
101,0.7559686,0.028055359,0.4214912,0.04996899,0.7610229276895943,0.42508710801393723,0.5993951464334281,0.233761123062301,0.3297058105930546
102,0.54277223,0.028640563,0.5474762,0.051375054,0.54375,0.5638888888888889,0.5728955485152929,0.2859999017792375,6.169584841349171
103,0.41842365,0.02733276,0.58405304,0.04881219,0.4162257495590829,0.6004709576138147,0.7304731273507141,0.4031829785628196,0.3804252045964584
104,0.4540678,0.028993754,0.6068796,0.049077976,0.4529320987654321,0.6179029304029303,4.43607047434347,0.3483254664178539,0.9222657102860916
105,0.7204116,0.028138313,0.52535874,0.04961706,0.7249657064471879,0.5445121951219513,0.8026845376655924,0.5403578665107224,2.422635486421173
106,0.38004708,0.02913297,0.7355342,0.04979449,0.3765432098765432,0.7674216027874564,0.95956277166296,0.3624229720748659,0.4916643184220366
107,0.8051621,0.029178586,0.5410172,0.0496572,0.8111111111111111,0.5522560975609756,0.8586267231737224,0.2079819892266267,1.1944481209830065
108,0.7173015,0.028737944,0.54147667,0.050047267,0.7208504801097393,0.5496273712737129,1.3202284766417216,0.4246497704106357,2.6292790433559183
109,0.6236258,0.029761951,0.62240624,0.049436152,0.6261022927689595,0.6474358974358974,2.4096721187992447,0.4297702167936963,0.4968503460437318
110,0.5239992,0.028403929,0.65955436,0.05011828,0.52400548696845,0.7004477004477004,4.100563604652884,0.4090774566398709,7.50218162474245
111,0.13589199,0.032864753,0.41557944,0.0556645,0.125,0.364245951417004,2.1620776243307502,0.4931792044218427,0.7196464859652877
112,0.819569,0.028220443,0.44001827,0.048910677,0.826278659611993,0.4330193615907902,1.2158901335505738,0.2743947534052026,2.474492563793813
113,0.639204,0.028822176,0.5462754,0.049833648,0.6419753086419753,0.5397697540554683,2.157143102013768,0.2727011270064252,0.3052992424657981
114,0.6303692,0.02889796,0.45701948,0.04842454,0.6320987654320988,0.46435975609756097,2.660991290124727,0.2805647535594633,0.8374149980789093
115,0.69405776,0.028830558,0.400072,0.04956444,0.6983024691358025,0.39592225609756093,0.865014962486672,0.7408427992276849,1.041622638607257
116,0.87853515,0.02839792,0.36472875,0.048662122,0.8864583333333333,0.35,2.95036152517332,0.1851691179365044,0.860727663150372
117,0.4809372,0.029593332,0.56218183,0.050828278,0.4801097393689986,0.57997557997558,3.8295005002668576,0.8971927373661848,0.2888389224474029
118,0.16699901,0.029637497,0.55535895,0.049849667,0.1589310829817159,0.5582977207977209,1.687575113947794,0.8152488831290707,1.1300445273580972
119,0.24009342,0.029987652,0.5138463,0.049969286,0.23391812865497078,0.5070987654320988,3.704756325527802,0.3373462721897571,3.687166671456255
120,0.66122794,0.027503582,0.53318465,0.049375914,0.6643518518518519,0.5427210365853659,0.8126253514269804,0.6821067452179013,1.264454312053661
121,0.41503674,0.029402027,0.6158577,0.048635412,0.4125,0.625,2.0874016129656483,0.2614267356394166,2.67464362849741
122,0.46647343,0.028383257,0.49986488,0.05029703,0.4654320987654321,0.5077838827838828,0.5903434138767473,0.4978560755691862,0.7844801768032218
123,0.4872858,0.029407986,0.7442627,0.04971698,0.4865506329113924,0.8009066110397947,2.370487381254097,0.2890515017342023,0.2471803113818242
124,0.6717711,0.028286424,0.50430226,0.049152628,0.67578125,0.5223214285714286,3.822014450241979,0.4660903081292162,13.489967192876236
125,0.55850565,0.027485328,0.57083166,0.049177825,0.5590277777777778,0.5693400167084378,1.427496490812299,0.2628370650693464,1.7994707923673443
126,0.4334223,0.027951282,0.5167846,0.049337357,0.4312169312169312,0.5131968641114983,1.467076227103378,0.4554460321108522,1.5927239862942073
127,0.5696823,0.027906362,0.6054817,0.051112,0.5705467372134039,0.6176085818942962,2.7738479503514935,0.2655718268527427,1.188819873217957
128,0.3575932,0.029712597,0.59846187,0.050420042,0.35361552028218696,0.6168118466898954,3.0182072739908734,0.2978581704060303,1.4649465191869526
129,0.53691304,0.027982717,0.6735788,0.05045269,0.5370370370370371,0.7164634146341463,0.960301900404666,0.5192352999485583,1.9946589689705585
130,0.63986355,0.028486915,0.5614947,0.050133288,0.6427469135802469,0.576923076923077,0.4876543277001741,0.2309351329773473,0.453825429828432
131,0.6925826,0.027914548,0.69796807,0.050518338,0.6961591220850479,0.7464092140921409,1.148881760934133,0.2663419158925345,0.6689558559958209
132,0.39624465,0.029632704,0.51690704,0.049413506,0.3936899862825789,0.4806233062330623,1.304250964505782,0.2899411878445629,0.4686776277030333
133,0.31101343,0.029474977,0.65429676,0.050247703,0.30625,0.6810953274367908,1.1397658337175205,0.2120433896141533,0.8069928058588064
134,0.23557602,0.027631374,0.48848164,0.050416134,0.22962962962962966,0.4669512195121951,4.706307976899383,0.5363992664648964,1.3913571980222177
135,0.59369797,0.027901454,0.5342408,0.04959365,0.5952380952380952,0.5557491289198606,0.7964498729979915,0.4778251482844855,0.8183556426984163
136,0.75573707,0.028684154,0.348218,0.050793666,0.7604938271604939,0.3354395604395604,0.6212941071346461,0.5395362579395155,0.7816783161987276
137,0.64447767,0.0284498,0.2688922,0.049953047,0.6472663139329806,0.22796167247386762,0.5169935926845015,0.2248136939121979,2.110241718428051
138,0.27632225,0.029142773,0.70097905,0.049975686,0.2708333333333333,0.7433608058608059,1.7166845261230146,0.3162132741750831,0.4477056038515336
139,0.70353645,0.028621534,0.35247466,0.0484887,0.7072310405643739,0.34494773519163763,4.416795061351354,0.4018822895224991,0.8071298097754893
140,0.4587956,0.027843965,0.64771366,0.048378624,0.4578189300411523,0.6680402930402931,1.8174587519271628,0.2559355176453691,0.6199977872603488
141,0.6536873,0.028871074,0.30511868,0.04961227,0.6556927297668039,0.28858401084010843,1.865847085225698,1.4611872141233966,0.7292924209270709
142,0.44762042,0.028983485,0.626748,0.0490916,0.4465020576131687,0.6424796747967481,1.4502273317899794,0.1925086450849565,1.5486199206166733
143,0.6960013,0.028126335,0.3936656,0.049267318,0.6995884773662551,0.38104674796747967,1.03261768420891,1.0171982113435,0.525221786435351
144,0.73084295,0.02846188,0.39997432,0.05002244,0.7354166666666667,0.38888888888888884,1.9553233952651836,0.3469022369512616,0.63579116855019
145,0.50828063,0.02846826,0.71030474,0.05018847,0.5083333333333333,0.7354166666666666,0.6991846646951416,0.1710218913392517,0.4185415300352042
146,0.5312664,0.028691474,0.6194355,0.049722344,0.5315500685871056,0.6420431420431421,4.523689285416094,0.6998465360543197,1.5753776316972716
147,0.31112483,0.028745675,0.61856127,0.04849333,0.30632716049382713,0.6317073170731707,2.909479653871028,0.3205329508158026,0.7620096656593988
148,0.63429326,0.02798303,0.450636,0.04893332,0.6368312757201646,0.41178266178266176,2.3787827883466472,0.3012784653150417,0.4703722868513211
149,0.67403215,0.027906608,0.43342245,0.04923846,0.6774691358024691,0.41002286585365855,0.810183682221535,0.2643634040755163,2.087180357274939
150,0.642995,0.028980892,0.67889816,0.050115947,0.6458333333333334,0.7037545787545788,1.1270876553529636,0.1635247315712211,0.5245993010739226
151,0.5050232,0.029488035,0.65636396,0.049611136,0.50480109739369,0.6901422764227643,1.1450018723099258,0.2843930084882588,1.2834502696917005
152,0.049607217,0.03138165,0.44685203,0.05513439,0.03679653679653679,0.3979591836734694,2.602541636278728,0.4834666380945728,0.4055502759529005
153,0.54342186,0.028112998,0.55343425,0.04953602,0.5440917107583774,0.5639717425431712,4.116643590830679,0.4101224258163761,7.456598408845314
154,0.32697725,0.028736658,0.37076345,0.049110908,0.32253086419753085,0.32195121951219513,1.3614494967398223,0.3697848928137717,2.2518644345373224
155,0.6921406,0.028290056,0.48344573,0.04927242,0.6956790123456791,0.4828754578754578,1.1589502681464037,0.3025574160298974,0.8132676587737661
156,0.73141956,0.029679129,0.49605504,0.049904563,0.7359396433470508,0.49983000135998906,1.4809617735148248,0.521439938919728,0.8312784519615631
157,0.64159584,0.028259415,0.55218536,0.049415626,0.6440329218106996,0.5544207317073171,1.053877292121837,0.2033453041000111,1.6063350591870176
158,0.7372563,0.02920835,0.4642782,0.04828101,0.7418981481481481,0.46502976190476186,1.0512994457039735,0.1556132064645538,0.5263147180932096
159,0.43598616,0.028404076,0.6375228,0.04919328,0.4338624338624339,0.6367595818815333,2.8539766100348625,0.2612559328501083,0.7335395896639153
160,0.47021478,0.029957166,0.5794826,0.04978558,0.46938775510204084,0.5856177606177606,2.4398402750793933,0.2195305050584735,0.2058463215676916
161,0.2770317,0.028322512,0.65925443,0.049924545,0.2727272727272727,0.6845654345654346,1.930512741546768,0.251428364637879,0.4082563942030888
162,0.26929238,0.028028874,0.5392023,0.04913904,0.2638888888888889,0.4927210365853658,1.3603355271800384,0.1519664539518526,0.4319655113535583
163,0.45111045,0.029095175,0.7454022,0.049419694,0.45,0.7878138122040561,4.032946760497965,0.5590750349152713,0.6124691814497969
164,0.6934055,0.028788669,0.47592145,0.04986829,0.6975308641975309,0.4792429792429792,1.6378437534121937,0.260682818448131,0.7498038543859388
165,0.9184222,0.028889459,0.4603065,0.048466425,0.9271604938271604,0.4682317073170732,0.5359172455545634,0.2044210759141946,1.76663039118514
166,0.7366141,0.030426456,0.4491227,0.050558932,0.7418981481481481,0.4518833849329206,2.640531007637865,0.7127860845730479,0.5577548165941024
167,0.49916744,0.02886479,0.53543276,0.049861174,0.49862825788751713,0.5552168021680217,0.980806961234124,0.310462185414214,5.555722192357078
