subj,v_pre,v_max,alpha,v_amplitude,v_tonic_mean,tonic_threat_slope,n_enc_trials,z,kappa,beta
109,0.52307034,0.8426341599601969,0.14197243074325314,0.31956382457201327,0.5748162,0.4874635860323909,39,0.4297702167936963,2.4096721187992447,0.4968503460437318
110,0.4904746,0.825407153794189,0.14128580547715494,0.33493254227342184,0.5064563,0.22681213915348106,39,0.4090774566398709,4.100563604652884,7.50218162474245
111,0.063509256,0.7604992494321957,0.0391507793721036,0.6969899937845364,0.035684932,-0.07704701740294688,26,0.4931792044218427,2.1620776243307502,0.7196464859652877
112,0.98320293,0.9832029342659392,19.999999835931003,8.024692021990631e-13,1.012531,0.13255372643470864,42,0.2743947534052026,1.2158901335505738,2.474492563793813
113,0.49443668,0.6626325314835468,0.17939991479017092,0.16819585021294747,0.5038502,0.3325552865862851,42,0.2727011270064252,2.157143102013768,0.3052992424657981
114,0.7432088,0.7574397756430691,0.46960540836047293,0.014230950054842761,0.81759566,0.03583423793315972,41,0.2805647535594633,2.660991290124727,0.8374149980789093
115,0.80689204,0.8068920373916627,0.01000032584774857,1.1102230246251565e-16,0.7740986,-0.13069838285446111,41,0.7408427992276849,0.865014962486672,1.041622638607257
116,0.8003069,0.8003069162368776,19.997909910281848,1.1102230246251565e-16,0.8280825,0.17877310514450137,40,0.1851691179365044,2.95036152517332,0.860727663150372
117,0.21638206,0.8449970494303146,0.08082806719234524,0.628614992955629,0.4568391,-0.05399450659751857,39,0.8971927373661848,3.8295005002668576,0.2888389224474029
118,0.17976047,0.9058373616749972,0.019533962197354274,0.7260768906886309,0.019892957,-0.013502691872417899,39,0.8152488831290707,1.687575113947794,1.1300445273580972
119,0.30292204,0.6977518534081202,0.03489479959248757,0.39482981318404486,0.07452875,-0.16201901242687372,36,0.3373462721897571,3.704756325527802,3.687166671456255
120,0.56721735,0.8300444457629541,0.1165949339477493,0.2628270957568506,0.53308505,-0.21974027156829767,41,0.6821067452179013,0.8126253514269804,1.264454312053661
121,0.05259196,0.7585676345445576,0.06555154398049522,0.7059756736673775,0.19356714,0.2633116394281389,40,0.2614267356394166,2.0874016129656483,2.67464362849741
122,0.8230823,1.1356608331166829,0.052282501346297874,0.31257850527397046,0.8725011,0.4079784452915199,39,0.4978560755691862,0.5903434138767473,0.7844801768032218
123,0.26991165,1.0321428129779917,0.05210103881866591,0.7622311661350352,0.27656555,0.19345330074429531,38,0.2890515017342023,2.370487381254097,0.2471803113818242
124,0.893152,0.8931519985217784,8.03092342620528,1.8809398483199402e-12,0.72335917,0.4787762463092809,42,0.4660903081292162,3.822014450241979,13.489967192876236
125,0.5718976,0.8008739874048882,0.12182127672365227,0.2289763614817315,0.6632019,-0.11473223567008897,38,0.2628370650693464,1.427496490812299,1.7994707923673443
126,0.31434867,0.8420475781997264,0.06176388398985622,0.5276989103396953,0.3249808,-0.23573402315378145,41,0.4554460321108522,1.467076227103378,1.5927239862942073
127,0.22715604,0.770789532400101,0.10507557539466418,0.5436334893474276,0.24425642,-0.3551623397106593,39,0.2655718268527427,2.7738479503514935,1.188819873217957
128,0.1371494,0.9031989379561952,0.04388436098517217,0.766049544397693,0.17613009,-0.20598984246594113,41,0.2978581704060303,3.0182072739908734,1.4649465191869526
129,0.1927719,0.8906942762490874,0.06656132792566177,0.6979223795291548,0.4310569,-0.3543417900800699,41,0.5192352999485583,0.960301900404666,1.9946589689705585
130,0.81364715,0.9049325847067832,0.12447661740359955,0.091285433713436,0.6763978,-0.2659532800316804,39,0.2309351329773473,0.4876543277001741,0.453825429828432
131,0.5330612,0.8922492693403214,0.1183152121634241,0.35918806299953165,0.60575646,-0.22742554545402466,41,0.2663419158925345,1.148881760934133,0.6689558559958209
132,0.15339223,0.8162131769401145,0.05316235850661081,0.662820951436193,0.35338092,0.7774251699447635,41,0.2899411878445629,1.304250964505782,0.4686776277030333
133,0.00095051306,0.8100870946990816,0.038147347840077596,0.8091365816407395,0.06855404,-0.03915059845894577,41,0.2120433896141533,1.1397658337175205,0.8069928058588064
134,0.022216361,0.5484124994586753,0.02974218083180673,0.5261961384426402,0.027897824,0.08939160266891125,41,0.5363992664648964,4.706307976899383,1.3913571980222177
135,0.46726036,0.8324607199359415,0.19975306782653204,0.36520035921816807,0.713316,-0.3796013444662086,41,0.4778251482844855,0.7964498729979915,0.8183556426984163
136,0.86662406,0.8666240572929383,0.010000000000006882,1.1102230246251565e-16,0.9097828,0.034222528338433346,39,0.5395362579395155,0.6212941071346461,0.7816783161987276
137,0.9630595,0.9630594849586488,0.010000000000001489,1.1102230246251565e-16,0.74266225,0.09082309901714393,41,0.2248136939121979,0.5169935926845015,2.110241718428051
138,1.4670286e-15,0.9353379493149799,0.0268893530515303,0.9353379493149785,0.055569403,-0.059899263956443266,39,0.3162132741750831,1.7166845261230146,0.4477056038515336
139,0.6319314,0.7110012955430643,0.7220175672778684,0.07906987140213417,0.74366313,0.13765662908554166,41,0.4018822895224991,4.416795061351354,0.8071298097754893
140,0.16645046,0.8027424290982019,0.047326000612546174,0.6362919733134043,0.18573059,-0.2918290160596368,42,0.2559355176453691,1.8174587519271628,0.6199977872603488
141,0.7701611,0.7741192663216824,19.999999999999996,0.003958174040340823,0.8808732,-0.07879056036472264,41,1.4611872141233966,1.865847085225698,0.7292924209270709
142,0.10409729,0.8457942288478629,0.04533206663288669,0.7416969370206611,0.3471272,-0.16255367547273605,41,0.1925086450849565,1.4502273317899794,1.5486199206166733
143,0.7961365,0.9057024824352553,0.3369027259375681,0.1095659839840224,0.81636363,0.013521835207939982,41,1.0171982113435,1.03261768420891,0.525221786435351
144,0.88639843,0.886398434638989,0.010086202667467958,1.199040866595169e-14,0.78787434,0.0021541863679893285,40,0.3469022369512616,1.9553233952651836,0.63579116855019
145,0.24169905,0.8771830787305968,0.03816516948483618,0.6354840238933699,0.30642593,0.4385128431022168,40,0.1710218913392517,0.6991846646951416,0.4185415300352042
146,0.3731724,0.7989210663633138,0.09786344797494237,0.42574866398141686,0.43346038,0.03261409699916883,39,0.6998465360543197,4.523689285416094,1.5753776316972716
147,0.38533047,0.8525474304451134,0.03613053869349426,0.4672169620288994,0.16566516,-0.249013490974903,41,0.3205329508158026,2.909479653871028,0.7620096656593988
148,0.5555353,0.6080337505397654,0.0667414456392525,0.05249843407248023,0.62356365,0.33597387373447474,42,0.3012784653150417,2.3787827883466472,0.4703722868513211
149,0.7793518,0.7793517708779486,11.097027532287031,1.1046719095020308e-13,0.76156217,-0.6417487934231754,41,0.2643634040755163,0.810183682221535,2.087180357274939
150,0.58952785,0.7867728751526969,0.0761185665214752,0.19724502977000646,0.48921666,-0.18596038222312886,39,0.1635247315712211,1.1270876553529636,0.5245993010739226
151,0.15633687,0.8071448606149997,0.08994802729835621,0.6508079868452396,0.39653605,-0.22486802190542168,41,0.2843930084882588,1.1450018723099258,1.2834502696917005
152,0.0,3.99939629951971,0.026976548003411014,3.99939629951971,0.0,0.0,28,0.4834666380945728,2.602541636278728,0.4055502759529005
153,0.35656762,0.8878390521450498,0.13184012708898138,0.5312714309139707,0.32897094,-0.07281411439180324,39,0.4101224258163761,4.116643590830679,7.456598408845314
154,0.5034363,1.5344836059818128,0.06086491372668671,1.031047279001222,0.4837687,0.11173114180564955,41,0.3697848928137717,1.3614494967398223,2.2518644345373224
155,0.7655842,0.9244774421043795,0.5134179856490168,0.15889327128605069,0.6042076,-0.4855443909764285,39,0.3025574160298974,1.1589502681464037,0.8132676587737661
156,1.0189315,1.0189315080642702,0.010000000000155558,2.220446049250313e-16,0.99658775,0.17213463783264238,43,0.521439938919728,1.4809617735148248,0.8312784519615631
157,0.69825,0.9384891032412226,0.15775374167889505,0.240239107532757,0.7157985,0.3277190774679194,41,0.2033453041000111,1.053877292121837,1.6063350591870176
158,1.3710012,1.3710012435952472,19.999999614017828,3.938627202160205e-12,1.2709994,-0.5439005792140952,39,0.1556132064645538,1.0512994457039735,0.5263147180932096
159,1.7659773e-05,0.8077255555102401,0.045981524119401165,0.8077078957370194,0.24159174,-0.0026831217110154693,41,0.2612559328501083,2.8539766100348625,0.7335395896639153
160,0.19627504,0.764707265708982,0.06084799824735461,0.5684322252016654,0.44514516,0.09453702718019522,37,0.2195305050584735,2.4398402750793933,0.2058463215676916
161,0.23844294,1.014404594581954,0.021773366196761908,0.7759616520818395,0.15828863,-0.17244491939557677,39,0.251428364637879,1.930512741546768,0.4082563942030888
162,1.9096423e-19,0.8652379702663001,0.030428313355389338,0.8652379702663001,0.0720697,-0.15667324885725958,41,0.1519664539518526,1.3603355271800384,0.4319655113535583
163,0.03761437,0.8341249323196332,0.07051343245220863,0.796510560692064,0.11471696,-0.14302663505077362,39,0.5590750349152713,4.032946760497965,0.6124691814497969
164,0.74324363,0.7925022163153451,0.3244836415695099,0.049258581614569974,0.6832507,0.08253261446952914,39,0.260682818448131,1.6378437534121937,0.7498038543859388
165,0.96325916,0.963259160523801,19.999997050677774,5.154765503334602e-12,0.90817726,0.12586630880832775,41,0.2044210759141946,0.5359172455545634,1.76663039118514
166,1.0063531,1.0063531398773196,0.010000000000000002,2.220446049250313e-16,0.8969134,-0.22964969277381794,38,0.7127860845730479,2.640531007637865,0.5577548165941024
167,0.17331566,0.8274870518811885,0.08296746683861984,0.6541713927158062,0.27403477,0.1442821696400646,41,0.310462185414214,0.980806961234124,5.555722192357078
168,0.17752378,0.7901938282449654,0.06366064262870123,0.6126700513561181,0.12211656,0.35150105133652704,39,0.8982392768217994,0.759917140163404,0.4324939131457145
169,1.0648874e-14,1.0157130038319024,0.017730316059717224,1.0157130038318918,2.3e-43,-5.2373530104139974e-43,37,0.1966366993387988,1.4753338895096073,0.492313316857529
170,0.020758852,0.7990590247535818,0.023811133323739908,0.7783001723909491,0.07429986,-0.1664007268846034,39,0.272057950244368,3.828013277279365,0.4869146225584725
171,0.78205967,0.8562455388877867,0.3077524788610977,0.07418586939315774,0.62688726,-0.26782236993312747,39,0.2728756984872346,0.7786989595191945,0.471560530808949
172,0.86379814,0.8637981414853304,0.010288721290069525,5.838218797293848e-12,0.80309725,0.06673581898212493,41,0.3655487448594406,0.6531417880072616,3.640699978126292
173,0.9330137,0.943350255860464,2.139692883573156,0.01033657826341805,0.7631657,0.2992037683725368,41,0.3899173435492478,0.6983667979902702,1.8588510419687132
174,0.17528702,0.8949896298365411,0.03730549675422103,0.7197026066498574,0.27605107,0.022910311818123134,41,0.2793708552199992,0.8261670129939211,1.4863489126871685
175,0.12502566,0.6329387336954202,0.05924488512207239,0.5079130738958444,0.2106601,0.017314217984676566,41,0.2504925636203989,3.596857230758552,1.0361632081472112
176,0.7047348,0.7047348022507912,0.010000171785276655,4.6974646394915e-12,0.62532765,-0.11714115738868656,37,0.2131363388870406,1.5238444105805593,0.3613879444398885
177,0.5632874,0.7854901612781087,0.20220095761702578,0.22220278392062576,0.7506594,0.0019718706607824476,41,0.2807979480144684,1.0570067326985164,0.3758827297787219
178,0.012473622,0.9045467184810766,0.02106002675934034,0.8920730961440929,0.08006511,-0.10222388431429846,39,0.1600939443970659,1.5433122278158289,0.2119006908352731
179,9.170855e-37,0.7001053246480001,0.012890665172437673,0.7001053246480001,6e-45,6.831330013583483e-44,35,0.27220563175979,2.3825228401172995,0.4052968512240077
180,0.28805602,0.8541492977234187,0.03445533550550465,0.566093281755096,0.18732153,-0.26749679818749406,42,0.3001248826722821,0.5896615211393883,1.132520176875859
