subj,k_mcmc,k_mcmc_sd,beta_mcmc,beta_mcmc_sd,logk_mcmc,logb_mcmc
122,1.2684429,0.96543235,279.2261,275.31412,-0.10307395,5.157669
123,5.0906053,1.8868153,16.48893,19.332146,1.5432407,1.2806759
124,57.027176,28.336926,84.790535,246.38885,3.92952,3.4328072
125,5.7867155,1.8397235,81.41493,69.0998,1.68958,4.062703
126,5.044268,2.3035514,201.52957,185.83423,1.4759084,4.789343
127,7.8785467,1.3779379,43.352448,43.51873,2.0472746,3.373842
128,5.2089376,2.1923215,351.2135,336.80942,1.5463036,5.2491617
129,3.3576722,1.5973994,243.30676,164.11824,1.0560114,5.2852974
130,0.7543574,0.58749163,27.799559,20.260002,-0.6937852,2.9816682
131,2.637357,1.0914243,49.07275,33.099167,0.85274994,3.6500475
132,2.3759136,1.5408901,146.5439,198.94847,0.5210611,3.9877436
133,1.8551909,1.2823458,136.88931,158.75531,0.27725846,4.1496124
134,23.038406,4.9147873,32.795254,43.891575,3.113739,2.7669559
135,2.2939649,1.0694871,158.87737,96.30407,0.69769895,4.823345
136,1.8561226,0.95924747,146.09521,61.458935,0.4439792,4.8880606
137,1.7465366,1.1045891,166.4128,145.35698,0.35059747,4.684077
138,4.395425,1.222153,87.214584,69.747856,1.434666,4.008084
139,12.321251,2.0200124,78.05895,82.84218,2.4981208,3.6406188
140,4.162339,1.3636829,94.20158,77.03797,1.3533788,4.134199
141,8.788349,3.7626283,525.2336,694.15784,2.0284114,4.2566695
142,3.0921896,1.9703641,210.38823,248.49551,0.7707006,4.526069
143,2.1040702,1.6770138,559.7445,289.99622,0.31679052,6.1526403
144,2.558677,1.8307033,325.16492,324.27753,0.55306196,5.2374716
145,0.8108939,0.5637076,10.9963045,11.82591,-0.47653356,1.3059027
146,19.893124,3.6994271,70.04263,101.226135,2.9720576,3.650855
147,6.5887246,1.3660051,98.91085,74.02782,1.8598107,4.1960855
148,5.885765,1.1719006,43.483337,35.346825,1.7508789,3.4144578
149,2.3861403,1.4682349,188.06555,140.43237,0.6584061,4.8821797
150,1.4235127,0.6441715,35.87481,33.482895,0.24142694,3.1556656
151,2.937011,1.3090392,89.170784,79.722664,0.9455295,3.5800498
152,8.190809,1.7894135,63.43701,57.651066,2.0758333,3.776894
153,25.527714,5.4581823,60.675167,90.4845,3.2163568,3.5259135
154,4.74073,1.8651879,183.40396,177.76633,1.447246,4.438422
155,1.9321419,1.2795066,215.15303,228.69453,0.41367933,4.7523427
156,5.1368866,1.5528151,244.47523,262.3698,1.5849711,4.7954087
157,2.48493,1.7813724,157.66547,164.70724,0.3242009,4.433754
