window,predictor,bin,bin_mid,beta,p
onset,beta_z,18,1.85,0.05253572504254139,0.009017558310280265
onset,beta_z,19,1.9500000000000002,0.05279966061542605,0.007939771092749641
onset,beta_z,20,2.05,0.05141486091750588,0.008474945319397121
onset,beta_z,21,2.1500000000000004,0.04832799830191692,0.013480047279230625
onset,beta_z,22,2.25,0.044971141178672104,0.01717003895293083
onset,beta_z,23,2.3500000000000005,0.04150420061188195,0.02410020981894461
onset,beta_z,24,2.45,0.03886255945381992,0.0328124891489157
onset,threat_c,0,0.05,0.002635795455651619,0.054601975929770175
onset,threat_c,1,0.15000000000000002,0.0029568843004213865,0.11435548717028714
onset,threat_c,2,0.25,0.002416068439761142,0.26445259622213335
onset,threat_c,3,0.35000000000000003,0.003169238369022176,0.1772330786393581
onset,threat_c,4,0.45,0.0050357841497654186,0.04667012056081168
onset,threat_c,5,0.55,0.0065249954809083865,0.015068742600985233
onset,threat_c,6,0.6500000000000001,0.00657662718343279,0.004376469014777151
onset,threat_c,7,0.75,0.005821136851135767,0.1608999851546148
onset,threat_c,8,0.8500000000000001,0.006697592246327502,0.007346877193629769
onset,threat_c,9,0.95,0.008240135026015621,0.06827946346978557
onset,threat_c,10,1.05,0.008446860370692333,0.01058511436273456
onset,threat_c,11,1.1500000000000001,0.012039836451809621,0.0006774029551289236
onset,threat_c,12,1.25,0.022607149411335604,1.637327815191261e-12
onset,threat_c,13,1.35,0.03174901035062633,1.0992694229340149e-13
onset,threat_c,14,1.4500000000000002,0.0364494696394455,1.0481875344530561e-08
onset,threat_c,15,1.55,0.041501520203780305,5.379243680251337e-19
onset,threat_c,16,1.6500000000000001,0.046596280003602684,5.186454728078115e-22
onset,threat_c,17,1.75,0.04635305427786165,9.829200725571288e-30
onset,threat_c,18,1.85,0.04531577763151666,1.6432764601481228e-18
onset,threat_c,19,1.9500000000000002,0.04355972463313236,4.604621763327108e-09
onset,threat_c,20,2.05,0.04609291690590422,2.728862078318947e-26
onset,threat_c,21,2.1500000000000004,0.05194632791854195,6.141410623236946e-12
onset,threat_c,22,2.25,0.05123135002000975,3.6041914842152915e-32
onset,threat_c,23,2.3500000000000005,0.04567620472699713,1.201787786784826e-09
onset,threat_c,24,2.45,0.04030109155915454,3.0258194008335305e-14
encounter,z_z,0,-1.95,0.03335345944480468,0.010853728334880068
encounter,z_z,1,-1.8499999999999999,0.03659844147354565,0.004925206195761475
encounter,z_z,2,-1.7499999999999998,0.03952236662409899,0.00210186385548333
encounter,z_z,3,-1.6499999999999997,0.04154632724509286,0.0011403863420814148
encounter,z_z,4,-1.5499999999999996,0.04298288560843922,0.000690316519285294
encounter,z_z,5,-1.4499999999999995,0.04335558548186711,0.0005562375677048148
encounter,z_z,6,-1.3499999999999994,0.04278896335818931,0.0005852811377811903
encounter,z_z,7,-1.2499999999999993,0.0416703632078299,0.000750549086212702
encounter,z_z,8,-1.1499999999999992,0.04129498052696657,0.0007638516968236096
encounter,z_z,9,-1.0499999999999992,0.041196855844455545,0.0006243485426988621
encounter,z_z,10,-0.9499999999999991,0.042174229812084275,0.00039138215734834726
encounter,z_z,11,-0.849999999999999,0.04187017024278199,0.0003906751974773647
encounter,z_z,12,-0.7499999999999989,0.040477422592039715,0.0005404098415252027
encounter,z_z,13,-0.6499999999999988,0.038078095390151605,0.0010438588976704618
encounter,z_z,14,-0.5499999999999987,0.03573152857822473,0.0018023942546154146
encounter,z_z,15,-0.4499999999999986,0.03301309247044902,0.0037790565688161875
encounter,z_z,16,-0.34999999999999853,0.03113738446096679,0.006307022293960749
encounter,z_z,17,-0.24999999999999845,0.02813637609402046,0.013560487162693523
encounter,z_z,18,-0.14999999999999836,0.0255709260480723,0.023882715042645677
encounter,z_z,19,-0.04999999999999827,0.018703750076476754,0.07074114192257391
encounter,z_z,20,0.05000000000000182,0.016833263160191847,0.10653530012337405
encounter,z_z,21,0.1500000000000019,0.013403777365824866,0.18708280605160188
encounter,z_z,22,0.250000000000002,0.012116693920708873,0.24144774449009665
encounter,z_z,23,0.3500000000000021,0.012439430958341364,0.2390563292362733
encounter,z_z,24,0.4500000000000022,0.012218616996520876,0.24904156733688554
encounter,z_z,25,0.5500000000000023,0.013047376848222094,0.2559380672306176
encounter,z_z,26,0.6500000000000024,0.010170893212242555,0.35992272270621106
encounter,z_z,27,0.7500000000000024,0.011027135236935135,0.3559770575019957
encounter,z_z,28,0.8500000000000025,0.010651730869697368,0.3544568418081402
encounter,z_z,29,0.9500000000000026,0.013580027481952616,0.25235868343297807
encounter,z_z,30,1.0500000000000027,0.01610440644226972,0.1931369111202904
encounter,z_z,31,1.1500000000000028,0.016554156534102093,0.17151982257901466
encounter,z_z,32,1.2500000000000029,0.017330785976078896,0.15105459394278514
encounter,z_z,33,1.350000000000003,0.017446382050597117,0.16578933575428823
encounter,z_z,34,1.450000000000003,0.016329671191305895,0.20848369582400617
encounter,z_z,35,1.5500000000000032,0.013837447446941806,0.303386007216212
encounter,z_z,36,1.6500000000000032,0.014406112208919566,0.28551869014705133
encounter,z_z,37,1.7500000000000033,0.015550384136755798,0.26285139769168175
encounter,z_z,38,1.8500000000000034,0.012805521670299814,0.36698502304465197
encounter,z_z,39,1.9500000000000035,0.01185931192090108,0.40829398037729825
encounter,kappa_z,0,-1.95,-0.02179509480170038,0.1005227505267496
encounter,kappa_z,1,-1.8499999999999999,-0.024226319954251174,0.06621204370157929
encounter,kappa_z,2,-1.7499999999999998,-0.025410569413020796,0.051058238633934834
encounter,kappa_z,3,-1.6499999999999997,-0.026385487218257328,0.04134587334299978
encounter,kappa_z,4,-1.5499999999999996,-0.028202445095668084,0.027868842478194468
encounter,kappa_z,5,-1.4499999999999995,-0.030016367099309365,0.018258764375727092
encounter,kappa_z,6,-1.3499999999999994,-0.029259661078061935,0.020275350732419886
encounter,kappa_z,7,-1.2499999999999993,-0.027331417284261365,0.029039462422944803
encounter,kappa_z,8,-1.1499999999999992,-0.02492001174812058,0.04482966916140142
encounter,kappa_z,9,-1.0499999999999992,-0.024852950601223243,0.04126284781996133
encounter,kappa_z,10,-0.9499999999999991,-0.02627119583648359,0.028864233711188618
encounter,kappa_z,11,-0.849999999999999,-0.029341911123027926,0.013911811650276293
encounter,kappa_z,12,-0.7499999999999989,-0.032572972051246624,0.005850379614935088
encounter,kappa_z,13,-0.6499999999999988,-0.033730568930287336,0.004038463833185584
encounter,kappa_z,14,-0.5499999999999987,-0.03193696833808028,0.005733041856233044
encounter,kappa_z,15,-0.4499999999999986,-0.030560270385463325,0.007914833708794098
encounter,kappa_z,16,-0.34999999999999853,-0.030563681323407983,0.007904925463285785
encounter,kappa_z,17,-0.24999999999999845,-0.03314743075415091,0.003952666745961083
encounter,kappa_z,18,-0.14999999999999836,-0.03638885661257498,0.0014434298732039547
encounter,kappa_z,19,-0.04999999999999827,-0.03466198368677691,0.0008971412689728257
encounter,kappa_z,20,0.05000000000000182,-0.03797457851674212,0.00030557471960075065
encounter,kappa_z,21,0.1500000000000019,-0.03911643845796317,0.00013415324535186678
encounter,kappa_z,22,0.250000000000002,-0.040309644933199676,0.00011097483283801344
encounter,kappa_z,23,0.3500000000000021,-0.042099360564399224,7.744852403061829e-05
encounter,kappa_z,24,0.4500000000000022,-0.04325607893001324,5.1635322640234885e-05
encounter,kappa_z,25,0.5500000000000023,-0.046107936371064154,6.858934640941572e-05
encounter,kappa_z,26,0.6500000000000024,-0.04528844889180025,5.255941791371209e-05
encounter,kappa_z,27,0.7500000000000024,-0.04759501370198748,7.786968096605517e-05
encounter,kappa_z,28,0.8500000000000025,-0.047541893574492206,4.1342019976624696e-05
encounter,kappa_z,29,0.9500000000000026,-0.047374697291441815,7.473449403006238e-05
encounter,kappa_z,30,1.0500000000000027,-0.04773370332227154,0.00013071685883677108
encounter,kappa_z,31,1.1500000000000028,-0.04931182814293254,5.3463242986460325e-05
encounter,kappa_z,32,1.2500000000000029,-0.05053440618795949,3.279424887314475e-05
encounter,kappa_z,33,1.350000000000003,-0.05172113667371763,4.599347209160687e-05
encounter,kappa_z,34,1.450000000000003,-0.05315675353462378,4.8868369536003204e-05
encounter,kappa_z,35,1.5500000000000032,-0.05316175900711474,8.810116634648681e-05
encounter,kappa_z,36,1.6500000000000032,-0.05418891602779576,6.757226416653231e-05
encounter,kappa_z,37,1.7500000000000033,-0.055273504600181794,7.884088544351064e-05
encounter,kappa_z,38,1.8500000000000034,-0.054462671619750165,0.00014143270697490262
encounter,kappa_z,39,1.9500000000000035,-0.05471698191032486,0.00015423157398201216
encounter,beta_z,0,-1.95,0.003547943708838327,0.7936798917929299
encounter,beta_z,1,-1.8499999999999999,0.002548915127894919,0.8498346792288871
encounter,beta_z,2,-1.7499999999999998,0.0022794707288597946,0.8612651625975057
encounter,beta_z,3,-1.6499999999999997,0.004465388882853495,0.7287473721093432
encounter,beta_z,4,-1.5499999999999996,0.005597763956831497,0.6599753086334272
encounter,beta_z,5,-1.4499999999999995,0.005665228058893756,0.6522541247646603
encounter,beta_z,6,-1.3499999999999994,0.00648538293837724,0.6018683838768639
encounter,beta_z,7,-1.2499999999999993,0.0066243585619379635,0.5914391857015113
encounter,beta_z,8,-1.1499999999999992,0.005988916680581425,0.624412664025084
encounter,beta_z,9,-1.0499999999999992,0.005412396686952652,0.6521893775378909
encounter,beta_z,10,-0.9499999999999991,0.005209386204491427,0.6606484166010029
encounter,beta_z,11,-0.849999999999999,0.004927189199760594,0.6757506891490475
encounter,beta_z,12,-0.7499999999999989,0.0035479963363824044,0.7610882192374497
encounter,beta_z,13,-0.6499999999999988,0.002521796887420492,0.8275891067278179
encounter,beta_z,14,-0.5499999999999987,0.003183767093067802,0.7803308640030338
encounter,beta_z,15,-0.4499999999999986,0.004871577692563005,0.6682442352745799
encounter,beta_z,16,-0.34999999999999853,0.007208861195737128,0.525751820033869
encounter,beta_z,17,-0.24999999999999845,0.011158878601833299,0.3256461414829408
encounter,beta_z,18,-0.14999999999999836,0.014840015554800162,0.18782656726312674
encounter,beta_z,19,-0.04999999999999827,0.014772671332930795,0.1506824112111728
encounter,beta_z,20,0.05000000000000182,0.01725593569101994,0.09574527559258307
encounter,beta_z,21,0.1500000000000019,0.01898732968092434,0.059733696644876585
encounter,beta_z,22,0.250000000000002,0.022747535296319964,0.026723792115105005
encounter,beta_z,23,0.3500000000000021,0.0254753153272876,0.015134920260479346
encounter,beta_z,24,0.4500000000000022,0.02621000527400704,0.012713629943623189
encounter,beta_z,25,0.5500000000000023,0.02724843700037255,0.016898921490558796
encounter,beta_z,26,0.6500000000000024,0.026358243221892383,0.016809287168797815
encounter,beta_z,27,0.7500000000000024,0.027204413491499487,0.02184795659509582
encounter,beta_z,28,0.8500000000000025,0.028795040917705295,0.011653374861506844
encounter,beta_z,29,0.9500000000000026,0.03229339122733038,0.006101294135394814
encounter,beta_z,30,1.0500000000000027,0.03361762933580583,0.006230006545438376
encounter,beta_z,31,1.1500000000000028,0.03322167630048003,0.005700555215477724
encounter,beta_z,32,1.2500000000000029,0.03347858353940214,0.005191052500776109
encounter,beta_z,33,1.350000000000003,0.03383228042404955,0.006778148328052931
encounter,beta_z,34,1.450000000000003,0.03442747268354236,0.007551696931784163
encounter,beta_z,35,1.5500000000000032,0.03099373349789661,0.020264384429937603
encounter,beta_z,36,1.6500000000000032,0.03058150076053045,0.022365220656734786
encounter,beta_z,37,1.7500000000000033,0.031291377573857686,0.02319054907486365
encounter,beta_z,38,1.8500000000000034,0.029712567798188455,0.034957757559978014
encounter,beta_z,39,1.9500000000000035,0.03124768453391898,0.02816095319701536
encounter,threat_c,0,-1.95,0.030998771371006477,4.124396889109639e-05
encounter,threat_c,1,-1.8499999999999999,0.02931769402372471,5.037239238162107e-05
encounter,threat_c,2,-1.7499999999999998,0.02312933963796227,0.0008991527985831615
encounter,threat_c,3,-1.6499999999999997,0.019514852066590222,0.0035121800973265394
encounter,threat_c,4,-1.5499999999999996,0.021086450618896913,0.001165050766082175
encounter,threat_c,5,-1.4499999999999995,0.021698270786437306,0.000637978802828383
encounter,threat_c,6,-1.3499999999999994,0.024168671194360204,8.66214032042826e-05
encounter,threat_c,7,-1.2499999999999993,0.02574831611624457,1.597666559756593e-05
encounter,threat_c,8,-1.1499999999999992,0.022652113016581515,0.00010997027426549406
encounter,threat_c,9,-1.0499999999999992,0.016719200914373053,0.0034448364957244547
encounter,threat_c,10,-0.9499999999999991,0.011106223935028994,0.044067702629715835
encounter,threat_c,11,-0.849999999999999,0.011356159339299746,0.033397922871540635
encounter,threat_c,12,-0.7499999999999989,0.014797078124653907,0.0043292042616360615
encounter,threat_c,13,-0.6499999999999988,0.017188508305290926,0.0007182987018635107
encounter,threat_c,14,-0.5499999999999987,0.013815435082476341,0.005526801920057449
encounter,threat_c,15,-0.4499999999999986,0.008193974372301136,0.09111259545266295
encounter,threat_c,16,-0.34999999999999853,0.008160864983338097,0.08830415531309366
encounter,threat_c,17,-0.24999999999999845,0.011344028023757129,0.017075644208234143
encounter,threat_c,18,-0.14999999999999836,0.01737442071425283,0.0002644649513779981
encounter,threat_c,19,-0.04999999999999827,0.020895530016883625,3.617796180326308e-06
encounter,threat_c,20,0.05000000000000182,0.017886467807648278,9.144715001840802e-05
encounter,threat_c,21,0.1500000000000019,0.01614172679465335,0.00024948254510205636
encounter,threat_c,22,0.250000000000002,0.016970353593218978,0.00013989368999452014
encounter,threat_c,23,0.3500000000000021,0.019859186465444757,1.1450152681412229e-05
encounter,threat_c,24,0.4500000000000022,0.0262404239359961,1.3806769525976818e-09
encounter,threat_c,25,0.5500000000000023,0.03737125447307878,1.9177917997049713e-14
encounter,threat_c,26,0.6500000000000024,0.03401770445968021,8.427888167012901e-15
encounter,threat_c,27,0.7500000000000024,0.03656156247278677,1.0264787309789218e-13
encounter,threat_c,28,0.8500000000000025,0.03491429154139074,3.9268632098133416e-15
encounter,threat_c,29,0.9500000000000026,0.03781496019257119,1.1963791793878988e-15
encounter,threat_c,30,1.0500000000000027,0.037560375567025295,7.280731253266048e-14
encounter,threat_c,31,1.1500000000000028,0.03457213990802385,5.511964985809996e-13
encounter,threat_c,32,1.2500000000000029,0.03310564140141902,4.0937143615337185e-13
encounter,threat_c,33,1.350000000000003,0.03679476348690752,1.7830996438423375e-14
encounter,threat_c,34,1.450000000000003,0.03663553313306589,4.1822017815419954e-14
encounter,threat_c,35,1.5500000000000032,0.03995192350064856,3.636620372255211e-15
encounter,threat_c,36,1.6500000000000032,0.04300923666325972,6.789496048926295e-19
encounter,threat_c,37,1.7500000000000033,0.04305890931568491,1.8455026941036208e-19
