subj,alpha_mcmc,alpha_mcmc_sd,delta_mcmc,delta_mcmc_sd
259,0.07745071,0.04459971,0.17961417,0.07626868
260,0.048003823,0.045978427,0.2449534,0.07860197
261,-0.06356924,0.046166304,0.36907014,0.079353325
262,0.21706268,0.045529425,0.20560901,0.07801764
263,0.09651626,0.046276476,0.048659038,0.07943293
264,-0.19378957,0.046304204,0.046835862,0.07874359
265,0.04163982,0.046653487,0.30233514,0.07917003
266,-0.07591031,0.045803536,0.31197384,0.07875328
267,-0.21319245,0.047141656,0.123313755,0.07936116
268,0.04353172,0.045613687,0.056729507,0.07907415
269,-0.010433421,0.045574836,0.35931548,0.07846475
270,0.23742977,0.045348518,0.14112651,0.077945836
271,-0.15720436,0.045128174,0.20918979,0.07657964
272,0.11803081,0.045399766,0.18165818,0.07847949
273,0.09324909,0.045428593,0.16398863,0.07777709
274,-0.035156194,0.045960095,0.33998656,0.07849692
275,0.008237698,0.045195177,0.2014866,0.076896876
276,-0.103021,0.046749488,0.06759675,0.07880525
277,-0.032523703,0.045618266,0.23682752,0.078406885
278,0.005678381,0.04704442,0.027664855,0.07853764
279,-0.17390546,0.046390664,0.18235804,0.07945184
280,-0.009160785,0.050427508,0.26184472,0.08540454
281,0.11522854,0.045508664,0.22908458,0.077608265
282,0.099093065,0.04536522,0.2081983,0.07757053
283,-0.19496836,0.04578997,0.3933132,0.078314774
284,0.18226643,0.045843534,0.016554838,0.07851043
285,-0.17306729,0.0461246,0.23136382,0.078970216
286,-0.056590993,0.045518007,0.13027528,0.07780262
287,-0.03967719,0.04656676,0.20552891,0.07958195
288,0.0076164673,0.044842158,0.13171892,0.07721711
289,-0.10285088,0.04523309,0.2840389,0.07755841
290,-0.10602955,0.046442658,0.1865074,0.0789562
291,-0.09149899,0.04532593,0.001352678,0.07801941
292,0.06704616,0.046148717,0.048705455,0.079377644
293,0.059142794,0.046114035,0.08944525,0.078380756
