rho_log_k_log_beta,rho_log_k_alpha,rho_log_k_delta,rho_log_beta_alpha,rho_log_beta_delta,rho_alpha_delta
-0.21853179,0.42084494,-0.7270921,-0.33220124,0.78947973,-0.2695499
-0.2219605,0.4186281,-0.7389494,-0.32840505,0.74941933,-0.19271618
-0.19118066,0.39762443,-0.6778215,-0.3506511,0.8170378,-0.27383333
-0.23305553,0.39353272,-0.7542008,-0.34840405,0.7647011,-0.23662762
-0.1599288,0.34056947,-0.7492184,-0.29517448,0.7354555,-0.20982787
-0.16522656,0.42827946,-0.7505003,-0.3414852,0.73082083,-0.2847295
-0.20044386,0.37084267,-0.76303613,-0.28269282,0.7225722,-0.15804379
-0.12686871,0.3868791,-0.71755207,-0.32894593,0.7293289,-0.22627471
-0.21593395,0.3750267,-0.7686517,-0.28588185,0.7386662,-0.18475455
-0.21141177,0.35498303,-0.7217144,-0.31831387,0.79658556,-0.25068846
-0.18877533,0.38446608,-0.77731305,-0.29408202,0.7265587,-0.24375096
-0.27158463,0.34393656,-0.7144884,-0.32471436,0.8221098,-0.17742881
-0.229751,0.39403635,-0.73205006,-0.3758857,0.7981603,-0.2947443
-0.1624531,0.363215,-0.6824949,-0.3449485,0.77447677,-0.18999454
-0.14995673,0.38384444,-0.74414206,-0.2693117,0.73378986,-0.2236394
-0.2225757,0.39489052,-0.7686783,-0.29378995,0.71060723,-0.13449726
-0.27713546,0.39536223,-0.7854382,-0.34515592,0.7923484,-0.3235339
-0.20985484,0.40281913,-0.6889382,-0.34363514,0.801063,-0.21763109
-0.26397872,0.3897279,-0.7794859,-0.30687195,0.7764909,-0.24779893
-0.07057361,0.41260934,-0.71974397,-0.30080426,0.6793134,-0.21831661
-0.05641907,0.33118588,-0.75294936,-0.27113995,0.6454437,-0.16747381
-0.16563636,0.38222548,-0.7116789,-0.36002293,0.75809896,-0.23926562
-0.2573424,0.36629024,-0.72291464,-0.34396502,0.80008346,-0.19023412
-0.0979039,0.35002387,-0.7178031,-0.32924616,0.7394997,-0.29673034
-0.31738317,0.43514895,-0.81833553,-0.32325745,0.7092938,-0.16558126
-0.09774346,0.36113495,-0.66142166,-0.32900858,0.7606116,-0.20721172
-0.19347326,0.33322528,-0.7374854,-0.29745474,0.72693145,-0.09926948
-0.1508695,0.37841904,-0.77476346,-0.32991862,0.70126307,-0.2603346
-0.14881898,0.40261775,-0.7428233,-0.30541143,0.72109276,-0.22612563
-0.21315116,0.3993994,-0.7867528,-0.33217767,0.72141004,-0.24682824
-0.21068472,0.38105613,-0.7474429,-0.33100277,0.77119774,-0.25873315
-0.20234616,0.35556972,-0.74045414,-0.34541935,0.74410284,-0.18293005
-0.15182309,0.43008482,-0.75326216,-0.33736855,0.7105449,-0.26633024
-0.1291887,0.3847298,-0.75300187,-0.27606213,0.6954891,-0.19700731
-0.15684801,0.38092422,-0.70743054,-0.3446854,0.74165106,-0.19114709
-0.22887604,0.37416565,-0.71164674,-0.34674305,0.79163194,-0.19682585
-0.14267246,0.3406143,-0.7200022,-0.29189584,0.7384371,-0.18400963
-0.25151196,0.3819693,-0.7445704,-0.34603068,0.78317666,-0.23290336
-0.29539442,0.42092144,-0.79395896,-0.3256656,0.78099436,-0.28341585
-0.22798905,0.42475235,-0.7367996,-0.37269258,0.7910095,-0.3109359
-0.23046951,0.3884291,-0.7770496,-0.33117115,0.7460029,-0.23628937
-0.26360655,0.41604894,-0.7806763,-0.3659392,0.7688383,-0.28978872
-0.16242395,0.43365875,-0.7732652,-0.2952397,0.6904818,-0.23258188
-0.21933302,0.40023345,-0.72746474,-0.34980452,0.758081,-0.18725422
-0.16300358,0.4301247,-0.7520266,-0.33440942,0.72822267,-0.28425404
-0.16688919,0.3458327,-0.7156816,-0.3170343,0.77059376,-0.2334711
-0.2787232,0.4291138,-0.7930337,-0.35001707,0.74639446,-0.2416773
-0.23754461,0.39837614,-0.76633537,-0.32979128,0.75422186,-0.2259447
-0.084690735,0.33114073,-0.73272187,-0.26310822,0.6725459,-0.11989015
-0.20696943,0.35883194,-0.745249,-0.34067237,0.7395315,-0.17495605
-0.07800344,0.36029717,-0.6621709,-0.30331424,0.7628433,-0.23601049
-0.24567987,0.3550105,-0.76617044,-0.3170664,0.71762353,-0.095950365
-0.2290003,0.38295835,-0.7739181,-0.33519334,0.77097833,-0.30523604
-0.192897,0.3623241,-0.7204555,-0.32875186,0.779096,-0.2313407
-0.17988735,0.37892494,-0.7811465,-0.32016665,0.71603554,-0.25510842
-0.09577354,0.36213633,-0.6959311,-0.28391993,0.7519166,-0.24274261
-0.25342086,0.37379956,-0.76656234,-0.35105383,0.7849058,-0.27929688
-0.19349079,0.38688892,-0.68451995,-0.3622392,0.81293887,-0.27359116
-0.28428462,0.39958602,-0.73348564,-0.38346994,0.8326848,-0.309935
-0.16119507,0.36040238,-0.71038806,-0.31786624,0.78171223,-0.262164
-0.21553311,0.3128856,-0.71656466,-0.35428563,0.8045738,-0.23619394
-0.23812312,0.3881969,-0.771468,-0.3233596,0.7450117,-0.2029372
-0.20174938,0.3674367,-0.73153305,-0.33708465,0.766593,-0.21361662
-0.12354489,0.42412326,-0.70531934,-0.30277333,0.7188768,-0.1917738
-0.3039605,0.36103672,-0.7519092,-0.31510982,0.8091434,-0.17711626
-0.27466097,0.43818414,-0.7374658,-0.39424655,0.8043366,-0.2901554
-0.13665143,0.37675977,-0.72499293,-0.32552943,0.7479914,-0.2772827
-0.19922951,0.3715485,-0.75750726,-0.34127012,0.7260648,-0.19730987
-0.27315927,0.3323333,-0.74986297,-0.36570242,0.7915382,-0.19859712
-0.2728919,0.43499374,-0.6983947,-0.40449142,0.8523196,-0.34315372
-0.19915347,0.34469393,-0.7277209,-0.32766736,0.79348296,-0.2667553
-0.3001134,0.4203168,-0.7419145,-0.40128168,0.78389496,-0.20930475
-0.27511746,0.39036286,-0.702402,-0.40867686,0.78129244,-0.15411103
-0.19773641,0.34226757,-0.6618797,-0.34205705,0.84564716,-0.27919292
-0.1407271,0.36491513,-0.75697327,-0.30745852,0.71183664,-0.22986357
-0.1517092,0.3273666,-0.6776115,-0.35479948,0.7886666,-0.21951021
-0.19216779,0.41788816,-0.72093534,-0.36194354,0.74840516,-0.2159276
-0.25392732,0.3810931,-0.766256,-0.3266054,0.7788305,-0.24582148
-0.18702218,0.42943066,-0.7689235,-0.31087357,0.7216728,-0.2510419
-0.17321154,0.4248335,-0.7253468,-0.32434556,0.7385143,-0.21580908
-0.294753,0.42032173,-0.7510737,-0.35947323,0.7854825,-0.20755064
-0.25796434,0.39846504,-0.7571249,-0.33177474,0.76895094,-0.20335588
-0.1831085,0.4156758,-0.7231703,-0.32567516,0.71565926,-0.15118277
