rho_log_k_log_beta,rho_log_k_alpha,rho_log_k_delta,rho_log_beta_alpha,rho_log_beta_delta,rho_alpha_delta
-0.20047235,0.36928752,-0.73438376,-0.31569865,0.7522464,-0.17266348
-0.12694858,0.3871821,-0.6931071,-0.3313201,0.7767656,-0.30663317
-0.27256128,0.35591212,-0.72374254,-0.33890554,0.84287626,-0.28821656
-0.17054549,0.40039203,-0.7426727,-0.3504153,0.738019,-0.25782084
-0.22134046,0.3167064,-0.6814408,-0.34601292,0.8169775,-0.17938016
-0.08004664,0.46558872,-0.6736623,-0.30962244,0.75020605,-0.30289233
-0.11626937,0.41375652,-0.68063486,-0.33568195,0.7476913,-0.22940442
-0.12820692,0.33177325,-0.71161145,-0.29298013,0.741109,-0.17291817
-0.06588803,0.4145423,-0.70472586,-0.2799641,0.69514096,-0.21006967
-0.1311099,0.41439477,-0.68310416,-0.3360642,0.759286,-0.23683299
-0.2296526,0.41030887,-0.7549572,-0.35988462,0.74677634,-0.22435595
-0.12153555,0.33207554,-0.7201119,-0.32096595,0.74697006,-0.25188816
-0.08623673,0.34667805,-0.731773,-0.30224544,0.7029614,-0.22671793
-0.1827691,0.4120312,-0.7793801,-0.33466065,0.7042295,-0.2489504
-0.17119843,0.35825777,-0.7096694,-0.33010742,0.79784214,-0.30698922
-0.26867214,0.47402626,-0.77674073,-0.36712235,0.7253479,-0.22346556
-0.27110946,0.36971432,-0.7126195,-0.3724606,0.82145065,-0.22254132
-0.25764453,0.39397016,-0.7166655,-0.37021822,0.7800306,-0.16953874
-0.1475141,0.43018833,-0.73754764,-0.32628387,0.7491912,-0.3255781
-0.1553819,0.39688694,-0.7467813,-0.33984137,0.7261145,-0.25707728
-0.11689519,0.37836778,-0.7675738,-0.28276372,0.6899792,-0.24660425
-0.17951298,0.39975294,-0.7141569,-0.34544623,0.7594491,-0.22202952
-0.10925223,0.46893784,-0.7579907,-0.29911834,0.6587189,-0.24718606
-0.1780421,0.378289,-0.7010289,-0.3362986,0.7984207,-0.27783248
-0.10665681,0.36745784,-0.682114,-0.34504274,0.763114,-0.26421735
-0.094151124,0.3113634,-0.6962774,-0.28600964,0.753697,-0.22264771
-0.13438848,0.39347026,-0.74687445,-0.27938056,0.7035161,-0.19596031
-0.22495078,0.35881993,-0.7263872,-0.3105737,0.8098954,-0.2571905
-0.16018124,0.43528363,-0.71671385,-0.33745784,0.76050985,-0.28617674
-0.16774428,0.3763215,-0.7311809,-0.34206778,0.76599604,-0.28799942
-0.34830064,0.34968907,-0.74732685,-0.35909387,0.8458053,-0.22518082
-0.13477142,0.34743184,-0.7201844,-0.34418014,0.74087876,-0.2444744
-0.17874165,0.39354873,-0.77726877,-0.3160444,0.72128046,-0.26577985
-0.26073438,0.4034274,-0.7747565,-0.37367877,0.7762277,-0.29295623
-0.12312461,0.2968358,-0.67794275,-0.2892997,0.7718147,-0.15701261
-0.17893434,0.36262447,-0.7368574,-0.33463442,0.7698299,-0.2800333
-0.12426448,0.39070064,-0.7158016,-0.30990323,0.75167537,-0.280987
-0.13976164,0.35864744,-0.6693055,-0.3349466,0.7855907,-0.21983075
-0.22246756,0.41130912,-0.72288597,-0.36498976,0.7939767,-0.2791425
-0.1612228,0.37928522,-0.7402758,-0.3171565,0.7410991,-0.23967743
-0.13840464,0.41040757,-0.7469549,-0.30219993,0.73139,-0.29105768
-0.15618487,0.38618693,-0.68851405,-0.33746523,0.74461144,-0.1563178
-0.1998196,0.3568528,-0.71194845,-0.3431902,0.7773674,-0.19702777
-0.27368388,0.38136354,-0.72111267,-0.38460976,0.8147316,-0.2367616
-0.07196814,0.38778186,-0.7490026,-0.3091434,0.69099975,-0.31937432
-0.21315588,0.38980925,-0.73113143,-0.33452758,0.7840662,-0.252323
-0.087563194,0.3406209,-0.72343135,-0.32726637,0.7178968,-0.2794624
-0.1610093,0.3450177,-0.7039844,-0.34359127,0.7524332,-0.17762473
-0.1956098,0.42669892,-0.7591822,-0.30696988,0.69087106,-0.15145859
-0.035609495,0.37326768,-0.7022537,-0.26791814,0.65970814,-0.14079064
-0.16424572,0.35056382,-0.71169513,-0.30711484,0.78495336,-0.2586441
-0.17722194,0.4056084,-0.7082782,-0.3267408,0.7683316,-0.22486639
-0.1385112,0.3452591,-0.7368572,-0.31803596,0.7428297,-0.2577322
-0.22251344,0.40731362,-0.68475926,-0.36937684,0.82655305,-0.28031248
-0.30003923,0.36380726,-0.7322628,-0.3632465,0.8113625,-0.18778037
-0.07324939,0.32641345,-0.70120704,-0.2889695,0.69771683,-0.13555396
-0.10357788,0.375722,-0.71182144,-0.30614412,0.7117805,-0.18876153
-0.13332556,0.38208082,-0.7620257,-0.28430676,0.6849533,-0.1920708
-0.16684368,0.3403337,-0.7046821,-0.3264779,0.78374016,-0.23748894
-0.14371575,0.36519542,-0.7732666,-0.28085333,0.6619065,-0.13979012
-0.18329,0.36982536,-0.68546873,-0.35752413,0.7579294,-0.14741313
-0.17283858,0.43196878,-0.6785983,-0.37947994,0.79142106,-0.28144866
-0.19742176,0.3667672,-0.7448623,-0.35219854,0.74910617,-0.21943846
-0.15245669,0.372064,-0.71472186,-0.32440132,0.7344792,-0.17663962
-0.18143167,0.4179128,-0.76048803,-0.33121702,0.7289151,-0.26731458
-0.22001766,0.43298605,-0.70714253,-0.31849685,0.75183845,-0.14269137
-0.1928848,0.40990075,-0.70334655,-0.376385,0.77018625,-0.23243973
-0.19076245,0.38474748,-0.77181,-0.2945993,0.7230719,-0.21286732
-0.08347256,0.34358245,-0.70791423,-0.28777498,0.7193836,-0.19672713
-0.21331705,0.37406835,-0.7137048,-0.3314522,0.7954797,-0.22488563
-0.14990474,0.31003734,-0.739247,-0.28749493,0.7400935,-0.18383525
-0.18535319,0.37555137,-0.73972654,-0.33314267,0.75641334,-0.24867111
-0.1872341,0.3602911,-0.7671873,-0.32613873,0.73381716,-0.23811983
-0.19690146,0.3901563,-0.74508417,-0.35363576,0.7526678,-0.24739976
-0.2978237,0.39514074,-0.7771222,-0.3529874,0.7975184,-0.2810465
-0.17906378,0.38759926,-0.7312284,-0.3439162,0.75855845,-0.25196713
-0.23332924,0.40285376,-0.780037,-0.33281636,0.7335801,-0.22799113
-0.251375,0.4096877,-0.72594404,-0.36850876,0.79898024,-0.2545699
-0.16992003,0.40737393,-0.73384607,-0.3031891,0.7545694,-0.25109673
-0.07369402,0.3922096,-0.732852,-0.285914,0.6738686,-0.20650327
-0.22411667,0.40180603,-0.74191946,-0.3623355,0.74598783,-0.19531307
-0.13557032,0.3862856,-0.7302766,-0.3164029,0.74256265,-0.27319944
-0.16167,0.38913855,-0.7752324,-0.35456067,0.7200999,-0.3176753
-0.081065394,0.4286023,-0.7462915,-0.3071192,0.6735521,-0.27231526
-0.0626874,0.3378875,-0.6684599,-0.30341616,0.7264553,-0.16288981
-0.14752609,0.38181987,-0.7208182,-0.33848065,0.74495894,-0.23881324
-0.25949287,0.39225802,-0.749284,-0.37253892,0.79720134,-0.2783904
-0.20407747,0.35751462,-0.6970771,-0.33836684,0.8054182,-0.22547004
-0.28446424,0.35749462,-0.7222987,-0.36522064,0.8321228,-0.23728251
-0.16537069,0.37402898,-0.7005872,-0.32041153,0.76333636,-0.18698423
-0.144281,0.3462628,-0.71373856,-0.34035176,0.76631474,-0.26638186
-0.10173776,0.3910301,-0.71916395,-0.33566055,0.69619614,-0.2074042
-0.08034046,0.3746548,-0.6439197,-0.31594944,0.78588337,-0.27073795
-0.28310105,0.39685994,-0.7790468,-0.38749287,0.77714777,-0.26954055
-0.1422259,0.4175587,-0.7002811,-0.3351192,0.7615945,-0.2632224
-0.14116243,0.36019164,-0.7255344,-0.27599692,0.74309987,-0.1991786
-0.21536385,0.33910367,-0.7212016,-0.32435337,0.7728539,-0.15706083
-0.14585483,0.38121715,-0.7626782,-0.25769705,0.71861315,-0.23715894
-0.16487001,0.4033874,-0.7463284,-0.331701,0.7304621,-0.24708131
-0.25622055,0.38348225,-0.6993589,-0.35278264,0.76605564,-0.0988439
-0.21437469,0.40308297,-0.72410864,-0.36222425,0.79091203,-0.27969503
-0.23691252,0.38380283,-0.7363318,-0.32141677,0.77356386,-0.18241191
-0.24753438,0.37028933,-0.6612171,-0.3375575,0.84748363,-0.19911103
-0.18506633,0.41327572,-0.7366517,-0.34107444,0.74818414,-0.24460033
-0.22715919,0.35578248,-0.6521469,-0.3484572,0.791476,-0.08316341
-0.19066912,0.3704018,-0.7204914,-0.32834214,0.7723934,-0.21589711
-0.118880965,0.37035292,-0.65198636,-0.34338492,0.77027833,-0.19329599
-0.16496846,0.38800418,-0.7394994,-0.30809394,0.71945703,-0.17807007
-0.17644851,0.3344933,-0.7213547,-0.311267,0.7626669,-0.18308955
-0.19976768,0.3896368,-0.6924801,-0.37131506,0.7946304,-0.23847696
-0.24882314,0.416777,-0.7294788,-0.38972458,0.767854,-0.21001491
-0.1885604,0.37350565,-0.72226554,-0.3056986,0.74828184,-0.15657839
-0.067864776,0.37076178,-0.68311256,-0.32990667,0.7302026,-0.25007477
-0.14066055,0.40049052,-0.7253258,-0.3190908,0.6924249,-0.14849895
-0.27733752,0.40501285,-0.7823595,-0.37767354,0.7739892,-0.29014236
-0.08561725,0.35442042,-0.694596,-0.29099366,0.7464402,-0.24873386
-0.21180697,0.33583415,-0.70605683,-0.3282323,0.8223973,-0.27526504
-0.13439381,0.35671264,-0.7234383,-0.3088014,0.68190336,-0.09414849
-0.2162601,0.3999346,-0.73842025,-0.35634536,0.7535342,-0.20946872
-0.2951662,0.37009475,-0.7475556,-0.35680193,0.8100772,-0.2191893
-0.11073795,0.41467923,-0.7576104,-0.32541418,0.659906,-0.22086823
-0.28281745,0.45315152,-0.73450965,-0.37114316,0.7913696,-0.23292294
-0.26372996,0.3652077,-0.7249297,-0.3661809,0.8264923,-0.27322567
-0.1001565,0.365207,-0.76402324,-0.29045781,0.6949781,-0.29630518
-0.22947395,0.41656497,-0.7057609,-0.39964452,0.7893193,-0.24519038
-0.14408004,0.38814917,-0.73790956,-0.3514377,0.72960204,-0.26710033
-0.20583875,0.43428338,-0.7552676,-0.32350996,0.74025816,-0.23968539
-0.1397712,0.3328866,-0.694803,-0.35834193,0.77462083,-0.25302345
-0.20552298,0.38812494,-0.742547,-0.3288468,0.7735386,-0.26148796
-0.19696288,0.4124637,-0.6997919,-0.33311436,0.7900499,-0.23985843
-0.22858569,0.38420522,-0.73493105,-0.3358889,0.7909974,-0.24992731
-0.33338368,0.4102111,-0.7518142,-0.4052055,0.82175183,-0.2564332
-0.23437683,0.37939382,-0.69209546,-0.3770657,0.8097328,-0.21710186
-0.1322851,0.3936592,-0.7260916,-0.3182592,0.7355405,-0.26016617
-0.19392814,0.37984917,-0.7201085,-0.3538658,0.7553388,-0.19640312
-0.0960724,0.34255877,-0.7153001,-0.29514337,0.7046429,-0.16834769
-0.17319584,0.36963773,-0.6551591,-0.37687913,0.7762574,-0.1612218
-0.1948621,0.33030456,-0.70379037,-0.3204272,0.7623863,-0.11639276
-0.14893259,0.3471132,-0.7446154,-0.3125408,0.69745487,-0.14217573
-0.14544395,0.3666073,-0.69428605,-0.32086006,0.7654024,-0.20733689
-0.14237988,0.36843273,-0.6963215,-0.32916743,0.77868927,-0.26833043
-0.14896066,0.36938965,-0.70487094,-0.32321408,0.7802663,-0.27647555
-0.25424826,0.4100262,-0.79467595,-0.33820304,0.7260846,-0.21854855
-0.27099213,0.32429096,-0.7392354,-0.33249724,0.81791586,-0.22144517
-0.19637796,0.39983577,-0.69533753,-0.3583302,0.7865616,-0.22801551
-0.16070624,0.35009414,-0.719957,-0.33771005,0.76855046,-0.25514334
-0.17640047,0.44140282,-0.74453026,-0.35482717,0.740035,-0.29034996
-0.16422784,0.36451492,-0.7134527,-0.3090028,0.77086264,-0.22746716
-0.22224724,0.42516166,-0.74777246,-0.3187222,0.7333692,-0.17258328
-0.20885152,0.40654957,-0.79010344,-0.30105188,0.7016047,-0.20586537
-0.22029705,0.40291828,-0.74862283,-0.34720644,0.75227237,-0.21924132
-0.24608508,0.3498183,-0.72299045,-0.34781894,0.8079381,-0.22325766
-0.09579775,0.40035233,-0.71260417,-0.32564372,0.7364432,-0.30652028
-0.2602482,0.38459852,-0.7147405,-0.35801625,0.8074626,-0.20620564
-0.22804423,0.42093843,-0.75308025,-0.35476017,0.75794256,-0.2532849
-0.18341032,0.40957832,-0.7932223,-0.3130143,0.7067505,-0.2783062
-0.04140861,0.36173922,-0.66560197,-0.3213608,0.7287404,-0.23592316
-0.2714648,0.36055985,-0.6928707,-0.37153333,0.8272109,-0.19396973
-0.14994016,0.33401892,-0.68973136,-0.30428398,0.7916133,-0.2358381
-0.22322923,0.38754994,-0.708439,-0.41137323,0.7957787,-0.266897
-0.118420295,0.3671492,-0.74461323,-0.31038958,0.71144277,-0.2450136
-0.16419548,0.41072926,-0.7203381,-0.32081386,0.7569876,-0.24749629
-0.25410494,0.4031382,-0.7113867,-0.37922296,0.80989313,-0.24581546
-0.20197177,0.37296188,-0.71800923,-0.33168197,0.7707081,-0.19267587
-0.24932231,0.3928471,-0.777363,-0.29578847,0.77495146,-0.26366174
-0.13827808,0.39525622,-0.7074455,-0.3289514,0.7650219,-0.28968316
-0.21890977,0.37848046,-0.7771066,-0.32366452,0.7357717,-0.22229457
-0.23198523,0.43923402,-0.79058623,-0.3674588,0.72208244,-0.27740002
-0.13445905,0.33757374,-0.7337095,-0.3068554,0.73622894,-0.2275446
-0.12606654,0.41932613,-0.71120584,-0.31661624,0.7411231,-0.26600534
-0.23452845,0.4026004,-0.7367314,-0.33262342,0.78718734,-0.24261034
-0.2803454,0.42627802,-0.7391998,-0.37933773,0.79072815,-0.23260908
-0.1454561,0.34911367,-0.7145931,-0.27124286,0.7568436,-0.1896985
-0.25632277,0.38299865,-0.7296631,-0.38658273,0.8091603,-0.27228707
-0.16646464,0.37195358,-0.7243233,-0.31430686,0.7624315,-0.23539923
-0.23149157,0.30308652,-0.7384211,-0.31494752,0.80260086,-0.2255319
-0.23980187,0.44183642,-0.77162945,-0.34373438,0.7653525,-0.30344808
-0.2083223,0.38374138,-0.74303037,-0.34551173,0.7220116,-0.15029839
-0.12916428,0.4149827,-0.7790757,-0.29480097,0.6701037,-0.24592632
-0.15688732,0.3635444,-0.6972414,-0.28886005,0.7792389,-0.20741168
-0.1994622,0.43626505,-0.71191394,-0.37034667,0.7733228,-0.26072115
-0.1725984,0.34462836,-0.71660155,-0.32151753,0.7878832,-0.26889157
-0.3222421,0.40698612,-0.77039546,-0.3558664,0.8161955,-0.2683214
-0.15149796,0.37732303,-0.7317833,-0.29427737,0.7352516,-0.20159869
-0.23337255,0.38825822,-0.6976052,-0.3610442,0.7868375,-0.17136472
-0.13550587,0.32603133,-0.70914054,-0.31755948,0.741359,-0.1741438
-0.24322878,0.42900905,-0.7482853,-0.35708314,0.7496178,-0.20494261
-0.22684066,0.44395834,-0.7306003,-0.3662879,0.77130127,-0.26099804
-0.22791803,0.3849528,-0.7593442,-0.33533654,0.7626514,-0.24237037
-0.14291182,0.33702046,-0.7326152,-0.28659928,0.74776703,-0.22408432
-0.069191314,0.3583721,-0.7431695,-0.30522045,0.67918134,-0.24255675
-0.25100902,0.39778557,-0.7390064,-0.34222472,0.7888636,-0.228998
-0.14168118,0.38562667,-0.7704527,-0.29550037,0.6985667,-0.24428801
-0.1566779,0.37603506,-0.738138,-0.30765164,0.7208981,-0.19202636
-0.19097358,0.38557488,-0.6989664,-0.35578406,0.7887496,-0.23907453
-0.20800358,0.41532317,-0.71400243,-0.3271613,0.7936802,-0.2623429
-0.087260306,0.3714359,-0.6786639,-0.3179627,0.75039685,-0.2419343
-0.3063571,0.4040773,-0.75967103,-0.3967987,0.80314255,-0.26260135
-0.19557929,0.41369727,-0.73880076,-0.35282958,0.77164936,-0.30115312
-0.1450865,0.43751663,-0.7734734,-0.2596104,0.6724508,-0.20257035
-0.28666118,0.41990256,-0.80252254,-0.34010288,0.7667601,-0.28997618
-0.22091772,0.34706312,-0.6985152,-0.3156008,0.81818056,-0.2154972
-0.16672695,0.38120973,-0.7059496,-0.3282528,0.7654282,-0.21320009
-0.23287477,0.41058436,-0.7274542,-0.39209217,0.737844,-0.1685136
-0.1720813,0.391247,-0.76938826,-0.30669278,0.7013436,-0.20040399
-0.35197142,0.35120067,-0.72427934,-0.38887966,0.86675715,-0.24567783
-0.28576294,0.41886964,-0.79963726,-0.3659576,0.7837787,-0.34889644
-0.2390922,0.35775325,-0.69233006,-0.34761402,0.8350661,-0.2464545
-0.18092316,0.39014125,-0.77118635,-0.3077375,0.7281242,-0.25457668
-0.16270371,0.4071482,-0.7363368,-0.30546167,0.73881906,-0.23045872
-0.12818229,0.39396626,-0.7125743,-0.29567808,0.6796149,-0.09741852
-0.18124004,0.38585863,-0.7165612,-0.31547529,0.7737992,-0.22708704
-0.24413198,0.39436832,-0.7694996,-0.3502093,0.77195674,-0.27673763
-0.17223315,0.41762486,-0.74358296,-0.29635495,0.7534109,-0.2732585
-0.23959808,0.35698527,-0.7162799,-0.37459874,0.7831534,-0.1783002
-0.1171356,0.3484031,-0.7271537,-0.31428578,0.74316156,-0.2793061
-0.12365716,0.41078067,-0.7238978,-0.29310113,0.728227,-0.2387398
-0.19295837,0.41564307,-0.72549415,-0.3543079,0.7749478,-0.2878397
-0.1832246,0.42435625,-0.75214106,-0.3369826,0.7037774,-0.19601119
-0.24262173,0.43239388,-0.68676805,-0.39302814,0.7951968,-0.21240982
-0.21256256,0.40723976,-0.74716383,-0.33592314,0.76206434,-0.24721958
-0.18730383,0.35057887,-0.7195248,-0.33613455,0.7937208,-0.28709364
-0.22250135,0.35100412,-0.756349,-0.3467351,0.78266704,-0.28361782
-0.18703102,0.37151638,-0.7382849,-0.36243933,0.754907,-0.24819474
-0.13406175,0.39475074,-0.7371792,-0.31463122,0.718182,-0.23229934
-0.19056989,0.40514952,-0.76060474,-0.2948422,0.76237845,-0.31242657
-0.2454151,0.36214814,-0.7483087,-0.34311342,0.78600085,-0.22801113
-0.20946354,0.3594075,-0.7194623,-0.32350075,0.76456326,-0.15440708
-0.24309136,0.3894572,-0.75617194,-0.33485502,0.7490358,-0.17663443
-0.16162089,0.40495428,-0.77024955,-0.30148992,0.72659904,-0.29527658
-0.18527879,0.36145157,-0.6873347,-0.34585053,0.77688557,-0.16976622
-0.2726586,0.35277212,-0.7305798,-0.30287105,0.78373003,-0.107655704
-0.1130511,0.37531158,-0.68701535,-0.33631217,0.7590171,-0.25051963
-0.20081846,0.40134722,-0.71578187,-0.33708498,0.74779636,-0.16324174
-0.21512613,0.4181023,-0.74094397,-0.3567441,0.7212318,-0.17147166
-0.21216433,0.39828223,-0.6851317,-0.40097505,0.78709215,-0.21569428
-0.13461287,0.37541202,-0.72404987,-0.35306403,0.7425422,-0.27630997
-0.21542045,0.38971946,-0.72532403,-0.33682328,0.7327806,-0.12672195
-0.22637643,0.38092023,-0.76634467,-0.35294557,0.76919246,-0.29532617
-0.22659962,0.40231833,-0.73586094,-0.34675068,0.77464485,-0.23103969
-0.18679383,0.38425338,-0.7314416,-0.30398428,0.75951684,-0.20753492
-0.3440451,0.404868,-0.7308626,-0.37352234,0.8299616,-0.19484028
-0.29073167,0.4469437,-0.76243395,-0.34949923,0.7649907,-0.20650324
-0.24921697,0.38037938,-0.7724986,-0.31656215,0.7849143,-0.28526375
-0.1860976,0.45256138,-0.77598584,-0.3032778,0.71035063,-0.27231053
-0.1746942,0.395436,-0.7585134,-0.30391562,0.72401226,-0.22161244
-0.17676815,0.37894553,-0.7352183,-0.35705853,0.75043404,-0.24957965
-0.24593727,0.41665223,-0.7360603,-0.33753598,0.7825028,-0.22175813
-0.25426182,0.37634602,-0.7446352,-0.3797579,0.8144523,-0.3259648
-0.22716306,0.3952385,-0.74931186,-0.39010638,0.7693606,-0.27491388
-0.1992636,0.397064,-0.7559572,-0.35967228,0.7504014,-0.27632907
-0.1489974,0.35364145,-0.7408877,-0.29878795,0.7121612,-0.15993461
-0.10154065,0.3875374,-0.73288924,-0.31786123,0.69572467,-0.226116
-0.17698841,0.3925127,-0.76709676,-0.33343264,0.7308807,-0.27840424
-0.2137618,0.36812183,-0.70464313,-0.34173337,0.7890731,-0.19117482
-0.15511686,0.3746176,-0.6916231,-0.3331808,0.77459925,-0.22241424
-0.20305263,0.4320417,-0.75929517,-0.3249315,0.70034695,-0.17749673
-0.24506365,0.398178,-0.75962216,-0.37835777,0.7781886,-0.28990874
-0.20187809,0.4048762,-0.7215323,-0.3274681,0.76580596,-0.2118565
-0.14228658,0.39865857,-0.7052911,-0.36567095,0.75503385,-0.27038902
-0.12133064,0.4032748,-0.73874277,-0.30818975,0.6371648,-0.107548624
-0.11345855,0.37396115,-0.67803,-0.32941356,0.75954074,-0.22334868
-0.2912051,0.36725894,-0.7160669,-0.35604227,0.80404294,-0.14581886
-0.070141524,0.31927976,-0.6009794,-0.34941596,0.8050853,-0.23780364
-0.21672224,0.4149541,-0.73830277,-0.382923,0.7716848,-0.2874434
-0.19823034,0.41075882,-0.7073711,-0.34992906,0.7677348,-0.20859024
-0.19292226,0.3638454,-0.76281863,-0.26736104,0.7382746,-0.19920601
-0.3424018,0.33915168,-0.79012233,-0.32471064,0.8221822,-0.24516684
-0.2893195,0.40024477,-0.77144885,-0.39107502,0.78872186,-0.27574688
-0.21226563,0.41413906,-0.67806685,-0.3709149,0.78797615,-0.19443932
-0.1785877,0.3878391,-0.66662717,-0.32527435,0.7756341,-0.14064306
-0.19282871,0.3501911,-0.68815947,-0.35140997,0.79420406,-0.19798414
-0.23687409,0.35397997,-0.7000935,-0.33528742,0.81504625,-0.202244
-0.099164546,0.40698338,-0.7341793,-0.29640222,0.68706924,-0.21156156
-0.11389036,0.4034139,-0.7709809,-0.3054897,0.6606969,-0.22806731
-0.14776339,0.35995337,-0.6752059,-0.31617934,0.78639704,-0.21865477
-0.2305847,0.4006777,-0.7101332,-0.39717782,0.77514625,-0.2086105
-0.22464535,0.41153726,-0.7061304,-0.3746219,0.7757746,-0.2086004
-0.12827781,0.35777664,-0.75729716,-0.29913542,0.6851476,-0.19099309
-0.26102492,0.4383398,-0.7418506,-0.35710052,0.7293351,-0.14076313
-0.16182841,0.3989114,-0.69604254,-0.362404,0.78484595,-0.28965133
-0.15408854,0.40079418,-0.76899743,-0.34692156,0.7143395,-0.3024858
-0.2368349,0.44377702,-0.7959447,-0.34878588,0.7141853,-0.25870985
-0.12109473,0.4367332,-0.7406455,-0.34030214,0.7208049,-0.3264305
-0.2046931,0.45109856,-0.7836626,-0.3488205,0.70518696,-0.26756206
-0.14053898,0.36189756,-0.66463876,-0.33886188,0.77861273,-0.19381784
-0.16788998,0.3957393,-0.74717516,-0.35804865,0.7282028,-0.2551263
-0.18951346,0.34854504,-0.68818617,-0.3675838,0.7909663,-0.20802194
-0.2708318,0.4315611,-0.7581955,-0.3654151,0.78989506,-0.28220668
-0.18570161,0.31441402,-0.6768828,-0.3636687,0.80604684,-0.2064078
-0.21534403,0.380365,-0.7261242,-0.3508707,0.7836734,-0.2384113
-0.117323376,0.382652,-0.74046034,-0.29175615,0.71718705,-0.25086105
-0.146822,0.43541065,-0.72390985,-0.30942827,0.73298633,-0.24020016
-0.28697592,0.39646214,-0.7421918,-0.3563131,0.79637563,-0.20430012
-0.2369294,0.3813561,-0.73120636,-0.3766457,0.7947638,-0.26653025
-0.061335687,0.37091216,-0.5985863,-0.3671598,0.79249394,-0.2603938
-0.12087049,0.38988346,-0.7308764,-0.30179805,0.7003716,-0.18818581
-0.19391559,0.3752157,-0.6849383,-0.34880543,0.8056556,-0.23465428
-0.21815866,0.4124767,-0.74203193,-0.37953642,0.77553546,-0.2928509
-0.08322274,0.35820347,-0.77468336,-0.24787188,0.67146015,-0.26648933
-0.13190456,0.4007946,-0.7017445,-0.3157992,0.75081867,-0.23274586
-0.173605,0.37072775,-0.73347235,-0.34632903,0.72941136,-0.18643168
-0.110505685,0.35794264,-0.7000671,-0.27081922,0.74098396,-0.18819052
-0.25195125,0.35498014,-0.7156054,-0.3701905,0.82013714,-0.24883458
-0.13540731,0.33153567,-0.717003,-0.29078573,0.73668206,-0.16374712
-0.27370209,0.41191846,-0.7564121,-0.37118107,0.7568626,-0.19474384
-0.23358935,0.40318218,-0.78424495,-0.32572198,0.7354741,-0.23424144
-0.16059549,0.3613145,-0.70524013,-0.31305802,0.7736682,-0.22952215
-0.1327428,0.33261353,-0.6754186,-0.34813175,0.76343906,-0.18489477
-0.21631587,0.36428806,-0.76506555,-0.31983602,0.7681231,-0.27189636
-0.28204632,0.31802258,-0.72342485,-0.35243598,0.8100147,-0.15392101
-0.20762633,0.37165213,-0.72628766,-0.3670303,0.77085304,-0.22488825
-0.12429772,0.43073466,-0.7421223,-0.33459488,0.7014735,-0.26552802
-0.12086416,0.39539844,-0.6983511,-0.31417668,0.7567804,-0.2562397
-0.18687546,0.40809506,-0.770799,-0.35683477,0.70156455,-0.22742076
-0.17135897,0.4071447,-0.76513463,-0.28327513,0.6956169,-0.17780283
-0.23844403,0.3898382,-0.7231791,-0.3879364,0.8112767,-0.2991768
-0.15771225,0.35477796,-0.69461805,-0.3231731,0.7250469,-0.09558049
-0.2104707,0.38583905,-0.69576085,-0.34523582,0.7798601,-0.17522061
-0.10192643,0.37944424,-0.7140627,-0.30441904,0.72906804,-0.24663837
-0.16817535,0.34891298,-0.6445328,-0.3514195,0.8217697,-0.22254345
-0.2583215,0.36761242,-0.76935554,-0.33546403,0.7908475,-0.27639058
-0.18487173,0.3530073,-0.6941432,-0.35295784,0.7894951,-0.21750365
-0.19684117,0.36916146,-0.67451084,-0.35107636,0.8165348,-0.23879594
-0.23271623,0.390827,-0.7129492,-0.34349245,0.8040489,-0.2357005
-0.27044535,0.41551533,-0.7554778,-0.37343433,0.7775227,-0.23919965
-0.21571434,0.3380401,-0.72130597,-0.34816718,0.7895071,-0.2126773
-0.19323868,0.40109485,-0.7478738,-0.35761547,0.75377154,-0.27494383
-0.23312324,0.38725924,-0.72658753,-0.30244774,0.7777336,-0.16778427
-0.12555702,0.40166038,-0.78171545,-0.33476305,0.6884991,-0.32544917
-0.1422983,0.34627444,-0.72373813,-0.34892884,0.71727407,-0.17409319
-0.11071644,0.3612329,-0.74794316,-0.27634513,0.70384896,-0.22057055
-0.23834069,0.3926091,-0.696772,-0.33528864,0.8081256,-0.19365387
-0.25145182,0.3993714,-0.72557694,-0.35626292,0.79851794,-0.23125748
-0.127053,0.42529368,-0.7212809,-0.30429822,0.71084654,-0.20454693
-0.27981898,0.37772557,-0.7287945,-0.34579062,0.78586465,-0.14681417
-0.14915097,0.37980974,-0.7515933,-0.31771675,0.68567276,-0.17795637
-0.08978734,0.3057044,-0.76310027,-0.2632969,0.6686101,-0.16898145
-0.23283899,0.35314158,-0.71243834,-0.3198352,0.7979277,-0.18396479
-0.1560295,0.39902082,-0.7224661,-0.31301847,0.7533327,-0.24249896
-0.22773808,0.3677797,-0.7599179,-0.3167765,0.7414261,-0.16773418
-0.23886211,0.41509557,-0.73073596,-0.37765276,0.7677561,-0.21857893
-0.12803294,0.35501435,-0.7887413,-0.2569748,0.6757348,-0.22258556
-0.29839253,0.44244915,-0.7230275,-0.4202162,0.81734097,-0.27295753
-0.29388344,0.37687528,-0.7550283,-0.37113997,0.8006866,-0.22933206
-0.17354664,0.35319406,-0.72261965,-0.33315158,0.72998554,-0.14173022
-0.24816936,0.4136032,-0.74051636,-0.36172137,0.79707754,-0.281977
-0.19530925,0.44879135,-0.75148565,-0.31386384,0.74847376,-0.27179945
-0.21528618,0.41733116,-0.7520759,-0.37328926,0.75115037,-0.26203108
-0.2796521,0.33974892,-0.7247124,-0.31662515,0.83089423,-0.20788893
