subj,optimality_rate,overcautious_rate,overrisky_rate,mean_ev_loss,heavy_rate,survival_rate,total_earnings,heavy_rate_lowT,heavy_rate_highT,threat_sensitivity_choice
127,0.6444444444444445,0.3111111111111111,0.044444444444444446,0.2337574653912217,0.28888888888888886,0.7111111111111111,68,0.6,0.06666666666666667,0.5333333333333333
128,0.6666666666666666,0.3111111111111111,0.022222222222222223,0.27293626028407175,0.26666666666666666,0.6222222222222222,64,0.6666666666666666,0.06666666666666667,0.6
129,0.8,0.17777777777777778,0.022222222222222223,0.07300016268213877,0.4,0.7111111111111111,88,0.9333333333333333,0.06666666666666667,0.8666666666666667
130,0.7111111111111111,0.0,0.28888888888888886,0.25987330410715676,0.8444444444444444,0.6,131,1.0,0.6,0.4
131,0.7777777777777778,0.08888888888888889,0.13333333333333333,0.17717593928746259,0.6,0.6888888888888889,107,0.9333333333333333,0.3333333333333333,0.6000000000000001
132,0.7777777777777778,0.08888888888888889,0.13333333333333333,0.17519559434476695,0.6,0.5555555555555556,97,0.8666666666666667,0.4,0.4666666666666667
133,0.7777777777777778,0.08888888888888889,0.13333333333333333,0.1418086668000424,0.6,0.5555555555555556,93,0.8666666666666667,0.2,0.6666666666666667
134,0.4444444444444444,0.5333333333333333,0.022222222222222223,0.570243888554917,0.044444444444444446,0.5333333333333333,24,0.0,0.06666666666666667,-0.06666666666666667
135,0.8888888888888888,0.044444444444444446,0.06666666666666667,0.07315035555932636,0.5777777777777777,0.8,116,0.9333333333333333,0.2,0.7333333333333334
136,0.8222222222222222,0.06666666666666667,0.1111111111111111,0.10716705309815287,0.6,0.8888888888888888,128,1.0,0.26666666666666666,0.7333333333333334
137,0.9111111111111111,0.044444444444444446,0.044444444444444446,0.04025922785832881,0.5555555555555556,0.9111111111111111,129,1.0,0.0,1.0
138,0.6888888888888889,0.17777777777777778,0.13333333333333333,0.21102032876233076,0.5111111111111111,0.5333333333333333,72,0.6666666666666666,0.26666666666666666,0.39999999999999997
